WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000647511,distribution,EN,"Thailand, N. India (type), Burma.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647511,Forest Herbarium,All rights reserved,"Dillenia aurea. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 98. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00189,2,2
wfo-0000647544,distribution,EN,"Thailand, Malay Peninsula, Sumatra (type), W. Java, Borneo.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647544,Forest Herbarium,All rights reserved,"Dillenia excelsa. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 101. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00193,2,2
wfo-0000647555,distribution,EN,"Thailand, Malay Peninsula (type), Sumatra, Borneo.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647555,Forest Herbarium,All rights reserved,"Dillenia grandifolia. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 100. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00191,2,2
wfo-0000647562,distribution,EN,"Thailand, Indochina (type).",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647562,Forest Herbarium,All rights reserved,"Dillenia hookeri. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 102. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00194,2,2
wfo-0000647564,distribution,EN,"Thailand, India (type), Ceylon, Burma, Yunnan, Indochina, Sumatra, Malay Peninsula, Java, and Borneo.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647564,Forest Herbarium,All rights reserved,"Dillenia indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 103. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00196,2,2
wfo-0000647601,distribution,EN,"Thailand, Lower Burma, Indochina, N. Malay Peninsula, S. Sumatra, and W. Java (type).",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647601,Forest Herbarium,All rights reserved,"Dillenia obovata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 99. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00190,2,2
wfo-0000647605,distribution,EN,"Thailand, Indochina, Sumatra, Malay Peninsula (type), Banka.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647605,Forest Herbarium,All rights reserved,"Dillenia ovata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 102. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00195,2,2
wfo-0000647610,distribution,EN,"Thailand, Burma (type: Mergui).",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647610,Forest Herbarium,All rights reserved,"Dillenia parviflora. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 98. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00188,2,2
wfo-0000647615,distribution,EN,"Thailand, India (type), Burma, Andaman Islands, China (Yunnan, Hainan), Indochina, C. & E. Java, Lesser Sunda Islands, S. Celebes (Hoogl. In Fl. Mal. I. 4: f. 12. 1951).",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647615,Forest Herbarium,All rights reserved,"Dillenia pentagyna. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 97. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00187,2,2
wfo-0000647643,distribution,EN,"Thailand, Sumatra, Malay Peninsula (type), Borneo; widely grown as an ornamental shrub in tropical countries and naturalized in Ceylon, W. Java, Jamaica, and possibly Luzon.",R.D. Hoogland,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000647643,Forest Herbarium,All rights reserved,"Dillenia suffruticosa. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 101. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00192,2,2
wfo-0000666434,distribution,EN,"Thailand, Andaman Is., Lower Burma, Malay Peninsula (type).",J.E. Vidal,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000666434,Forest Herbarium,All rights reserved,"Ellipanthus tomentosus gibbosus. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 126. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00238,2,2
