WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000459361,ver-THA-0000459361.05,tam sao (ตำเสา)(Peninsular),0.0,ref-THA-0000459361,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00288,Forest Herbarium,All rights reserved,"Ternstroemia wallichiana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 154. Accessed 2021-07-31",2,2
wfo-0001267164,ver-THA-0001267164.01,rot sukhon (รสสุคนธ์)(Central),0.0,ref-THA-0001267164,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,Forest Herbarium,All rights reserved,"Tetracera indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 108. Accessed 2021-07-31",2,2
wfo-0001267164,ver-THA-0001267164.02,khrua pot (เครือปด)(Peninsular),0.0,ref-THA-0001267164,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,Forest Herbarium,All rights reserved,"Tetracera indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 108. Accessed 2021-07-31",2,2
wfo-0001267164,ver-THA-0001267164.03,pot lun (ปดลื่น)(Peninsular),0.0,ref-THA-0001267164,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,Forest Herbarium,All rights reserved,"Tetracera indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 108. Accessed 2021-07-31",2,2
wfo-0001267164,ver-THA-0001267164.04,yan plao (ย่านเปล้า)(Peninsular),0.0,ref-THA-0001267164,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,Forest Herbarium,All rights reserved,"Tetracera indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 108. Accessed 2021-07-31",2,2
wfo-0001267164,ver-THA-0001267164.05,ube sapanla meyo (อุเบ๊ะสะปัลละเมเยาะ)(Malay-Peninsular),0.0,ref-THA-0001267164,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00205,Forest Herbarium,All rights reserved,"Tetracera indica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 108. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.01,lin raet (ลิ้นแรด)(Eastern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.02,rot sukhon (รสสุคนธ์)(Central),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.03,sukhontharot (สุคนธรส)(Central),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.04,matat khrua (มะตาดเครือ)(Central),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.05,norakhon (นรคนธ์)(Southeastern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.06,borakhon (บอระคน)(Southeastern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.07,orakhon (อรคนธ์)(Southeastern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.08,saowakhon (เสาวคนธ์)(Southeastern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.09,kapot bai luam (กะปดใบเลื่อม)(Southwestern),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.10,pot namman (ปดน้ำมัน)(Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.11,pot lun (ปดลื่น)(Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.12,pot khai (ปดคาย)(Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.13,yan pot (ย่านปด)(Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.14,pala (ปะละ)(Malay-Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0000408341,ver-THA-0000408341.15,sapanla (สะปัลละ)(Malay-Peninsular),0.0,ref-THA-0000408341,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00204,Forest Herbarium,All rights reserved,"Tetracera loureiroi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 107. Accessed 2021-07-31",2,2
wfo-0001045865,ver-THA-0001045865.01,kapot (กะปด)(Peninsular),0.0,ref-THA-0001045865,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,Forest Herbarium,All rights reserved,"Tetracera scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 105. Accessed 2021-07-31",2,2
wfo-0001045865,ver-THA-0001045865.02,pot khon (ปดขน)(Peninsular),0.0,ref-THA-0001045865,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,Forest Herbarium,All rights reserved,"Tetracera scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 105. Accessed 2021-07-31",2,2
wfo-0001045865,ver-THA-0001045865.03,pot shwai (ปดควาย)(Peninsular),0.0,ref-THA-0001045865,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,Forest Herbarium,All rights reserved,"Tetracera scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 105. Accessed 2021-07-31",2,2
wfo-0001045865,ver-THA-0001045865.04,pot luam (ปดเลื่อม)(Peninsular),0.0,ref-THA-0001045865,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,Forest Herbarium,All rights reserved,"Tetracera scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 105. Accessed 2021-07-31",2,2
wfo-0001045865,ver-THA-0001045865.05,sappala (สัปปละ)(Malay-Peninsular),0.0,ref-THA-0001045865,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00200,Forest Herbarium,All rights reserved,"Tetracera scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 105. Accessed 2021-07-31",2,2
