LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP03430,wfo-0001329127,Stipellula capensis (Thunb.) Roser & Hamasha,Schlechtendalia 24: 92. 2012. ,,,C Nepal: 3800-3900 m.,"Nepal, SW Asia, Europe and Africa."
NEP03432,wfo-0000922847,Tenaxia cachemyriana (Jaub. & Spach.) N.P.Barker & H.P.Linder,Ann. Missouri Bot. Gard. 97(3): 352. 2010.,,,"W, C, E Nepal: 3000-4500 m.","Nepal, W Himalaya, Tibetan Plateau and SW Asia. "
NEP03435,wfo-0000922846,Tenaxia cumminsii (Hook.f.) N.P.Barker & H.P.Linder,Ann. Missouri Bot. Gard. 97(3): 352. 2010.,,,"W, C, E Nepal: 2200-4800 m.","Nepal, W Himalaya, E Himalaya and Tibetan Plateau."
NEP03437,wfo-0000908596,Thamnocalamus chigar (Stapleton) Stapleton,J. Bot. Res. Inst. Texas 1(1): 140. 2007.,lru/ ,Chigar,"W, C Nepal: 2600-3100 m. ",Endemic to Nepal. 
NEP03439,wfo-0000903472,Thamnocalamus spathiflorus (Trin.) Munro,Trans. Linn. Soc. London 26(1): 34. 1868. ,"dflnª\uf], /ftf] lgufnf], h/a'§f] ","Malingo, Rato nigalo, Jarbutto","W, C, E Nepal: 2200-3900 m.","Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP03445,wfo-0000903502,Themeda anathera (Nees) Hack.,Monogr. Phan. 6: 669. 1889.,w8\bL ,Dhaddi,"W, C Nepal: 700-2700 m.","Nepal, W Himalaya, Tibetan Plateau and SW Asia. "
NEP03447,wfo-0000903509,Themeda arundinacea (Roxb.) A.Camus,Fl. Indo-Chine 7: 363. 1922.,"p/]nL, w8\bL ","Ureli, Dhaddi","W, C Nepal: 100-1700 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03450,wfo-0001242069,Themeda caudata (Nees) A.Camus,Fl. Indo-Chine 7: 364. 1922.,"p/]nL, pNnf ","Ureli, Ulla","C, E Nepal: 100-2100 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03453,wfo-0000903562,Themeda hookeri (Griseb.) A.Camus,"Bull. Mus. Nat. (Paris), 26: 425. 1920.",p/]nL ,Ureli,"W, C, E Nepal: 1500-3400 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. "
NEP03455,wfo-0000903571,Themeda laxa (Andersson) A.Camus,"Bull. Mus. Nat. (Paris) 26: 266, 423. 1920.",,,C Nepal: ,"Nepal, W Himalaya, E Himalaya and Assam-Burma."
NEP03458,wfo-0000903579,Themeda quadrivalvis (L.) Kuntze,Revis. Gen. Pl. 2: 794. 1891.,,,"W, C, E Nepal: 500-3000 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03460,wfo-0000903590,Themeda triandra Forssk.,Fl. Aegypt.-Arab. 178. 1775.,v/ ,Khar,"W, C, E Nepal: 1700-4200 m.","Asia, Africa and Australasia. "
NEP03461,wfo-0000903609,Themeda villosa (Poir.) A.Camus,Fl. Indo-Chine 7: 364. 1922.,p/]nL ,Ureli,"W, C, E Nepal: 100-2000 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03463,wfo-0000903716,Thysanolaena latifolia (Roxb. ex Hornem.) Honda,"J. Fac. Sci. Univ. Tokyo, Sect. 3, Bot. 3: 312. 1930. ",cld|;f] ,Amriso,"W, C, E Nepal: 100-2100 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03468,wfo-0000903975,Tragus racemosus (L.) All.,Fl. Pedem. 2: 241. 1785.,,,E Nepal: 200-400 m. ,"Nepal, C Asia, SW Asia, Europe and Africa."
NEP03470,wfo-1000034855,Tripidium arundinaceum (Retz.) Welker,Taxon 68(2): 255. 2019.,,,C Nepal: 200-300 m.,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03472,wfo-0000908336,Tripidium bengalense (Retz.) H.Scholz,Willdenowia 36(2): 664. 2006. ,a?jf ,Baruwa,"W, C Nepal: 100-400 m.","Nepal, W Himalaya, Assam-Burma, S Asia and SW Asia. "
NEP03475,wfo-1000034857,Tripidium procerum (Roxb.) Welker,Taxon 68(2): 257. 2019.,,,"W, C Nepal: 100-700 m.","Nepal, Tibetan Plateau, Assam-Burma, S Asia and SE Asia."
NEP03478,wfo-0000908334,Tripidium ravennae (L.) H.Scholz,Willdenowia 36(2): 664. 2006.,,,"C, E Nepal: 200-1500 m.","Nepal, W Himalaya, Assam-Burma, S Asia, N Asia, C Asia, SW Asia, Europe and Africa."
NEP03483,wfo-0000904714,Tripogon bromoides Roth,Syst. Veg. (ed. 15 bis) 2: 600. 1817.,,,C Nepal: 1200-3300 m. ,"Nepal, W Himalaya, Assam-Burma and S Asia."
NEP03484,wfo-0000904717,Tripogon capillatus Jaub. & Spach,"Ill. Pl. Orient. 4(33): 47, t. 332. 1851.",,,"C, E Nepal: 1700-2100 m.","Nepal, W Himalaya, Assam-Burma and SW Asia."
NEP03485,wfo-0000904728,Tripogon filiformis Nees ex Steud.,Syn. Pl. Glumac. 1(3): 301. 1854.,,,"W, C, E Nepal: 300-3600 m. ",Asia.
NEP03486,wfo-0000904768,Tripogon purpurascens Duthie,Ann. Roy. Bot. Gard. (Calcutta) 9: 74. 1901.,,,W Nepal: 2200-2400 m. ,". Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia."
NEP03488,wfo-0000904783,Tripogon trifidus Munro ex Hook.f.,Fl. Brit. India 7: 286. 1896.,,,"C, E Nepal: 1200-3200 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia."
NEP03489,wfo-0001427486,Trisetopsis aspera (Munro ex Thwaites) Röser & A.Wölk,Taxon 66(1): 38. 2017.,,,"C, E Nepal: 2400-4300 m.",S Asia.
NEP03492,wfo-0001427487,Trisetopsis junghuhnii (Buse) Röser & A.Wölk,Taxon 66(1): 38. 2017.,,,"W, C, E Nepal: 2100-4800 m.",Nepal and SE Asia.
NEP03495,wfo-0001427488,Trisetopsis virescens (Nees ex Steud.) Röser & A.Wölk,Taxon 66(1): 38. 2017.,,,"W, C, E Nepal: 1800-4400 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP03498,wfo-0000905079,Trisetum clarkei (Hook.f.) R.R.Stewart,Brittonia 5: 431. 1945.,,,"C, E Nepal: 3400-4500 m.","Nepal, W Himalaya, Tibetan Plateau and SW Asia."
NEP03500,wfo-0000905397,Trisetum spicatum (L.) K.Richt.,Pl. Eur. 1: 59. 1890.,,,"W, C, E Nepal: 2500-5600 m.","Asia, Europe, N America, S America and Australasia."
NEP03505,wfo-0001427497,Tzveleviochloa parviflora (Hook.f.) Röser & A.Wölk,Taxon 66(1): 38. 2017.,,,"W, C, E Nepal: 2900-3900 m. ",Nepal and E Himalaya.
NEP03508,wfo-0000906811,Urochloa distachya (L.) T.Q.Nguyen,Novosti Sist. Vyssh. Rast. 1966: 13. 1966.,,,"W, C, E Nepal: 200-1200 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia."
NEP03513,wfo-0000906844,Urochloa kurzii (Hook.f.) T.Q.Nguyen,Novosti Sist. Vyssh. Rast. 1966: 13. 1966.,,,"C, E Nepal: 100-1600 m.","S Asia, E Asia, SE Asia and Australasia."
NEP03516,wfo-0000906864,Urochloa mutica (Forssk.) T.Q.Nguen,Novosti Sist. Vyssh. Rast. 1966: 13. 1966.,,,"W, C, E Nepal: 100-200 m (Naturalized in Nepal).",Native of Africa and SW Asia.
NEP03519,wfo-0000906872,Urochloa panicoides P.Beauv.,"Ess. Agrostogr. 53, pl. 11, f. 1. 1812.",,,C Nepal: 700-1200 m.,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa."
NEP03520,wfo-0000906894,Urochloa ramosa (L.) T.Q.Nguyen,Novosti Sist. Vyssh. Rast. 1966: 13. 1966.,"afF;kft], lnv] aG;f] ","Banspate, Likhe banso","W, C, E Nepal: 100-1800 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa. "
NEP03523,wfo-0000906896,Urochloa reptans (L.) Stapf,Fl. Trop. Afr. 9(4): 601. 1920.,,,"C, E Nepal: 100-1200 m. ","Nepal, W Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Australasia."
NEP03527,wfo-0000906918,Urochloa villosa (Lam.) T.Q.Nguen,Novosti Sist. Vyssh. Rast. 14. 1966.,,,"W, C, E Nepal: 900-2400 m.","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Africa."
NEP03533,wfo-0000907636,Yushania emeryi (Stapleton) Demoly,Bambou Bull. Liais. A.E.B. 29: 13. 1998.,"sfnf] dflnª\uf], sfnf] lgufnf] ","Kalo malingo, Kalo nigalo",E Nepal: 2000-4100 m.,Endemic to Nepal. 
NEP03536,wfo-0000907676,Yushania maling (Gamble) R.B.Majumdar,Fl. Ind. Enum. Monocot. 283. 1889.,"vf];|] dflnª\uf], wg' afF; ","Khosre malingo, Dhanu bans",E Nepal: 2000-3200 m.,"Nepal, E Himalaya and Assam-Burma."
NEP03539,wfo-0000907681,Yushania microphylla (Munro) R.B.Majumdar,Fl. Ind. Enum. Monocot. 283. 1898. ,dflnª\uf] ,Malingo,"C, E Nepal: 2300-3500 m.","Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia."
NEP03542,wfo-0000907690,Yushania pantlingii (Gamble) R.B.Majumdar,Fl. Ind. Enum. Monocot. 283. 1898. ,,,E Nepal: 2300-3800 m. ,Nepal and E Himalaya.
NEP03546,wfo-0000831785,Ceratophyllum demersum L.,Sp. Pl. 2: 992. 1753. ,,,C Nepal: 100-200 m.,Cosmopolitan.
NEP03549,wfo-0000547034,Argemone mexicana L.,Sp. Pl. 1: 508. 1753. ,"yfsn, ;'Fu'/] sfF8f ","Thakal, Sungure kanda","W, C, E Nepal: 60-1500 m (Invasive species in Nepal). ",Native of Mexico. 
NEP03550,wfo-0000547065,Argemone ochroleuca Sweet,Brit. Fl. Gard. 3: pl. 242. 1828.,,,E Nepal: 100-200 m (Naturalized in Nepal). ,Native of Mexico; a major invasive species in other parts of the world. 
NEP03552,wfo-0000622144,Corydalis calycina Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 532. 1989. ",,,"W, C Nepal: 2800-5500 m.",Endemic to Nepal. 
NEP03553,wfo-0001285976,Corydalis cashmeriana Royle subsp. cashmeriana,"Ill. Bot. Himal. Mts. pl. 16, f. 1. 1833.",6f]ª\u|]–l;Naf ,Tongre-silba: Tibetan,"W, C, E Nepal: 2400-5500 m.","Nepal, W Himalaya and Tibetan Plateau. "
NEP03554,wfo-0000743616,Corydalis cashmeriana Royle subsp. longicalcarata (D.G.Long) Lidén,Fl. China 7: 392. 2008.,,,"C, E Nepal: 3200-4600 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03557,wfo-0001316314,Corydalis casimiriana Duthie & Prain subsp. casimiriana,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65(1): 27. 1896. ",,,"W, C, E Nepal: 2300-4200 m. ","Nepal, W Himalaya and E Himalaya."
NEP03558,wfo-0001316310,Corydalis casimiriana Duthie & Prain subsp. brachycarpa Lidén,Rheedea 5(1): 27. 1995.,,,"C, E Nepal: 2800-4200 m.","Nepal, E Himalaya and Tibetan Plateau."
NEP03559,wfo-0000622178,Corydalis cavei D.G.Long,Notes Roy. Bot. Gard. Edinburgh 42(1): 103. 1984.,,,"C, E Nepal: 2400-4500 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03560,wfo-0000622179,Corydalis chaerophylla DC.,Prodr. 1: 128. 1824. ,"cf]v/] 3fF;, sd]{ 3fF; ","Okhare ghans, Karme ghans","W, C, E Nepal: 1800-5500 m. ","Nepal, W Himalaya, E Himalaya and Assam-Burma. "
NEP03561,wfo-0000622201,Corydalis clavibracteata Ludlow & Stearn,"Bull. Brit. Mus. (Nat. Hist.), Bot. 5: 53. 1975.",,,W Nepal: 3600-4800 m. ,Endemic to Nepal. 
NEP03562,wfo-0000622211,Corydalis conspersa Maxim.,Fl. Tangut. 49 pl. 25. f. 1-5. 1889.,,,C Nepal: 5000-5100 m. ,"Nepal, Tibetan Plateau and E Asia. "
NEP03564,wfo-0000622212,Corydalis cornuta Royle,Ill. Bot. Himal. Mts. 69. 1834.,,,"W, C Nepal: 1900-3500 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, SW Asia and Africa."
NEP03565,wfo-0000622272,Corydalis diphylla Wall.,Tent. Fl. Napal. 2: 54. 1826. ,,,W Nepal: 2400-3000 m. ,Nepal and W Himalaya.
NEP03567,wfo-0000622288,Corydalis ecristata (Prain) D.G.Long,Notes Roy. Bot. Gard. Edinburgh 42(1): 91. 1984. ,,,E Nepal: 3900-5000 m. ,"Nepal, E Himalaya and Tibetan Plateau."
NEP03569,wfo-0001316315,Corydalis elegans Wall. ex Hook.f. & Thomson subsp. elegans ,Fl. Ind. 1: 265. 1855. ,,,"W, C Nepal: 3900-4200 m. ","Nepal, W Himalaya and Tibetan Plateau."
NEP03570,wfo-0001316319,Corydalis elegans Wall. ex Hook.f. & Thomson subsp. robusta Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 518. 1989.",,,W Nepal: 3900-4700 m.,Endemic to Nepal. 
NEP03571,wfo-0000622325,Corydalis filicina Prain,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65: 30. 1896. ",,,"W, C Nepal: 3000-4500 m. ",Nepal and E Himalaya.
NEP03572,wfo-0000622326,Corydalis filiformis Royle,Ill. Bot. Himal. Mts. 68. 1834.,,,"W, C Nepal: 2500-4100 m.",Nepal and W Himalaya.
NEP03573,wfo-0000622333,Corydalis flabellata Edgew.,Trans. Linn. Soc. London 20(1): 30. 1846.,,,C Nepal: 2800-3500 m. ,"Nepal, W Himalaya and Tibetan Plateau."
NEP03574,wfo-0000622334,Corydalis flaccida Hook.f. & Thomson,Fl. Ind. 1: 260. 1855.,,,"W, C, E Nepal: 3000-4300 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia."
NEP03575,wfo-0000622369,Corydalis geraniifolia Hook.f. & Thomson,Fl. Ind. 1: 269. 1855.,,,E Nepal: 3000-4800 m. ,Nepal and E Himalaya.
NEP03577,wfo-0000622394,Corydalis govaniana Wall.,Tent. Fl. Napal. 2: 55. 1826.,"e""ts]z ",Bhutkesh,"W, C, E Nepal: 1900-5000 m. ","Nepal, W Himalaya and Tibetan Plateau. "
NEP03578,wfo-0000622428,Corydalis hendersonii Hemsl.,"J. Linn. Soc., Bot. 30: 109. 1894.",,,"W, C Nepal: 3800-6100 m. ","Nepal, W Himalaya, Tibetan Plateau and N Asia. "
NEP03580,wfo-0000622451,Corydalis hookeri Prain,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65(1): 34. 1896. ",,,"W, C, E Nepal: 2700-5500 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03581,wfo-0000622481,Corydalis jigmei C.E.C.Fisch. & Kaul,Bull. Misc. Inform. Kew 1940(6): 266. 1940. ,,,E Nepal: 4100-5300 m. ,"Nepal, E Himalaya and Tibetan Plateau."
NEP03582,wfo-0000622485,Corydalis juncea Wall.,"Tent. Fl. Napal. 2: 54, t. 42. 1826.",,,"W, C, E Nepal: 2500-5100 m.","Nepal, E Himalaya and Tibetan Plateau."
NEP03583,wfo-0000622513,Corydalis lathyroides Prain,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65(1): 23. 1896. ",,,"W, C, E Nepal: 3000-5500 m. ","Nepal, W Himalaya and E Himalaya."
NEP03585,wfo-0000622515,Corydalis latiflora Hook.f. & Thomson,Fl. Ind. 1: 270. 1855.,,,"W, C, E Nepal: 3000-5700 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03589,wfo-0000622525,Corydalis leptocarpa Hook.f. & Thomson,Fl. Ind. 1: 260. 1855.,,,"C, E Nepal: 1800-3000 m. ","Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia."
NEP03590,wfo-0000622551,Corydalis longipes DC.,Prodr. 1: 128. 1824. ,,,"W, C, E Nepal: 2000-5300 m.",Nepal and Tibetan Plateau.
NEP03591,wfo-0000622557,Corydalis lowndesii Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 491. 1989. ",,,"C, E Nepal: 2800-5100 m. ",Nepal and Tibetan Plateau.
NEP03592,wfo-0001316306,Corydalis magni Pusalkar,Kew Bull. 66(4): 548. 2011.,,,"W, C Nepal: 4400-6100 m. ",Nepal and Tibetan Plateau.
NEP03594,wfo-0000622587,Corydalis megacalyx Ludlow & Stearn,"Bull. Brit. Mus. (Nat. Hist.), Bot. 5: 58. t. 8. 1975. ","e""ts]z ",Bhutkesh,"W, C, E Nepal: 3600-5500 m. ",Endemic to Nepal. 
NEP03595,wfo-0000622591,Corydalis meifolia Wall.,"Tent. Fl. Napal. 2: 52, t. 41. 1826.",3f]–7'n–;af]{ ,Gho-thul-serbo: Tibetan,"W, C, E Nepal: 3900-5200 m.","Nepal, W Himalaya, E Himalaya and Tibetan Plateau. "
NEP03597,wfo-0000622633,Corydalis nana Royle,Ill. Bot. Himal. Mts. 68. 1834.,,,W Nepal: 4700-5500 m. ,Nepal and W Himalaya.
NEP03598,wfo-0000622731,Corydalis polygalina Hook.f. & Thomson,Fl. Ind. 1: 263. 1855.,,,E Nepal: 4000-4800 m. ,"Nepal, E Himalaya and Tibetan Plateau."
NEP03599,wfo-0000622761,Corydalis pseudojuncea Ludlow & Stearn,"Bull. Brit. Mus. (Nat. Hist.), Bot. 5: 62. t. 11. 1975. ",,,"W, C Nepal: 2600-5500 m. ","Nepal, W Himalaya and Tibetan Plateau."
NEP03600,wfo-0000622762,Corydalis pseudolongipes Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 532. 1989. ",,,"C, E Nepal: 2800-3500 m.","Nepal, E Himalaya and Tibetan Plateau."
NEP03602,wfo-0000622874,Corydalis shakyae Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 519. 1989. ",,,W Nepal: 3200-3900 m. ,Nepal and W Himalaya.
NEP03603,wfo-0000622888,Corydalis sikkimensis (Prain) Fedde,Repert. Spec. Nov. Regni Veg. 17: 201. 1921. ,,,E Nepal: 3900-4700 m. ,"Nepal, W Himalaya and E Himalaya."
NEP03605,wfo-0000622889,Corydalis simplex Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 514. 1989. ",,,W Nepal: 4000-5500 m.,Endemic to Nepal. 
NEP03606,wfo-0000622913,Corydalis spicata Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 528. 1989. ",,,W Nepal: 2500-2600 m.,Endemic to Nepal. 
NEP03607,wfo-0000622916,Corydalis staintonii Ludlow & Stearn,"Bull. Brit. Mus. (Nat. Hist.), Bot. 5: 65. t. 13. 1975. ",,,"W, C, E Nepal: 3600-5500 m. ",Nepal and E Himalaya.
NEP03610,wfo-0000622919,Corydalis stipulata Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 522. 1989. ",,,"W, C Nepal: 2500-4000 m.",Endemic to Nepal.
NEP03611,wfo-0000622920,Corydalis stracheyi Duthie ex Prain,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 65(1): 37. 1896. ",,,"W, C, E Nepal: 3600-5200 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP03612,wfo-0000622929,Corydalis stricta Steph. ex DC.,Syst. Nat. 2: 123. 1821. ,,,"W, C Nepal: 3500-5500 m. ","Nepal, W Himalaya, Tibetan Plateau, E Asia, N Asia, C Asia and SW Asia."
NEP03614,wfo-0000622963,Corydalis terracina Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 522. 1989. ",,,"W, C Nepal: 1300-2700 m",Endemic to Nepal. 
NEP03615,wfo-0000622988,Corydalis trifoliolata Franch.,Bull. Soc. Bot. France 33: 392. 1887.,,,"C, E Nepal: 3000-4300 m. ","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP03616,wfo-0000623014,Corydalis uncinata Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 520. 1989. ",,,"W, C Nepal: 3500-5500 m.",Endemic to Nepal. 
NEP03617,wfo-0000623015,Corydalis uncinatella Lidén,"Bull. Brit. Mus. (Nat. Hist.), Bot. 18(6): 520. 1989. ",,,"W, E Nepal: 3600-3900 m.",Endemic to Nepal. 
NEP03618,wfo-0000623024,Corydalis vaginans Royle,Ill. Bot. Himal. Mts. 68. 1834. ,,,W Nepal: 3000-3200 m.,"Nepal, W Himalaya and E Himalaya."
NEP03621,wfo-0000749210,Dactylicapnos cordata Lidén,Nordic J. Bot. 28(6): 658. 2010.,,,E Nepal: 1300-1900 m.,Nepal and E Himalaya.
NEP03622,wfo-0000636815,Dactylicapnos grandifoliolata Merr.,Brittonia 4: 64. 1941.,,,E Nepal: 1500-2800 m.,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma."
NEP03623,wfo-0001316316,Dactylicapnos macrocapnos (Prain) Hutch. subsp. macrocapnos ,Bull. Misc. Inform. Kew 1921(3): 105. 1921.,,,"W, C Nepal: 900-2600 m. ","Nepal, W Himalaya and Tibetan Plateau."
NEP03625,wfo-0001316311,Dactylicapnos macrocapnos (Prain) Hutch. subsp. echinosperma Lidén,Nordic J. Bot. 28(6): 657. 2010.,,,C Nepal: 900-2700 m.,Nepal and Tibetan Plateau.
NEP03626,wfo-0000749213,Dactylicapnos odontocarpa Lidén,Nordic J. Bot. 28(6): 658. 2010.,,,"C, E Nepal: 1600-2600 m.",Nepal and E Himalaya.
NEP03627,wfo-0000636819,Dactylicapnos roylei (Hook.f. & Thomson) Hutch.,Bull. Misc. Inform. Kew 1921(3): 104. 1921.,,,"W, C, E Nepal: 2000-3000 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia."
NEP03629,wfo-0000636820,Dactylicapnos scandens (D.Don) Hutch.,Bull. Misc. Inform. Kew 1921(3): 105. 1921.,"hf]uL nx/f, ;fgf] kx]nL ","Jogi lahara, Sano paheli","C, E Nepal: 1500-3100 m.","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia. "
NEP03633,wfo-0000646259,Dicranostigma lactucoides Hook.f. & Thomson,Fl. Ind. 1: 255. 1855.,b'w] ;fu ,Dudhe sag,"W, C Nepal: 2400-4500 m.","Nepal, W Himalaya, Tibetan Plateau and E Asia. "
NEP03634,wfo-0000693250,Fumaria indica (Hausskn.) Pugsley,"J. Linn. Soc., Bot. 44: 313. 1919. ","w's'/] emf/, s}?jf ","Dhukure jhar, Kairuwa","W, C, E Nepal: 100-2500 m. ","Nepal, W Himalaya, E Himalaya and SW Asia. "
NEP03638,wfo-0001090419,Hypecoum leptocarpum Hook.f. & Thomson,Fl. Ind. 1: 276. 1855.,k/j6 ,Parwat,"W, C Nepal: 1700-4800 m. ","Nepal, E Himalaya, Tibetan Plateau, E Asia, N Asia, C Asia and SW Asia. "
NEP03640,wfo-0000749830,Meconopsis autumnalis P.A.Egan,Phytotaxa 20: 48. 2011.,,,C Nepal: 3300-4200 m.,Endemic to Nepal. 
NEP03642,wfo-0001421616,Meconopsis bella Prain subsp. bella,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 63: 82. 1894. ",,,"C, E Nepal: 3400-5300 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03644,wfo-0001363021,Meconopsis bella subsp. grandifolia Grey-Wilson,The Genus Meconopsis 362. 2014. ,,,C Nepal: 3900-4500 m.,Endemic to Nepal. 
NEP03645,wfo-0001333626,"Meconopsis bulbilifera Tosh.Yoshida, H.Sun & Grey-Wilson",Curtis’s Bot. Mag. 29(2): 200. 2012.,,,"C, E Nepal: 3500-4300 m. ",Nepal and E Himalaya.
NEP03648,wfo-0000507575,Meconopsis chankheliensis Grey-Wilson,Curtis's Bot. Mag. 23(2): 203. 2006.,,,W Nepal: 3100-4600 m. ,Endemic to Nepal. 
NEP03650,wfo-0000448635,Meconopsis dhwojii G.Taylor ex Hay,New Fl. & Silva 4: 225. 1932.,,,"C, E Nepal: 3400-4800 m",Nepal and Tibetan Plateau. 
NEP03652,wfo-0001242183,Meconopsis discigera Prain,Ann. Bot. 20: 356. 1906.,,,"W, E Nepal: 3100-4600 m. ",Nepal and E Himalaya.
NEP03654,wfo-0000507576,Meconopsis ganeshensis Grey-Wilson,Curtis's Bot. Mag. 23(2): 188. 2006.,,,C Nepal: 3600-4600 m.,Endemic to Nepal. 
NEP03656,wfo-0001249094,Meconopsis gracilipes G.Taylor,Account Gen. Meconopsis 38. 1934.,,,C Nepal: 2400-4900 m. ,Nepal and Tibetan Plateau. 
NEP03659,wfo-0001316317,Meconopsis grandis Prain subsp. grandis,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 64: 320. 1896. ",lrNb/ ,Childar,"C, E Nepal: 3100-4500 m. ",Nepal and E Himalaya.
NEP03661,wfo-0001316320,Meconopsis grandis subsp. jumlaensis Grey-Wilson,Sibbaldia 8: 82. 2010.,,,W Nepal: 3300-4400 m.,Endemic to Nepal. 
NEP03662,wfo-0001242141,Meconopsis horridula Hook.f. & Thomson,Fl. Ind. 1: 252. 1855.,"8fªlug–8f, 5f/–u'g, Sof;/ ","Dangin-da: Sherpa, Chhar-gun, Kyasar: Tibetan","W, C, E Nepal: 3700-5800 m.","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. "
NEP03664,wfo-0001333627,"Meconopsis lamjungensis Tosh.Yoshida, H.Sun & Grey-Wilson",Curtis’s Bot. Mag. 29(2): 194. 2012.,,,C Nepal: 3500-4200 m. ,Nepal and Tibetan Plateau. 
NEP03666,wfo-0000749826,Meconopsis manasluensis P.A.Egan,Phytotaxa 20: 50. 2011.,,,C Nepal: 4000 m. ,Endemic to Nepal. 
NEP03668,wfo-0001242174,Meconopsis napaulensis DC.,Prodr. 1: 121. 1824. ,Sof;/ ,Kyasar: Sherpa,"C, E Nepal: 3000-4500 m. ","Nepal, E Himalaya and Tibetan Plateau."
NEP03672,wfo-0001421631,Meconopsis paniculata (D.Don) Prain subsp. paniculata,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 64: 316. 1896. ","Uof;'/, pkn-;]kf]{ ","Gyasur: Sherpa, Upal-serpo: Amchi","W, C, E Nepal: 2700-5000 m. ","Nepal, E Himalaya and Tibetan Plateau. "
NEP03675,wfo-0001363008,Meconopsis paniculata subsp. pseudoregia Grey-Wilson,The Genus Meconopsis 112. 2014. ,,,"W, E Nepal: 2700-4200 m. ",Endemic to Nepal. 
NEP03676,wfo-0001249259,Meconopsis pinnatifolia C.Y.Wu & H.Chuang,"Acta Phytotax. Sin. 17(4): 114, f. 3. 1979. ",,,C Nepal: 3500-4900 m. ,Nepal and Tibetan Plateau.
NEP03678,wfo-0000448684,Meconopsis regia G.Taylor,J. Bot. 67: 259. 1929. ,,,"W, C Nepal: 2400-4400 m.  ",Endemic to Nepal. 
