"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Pinaceae ,Picea A.Dietr.,NEP00029,wfo-0000482635,Picea smithiana (Wall.) Boiss.,Fl. Orient. 5(2): 700. 1884.,"e'mn] ;Nnf, h'/] ;Nnf ","Jhule salla, Jure salla","W, C Nepal: 2100-3600 m.",,,"Nepal, W Himalaya and SW Asia.",
,Pinaceae ,,NEP00030,wfo-0000481541,Pinus smithiana Wall.,,,,,,,,
,Pinaceae ,,NEP00031,wfo-0000510030,Picea smithiana subsp. nepalensis (Franco) Silba,,,,,,,,
,Pinaceae ,,NEP00032,wfo-0000482636,Picea smithiana var. nepalensis Franco ,,,,,,,,
,Pinaceae ,Pinus L.,NEP00033,wfo-0000481557,Pinus roxburghii Sarg.,Silva N. Amer. 11: 9. 1897.,"vf]6] ;Nnf, /fgL ;Nnf ","Khote salla, Rani salla","W, C, E Nepal: 500-2700 m.",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",
,Pinaceae ,,NEP00034,wfo-0000481612,Pinus wallichiana A.B.Jacks.,Bull. Misc. Inform. Kew 1938(2): 85. 1938. ,uf]a|] ;Nnf,Gobre salla,"W, C, E Nepal: 1600-4300 m.",,,"Nepal, W Himalaya, E Himalaya, E Asia and SW Asia.",
,Pinaceae ,,NEP00035,wfo-0000481786,Pinus nepalensis Chambray,,,,,,,,
,Pinaceae ,,NEP00036,wfo-0000914221,Pinus wallichiana subsp. manangensis (H.Ohba & M.Suzuki) Silba,,,,,,,,
,Pinaceae ,,NEP00037,wfo-0000481616,Pinus wallichiana var. manangensis H.Ohba & M.Suzuki ,,,,,,,,
,Pinaceae ,Tsuga (Endl.) Carrière,NEP00038,wfo-0000456385,Tsuga dumosa (D.Don) Eichler,Nat. Pflanzenfam. 2(1): 80. 1887.,l7ª\u|] ;Nnf,Thingre salla,"W, C, E Nepal: 2000-3600 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Pinaceae ,,NEP00039,wfo-0000481279,Pinus dumosa D.Don,,,,,,,,
,Pinaceae ,,NEP00040,wfo-0000482335,Pinus brunoniana Wall.,,,,,,,,
,Podocarpaceae ,Podocarpus L‘Her. ex Pers.,NEP00041,wfo-0000485162,Podocarpus neriifolius D.Don,Descr. Pinus 2: 21. 1824.,"u'G;L, sf7] ;Nnf","Gunsi, Kathe sallo","C, E Nepal: 800-1500 m.",,,"Nepal, Assam-Burma, S Asia, E Asia and Australasia.",
CUPRESSALES,Cupressaceae ,Cupressus L.,NEP00042,wfo-0000630822,Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18. 1824.,"sf7] w'kL, /fh ;Nnf","Kathe dhupi, Raj salla","W, C Nepal: 1300-3500 m.",,,"Nepal, W Himalaya and Tibetan Plateau.",
,Cupressaceae ,,NEP00043,,Cupressus corneyana Knight & Perry ex Carriere ,,,,,,,,
,Cupressaceae ,,NEP00044,wfo-0000630694,Cupressus karnaliensis Silva,,,,,,,,
,Cupressaceae ,,NEP00045,wfo-0000630696,Cupressus karnaliensis subsp. mustangensis (Silba) Silba,,,,,,,,
,Cupressaceae ,,NEP00046,wfo-0000630695,Cupressus karnaliensis var. mustangensis Silba,,,,,,,,
,Cupressaceae ,,NEP00047,,Cupressus nepalensis Loud.,,,,,,,,
,Cupressaceae ,,NEP00048,wfo-0000923094,Cupressus torulosa subsp. karnaliensis (Silba) Silba,,,,,,,,
,Cupressaceae ,Juniperus L.,NEP00049,wfo-0000735441,Juniperus communis L. var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54. 1788.",w'kL,Dhupi,"W, C Nepal: 2700-4100 m.",,,"Nepal, W Himalaya, E Asia, C Asia, SW Asia, Europe and N America.",
,Cupressaceae ,,NEP00050,wfo-0000355000,Juniperus sibirica Burgsd. ,,,,,,,,
,Cupressaceae ,,NEP00051,wfo-0001428098,Juniperus indica Bertol. var. indica,"Misc. Bot. 23: 16, pl. 1. 1862.",w'kL,Dhupi,"W, C, E Nepal: 2100-4500 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia.",
,Cupressaceae ,,NEP00052,wfo-0000354920,Juniperus wallichiana Hook.f. & Thomson ex Brandis,,,,,,,,
,Cupressaceae ,,NEP00053,wfo-0001382735,Juniperus indica Bertol. var. caespitosa Farjon,Monogr. Cupressaceae & Sciadopitys 313. 2005.,,,W Nepal: 3700-3800 m.,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Cupressaceae ,,NEP00054,wfo-0000354978,Juniperus recurva Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 55. 1825.,"w'kL, e}?Fu w'kL","Dhupi, Bhairung dhupi","W, C, E Nepal: 1900-4600 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Cupressaceae ,,NEP00055,wfo-0000355647,Juniperus nepalensis Rinz. ex Gordon,,,,,,,,
,Cupressaceae ,,NEP00056,wfo-0000917995,Juniperus recurva var. uncinata R.P.Adams,,,,,,,,
,Cupressaceae ,,NEP00057,wfo-0001336211,Juniperus uncinata (R.P.Adams) R.P.Adams,,,,,,,,
,Cupressaceae ,,NEP00058,wfo-0000354992,Juniperus semiglobosa Regel,"Trudy Imp. S.-Peterburgsk. Bot. Sada, prepr. 6: 487. 1879. ",w'kL ,Dhupi,"W, C Nepal: 2900-4000 m.",,,"Nepal, W Himalaya, Tibetan Plateau, E Asia, C Asia and SW Asia.",
,Cupressaceae ,,NEP00059,wfo-0000355525,Juniperus excelsa Wall.,,,,,,,,
,Cupressaceae ,,NEP00060,wfo-0000441639,Sabina semiglobosa (Regel) L.K.Fu & Y.F.Yu,,,,,,,,
,Cupressaceae ,,NEP00061,wfo-0000354918,Juniperus squamata Buch.-Ham. ex D.Don,Descr. Pinus 2: 17. 1824. ,w'kL,Dhupi,"W, C, E Nepal: (2400-)3000-4500 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma and E Asia.",
,Cupressaceae ,,NEP00062,wfo-0000735614,Juniperus recurva var. squamata (D.Don) Parl.,,,,,,,,
,Taxaceae ,Taxus L.,NEP00063,wfo-0000408632,Taxus contorta Griff.,Itin. Pl. Khasyah Mts. 351. 1848.,l;ª\uL,Singi,"W, C Nepal: 2000-3500 m. ",,,"Nepal, W Himalaya, Tibetan Plateau and SW Asia.",
,Taxaceae ,,NEP00064,wfo-0000459424,Taxus fuana Nan Li & R.R.Mill ,,,,,,,,
,Taxaceae ,,NEP00065,wfo-0000922829,Taxus wallichiana subsp. contorta (Griff.) Silba,,,,,,,,
,Taxaceae ,,NEP00066,wfo-0000459404,Taxus mairei (Lemée & H.Lév.) S.Y.Hu,Illustr. Native & Introd. Lign. Pl. Taiwan 1: 16. 1960. ,l;ª\uL ,Singi,C Nepal: 1800-2500 m.,,,"Nepal, E Himalaya, Assam-Burma, E Asia and SE Asia.",
,Taxaceae ,,NEP00067,wfo-0000456410,Tsuga mairei Lemée & H.Lév.,,,,,,,,
,Taxaceae ,,NEP00068,,Taxus chinensis var. mairei (Lemée & H.Lév.) W.C.Cheng & L.K.Fu,,,,,,,,
,Taxaceae ,,NEP00069,wfo-0000454938,Taxus wallichiana var. mairei (Lemée & H.Lév.) L.K.Fu & Nan Li,,,,,,,,
,Taxaceae ,,NEP00070,wfo-0000409081,Taxus wallichiana Zucc.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 3: 803. 1843. ,"nf}7 ;Nnf, ad]{ ;Nnf, 9]ª\u|] ;Nnf","Lauth salla, Burme salla. Dhengre salla","C, E Nepal: 1900-3500 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Taxaceae ,,NEP00071,wfo-0000737154,Taxus baccata subsp. wallichiana (Zucc.) Pilg. ,,,,,,,,
NYMPHAEALES,Nymphaeaceae ,Euryale Salisb.,NEP00072,wfo-0000683330,Euryale ferox Salisb.,Ann. Bot. 2: 74. 1805.,dvfgf,Makhana,E Nepal: 100-500 m.,,,"Nepal, W Himalaya, Assam-Burma, S Asia and E Asia.",
,Nymphaeaceae ,Nymphaea L.,NEP00073,wfo-1200024889,Nymphaea nouchali N.L.Burm. var. nouchali,Fl. Ind. 120. 1768.,lgn sdn,Nil kamal,"W, C Nepal: 100-1000 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Australasia.",
,Nymphaeaceae ,,NEP00074,wfo-0000380771,Nymphaea stellata Willd.,,,,,,,,
,Nymphaeaceae ,,NEP00075,wfo-0000737412,Nymphaea nouchali N.L.Burm. var. versicolor (Sims) R.Ansari & Jeeja,Waterlilies India 56. 2009. ,lgn sdn ,Nil kamal,E Nepal: 200 m.,,,"Nepal, Assam-Burma, S Asia and SE Asia. ",
,Nymphaeaceae ,,NEP00076,wfo-0000380777,Nymphaea versicolor Sims,,,,,,,,
,Nymphaeaceae ,,NEP00077,wfo-0000737411,Nymphaea stellata var. versicolor (Sims) Hook.f. & Thomson,,,,,,,,
,Nymphaeaceae ,,NEP00078,wfo-0000382124,Nymphaea pubescens Willd.,Sp. Pl. 2: 1154. 1799.,sdn ,Kamal,W Nepal: 100-200 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Nymphaeaceae ,,NEP00079,wfo-0001086950,Nymphaea lotus var. pubescens (Willd.) Hook.f. & Thomson ,,,,,,,,
,Nymphaeaceae ,,NEP00080,wfo-0001086849,Nymphaea rubra Roxb. ex Salisb.,"Parad. Lond. 1. sub t. 14. 1805,",,,E Nepal: 100-300 m (Naturalized in Nepal).,,,Native of SE Asia.,
,Nymphaeaceae ,,NEP00081,wfo-0000380763,Nymphaea tetragona Georgi,Bemerk. Reise Russ. Reich 1: 220. 1775.,,,"W, E Nepal: 100-2100 m. ",,,"Nepal, W Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, N Asia, C Asia, Europe and N America. ",
,Nymphaeaceae ,,NEP00082,,Nymphaea pygmaea Ait.,,,,,,,,
AUSTROBAILEYALES,Schisandraceae,Kadsura Juss.,NEP00083,wfo-0000357309,Kadsura heteroclita (Roxb.) Craib,Fl. Siam. 28. 1925.,,,"C, E Nepal: 1500-2000 m.",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
