"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Poaceae ,,NEP03285,wfo-0000894023,Poa szechuensis Rendle,J. Bot. 46: 173. 1908.,,,"W, C Nepal: 2700-4400 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia.",
,Poaceae ,,NEP03286,wfo-0000894082,Poa tibeticola Bor ,,,,,,,,
,Poaceae ,,NEP03287,wfo-0000894135,Poa trivialis L.,Sp. Pl. 1: 67. 1753. ,,,"W, C Nepal: 2500-4000 m.",,,"Nepal, W Himalaya, E Himalaya, E Asia, N Asia, C Asia, SW Asia, Europe and Africa.",
,Poaceae ,Pogonatherum P.Beauv.,NEP03288,wfo-0000894428,Pogonatherum crinitum (Thunb.) Kunth,Enum. Pl. 1: 478. 1833.,"d';] v/L, v?sL ","Muse khari, Kharuki","W, C, E Nepal: 300-2800 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Africa.",
,Poaceae ,,NEP03289,wfo-0000846409,Andropogon crinitus Thunb.,,,,,,,,
,Poaceae ,,NEP03290,wfo-0000894436,Pogonatherum paniceum (Lam.) Hack.,Allg. Bot. Z. Syst. 12: 178. 1906.,,,"W, C, E Nepal: 100-2600 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and SW Asia.",
,Poaceae ,,NEP03291,wfo-0000896690,Saccharum paniceum Lam.,,,,,,,,
,Poaceae ,Polypogon Desf.,NEP03292,wfo-0000894672,Polypogon fugax Nees ex Steud.,Syn. Pl. Glumac. 1(3): 184. 1854.,"‰ofKn] 3fF;, v/fof] kfO{n] ","Jhyaple ghans, Kharayo paile","W, C, E Nepal: 1100-3700 m. ",,,"Asia, Europe and Africa. ",
,Poaceae ,,NEP03293,,Polypogon littoralis var. higegaweri (Steud.) Hook.f.,,,,,,,,
,Poaceae ,,NEP03294,wfo-0000894716,Polypogon monspeliensis (L.) Desf.,Fl. Atlant. 1: 67. 1798.,,,"W, C, E Nepal: 100-2000 m. ",,,"Asia, Europe and Africa.",
,Poaceae ,,NEP03295,wfo-0000845616,Alopecurus monspeliensis L.,,,,,,,,
,Poaceae ,Polytoca R.Br.,NEP03296,wfo-0001427312,Polytoca gigantea (J.Koenig) Mabb.,Mabberley's Pl.-Book 1102. 2017.,,,W Nepal: 600-700 m.,,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and SE Asia. ",
,Poaceae ,,NEP03297,wfo-0000860421,Coix gigantea J.Koenig,,,,,,,,
,Poaceae ,,NEP03298,wfo-0000859333,Chionachne gigantea (J.Koenig) Veldcamp ,,,,,,,,
,Poaceae ,,NEP03299,wfo-0000859336,Chionachne koenigii (Spreng.) Thwaites ,,,,,,,,
,Poaceae ,Pseudechinolaena Stapf,NEP03300,wfo-0000894867,Pseudechinolaena polystachya (Kunth) Stapf,Fl. Trop. Afr. 9(3): 495. 1919.,,,"C, E Nepal: 900-2000 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia, Africa and N America and S America.",
,Poaceae ,,NEP03301,wfo-0000865462,Echinolaena polystachya Kunth,,,,,,,,
,Poaceae ,Pseudopogonatherum A.Camus,NEP03302,wfo-0000894908,Pseudopogonatherum contortum (Brongn.) A.Camus,Fl. Indo-Chine 7: 255. 1922. ,,,"W, C, E Nepal: 100-1400 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03303,,Pogonatherum contortum Brongn.,,,,,,,,
,Poaceae ,,NEP03304,,Eulalia contorta (Brongn.) Kuntze,,,,,,,,
,Poaceae ,,NEP03305,wfo-0000894471,Pollinia articulata Trin.,,,,,,,,
,Poaceae ,,NEP03306,wfo-0000894918,Pseudopogonatherum quadrinerve (Hack.) Ohwi,Bull. Tokyo Sci. Mus. 18: 3. 1947.,,,"W, C Nepal: 1300-2700 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, E Asia and SE Asia.",
,Poaceae ,,NEP03307,,Pollinia quadrinervis Hack.,,,,,,,,
,Poaceae ,,NEP03308,wfo-0000869310,Eulalia quadrinervis (Hack.) Kuntze ,,,,,,,,
,Poaceae ,,NEP03309,wfo-0000894921,Pseudopogonatherum trispicatum (Schult.) Ohwi,Bull. Tokyo Sci. Mus. 18: 3. 1947.,,,"W, C, E Nepal: 1100-2900 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia.",
,Poaceae ,,NEP03310,,Andropogon trispicatus Schult.,,,,,,,,
,Poaceae ,,NEP03311,wfo-0000869334,Eulalia trispicata (Schult.) Henrard ,,,,,,,,
,Poaceae ,,NEP03312,wfo-0000894467,Pollinia argentea (Brongn.) Trin.,,,,,,,,
,Poaceae ,Pseudosorghum A.Camus,NEP03313,wfo-0000895066,Pseudosorghum fasciculare (Roxb.) A.Camus,Bull. Mus. Natl. Hist. Nat. 26: 662. 1920. ,,,E Nepal: 100-1000 m.,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03314,wfo-0000846545,Andropogon fascicularis Roxb.,,,,,,,,
,Poaceae ,Ptilagrostis Griseb.,NEP03315,wfo-0000895124,Ptilagrostis concinna (Hook.f.) Roshev,Fl. URSS 2: 75. 1934. ,,,"C, E Nepal: 3700-5300 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, N Asia and C Asia.",
,Poaceae ,,NEP03316,wfo-0000901937,Stipa concinna Hook.f.,,,,,,,,
,Poaceae ,,NEP03317,wfo-0000895128,Ptilagrostis dichotoma Keng ex Tzvelev,Rast. Tsentral. Azii Fasc. 4: 43. 1968.,,,"W, C, E Nepal: 3300-5000 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Poaceae ,,NEP03318,wfo-1000034233,Ptilagrostis duthiei (Hook.f.) M.Nobis & P.D.Gudkova,PhytoKeys 128: 107. 2019.,,,C Nepal: 3400-4000 m. ,,,"Nepal, W Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03319,wfo-0000902025,Stipa duthiei Hook.f.,,,,,,,,
,Poaceae ,,NEP03320,wfo-0000841283,Achnatherum duthiei (Hook.f.) P.C.Kuo & S.L.Lu ,,,,,,,,
,Poaceae ,,NEP03321,wfo-0000895136,Ptilagrostis mongholica (Turcz. ex Trin.) Griseb.,Fl. Ross. 4(13): 447. 1852. ,,,"W, C, E Nepal: 3800-4900 m.",,,"Nepal, E Asia and N Asia.",
,Poaceae ,,NEP03322,wfo-0000902446,Stipa mongholica Turcz. ex Trin.,,,,,,,,
,Poaceae ,,NEP03323,wfo-0000895151,Ptilagrostis yadongensis Keng f. & J.S.Tang,J.S.W. Agric. Univ. 4: 44. 1985. ,,,"W, C, E Nepal: 3600-4600 m. ",,,"Nepal, E Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03324,wfo-0001337447,Ptilagrostis milleri (Noltie) M.Nobis & A.Nobis,,,,,,,,
,Poaceae ,,NEP03325,wfo-0000902441,Stipa milleri Noltie ,,,,,,,,
,Poaceae ,Puccinellia Parl. ,NEP03326,wfo-0000895314,Puccinellia himalaica Tzvelev,Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 17: 66. 1955.,,,C Nepal: 2700 m. ,,,"Nepal, W Himalaya, Tibetan Plateau, N Asia and SW Asia.",
,Poaceae ,,NEP03327,wfo-0000895347,Puccinellia ladakhensis (H.Hartmann) Dickoré,Stapfia 39: 182. 1995. ,,,C Nepal: 4200-4300 m.,,,"Nepal, W Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03328,wfo-0000892729,Poa ladakhensis H.Hartmann,,,,,,,,
,Poaceae ,Rottboellia L.f.,NEP03329,wfo-0000896392,Rottboellia striata Nees ex Steud.,Syn. Pl. Glumac. 1(4-5): 361. 1854.,,,E Nepal: 500-1400 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03330,wfo-0000860400,Coelorachis striata (Nees ex Steud.) A.Camus ,,,,,,,,
,Poaceae ,,NEP03331,wfo-0000880384,Mnesithea striata (Nees ex Steud.) de Koning & Sosef,,,,,,,,
,Poaceae ,Saccharum L. ,NEP03332,wfo-0000896596,Saccharum filifolium Steud.,Syn. Pl. Glumac. 1(6): 409. 1854.,,,"W, C, E Nepal: 2100-2500 m.",,,"Nepal, W Himalaya, E Himalaya and SW Asia.",
,Poaceae ,,NEP03333,wfo-0000868940,Erianthus filifolius Nees ex Steud. ,,,,,,,,
,Poaceae ,,NEP03334,wfo-0001099100,Saccharum longesetosum (Andersson) V.Naray. ex Bor,Fl. Assam 5: 46. 1940. ,,,"W, C, E Nepal: 200-2200 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03335,wfo-0000868971,Erianthus longesetosus Andersson,,,,,,,,
,Poaceae ,,NEP03336,wfo-1200016432,Erianthus longesetosus var. hookeri (Hack.) Bor,,,,,,,,
,Poaceae ,,NEP03337,wfo-0000896651,Saccharum narenga (Nees ex Steud.) Hack.,Monogr. Phan. 6: 119. 1889. ,v8fO ,Khadai,"W, C, E Nepal: 60-700 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and E Africa. ",
,Poaceae ,,NEP03338,,Eriochrysis narenga Nees ex Steud.,,,,,,,,
,Poaceae ,,NEP03339,wfo-0000881137,Narenga porphyrocoma (Hance) Bor ,,,,,,,,
,Poaceae ,,NEP03340,wfo-0000896718,Saccharum rufipilum Steud.,Syn. Pl. Glumac. 1(6): 409. 1854.,,,"W, C, E Nepal: 1300-3200 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03341,wfo-0000869004,Erianthus rufipilus (Steud.) Griseb. ,,,,,,,,
,Poaceae ,,NEP03342,wfo-0000896727,Saccharum sikkimense (Hook.f.) V.Naray. ex Bor,Fl. Assam 5(1): 462. 1940. ,,,"C, E Nepal: 100-2700 m.",,,Nepal and E Himalaya.,
,Poaceae ,,NEP03343,wfo-0000869025,Erianthus sikkimensis Hook.f.,,,,,,,,
,Poaceae ,,NEP03344,wfo-0000896738,Saccharum spontaneum L.,Mant. Pl. 2: 183. 1771.,sfF; ,Kans,"W, C, E Nepal: 100-2100 m. ",,,"Asia, Africa and Australasia. ",
,Poaceae ,,NEP03345,wfo-0000896769,Saccharum williamsii (Bor) Bor ex Cope,"Grass. Burma, Ceylon, India & Pakistan 214. 1960. ",,,C Nepal: 2700-2900 m.,,,Endemic to Nepal. ,
,Poaceae ,,NEP03346,wfo-0000869048,Erianthus williamsii Bor,,,,,,,,
,Poaceae ,Sacciolepis Nash,NEP03347,wfo-0000896810,Sacciolepis indica (L.) Chase,Proc. Biol. Soc. Washington 21: 8. 1908. ,sfu'g] aG;f] ,Kagune banso,"W, C, E Nepal: 70-2600 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, Africa and Australasia. ",
,Poaceae ,,NEP03348,wfo-0000845058,Aira indica L.,,,,,,,,
,Poaceae ,,NEP03349,wfo-0000884644,Panicum indicum (L.) L.,,,,,,,,
,Poaceae ,,NEP03350,wfo-0000896818,Sacciolepis interrupta (Willd.) Stapf,Trop. Afr. 9(4): 757. 1920.,,,E Nepal: 100-200 m.,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Africa.",
,Poaceae ,,NEP03351,wfo-0000884677,Panicum interruptum Willd.,,,,,,,,
,Poaceae ,,NEP03352,wfo-0000896829,Sacciolepis myosuroides (R.Br.) A.Camus,Fl. Indo-Chine 7: 460. 1922.,,,"C, E Nepal: 70-2100 m.",,,"Nepal, W Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia, Africa and Australasia.",
,Poaceae ,,NEP03353,,Panicum myosuroides R.Br.,,,,,,,,
,Poaceae ,Sarocalamus Stapleton,NEP03354,wfo-0000896905,Sarocalamus racemosus (Munro) Stapleton,Novon 14(3): 347. 2004.,,,E Nepal: 2900-3600 m. ,,,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma.",
,Poaceae ,,NEP03355,wfo-0000850491,Arundinaria racemosa Munro,,,,,,,,
,Poaceae ,,NEP03356,wfo-0000907704,Yushania racemosa (Munro) R.B.Majumdar,,,,,,,,
,Poaceae ,Schizachyrium Nees,NEP03357,wfo-0000898064,Schizachyrium brevifolium (Sw.) Nees ex Büse,Pl. Jungh. 3: 359. 1854. ,,,"W, C, E Nepal: 100-1800 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia, Africa, N America, S America and Australasia.",
,Poaceae ,,NEP03358,wfo-0000846256,Andropogon brevifolius Sw.,,,,,,,,
,Poaceae ,,NEP03359,wfo-0000898084,Schizachyrium delavayi (Hack.) Bor,"Indian Forest Rec., Bot. 1(3): 95. 1938. ",,,C Nepal: 700-2700 m.,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Poaceae ,,NEP03360,wfo-0000846438,Andropogon delavayi Hack.,,,,,,,,
,Poaceae ,,NEP03361,wfo-0000846242,Andropogon bootanensis Hook.f.,,,,,,,,
,Poaceae ,Secale L.,NEP03362,wfo-0000898524,Secale cereale L.,Sp. Pl. 1: 84. 1753. ,,,C Nepal: 2800 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Poaceae ,,NEP03363,,Triticum cereale (L.) Salisb.,,,,,,,,
,Poaceae ,Setaria P.Beauv.,NEP03364,wfo-0000899154,Setaria flavida (Retz.) Veldkamp,Blumea 39(1-2): 376. 1994.,,,"W, C, E Nepal: 100-1700 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia, Africa and Australasia.",
,Poaceae ,,NEP03365,wfo-0000884187,Panicum flavidum Retz.,,,,,,,,
,Poaceae ,,NEP03366,,Paspalidium flavidum (Retz.) A.Camus ,,,,,,,,
,Poaceae ,,NEP03367,wfo-0000899158,Setaria forbesiana (Nees ex Steud.) Hook.f.,Fl. Brit. India 7: 81. 1896.,,,"C, E Nepal: 1200-2000 m. Nepal,",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, E Asia and SE Asia.",
,Poaceae ,,NEP03368,wfo-0000884217,Panicum forbesianum Nees ex Steud.,,,,,,,,
,Poaceae ,,NEP03369,wfo-0000899161,Setaria geminata (Forssk.) Veldkamp,Blumea 39(1-2): 377. 1994.,,,C Nepal: 500-600 m. ,,,"S Asia, SW Asia and Africa.",
,Poaceae ,,NEP03370,wfo-0000884276,Panicum geminatum Forssk.,,,,,,,,
,Poaceae ,,NEP03371,wfo-0000887199,Paspalidium geminatum (Forssk.) Stapf ,,,,,,,,
,Poaceae ,,NEP03372,wfo-0000899254,Setaria homonyma (Steud.) Chiov.,"Nuovo Giorn. Bot. Ital. n.s., 26: 78. 1919. ",,,W Nepal: 1000 m.,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma and Africa.",
,Poaceae ,,NEP03373,wfo-0000884549,Panicum homonymum Steud.,,,,,,,,
,Poaceae ,,NEP03374,wfo-0000899274,Setaria intermedia Roem. & Schult.,Syst. Veg. (ed. 15 bis) 2: 489. 1817.,,,"W, C, E Nepal: 400-1800 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa.",
,Poaceae ,,NEP03375,wfo-0000899640,Setaria tomentosa (Roxb.) Kunth ,,,,,,,,
,Poaceae ,,NEP03376,wfo-0000899427,Setaria palmifolia (J.Köenig) Stapf,"J. Linn. Soc., Bot. 42: 186. 1914.",afF;kft] sfu'gf] ,Banspate kaguno,"W, C, E Nepal: 200-2800 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia, SE Asia and Australasia.",
,Poaceae ,,NEP03377,,Panicum palmifolium J.Köenig,,,,,,,,
,Poaceae ,,NEP03378,wfo-0000859112,Chamaeraphis nepalensis (Spreng.) Kuntze,,,,,,,,
,Poaceae ,,NEP03379,wfo-0000885372,Panicum nepalense Spreng.,,,,,,,,
,Poaceae ,,NEP03380,wfo-0000885381,Panicum nervosum Roxb.,,,,,,,,
,Poaceae ,,NEP03381,wfo-0000885386,Panicum neurodes Schult.,,,,,,,,
,Poaceae ,,NEP03382,wfo-0000899442,Setaria parviflora (Poir.) Kerguélen,Lejeunia 120: 161. 1987.,"slgs] sfu'gf], sfu'g] emf/ ","Kanike kaguno, Kagune jhar","W, C, E Nepal: 100-2500 m (Naturalized in Nepal). ",,,Native range is New World.,
,Poaceae ,,NEP03383,wfo-0000858673,Cenchrus parviflorus Poir.,,,,,,,,
,Poaceae ,,NEP03384,wfo-0000899163,Setaria geniculata P.Beauv ,,,,,,,,
,Poaceae ,,NEP03385,wfo-0000899473,Setaria plicata (Lam.) T.Cooke,Fl. Bombay 2: 919. 1908.,,,"W, C, E Nepal: 600-2000 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia.",
,Poaceae ,,NEP03386,wfo-0000885800,Panicum plicatum Lam.,,,,,,,,
,Poaceae ,,NEP03387,wfo-0000884105,Panicum excurrens Trin.,,,,,,,,
,Poaceae ,,NEP03388,wfo-0000885387,Panicum neurodes var. blepharoneuron A.Braun,,,,,,,,
,Poaceae ,,NEP03389,wfo-0000899428,Setaria palmifolia var. blepharoneuron (A.Braun) Veldkamp,,,,,,,,
,Poaceae ,,NEP03390,wfo-0000899491,Setaria pumila (Poir.) Roem. & Schult.,Syst. Veg. (ed. 15 bis) 2: 891. 1817. ,"sfu'g] emf/, slgs] sfu'gf] ","Kagune jhar, Kanike kaguno","W, C, E Nepal: 100-2500 m. ",,,"Asia, Europe and Africa. ",
,Poaceae ,,NEP03391,wfo-0000885960,Panicum pumilum Poir.,,,,,,,,
,Poaceae ,,NEP03392,,Setaria pallide-fusca Stapf & C.E.Hubb. ,,,,,,,,
,Poaceae ,,NEP03393,wfo-0000899493,Setaria punctata (Burm.f.) Veldkamp,Blumea 39(1-2): 381. 1994.,,,E Nepal: 100-300 m. ,,,"Nepal, Assam-Burma, S Asia, E Asia, SE Asia and Africa.",
,Poaceae ,,NEP03394,wfo-0000885965,Panicum punctatum Burm.f.,,,,,,,,
,Poaceae ,,NEP03395,wfo-0000887219,Paspalidium punctatum (Burm.f.) A.Camus ,,,,,,,,
,Poaceae ,,NEP03396,wfo-0000899566,Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex Moss,Repert. Spec. Nov. Regni Veg. 7: 372. 1909.,,,E Nepal: 1700-1800 m (Naturalized in Nepal). ,,,Native of Africa. ,
,Poaceae ,,NEP03397,wfo-0000886420,Panicum sphacelatum Schumach.,,,,,,,,
,Poaceae ,,NEP03398,wfo-0000899661,Setaria verticillata (L.) P.Beauv.,Ess. Agrostogr. 51. 1812. ,e'm;] sfu'g] 3fF; ,Jhuse kagune ghans,"W, E Nepal: 200-900 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, N Asia, C Asia, SW Asia, Europe and Africa.",
,Poaceae ,,NEP03399,wfo-0000886808,Panicum verticillatum L.,,,,,,,,
,Poaceae ,,NEP03400,wfo-0000899679,Setaria viridis (L.) P.Beauv.,"Ess. Agrostogr. 51. 171, 178. 1812. ",,,"W, C Nepal: 1000-3900 m.",,,"Asia, Europe, Africa and Australasia. ",
,Poaceae ,,NEP03401,wfo-0000886881,Panicum viride L.,,,,,,,,
,Poaceae ,"Sibirotrisetum Barberá, Soreng, Romasch., Quintanar & P.M.Peterson",NEP03402,wfo-1000034583,Sibirotrisetum aeneum (Hook.f.) Barberá,J. Syst. Evol. 58(4): 524. 2019.,,,"W, C Nepal: 3800-4400 m. ",,,Nepal and W Himalaya.,
,Poaceae ,,NEP03403,wfo-0000851621,Avena aenea Hook.f.,,,,,,,,
,Poaceae ,,NEP03404,wfo-0000904962,Trisetum aeneum (Hook.f.) R.R.Stewart ,,,,,,,,
,Poaceae ,,NEP03405,wfo-1000034586,Sibirotrisetum scitulum (Bor ex Barberá) Barberá,J. Syst. Evol. 58(4): 524. 2019.,,,"C, E Nepal: 3700-4400 m. ",,,"Nepal, E Himalaya, Tibetan Plateau and E Asia.",
,Poaceae ,,NEP03406,wfo-1200009793,Trisetum scitulum Bor ex Barberá,,,,,,,,
,Poaceae ,,NEP03407,wfo-1000034587,Sibirotrisetum sibiricum (Rupr.) Barberá,", J. Syst. Evol. 58(4): 524. 2019.",,,E Nepal: 3300-3900 m.,,,"Nepal, Tibetan Plateau, E Asia, N Asia, C Asia and Europe.",
,Poaceae ,,NEP03408,wfo-0000905385,Trisetum sibiricum Rupr.,,,,,,,,
,Poaceae ,,NEP03409,,Trisetum sikkimense (Hook.f.) Chrtke ,,,,,,,,
,Poaceae ,Sinochasea Keng,NEP03410,wfo-0000900005,Sinochasea trigyna Keng,"J. Wash. Acad. Sci. 48(4): 115, f. 1. 1958.",,,E Nepal: 2800-5200 m.,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03411,wfo-0000904494,Trikeraia oreophila Cope ,,,,,,,,
,Poaceae ,Sorghum Moench,NEP03412,wfo-0000900469,Sorghum nitidum (Vahl) Pers.,Syn. Pl. 1: 101. 1805.,,,W Nepal: 100-200 m. ,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03413,wfo-0000874534,Holcus nitidus Vahl,,,,,,,,
,Poaceae ,Spodiopogon Trin.,NEP03414,wfo-0000900866,Spodiopogon dubius Hack.,Monogr. Phan. 6: 187. 1889.,,,"W, C Nepal: 1500-2100 m. ",,,"Nepal, W Himalaya and Tibetan Plateau.",
,Poaceae ,Sporobolus R.Br. ,NEP03415,wfo-0000901093,Sporobolus diandrus (Retz.) P.Beauv.,Ess. Agrostogr. 26. 1812.,sf]b] 3fF; ,Kode ghans,"W, C, E Nepal: 65-2100 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and SE Africa. ",
,Poaceae ,,NEP03416,wfo-0000843541,Agrostis diandra Retz.,,,,,,,,
,Poaceae ,,NEP03417,wfo-0000901129,Sporobolus fertilis (Steud.) Clayton,Kew Bull. 19(2): 291. 1965.,"aGwg emf/, 3f]a] ","Bandhan jhar, Ghobe","W, C, E Nepal: 300-3800 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia.",
,Poaceae ,,NEP03418,wfo-0000843645,Agrostis fertilis Steud.,,,,,,,,
,Poaceae ,,NEP03419,wfo-0000901396,Sporobolus pilifer (Trin.) Kunth,Enum. Pl. 1: 211. 1833.,,,"W, C, E Nepal: 900-2700 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, Africa and S America.",
,Poaceae ,,NEP03420,wfo-0000907200,Vilfa pilifera Trin.,,,,,,,,
,Poaceae ,Stipa L.,NEP03421,wfo-0000901820,Stipa breviflora Griseb.,Nachr. Königl. Ges. Wiss. Georg-Augusts-Univ. 82. 1868. ,,,C Nepal: 2700-4500 m.,,,"Nepal, W Himalaya, Tibetan Plateau, E Asia, C Asia and N Asia.",
,Poaceae ,,NEP03422,wfo-0000901853,Stipa capillacea Keng,Sunyatsenia 6: 100. 1941. ,,,"W, C, E Nepal: 2800-4100 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia.",
,Poaceae ,,NEP03423,wfo-0000902278,Stipa koelzii R.R.Stewart ,,,,,,,,
,Poaceae ,,NEP03425,wfo-0001340519,Stipa klimesii M.Nobis,Phytotaxa 174(3): 166. 2014.,,,C Nepal: 3500-5000 m. ,,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03427,wfo-0000902289,Stipa krylovii Roshev.,Izv. Glavn. Bot. Sada S.S.S.R. 28: 379. 1929.,,,C Nepal: 3600-4000 m.,,,"Nepal, W Himalaya, Tibetan Plateau, E Asia, N Asia and C Asia.",
,Poaceae ,,NEP03428,,Stipa sareptana var. krylovii (Roshev.) P.C.Kuo & Y.H.Sun,,,,,,,,
,Poaceae ,Stipellula Roser & Hamasha,NEP03430,wfo-0001329127,Stipellula capensis (Thunb.) Roser & Hamasha,Schlechtendalia 24: 92. 2012. ,,,C Nepal: 3800-3900 m.,,,"Nepal, SW Asia, Europe and Africa.",
,Poaceae ,,NEP03431,wfo-0000901851,Stipa capensis Thunb.,,,,,,,,
,Poaceae ,Tenaxia N.P.Barker & H.P.Linder,NEP03432,wfo-0000922847,Tenaxia cachemyriana (Jaub. & Spach.) N.P.Barker & H.P.Linder,Ann. Missouri Bot. Gard. 97(3): 352. 2010.,,,"W, C, E Nepal: 3000-4500 m.",,,"Nepal, W Himalaya, Tibetan Plateau and SW Asia. ",
,Poaceae ,,NEP03433,wfo-0000861826,Danthonia cachemyriana Jaub. & Spach.,,,,,,,,
,Poaceae ,,NEP03434,wfo-0000861919,Danthonia exilis Hook.f.,,,,,,,,
,Poaceae ,,NEP03435,wfo-0000922846,Tenaxia cumminsii (Hook.f.) N.P.Barker & H.P.Linder,Ann. Missouri Bot. Gard. 97(3): 352. 2010.,,,"W, C, E Nepal: 2200-4800 m.",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",
,Poaceae ,,NEP03436,wfo-0000861876,Danthonia cumminsii Hook.f.,,,,,,,,
,Poaceae ,Thamnocalamus Munro ,NEP03437,wfo-0000908596,Thamnocalamus chigar (Stapleton) Stapleton,J. Bot. Res. Inst. Texas 1(1): 140. 2007.,lru/ ,Chigar,"W, C Nepal: 2600-3100 m. ",,,Endemic to Nepal. ,
,Poaceae ,,NEP03438,wfo-0000853728,Borinda chigar Stapleton,,,,,,,,
,Poaceae ,,NEP03439,wfo-0000903472,Thamnocalamus spathiflorus (Trin.) Munro,Trans. Linn. Soc. London 26(1): 34. 1868. ,"dflnª\uf], /ftf] lgufnf], h/a'§f] ","Malingo, Rato nigalo, Jarbutto","W, C, E Nepal: 2200-3900 m.",,,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma.",
,Poaceae ,,NEP03440,wfo-0000850560,Arundinaria spathiflora Trin.,,,,,,,,
,Poaceae ,,NEP03441,,Thamnocalamus aristatus (Gamble) E.G.Camus ,,,,,,,,
,Poaceae ,,NEP03442,,Thamnocalamus nepalensis (Stapleton) Stapleton ,,,,,,,,
,Poaceae ,,NEP03443,,Thamnocalamus spathiflorus var. crassinodus (T.P.Yi) Stapleton ,,,,,,,,
,Poaceae ,,NEP03444,wfo-0000903474,Thamnocalamus spathiflorus subsp. nepalensis Stapleton,,,,,,,,
