WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn,rights,license,bibliographicCitation,compiler
wfo-0000481612,गोब्रे सल्ला (Gobre salla),गोब्रे सल्ला,Gobre salla,Pinus wallichiana A.B.Jacks.,Bull. Misc. Inform. Kew 1938(2): 85 (1938). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000456385,ठिङ्ग्रे सल्ला (Thingre salla),ठिङ्ग्रे सल्ला,Thingre salla,Tsuga dumosa (D.Don) Eichler,Nat. Pflanzenfam. 2(1): 80 (1887).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000485162,"गुन्सी, काठे सल्ला (Gunsi, Kathe sallo)","गुन्सी, काठे सल्ला","Gunsi, Kathe sallo",Podocarpus neriifolius D.Don,Descr. Pinus 2: 21 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000630822.,"काठे धुपी, राज सल्ला (Kathe dhupi, Raj salla)","काठे धुपी, राज सल्ला","Kathe dhupi, Raj salla",Cupressus torulosa D.Don ex Lamb.,Descr. Pinus 2: 18 (1824).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000735441,धुपी (Dhupi),धुपी,Dhupi,Juniperus communis var. saxatilis Pall.,"Fl. Ross. 1(2): 12, f. 54 (1788).",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000355744,धुपी (Dhupi),धुपी,Dhupi,Juniperus indica Bertol.,Misc. Bot. 23: 16 (1862).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354978,"धुपी, भैरुँग धुपी (Dhupi, Bhairung dhupi)","धुपी, भैरुँग धुपी","Dhupi, Bhairung dhupi",Juniperus recurva Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 55 (1825).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354992,धुपी  (Dhupi),धुपी ,Dhupi,Juniperus semiglobosa Regel,"Trudy Imp. S.-Peterburgsk. Bot. Sada, prepr. 6: 487 (1879). ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000354918,धुपी (Dhupi),धुपी,Dhupi,Juniperus squamata Buch.-Ham. ex D.Don,Descr. Pinus 2: 17 (1824). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000408632,सिङ्गी (Singi),सिङ्गी,Singi,Taxus contorta Griff.,Itin. Pl. Khasyah Mts. 351 (1848).,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000459404,सिङ्गी  (Singi),सिङ्गी ,Singi,Taxus mairei (Lemée & H.Lév.) S.Y.Hu,Illustr. Native & Introd. Lign. Pl. Taiwan 1: 16 (1960). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000409081,"लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला (Lauth salla, Burme salla. Dhengre salla)","लौठ सल्ला, बर्मे सल्ला, ढेङ्ग्रे सल्ला","Lauth salla, Burme salla. Dhengre salla",Taxus wallichiana Zucc.,Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. 3: 803 (1843). ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000683330,मखाना (Makhana),मखाना,Makhana,Euryale ferox Salisb.,Ann. Bot. 2: 74. 1805.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200024889,निल कमल (Nil kamal),निल कमल,Nil kamal,Nymphaea nouchali N.L.Burm.,Fl. Ind. 120. 1768.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000737412,निल कमल  (Nil kamal),निल कमल ,Nil kamal,Nymphaea nouchali var. versicolor (Sims) R.Ansari & Jeeja,Waterlilies India 56. 2009. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000382124,कमल  (Kamal),कमल ,Kamal,Nymphaea pubescens Willd.,Sp. Pl. 2: 1154. 1799.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495107,"सिँगटा, सिगुन्टा लहरा  (Singato, Sigunta lahara)","सिँगटा, सिगुन्टा लहरा ","Singato, Sigunta lahara",Schisandra grandiflora (Wall.) Hook.f. & Thomson,Fl. Brit. India. 1: 44. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000495084,पहेँलो सिँगटो  (Pahenlo singato),पहेँलो सिँगटो ,Pahenlo singato,Schisandra propinqua (Wall.) Baill.,Fl. Brit. India 1: 45. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000725055,गने  (Gane),गने ,Gane,Houttuynia cordata Thunb.,"Kongl. Vetensk. Acad. Nya Handl. 4: 149, pl. 5. 1783. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000477971,लतपटे (Latpate),लतपटे,Latpate,Peperomia pellucida (L.) Kunth,Nov. Gen. 1: 64. 1816.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094092,"ठूलो पिप्ला, लामो पिप्ला  (Thulo pipla, Lamo pipla)","ठूलो पिप्ला, लामो पिप्ला ","Thulo pipla, Lamo pipla",Piper boehmeriifolium (Miq.) Wall. ex C.DC.,Prodr. 16(1): 348. 1869. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486013,"पिप्ला, गज पिप्ला  (Pipla, Gaj pipla)","पिप्ला, गज पिप्ला ","Pipla, Gaj pipla",Piper longum L.,Sp. Pl. 1: 29. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094058,पहाडी पान  (Pahadi pan),पहाडी पान ,Pahadi pan,Piper mullesua Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 20. 1825.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486372,वन पिप्ला  (Ban pipla),वन पिप्ला ,Ban pipla,Piper peepuloides Roxb.,Fl. Ind. 1: 157. 1820. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094083,टाङ्ग (Tang: Chepang),टाङ्ग,Tang: Chepang,Piper wallichii (Miq.) Hand.-Mazz.,Symb. Sin. 7: 155. 1929.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000547854,"ईश्वरी, शिवलिङ्गी, भैँसी लहरा (Ishwari, Shivalingi, Bhainsi lahara)","ईश्वरी, शिवलिङ्गी, भैँसी लहरा","Ishwari, Shivalingi, Bhainsi lahara",Aristolochia griffithii Hook.f. & Thomson ex Duch.,Prodr. 15(1): 437. 1864. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548243,भैँसी लहरा (Bhainsi lahara),भैँसी लहरा,Bhainsi lahara,Aristolochia punjabensis Lace,Bull. Misc. Inform. Kew 1911: 273. 1911. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000724865,"वन सुपारी, रामगुवा, रुन्चे पात (Ban supari, Ramguwa, Runche pat)","वन सुपारी, रामगुवा, रुन्चे पात","Ban supari, Ramguwa, Runche pat",Horsfieldia kingii (Hook.f.) Warb.,Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 68: 308. 1897. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001285885,रातो भलायो  (Rato bhalayo),रातो भलायो ,Rato bhalayo,Knema tenuinervia W.J de Wilde,Blumea 25(2): 405. 1979.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233034,"पुर्बेली चाँप, घोगे चाँप (Purbeli chanp, Ghoge chanp)","पुर्बेली चाँप, घोगे चाँप","Purbeli chanp, Ghoge chanp",Magnolia campbellii Hook.f. & Thomson,Fl. Brit. India 1: 41. 1872.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233054,"सुन चाँप, औले चाँप, सिर्मु  (Sun chanp, Aule chanp, Sirmu)","सुन चाँप, औले चाँप, सिर्मु ","Sun chanp, Aule chanp, Sirmu",Magnolia champaca (L.) Baill. ex Pierre,Fl. Forest. Cochinch. 1: t. 3. 1880.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464769,रानी चाँप (Rani chanp),रानी चाँप,Rani chanp,Magnolia doltsopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 21. 2000.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233165,"खुकि चाँप, लाली चाँप (Khuki chanp, Lali chanp)","खुकि चाँप, लाली चाँप","Khuki chanp, Lali chanp",Magnolia globosa Hook.f. & Thomson,Fl. Ind. 1: 77. 1855.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233202,भालु काठ (Bhalu kath),भालु काठ,Bhalu kath,Magnolia hodgsonii (Hook.f. & Thomson) H.Keng,Gard. Bull. Singapore 31(2): 129. 1978.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233214,वन कमल (Ban kamal),वन कमल,Ban kamal,Magnolia insignis Wall.,"Tent. Fl. Napal. 1: 3, pl. 1. 1824.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464882,वन चाँप (Ban chanp),वन चाँप,Ban chanp,Magnolia kisopa (Buch.-Ham. ex DC.) Figlar,Proc. Internat. Symp. Fam. Magnoliac. 22. 2000. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000464912,"गोगल चाँप, सुन चम्पा (Gogal chanp, Sun champa)","गोगल चाँप, सुन चम्पा","Gogal chanp, Sun champa",Magnolia lanuginosa (Wall.) Figlar & Noot.,Blumea 49(1): 96. 2004. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000527383,"ठेकी फल, ढेँडु झुला (Theki phal, Dhendu jhula)","ठेकी फल, ढेँडु झुला","Theki phal, Dhendu jhula",Alphonsea ventricosa (Roxb.) Hook.f. & Thomson,Fl. Ind. 1: 152. 1855. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000549776,कनक चम्पा  (Kanak champa),कनक चम्पा ,Kanak champa,Artabotrys hexapetalus (L.f.) Bhandari,Baileya 12(4): 149. 1965.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000642348,माले लहरा  (Male lahara),माले लहरा ,Male lahara,Desmos chinensis Lour.,Fl. Cochinch. 1: 352. 1790.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000372967,काली काठ  (Kali kath),काली काठ ,Kali kath,Miliusa macrocarpa Hook.f. & Thomson,Fl. Ind. 1(2): 150. 1855.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
