taxonId	coreId
wfo-0000070973	urn:lsid:ipni.org:names:189029-1
wfo-0000071199	urn:lsid:ipni.org:names:30064410-2
wfo-0000071300	urn:lsid:ipni.org:names:259337-1
wfo-0000071418	urn:lsid:ipni.org:names:971847-1
wfo-0000074087	urn:lsid:ipni.org:names:175088-1
wfo-0000074091	urn:lsid:ipni.org:names:258611-1
wfo-0000074247	urn:lsid:ipni.org:names:930595-1
wfo-0000074327	urn:lsid:ipni.org:names:971835-1
wfo-0000075522	urn:lsid:ipni.org:names:259055-1
wfo-0000075606	urn:lsid:ipni.org:names:257973-1
wfo-0000076646	urn:lsid:ipni.org:names:207744-1
wfo-0000076897	urn:lsid:ipni.org:names:203032-1
wfo-0000077487	urn:lsid:ipni.org:names:271548-2
wfo-0000077542	urn:lsid:ipni.org:names:246413-1
wfo-0000079037	urn:lsid:ipni.org:names:930593-1
wfo-0000000523	urn:lsid:ipni.org:names:212510-1
wfo-0000001034	urn:lsid:ipni.org:names:259605-1
wfo-0000001172	urn:lsid:ipni.org:names:185116-1
wfo-0000001259	urn:lsid:ipni.org:names:247396-1
wfo-0000001342	urn:lsid:ipni.org:names:251799-1
wfo-0000004304	urn:lsid:ipni.org:names:201373-1
wfo-0000004383	urn:lsid:ipni.org:names:207412-1
wfo-0000004407	urn:lsid:ipni.org:names:943092-1
wfo-0000004530	urn:lsid:ipni.org:names:239596-1
wfo-0000004762	urn:lsid:ipni.org:names:199861-1
wfo-0000005800	urn:lsid:ipni.org:names:201212-1
wfo-0000006413	urn:lsid:ipni.org:names:930583-1
wfo-0000006669	urn:lsid:ipni.org:names:228247-1
wfo-0000006782	urn:lsid:ipni.org:names:246253-1
wfo-0000006783	urn:lsid:ipni.org:names:250358-1
wfo-0000007040	urn:lsid:ipni.org:names:247852-1
wfo-0000007957	urn:lsid:ipni.org:names:197775-1
wfo-0000008856	urn:lsid:ipni.org:names:908820-1
wfo-0000008975	urn:lsid:ipni.org:names:185106-1
wfo-0000009712	urn:lsid:ipni.org:names:174533-1
wfo-0000009757	urn:lsid:ipni.org:names:197769-1
wfo-0000009782	urn:lsid:ipni.org:names:258021-1
wfo-0000009944	urn:lsid:ipni.org:names:244733-1
wfo-0000010340	urn:lsid:ipni.org:names:199517-1
wfo-0000010873	urn:lsid:ipni.org:names:930586-1
wfo-0000011185	urn:lsid:ipni.org:names:224932-1
wfo-0000011581	urn:lsid:ipni.org:names:238794-1
wfo-0000011733	urn:lsid:ipni.org:names:197870-1
wfo-0000013358	urn:lsid:ipni.org:names:200876-1
wfo-0000013982	urn:lsid:ipni.org:names:174521-1
wfo-0000014001	urn:lsid:ipni.org:names:257782-1
wfo-0000014148	urn:lsid:ipni.org:names:205023-1
wfo-0000016101	urn:lsid:ipni.org:names:232496-1
wfo-0000016774	urn:lsid:ipni.org:names:202958-1
wfo-0000017262	urn:lsid:ipni.org:names:228084-1
wfo-0000017317	urn:lsid:ipni.org:names:252132-1
wfo-0000017675	urn:lsid:ipni.org:names:259034-1
wfo-0000019485	urn:lsid:ipni.org:names:227431-1
wfo-0000019963	urn:lsid:ipni.org:names:258510-1
wfo-0000020192	urn:lsid:ipni.org:names:934992-1
wfo-0000020399	urn:lsid:ipni.org:names:199530-1
wfo-0000023685	urn:lsid:ipni.org:names:930610-1
wfo-0000024134	urn:lsid:ipni.org:names:180308-1
wfo-0000024237	urn:lsid:ipni.org:names:186094-1
wfo-0000024788	urn:lsid:ipni.org:names:247873-1
wfo-0000025725	urn:lsid:ipni.org:names:185473-1
wfo-0000026044	urn:lsid:ipni.org:names:182880-1
wfo-0000026202	urn:lsid:ipni.org:names:210798-1
wfo-0000027040	urn:lsid:ipni.org:names:248123-1
wfo-0000027450	urn:lsid:ipni.org:names:247542-1
wfo-0000028304	urn:lsid:ipni.org:names:261363-1
wfo-0000028379	urn:lsid:ipni.org:names:257826-1
wfo-0000028686	urn:lsid:ipni.org:names:909623-1
wfo-0000028796	urn:lsid:ipni.org:names:930582-1
wfo-0000028993	urn:lsid:ipni.org:names:971839-1
wfo-0000029267	urn:lsid:ipni.org:names:257730-1
wfo-0000029387	urn:lsid:ipni.org:names:258094-1
wfo-0000029396	urn:lsid:ipni.org:names:238757-1
wfo-0000029573	urn:lsid:ipni.org:names:930580-1
wfo-0000030843	urn:lsid:ipni.org:names:199518-1
wfo-0000031129	urn:lsid:ipni.org:names:250505-1
wfo-0000031206	urn:lsid:ipni.org:names:935007-1
wfo-0000031494	urn:lsid:ipni.org:names:198427-1
wfo-0000031766	urn:lsid:ipni.org:names:930034-1
wfo-0000034376	urn:lsid:ipni.org:names:930596-1
wfo-0000034661	urn:lsid:ipni.org:names:211433-1
wfo-0000034719	urn:lsid:ipni.org:names:896605-1
wfo-0000035211	urn:lsid:ipni.org:names:259116-1
wfo-0000035487	urn:lsid:ipni.org:names:258563-1
wfo-0000036168	urn:lsid:ipni.org:names:945389-1
wfo-0000036380	urn:lsid:ipni.org:names:930574-1
wfo-0000038131	urn:lsid:ipni.org:names:246856-1
wfo-0000038391	urn:lsid:ipni.org:names:185000-1
wfo-0000038685	urn:lsid:ipni.org:names:931237-1
wfo-0000039732	urn:lsid:ipni.org:names:930588-1
wfo-0000043171	urn:lsid:ipni.org:names:247861-1
wfo-0000043646	urn:lsid:ipni.org:names:914778-1
wfo-0000043699	urn:lsid:ipni.org:names:205028-1
wfo-0000043753	urn:lsid:ipni.org:names:934989-1
wfo-0000043999	urn:lsid:ipni.org:names:935021-1
wfo-0000044644	urn:lsid:ipni.org:names:203040-1
wfo-0000045042	urn:lsid:ipni.org:names:234448-1
wfo-0000045199	urn:lsid:ipni.org:names:250589-1
wfo-0000045675	urn:lsid:ipni.org:names:943128-1
wfo-0000046514	urn:lsid:ipni.org:names:319152-2
wfo-0000046750	urn:lsid:ipni.org:names:247660-1
wfo-0000057563	urn:lsid:ipni.org:names:250508-1
wfo-0000061493	urn:lsid:ipni.org:names:930600-1
wfo-0000061862	urn:lsid:ipni.org:names:908452-1
wfo-0000062205	urn:lsid:ipni.org:names:228271-1
wfo-0000062243	urn:lsid:ipni.org:names:185813-1
wfo-0000062767	urn:lsid:ipni.org:names:208929-1
wfo-0000062784	urn:lsid:ipni.org:names:943086-1
wfo-0000063210	urn:lsid:ipni.org:names:247398-1
wfo-0000063291	urn:lsid:ipni.org:names:201137-1
wfo-0000064219	urn:lsid:ipni.org:names:935005-1
wfo-0000065254	urn:lsid:ipni.org:names:971841-1
wfo-0000065831	urn:lsid:ipni.org:names:227878-1
wfo-0000066495	urn:lsid:ipni.org:names:185404-1
wfo-0000068441	urn:lsid:ipni.org:names:259478-1
wfo-0000070549	urn:lsid:ipni.org:names:943135-1
wfo-0000070880	urn:lsid:ipni.org:names:234401-1
wfo-0000071461	urn:lsid:ipni.org:names:233334-1
wfo-0000072251	urn:lsid:ipni.org:names:257947-1
wfo-0000072575	urn:lsid:ipni.org:names:1015759-1
wfo-0000072642	urn:lsid:ipni.org:names:185024-1
wfo-0000072744	urn:lsid:ipni.org:names:257798-1
wfo-0000073718	urn:lsid:ipni.org:names:201256-1
wfo-0000075063	urn:lsid:ipni.org:names:210502-1
wfo-0000075384	urn:lsid:ipni.org:names:252024-1
wfo-0000076647	urn:lsid:ipni.org:names:930561-1
wfo-0000078105	urn:lsid:ipni.org:names:229002-1
wfo-0000079062	urn:lsid:ipni.org:names:77061520-1
wfo-0000079157	urn:lsid:ipni.org:names:238743-1
wfo-0000080078	urn:lsid:ipni.org:names:259523-1
wfo-0000080277	urn:lsid:ipni.org:names:258750-1
wfo-0000080671	urn:lsid:ipni.org:names:194533-1
wfo-0000080986	urn:lsid:ipni.org:names:188894-1
wfo-0000081338	urn:lsid:ipni.org:names:207787-1
wfo-0000082455	urn:lsid:ipni.org:names:930572-1
wfo-0000083214	urn:lsid:ipni.org:names:201366-1
wfo-0000084888	urn:lsid:ipni.org:names:250231-1
wfo-0000086926	urn:lsid:ipni.org:names:233333-1
wfo-0000088568	urn:lsid:ipni.org:names:210792-1
wfo-0000089861	urn:lsid:ipni.org:names:236740-1
wfo-0000000948	urn:lsid:ipni.org:names:188376-1
wfo-0000001500	urn:lsid:ipni.org:names:934986-1
wfo-0000001656	urn:lsid:ipni.org:names:234461-1
wfo-0000004106	urn:lsid:ipni.org:names:930563-1
wfo-0000004854	urn:lsid:ipni.org:names:201354-1
wfo-0000004916	urn:lsid:ipni.org:names:245672-1
wfo-0000005070	urn:lsid:ipni.org:names:185834-1
wfo-0000005683	urn:lsid:ipni.org:names:909627-1
wfo-0000005733	urn:lsid:ipni.org:names:247626-1
wfo-0000005955	urn:lsid:ipni.org:names:204028-1
wfo-0000008095	urn:lsid:ipni.org:names:930594-1
wfo-0000009272	urn:lsid:ipni.org:names:963791-1
wfo-0000009876	urn:lsid:ipni.org:names:1015760-1
wfo-0000010078	urn:lsid:ipni.org:names:186164-1
wfo-0000010806	urn:lsid:ipni.org:names:244816-1
wfo-0000011908	urn:lsid:ipni.org:names:930560-1
wfo-0000012549	urn:lsid:ipni.org:names:202942-1
wfo-0000012638	urn:lsid:ipni.org:names:197649-1
wfo-0000013988	urn:lsid:ipni.org:names:211426-1
wfo-0000014938	urn:lsid:ipni.org:names:7086-2
wfo-0000016486	urn:lsid:ipni.org:names:212381-1
wfo-0000017427	urn:lsid:ipni.org:names:258545-1
wfo-0000017628	urn:lsid:ipni.org:names:175500-1
wfo-0000017810	urn:lsid:ipni.org:names:250542-1
wfo-0000017828	urn:lsid:ipni.org:names:259051-1
wfo-0000019948	urn:lsid:ipni.org:names:197680-1
wfo-0000020411	urn:lsid:ipni.org:names:245788-1
wfo-0000021239	urn:lsid:ipni.org:names:185094-1
wfo-0000021631	urn:lsid:ipni.org:names:930569-1
wfo-0000022463	urn:lsid:ipni.org:names:210736-1
wfo-0000022875	urn:lsid:ipni.org:names:6811-2
wfo-0000023324	urn:lsid:ipni.org:names:258527-1
wfo-0000023700	urn:lsid:ipni.org:names:212848-1
wfo-0000024575	urn:lsid:ipni.org:names:249084-1
wfo-0000025613	urn:lsid:ipni.org:names:213115-1
wfo-0000025616	urn:lsid:ipni.org:names:259123-1
wfo-0000026134	urn:lsid:ipni.org:names:930570-1
wfo-0000026570	urn:lsid:ipni.org:names:189038-1
wfo-0000027355	urn:lsid:ipni.org:names:210779-1
wfo-0000027368	urn:lsid:ipni.org:names:211322-1
wfo-0000030618	urn:lsid:ipni.org:names:971666-1
wfo-0000030668	urn:lsid:ipni.org:names:971665-1
wfo-0000031138	urn:lsid:ipni.org:names:202621-1
wfo-0000031399	urn:lsid:ipni.org:names:259393-1
wfo-0000033058	urn:lsid:ipni.org:names:934997-1
wfo-0000033096	urn:lsid:ipni.org:names:197379-1
wfo-0000033950	urn:lsid:ipni.org:names:203056-1
wfo-0000034658	urn:lsid:ipni.org:names:1019431-1
wfo-0000036148	urn:lsid:ipni.org:names:245995-1
wfo-0000036389	urn:lsid:ipni.org:names:242856-1
wfo-0000037689	urn:lsid:ipni.org:names:205263-1
wfo-0000038182	urn:lsid:ipni.org:names:930585-1
wfo-0000038297	urn:lsid:ipni.org:names:934991-1
wfo-0000038342	urn:lsid:ipni.org:names:934984-1
wfo-0000038373	urn:lsid:ipni.org:names:185837-1
wfo-0000038505	urn:lsid:ipni.org:names:945385-1
wfo-0000038576	urn:lsid:ipni.org:names:258334-1
wfo-0000038966	urn:lsid:ipni.org:names:202651-1
wfo-0000039309	urn:lsid:ipni.org:names:197256-1
wfo-0000041040	urn:lsid:ipni.org:names:930568-1
wfo-0000041768	urn:lsid:ipni.org:names:173716-1
wfo-0000042097	urn:lsid:ipni.org:names:2294-2
wfo-0000043092	urn:lsid:ipni.org:names:943090-1
wfo-0000043608	urn:lsid:ipni.org:names:30194265-2
wfo-0000043974	urn:lsid:ipni.org:names:1008130-1
wfo-0000044337	urn:lsid:ipni.org:names:197094-1
wfo-0000044501	urn:lsid:ipni.org:names:182886-1
wfo-0000044715	urn:lsid:ipni.org:names:259140-1
wfo-0000044768	urn:lsid:ipni.org:names:201313-1
wfo-0000045003	urn:lsid:ipni.org:names:1164899-2
wfo-0000045134	urn:lsid:ipni.org:names:258138-1
wfo-0000046058	urn:lsid:ipni.org:names:934982-1
wfo-0000046385	urn:lsid:ipni.org:names:934998-1
wfo-0000046485	urn:lsid:ipni.org:names:182421-1
wfo-0000051491	urn:lsid:ipni.org:names:258886-1
wfo-0000056787	urn:lsid:ipni.org:names:105061-2
wfo-0000058736	urn:lsid:ipni.org:names:225649-1
wfo-0000060166	urn:lsid:ipni.org:names:259228-1
wfo-0000060240	urn:lsid:ipni.org:names:945376-1
wfo-0000060783	urn:lsid:ipni.org:names:997832-1
wfo-0000060851	urn:lsid:ipni.org:names:176784-1
wfo-0000061358	urn:lsid:ipni.org:names:203082-1
wfo-0000061935	urn:lsid:ipni.org:names:962687-1
wfo-0000062230	urn:lsid:ipni.org:names:943120-1
wfo-0000062743	urn:lsid:ipni.org:names:930608-1
wfo-0000063680	urn:lsid:ipni.org:names:934980-1
wfo-0000066862	urn:lsid:ipni.org:names:207402-1
wfo-0000067252	urn:lsid:ipni.org:names:213089-1
wfo-0000067791	urn:lsid:ipni.org:names:943126-1
wfo-0000068851	urn:lsid:ipni.org:names:20008672-1
wfo-0000068893	urn:lsid:ipni.org:names:226028-1
wfo-0000069236	urn:lsid:ipni.org:names:250268-1
wfo-0000069777	urn:lsid:ipni.org:names:232508-1
wfo-0000071996	urn:lsid:ipni.org:names:200816-1
wfo-0000073844	urn:lsid:ipni.org:names:250568-1
wfo-0000075401	urn:lsid:ipni.org:names:202527-1
wfo-0000076049	urn:lsid:ipni.org:names:258099-1
wfo-0000076565	urn:lsid:ipni.org:names:943133-1
wfo-0000076634	urn:lsid:ipni.org:names:210528-1
wfo-0000076843	urn:lsid:ipni.org:names:177654-1
wfo-0000078914	urn:lsid:ipni.org:names:250779-1
wfo-0000079164	urn:lsid:ipni.org:names:185320-1
wfo-0000079354	urn:lsid:ipni.org:names:185517-1
