WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000276216,distribution,EN,"Thailand, Malaya, Bangka, Sumatra and Java (type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000276216,Forest Herbarium,All rights reserved,"Aromadendron elegans. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 259. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00438,2,3
wfo-0000795581,distribution,EN,"Thailand, Malesia (type, Malaya).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795581,Forest Herbarium,All rights reserved,"Gnetum cuspidatum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 208. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00375,2,3
wfo-0000795591,distribution,EN,"Thailand, W. Malesia (type, Malaya).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795591,Forest Herbarium,All rights reserved,"Gnetum gnemon. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 205. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00369,2,3
wfo-0000802332,distribution,EN,"Thailand, Malesia (type, Malaya) to Solomon Is. and Fiji.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000802332,Forest Herbarium,All rights reserved,"Gnetum gnemon gnemon. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 205. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00370,2,3
wfo-0001380870,distribution,EN,"Thailand, W. Malesia (type, Malaya).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001380870,Forest Herbarium,All rights reserved,"Gnetum gnemon tenerum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 206. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00371,2,3
wfo-0000795615,distribution,EN,"Thailand, Malesia (type, Java),",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795615,Forest Herbarium,All rights reserved,"Gnetum latifolium funiculare. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 210. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00379,2,3
wfo-0000795623,distribution,EN,"Thailand, Indochina, W. Malesia (type, Borneo).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795623,Forest Herbarium,All rights reserved,"Gnetum leptostachyum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 209. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00376,2,3
wfo-0000795633,distribution,EN,"Thailand, Tenasserim, Indochina, Malesia (type, Malaya).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795633,Forest Herbarium,All rights reserved,"Gnetum macrostachyum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 207. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00373,2,3
wfo-0000795635,distribution,EN,"Thailand, Tenasserim to W. Malesia (type, Malaya).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795635,Forest Herbarium,All rights reserved,"Gnetum microcarpum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 208. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00374,2,3
wfo-0000795644,distribution,EN,"Thailand, Indochina (type, Burma).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000795644,Forest Herbarium,All rights reserved,"Gnetum montanum. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 209. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00377,2,3
