taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000339535,"Appears to hybridise with &lt;i&gt;Anarthria humilis&lt;/i&gt;, or there may be a taxon, not yet described, with some similarities to &lt;i&gt;A. gracilis&lt;/i&gt; and to &lt;i&gt;A.&lt;/i&gt; &lt;i&gt;humilis&lt;/i&gt;.DNA studies and morphology suggest that &lt;i&gt;A. gracilis&lt;/i&gt;, as generally recognised, may consist of two or three taxa (Fominchev &amp;amp; Sokoloff, pers. comm.)Etymology: The epithet is from the Latin &lt;i&gt;gracilis&lt;/i&gt; (slender), referring to the leaves and culms. ",General,en,,,Commonwealth of Australia (2018),,,1958,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria gracilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria gracilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20gracilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339538,"Etymology: The epithet is from the Latin &lt;i&gt;humilis&lt;/i&gt; (low, small), referring to the small stature of the plants.Appears to hybridise with &lt;i&gt;Anarthria humilis&lt;/i&gt;, or there may be a taxon, not yet described, with some similarities to &lt;i&gt;A. gracilis&lt;/i&gt; and to &lt;i&gt;A.&lt;/i&gt; &lt;i&gt;humilis&lt;/i&gt;.",General,en,,,Commonwealth of Australia (2018),,,1959,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria humilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria humilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20humilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339540,"Male plants are much less common than females at some sites.Etymology: The epithet is from the Latin &lt;i&gt;levis&lt;/i&gt; (smooth), referring to the smooth leaf and stem margins (in contrast to &lt;i&gt;Anarthria scabra&lt;/i&gt;).",General,en,,,Commonwealth of Australia (2018),,,1960,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria laevis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria laevis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20laevis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339542,"Plants in the north of the range mostly have longer, more flexible leaves and fewer stilt-roots than those in the south.Etymology: The epithet is from the Greek &lt;i&gt;polys&lt;/i&gt; (many) and &lt;i&gt;phylon&lt;/i&gt; (leaf), referring to the numerous leaves.",General,en,,,Commonwealth of Australia (2018),,,1961,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria polyphylla</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria polyphylla [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20polyphylla,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339543,"Etymology: The epithet is from the Latin &lt;i&gt;proles&lt;/i&gt; (offspring) and &lt;i&gt;fero&lt;/i&gt; (to bear), probably referring to the abundant branching.",General,en,,,Commonwealth of Australia (2018),,,1962,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria prolifera</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria prolifera [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20prolifera,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339545,"Etymology: The epithet is from the Latin &lt;i&gt;scaber&lt;/i&gt; (rough), referring to the scabrous leaf and culm margins.",General,en,,,Commonwealth of Australia (2018),,,1963,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria scabra</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria scabra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20scabra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000341031,"Flowering is enhanced by fire, the plants sprouting vigorously from the rhizomes and flowering the following season. The explosive seed dispersal is unique in the Western Australian Xanthorrhoeaceae and Liliaceae (G.J.Keighery, &lt;i&gt;W. Austral. Naturalist&lt;/i&gt;  15: 164, 165 (1983)).",General,en,,,Commonwealth of Australia (2017),,,2984,"A.S.George (2017) <i>Baxteria australis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Baxteria australis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Baxteria%20australis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343241,"A variable species that, with further study, may prove to include several taxa, in particular an openly-branched variant found in southern areas between Albany and Lake King. Some northern specimens are densely pubescent.",General,en,,,Commonwealth of Australia (2017),,,3673,"A.S.George (2017) <i>Calectasia cyanea</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia cyanea [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20cyanea,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343244,"Less variable than the smaller-flowered &lt;i&gt;Calectasia cyanea&lt;/i&gt;  but the indumentum of the leaf-sheaths and perianth varies. A population near Badgingarra (&lt;i&gt;A.S.George 16311&lt;/i&gt; , PERTH) has perianth lobes 11 mm long but is otherwise typical.",General,en,,,Commonwealth of Australia (2017),,,3674,"A.S.George (2017) <i>Calectasia grandiflora</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia grandiflora [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20grandiflora,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343246,"Although very close to &lt;i&gt;Calectasia grandiflora&lt;/i&gt;  this taxon is restored to specific rank on the basis of its long-rhizomatous habit, short staminal filaments and anthers with acute basal lobes. It is geographically isolated from the two western species.",General,en,,,Commonwealth of Australia (2017),,,3675,"A.S.George (2017) <i>Calectasia intermedia</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia intermedia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20intermedia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
