taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000339535,"Herb, evergreen, dioecious, perennial, caespitose, forming small tufts or large dense tussocks to 30 cm across. Leaves basal, linear, 25–75 cm long; sheathing base 5–13 cm long, red-brown to blackish; lamina subterete or laterally compressed, 0.5–1.5 mm wide dorsiventrally, acuminate. Culms semi-terete to compressed, (24–)35–77 cm long, 1–1.5 mm wide, smooth or slightly scaberulous. Inflorescences 3–10 cm long, with short erect branches; floral bracts 2, very broad deltoid, 1.3–2.5 mm long; males with 20–80 flowers; females with 8–35 flowers; flowers very shortly pedicellate. Spathes subtending inflorescence caducous, linear-lanceolate, 5–14 cm long, c. 0.8 cm broad, reddish brown, scarious, sheathing below but equitant towards the apex. Upper bracts broad cuneate, membranous, 2–3 mm long. Male flowers: tepals 6, narrow-lanceolate, rigid, keeled, reddish brown, acute to acuminate; outer tepals 6.8–8 mm long; inner tepals 5–7.5 mm long; filaments (1.7–)2.5–3(–4) mm long; anthers 3–3.3 mm long. Female flowers: tepals 6; outer tepals narrow-deltoid, acute, keeled, 3.8–4 mm long; inner tepals narrow ovate, obtuse, 2.5–3 mm long; style branches equalling tepals, recurved. Capsule 2–2.6 mm long, 1–2 mm broad. Seeds colliculate.",Morphology,en,,,Commonwealth of Australia (2018),,,1958,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria gracilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria gracilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20gracilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339538,"Herb, evergreen, dioecious, perennial, caespitose, forming small tufts to large tussocks 40 cm across. Rhizomes very short, erect or ascending. Leaves basal, 8–20 cm long; sheathing base 1.8–5 cm long, reddish brown; lamina subterete or laterally compressed, 0.5–1 mm dorsiventrally, apex acuminate and recurved. Flowering stems compressed, 9–30 cm long, 0.5–1 mm wide, often curved. Inflorescences slender, 1–3.5 cm long with short erect branches and 3–25 flowers; floral bracts 1 or usually 2, deltoid or broad ovate-deltoid, 0.5–2 mm long, acute or obtuse, margins hyaline. Spathes subtending inflorescence caducous, narrow-deltoid, 3.5–5.5 mm long, reddish brown, subulate, incurved at the tip. Male flowers: pedicellate; tepals 6, narrow-lanceolate, keeled, yellow-brown, scarious with membranous margins, acute or acuminate; outer tepals longer, 4.8–7.5 mm long; inner tepals 4.5–6.0 mm long; filaments 1.5–2.0 mm long; anthers 3–4 mm long. Female flowers: very shortly pedicellate; tepals 6, more rigid than males; outer tepals 3.2–5 mm long; inner tepals 2.7–3.2 mm long; style branches equalling outer tepals, recurved. Capsule 2–2.5 mm long and broad.",Morphology,en,,,Commonwealth of Australia (2018),,,1959,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria humilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria humilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20humilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339540,"Herb, evergreen, dioecious, perennial, forming large dense clumps to 1 m across. Rhizome horizontal or ascending, short, stout, to 6 cm long, 3–8 mm diam., covered by the fibrous remains of weathered leaf bases and imbricate scales. Leaves linear, 35–65 cm long; sheathing base 4–14 cm long, reddish brown when young, becoming dark brown; lamina thick, rigid, grey-green, the margins smooth. Flowering stems erect, compressed 20–105 cm long, 1.5–5 mm wide, the margins smooth. Inflorescences erect, 5.5–10 cm long with up to 200 subsessile flowers crowded on short erect branches. Spathes subtending the inflorescence and major inflorescence branches caducous, linear, 5.5–6.3 cm long, c. 0.5 cm broad, keeled, herbaceous-scarious, green tinged reddish brown, with a short equitant lamina, 2–6 mm long. Upper bracts persistent, broad deltoid, reddish brown, membranous, acute. Male flowers: tepals 6, oblong-lanceolate, reddish brown, scarious-membranous, flat, obtuse to acuminate; outer tepals slightly shorter than inner, 2.5–3 mm long; inner tepals 3–3.5 mm long; filaments 2.2–3 mm long; anthers exserted, 2.5–3 mm long. Female flowers: tepals 6; inner and outer tepals equal in length, 2.2–2.5 mm long, remaining scarious in fruiting stage; style branches 3, stout, exceeding tepals, strongly recurved. Capsule c. 2.5 mm long and broad.",Morphology,en,,,Commonwealth of Australia (2018),,,1960,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria laevis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria laevis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20laevis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339542,"Herb, evergreen, dioecious, perennial, plants often resembling loose ‘cushions’ of much-branched stems and leaves, flat on the ground or raised to 6 cm above ground level on the stem and/or slender vertical stilt-roots; older plants sometimes dying in the centre and forming spreading rings to 30 cm across. Stems ascending or erect, 5–15 cm long, covered with imbricate bases of crowded leaves, bearing peduncles and usually adventitious stilt-roots. Leaves linear, 3–12 cm long, flexible or rigid; base reddish with a scarious margin; lamina terete, 0.5–1 mm diam., coarsely striate, not scabrid, acute. Peduncles terete, 1.5–4.5 cm long, 0.4–0.5 mm diam., not scabrid. Inflorescences of 2–5 subsessile flowers; floral bracts (1–) 2, deltoid or broad deltoid, 0.7–2.1 mm long. Spathes subtending the inflorescence usually persistent, subulate or narrow deltoid, 5–8 mm long, scarious, acuminate. Upper bracts deltoid, membranous, 1–3 mm long. Male flowers: tepals 6, ovate to lanceolate, 3.5–4.5 mm long, outer tepals slightly longer than inner, light-brown, scarious, keeled, sub-acute to acuminate, margins membranous; filaments 3.2–3.8 mm long; anthers 1.4–2.8 mm long. Female flowers: tepals 6, 2.6–3 mm long; style branches exceeding tepals, strongly recurved. Capsule 1.7–2.3 mm long, c. 2 mm broad. Seeds with a pattern of large flat lobed cells.",Morphology,en,,,Commonwealth of Australia (2018),,,1961,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria polyphylla</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria polyphylla [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20polyphylla,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339543,"Herb, evergreen, dioecious, perennial, caespitose, forming tangled or trailing masses to 50(–80) cm high and 30–50 cm across. Cataphylls at stem base 1–5.5 cm long, 4–8 mm wide, with a small subulate lamina. Stems several or numerous, often much branched, 20–65 cm tall, with internodes 5–15 cm long and 1–3 mm wide, compressed or subterete, obscurely striate, minutely scabrous, bearing clusters of bract-opposed peduncles and/or culm-branches. Leaves reddish brown, rigid, scarious; the base sheathing; the lamina laterally compressed; the lower leaves 8–27 cm long with the lamina 1.5–3 mm wide dorsiventrally; upper leaves 4.5–6 cm long with the lamina 1–1.5 mm wide dorsiventrally. Peduncles laterally compressed, 4–15 cm long, 0.6–1.2 mm wide, dorsiventrally, recurved or flexuose. Inflorescence: male and female flowers similar, very shortly pedicellate, with 2 floral bracts; males with 2–7 flowers; floral bracts 2, narrow-deltoid, 2–5 mm long; females with 1–4 flowers; floral bracts 1–2, similar to males. Spathes mostly caducous, resembling upper leaves but smaller, 1–3.5 cm long. Male flowers: tepals lanceolate, 6–9 mm long; tepals equal or outer tepals slightly longer, brown or pale brown, scarious, rigid, with well-developed spongy outgrowths adaxial to bases of outer tepals and linking these to inner tepals; filaments 3.4–4 mm long; anthers c. 3 mm long. Female flowers: outer tepals longer 6–9.5 mm long; inner tepals 5.5–7.5 mm long; styles straight. Capsule 2.4–3.8 mm long, 2.8–3.2 mm broad. Seeds with a pattern of longitudinal ridges.",Morphology,en,,,Commonwealth of Australia (2018),,,1962,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria prolifera</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria prolifera [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20prolifera,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339545,"Herb, evergreen, dioecious, perennial, forming large dense clumps to 0.5–1m across. Rhizome horizontal, stout, to 15 cm long, 5–14 mm diam., covered by weathered leaf bases and imbricate scales. Leaves linear, 30–70 cm long; sheathing base 7–17 cm long, the margins membranous; lamina thick, rigid, somewhat yellowish green, the margins scabrid. Flowering stems erect, compressed, 30–100 (–135) cm long, 5–10 mm wide, the margins smooth or scabrous. Inflorescences erect, 7.5–25 cm long, the males with erect or spreading branches and up to &amp;gt;200 flowers on contorted pedicels; the females narrow, with up to 40 shortly pedicellate flowers on erect branches. Spathe subtending the inflorescence caducous, leaf-like, with a sheathing base and a short equitant lamina. Uppermost bracts small, hyaline, scale-like. Male flowers: tepals 6, narrow lanceolate, 5–7 mm long, scarious-membranous, red-brown, acute or acuminate; outer tepals keeled; inner tepals flat; filaments c. 2 mm long; anthers exserted, c. 2.5–3.0 mm long. Female flowers: tepals 6, rigid, narrow deltoid; outer tepals 10–12 mm long; inner tepals 6–8 mm long; style branches 3, stout, straight, exceeding tepals. Capsule 4.5–5.5 mm long, 6–6.5 mm broad. Seeds with a pattern of convex cells marked by low longitudinal ridges.",Morphology,en,,,Commonwealth of Australia (2018),,,1963,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria scabra</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria scabra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20scabra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000341031,"Leaves up to 50 cm long, pungent; base 15-25 mm wide with narrow scarious margins, sometimes lacerated. Flowers scented like rotten meat. Sepals and petals 7-8 cm long, slightly widened above base for c. 2.5 cm, obtuse, smooth inside, striate outside, green at base, purplish-brown at apex. Stamens almost as long as perianth; anthers c. 25 mm long. Capsule indurated, c. 15 mm long, smooth; dehiscence septifragal, the valves also splitting into 2 halves, each half with the inner wall forming a plate held under tension and springing upwards to eject the seed.",Morphology,en,,,Commonwealth of Australia (2017),,,2984,"A.S.George (2017) <i>Baxteria australis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Baxteria australis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Baxteria%20australis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343241,"Rhizomes very short. Stems to 50 cm long, often caespitose, with many short lateral branches or sometimes openly branched. Leaf lamina 5-15 mm long, pungent, glabrous, scabrid or pubescent. Perianth tube 5-8 mm long; lobes 6-11 mm long, iridescent blue and fading or sometimes deep blue turning reddish purple. Staminal filaments 2-3 mm long; anthers yellow turning orange or red, the basal lobes obtuse.",Morphology,en,,,Commonwealth of Australia (2017),,,3673,"A.S.George (2017) <i>Calectasia cyanea</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia cyanea [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20cyanea,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343244,"Rhizomes very short. Stems to 40 cm long with rather open short lateral branches. Leaf lamina 5-15 mm long, pungent to almost obtuse, often scabrid especially on margins, otherwise glabrous. Perianth tube 9-11 mm long; lobes 13-17 mm long, deep iridescent blue or purple, turning reddish purple. Staminal filaments 3-4 mm long; anthers remaining yellow, the basal lobes obtuse.",Morphology,en,,,Commonwealth of Australia (2017),,,3674,"A.S.George (2017) <i>Calectasia grandiflora</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia grandiflora [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20grandiflora,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343246,"Rhizomes spreading, up to 50 cm long. Stems not clustered, to 50 cm tall, openly branched. Leaf lamina 5-17 mm long, pungent, finely scabrid on margins, otherwise glabrous. Perianth tube 10-12 mm long; lobes 10-15 mm long, deep iridescent blue. Staminal filaments 1-1.5 mm long; anthers yellow turning golden-brown, the margins sometimes remaining yellow, basal lobes acute.",Morphology,en,,,Commonwealth of Australia (2017),,,3675,"A.S.George (2017) <i>Calectasia intermedia</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia intermedia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20intermedia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
