taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000339535,"Distinctive among Anarthria species for the combination of features: leaves and flowering stems all basal, leaf laminae terete or subterete, less than 2 mm wide dorsiventrally; leaves 25–75 cm long, flowering stems 30–80 cm long and 1–1.5 mm wide.",Diagnostic,en,,,Commonwealth of Australia (2018),,,1958,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria gracilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria gracilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20gracilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339538,"Distinctive among Anarthria species for the combination of features: leaves and stems all basal, leaves almost terete, 8–30 cm long, apex recurved; culms 9–30 cm long and 0.5–1 mm wide; inflorescence of 3–25 flowers.",Diagnostic,en,,,Commonwealth of Australia (2018),,,1959,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria humilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria humilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20humilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339540,"Distinctive among Anarthria species for the moderately wide leaf laminae (5–10 mm wide dorsiventrally), with the leaf and stem margins smooth.",Diagnostic,en,,,Commonwealth of Australia (2018),,,1960,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria laevis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria laevis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20laevis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339542,"Distinctive among Anarthria species for often forming small dense ‘cushions’ raised above the soil surface; the stems leafy and branching, covered by imbricate bases of crowded leaves; internodes 0.2–0.5 cm long; stilt-roots often present.",Diagnostic,en,,,Commonwealth of Australia (2018),,,1961,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria polyphylla</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria polyphylla [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20polyphylla,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339543,Distinctive among Anarthria species for the leafy branching stems forming tangled or trailing masses to 50(–80) cm high; internodes mostly 7–12 cm long; leaves 1.5–3 mm dorsiventrally.,Diagnostic,en,,,Commonwealth of Australia (2018),,,1962,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria prolifera</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria prolifera [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20prolifera,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339545,Distinctive among Anarthria species for the broad leaf laminae (5–10 mm wide dorsiventrally) and the leaf and stem margins coarsely or minutely scabrid.,Diagnostic,en,,,Commonwealth of Australia (2018),,,1963,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria scabra</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria scabra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20scabra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000401244,"Shortly rhizomatous but forming large dense tussocks of culms crowded on short rhizomes; cataphylls tan-brown, glossy, culms slender and flexible when fresh, to 1–1.5 (–1.8) mm diam. near the base, 0.5–1 m high, each with a compact ovoid or cylindrical spike with rigid glumes.",Diagnostic,en,,,Commonwealth of Australia (2019),,,6187,"B.G. Briggs, C.L. Connelly, S.L. Krauss (2019) <i>Ecdeiocolea monostachya</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea monostachya [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea%20monostachya,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000429525,"Distinguished from species of Ecdeiocolea by the culms consisting of several internodes; sheaths caducous, leaving swollen nodes; culms with (1–) 2–3 ovoid spikelets; trimerous flowers with tepals and stamens 6; trilocular ovary with 3 styles; fruit a capsule.",Diagnostic,en,,,Commonwealth of Australia (2020),,,7772,"B.G. Briggs, C.L. Connelly &, S.L. Krauss (2020) <i>Georgeantha hexandra</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Georgeantha hexandra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Georgeantha%20hexandra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000463539,Distinguished from other Lygin species by the plants not caespitose but forming patches of widely spaced culms or small groups of culms connected by long rhizomes; culm sheaths and inflorescence spathes ciliate with stiff hairs.,Diagnostic,en,,,Commonwealth of Australia (2018),,,10495,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Lyginia barbata</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia barbata [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia%20barbata,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000463549,"Distinguished from Lyginia barbata by the plants caespitose with crowded culms; culm sheaths and spathes glabrous or sparsely or strongly ciliate; and from L. imberbis by the culms longer (50–150 cm tall), internodes longer (14–25 cm), and fertile spathes each subtending 1–3 flowers.",Diagnostic,en,,,Commonwealth of Australia (2018),,,10496,"Barbara G. Briggs (2018) <i>Lyginia excelsa</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia excelsa [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia%20excelsa,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
