wfo-0000673829,"2n 10, fide J.G. Conran, Taxon 34: 346 (1985).",Genetics,en,,,Commonwealth of Australia (2017),,,12053,"J.G. Conran, H.T. Clifford (2017) <i>Petermannia cirrosa</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Petermannia cirrosa [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Petermannia%20cirrosa,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761603,"2n 34, B.Briggs NSW 67196 (NSW).",Genetics,en,,,Commonwealth of Australia (2017),,,3177,"R.J.F.Henderson (2017) <i>Blandfordia nobilis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Blandfordia nobilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Blandfordia%20nobilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761951,"n 14, G.J.Keighery, Feddes Repert. 95: 526 (1984).",Genetics,en,,,Commonwealth of Australia (2017),,,3454,"D.M.Churchill (2017) <i>Borya constricta</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Borya constricta [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Borya%20constricta,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761964,"n 28, G.J.Keighery, Feddes Repert. 95: 526 (1984).",Genetics,en,,,Commonwealth of Australia (2017),,,3461,"D.M.Churchill (2017) <i>Borya septentrionalis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Borya septentrionalis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Borya%20septentrionalis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000761965,"n 14, G.J.Keighery, Feddes Repert. 95: 526 (1984).",Genetics,en,,,Commonwealth of Australia (2017),,,3462,"D.M.Churchill (2017) <i>Borya sphaerocephala</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Borya sphaerocephala [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Borya%20sphaerocephala,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000001864,x 11 (Briggs 1966); 3 species counted.,Genetics,en,,,Commonwealth of Australia (2018),,,1957,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000004254,"2n 14, fide G.J.Keighery, Feddes Repert. 95: 526 (1984).",Genetics,en,,,Commonwealth of Australia (2017),,,2983,"A.S.George (2017) <i>Baxteria</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Baxteria [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Baxteria,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000006007,A chromosome number n 9 for Calectasia cyanea s. lat. was given by Anway (1969) but without citing a voucher.,Genetics,en,,,Commonwealth of Australia (2017),,,3671,"A.S.George (2017) <i>Calectasia</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000012891,2n  c. 48 in Ecdeiocolea monostachya (Linder et al. 1998). ,Genetics,en,,,Commonwealth of Australia (2019),,,6186,"B.G. Briggs, C.L. Connelly, S.L. Krauss (2019) <i>Ecdeiocolea</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Ecdeiocolea,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000015543,2n 64–66 in Georgeantha hexandra (Briggs & Johnson 1998).,Genetics,en,,,Commonwealth of Australia (2020),,,7771,"B.G. Briggs, C.L. Connelly, S.L. Krauss (2020) <i>Georgeantha</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Georgeantha [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Georgeantha,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000020014,"n 7, fide G.J.Keighery, Feddes Repert. 95: 528 (1984).",Genetics,en,,,Commonwealth of Australia (2017),,,9765,"A.S.George (2017) <i>Kingia</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Kingia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Kingia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-4000022525,2n 12 (Bell & Pate 1993); all species counted but reported as morphotypes of L. barbata.,Genetics,en,,,Commonwealth of Australia (2018),,,10494,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Lyginia</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Lyginia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Lyginia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-7000000207,"n c. 24 for Ecdeiocolea; c. 32 or 33 for Georgeantha (Briggs & Johnson 1998, Linder et al. 1998).",Genetics,en,,,Commonwealth of Australia (2019),,,6189,"B.G. Briggs (2019) <i>Ecdeiocoleaceae</i>, in P.G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Ecdeiocoleaceae [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Ecdeiocoleaceae,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-7000000264,"G. J. Keighery, Austral. J. Bot. 23: 335–338 (1975)",Genetics,en,,,Commonwealth of Australia (2017),,,8796,"A.S.George (2017) <i>Gyrostemonaceae</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Gyrostemonaceae [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Gyrostemonaceae,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
