WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI
wfo-0000511487,general,EN,"Shrub 1–4 m high; finely stellate-tomentose then glabrescent; stem soft inside. Stipules caducous. Leaves simple, alternate, cordate, 8–20 x 4–12 cm, chartaceous, apex acuminate to cuspidate, base cordate to slightly oblique-auriculate, margin slightly serrate to entire; 5(–3) nerves from leaf base, secondary nerves 3–7 pairs, arched and anastomosing, scalariform veins distinct on lower surface. Petioles 1.5–18 cm, pubescent, wrinkled or flattened at base when dry. Inflorescence cymes, pubescent, 1–3-flowered, opposite the leaves near the end of twigs, 5–10 cm long. Flowers 5 merous, purplish-brown, red or yellow. Calyx free, oblong or ovate-oblong 1–2.2 x 4–7 mm, glabrescent externally. Petals free, spreading, alternate with sepals, spathulate with a concave claw near base, 1.5–2 x 0.5–2 cm, sparsely hairy outside, glabrous internally. Stamens 10, 5 fertile and 5 sterile. Ovary oblong, with 5 longitudinal ridges, ca 5 x 1 mm, sparsely hairy, 5-locular; style fusiform or lanceolate with a 5-lobed stigma. Fruits conical, 2.5–3 x 4–6 cm, dehiscent; wings narrow towards the base; fruiting stalk up to 4 cm long, hairy. Seeds black.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,use,EN,The stems and seeds are used in local medicine.,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,ecology,EN,Common near streams in evergreen forest; altitude 50–500 m. Flowering and fruiting during June–September.,C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000511487,distribution,EN,"Thailand, India (type), China, Malay Peninsula, Indonesia, Philippines, Australia.",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000511487,Forest Herbarium,All rights reserved,"Abroma augustum. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 542. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02728
wfo-0000199687,general,EN,"Woody climber; branchlets spiny, puberulous to tomentose, glabrescent, with a few scattered glandular hairs. Stipules 3–8 by 1–4 mm, half hastate-half cordate, puberulous. Leaves: rachis 6–14.5 em; petiole 1.7–4 cm; gland 0.5–1.5 cm above the base in the lower half or at the middle of the petiole; pinnae (3–)6–9 pairs, (2–)4–7.5 cm; glands just below the junctions of the 1–2 distal pairs; leafets (9–)13–33 pairs per pinna, opposite, chartaceous, sessile, (6–)6.5–11.5 by 2–3 mm, asymmetrically oblong, base asymmetrically truncate, apex rounded (rarely broadly acute) both surfaces glabrous, margins faintly ciliate; main vein marginal at the base, not parallel to the upper margin; ca 2–3 accessory veins ascending from the base; lateral veins prominent to prominulous below, forming a reticulate pattern of venation. Inflorescence: peduncles panicled. Flowers in heads; floral bracts 1.2 mm, spathulate, not projecting beyond the flowers in bud. Calyx 1.5–2.5 mm; tube glabrous; teeth 5, 0.7–1 mm, ovate-elliptic, acute, glabrous to faintly puberulous. Corolla 2.2–3 mm; tube glabrous; lobes 5.1–1.5 mm long, ovate to elliptic, acute, glabrous. Ovary 1 mm, sericeous, stipitate; stipe 1 mm. Pod 9.5–13 by 1.8–2.5 cm, oblong, flat, brown, rigidly chartaceous, glabrous with prominulous, transverse veins and distinct marks over the seeds. Seeds 9–9.5 by 7–7.5 mm, broadly elliptic, flat; pleurogram ca 5–6 by 2.5–3 mm, narrowly elliptic.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000199687,ecology,EN,"Climbing on bushes, rocky limestone; alt. up to ca 300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000199687,distribution,EN,"Thailand, Andaman Islands (type).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199687,Forest Herbarium,All rights reserved,"Acacia andamanica. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00821
wfo-0000185607,general,EN,"A straggling shrub or woody climber; branchlets spiny, faintly puberulous to glabrous, glabrescent, without glandular hairs. Stipules ca 2–3 by 1 mm, filiform, sericeous to woolly, early caducous. Leaves: rachis 10–20 cm, petiole 2.2–6 cm; gland ca 0.3–1 cm above the base, in the lower half of the petiole; pinnae 6–8(–13) pairs, 3.5–9.5 cm; glands below the junctions of the 1–3 distal pairs; leaflets (9–)11–22(–27) pairs per pinna, opposite, sessile, chartaceous, (5–)6–15 by (1.5–)2–5.5 mm, oblong to subfalcate, base asymmetrical, truncate behind rounded in front; apex asymmetrically acute, sharply pointed, bent forwards; upper surface glabrous, lower surface glabrous to faintly adpressedly puberulous, margins often ciliate; main vein central at the base but running excentrically towards the apex; 3–4 prominent accessory veins, ascending from the base; lateral veins prominent beneath. Inflorescence: peduncles panicled. Flowers in heads; floral bracts 1.2–1.5 mm, spathulate not projecting beyond the flowers in bud. Calyx 1.5–2 mm, tube glabrous or rarely faintly puberulous; lobes 5, 0.3–0.5 mm, ovate acute, glabrous rarely faintly puberulous. Corolla 2–3 mm, tube glabrous, lobes (0.5–)1 mm, ovate-elliptic, acute, glabrous. Ovary 0.8–1 mm, puberulous to velutinous; stipe ca 1.5 mm. Pod (immature) 15.5–17.5 by 1–2 cm, oblong with slightly sinuate margins, flat, brown, chartaceous, glabrous, eglandular, with prominent veins and marks over the seeds. Seeds (not seen).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000185607,ecology,EN,"Disturbed and secondary evergreen forests, alt. up to 200–300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000185607,distribution,EN,"Thailand, India (type of var.–Silhet), Burma, Indo-China; var. caesia is distributed in India and Ceylon (type) and does not reach Thailand.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000185607,Forest Herbarium,All rights reserved,"Acacia caesia subnuda. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00818
wfo-0000199691,general,EN,"Woody climber or straggling shrub up to ca 20 m long; branchlets spiny, light brown, glabrous, without glandular hairs. Stipules ca 3–4 mm, filiform, early caducous. Leaves evenly scattered along the stem; rachis (5–)6–11(–13) cm; petiole 1.7–3.5 cm; gland in the lower half of the petiole (most often absent), ca 1 cm above the base, pinnae (3–)5–6(–7) pairs, (2–)4–9(–9.5) cm; glands between the junctions of the 1–4 distal pairs; leaflets ca (15–)20–40 per pinna, alternate, sessile, 5–15 by (1.5–)2.5–6 mm, ± broadly falcate; base truncate, ± symmetrical; apex asymmetrically rounded to truncate, mucronate-apiculate; both surfaces glabrous or with a few scattered hairs; main vein starting 1 centrally, not parallel to the upper margin, ca 3 accessory veins ascend from the base; lateral veins prominent, forming a reticulate pattern. Inflorescence: peduncles panicled. Flowers in heads; floral bracts 2–3 mm, filiform, projecting beyond the flowers in bud. Calyx 1.8–2 mm, tube with a few scattered hairs; lobes 5, 0.5–0.8 mm, broadly ovate, acute with few scattered hairs. Corolla 2.1–3 mm, glabrous; lobes 5; 0.9–1.5 mm, elliptic, acute, glabrous. Ovary ca 0.5–0.8 mm, glabrous, stipe 0.7–0.8 mm. Pod 10 by 0.8–1.8 cm, oblong with sinuate margins, fat, brownish, chartaceous, glabrous, with prominulous, parallel venation, vertical on the sutures; distinct marks over the seeds; dehiscing along both sutures. Seeds 7.5–8.5 by 7 mm, broadly elliptic; pleurogram ca 6 by 3 mm, elliptic.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199691,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814
wfo-0000199691,ecology,EN,"Grasslands and thickets, scrub vegetation, forest margins, moist and dry mixed deciduous forests, also on limestone and sandy soil; alt. up to ca 400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199691,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814
wfo-0000199691,distribution,EN,"Thailand, S. Vietnam (type), Laos.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199691,Forest Herbarium,All rights reserved,"Acacia comosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 164. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00814
wfo-0000186090,general,EN,"Woody climber, scandent shrub or, rarely a low tree; branchlets spiny, velutinous to tomentose, glabrescent, without glandular hairs. Stipules ca 3–8 by 1.5–6 mm, cordate, often slightly caudate, faintly puberulous to woolly, caducous. Leaves evenly scattered along. the stem; rachis 6–16 cm; petiole (1.2–)1.5–5.2 cm; gland at the middle, 0.4–2.7 cm above the base; pinnae (4–)5–10 pairs, (15–)2–9 cm, glands at the junctions of the 1–3 distal pairs; leaflets (most often with a very wrinkled appearance when dried) 10–35 pairs per pinna, opposite, sessile, 13.5–11.5(–13.5) by 0.8–3(–4.8) mm, ± narrowly oblong; base asymmetrically truncate; apex asymmetrically rounded to sharply acute, mucronate–apiculate, always bent forwards; both surfaces glabrous to sericeous, margins nearly always ciliate; main vein marginal at the base, not parallel to the upper margin, often 2 or more accessory veins at the base; lateral veins forming a dense, conspicuous, reticulate pattern. Inflorescence mostly axillary not panicled, rarely panicled. Flowers in heads, floral bracts 0.5–1 mm not projecting beyond the flowers in bud. Calyx 2–3.2 mm; tube glabrous to puberulous; teeth 5, irregular in size, 0.1–0.5(–0.9) mm long, triangular to ovate, acute, glabrous to puberulous. Corolla (only slightly longer than the calyx) (2.3–)3–4 mm, tube glabrous; lobes 5, 0.5–1 mm, ovate to ovate-oblong, acute, glabrous. Ovary 0.8–1.5 mm, glabrous to–sericeous, stipitate; stipe 1–1.5 mm. Pod 10–15 by 1.7–2.7 cm, oblong, often with sinuate margins, thick, fleshy, very wrinkled when dried, glabrous, venation inconspicuous, seeming to be segmented, and often falling apart in 1-seeded segments; dehiscent? Seeds 6.5–11 by 4.5–8 mm elliptic to orbicular, often of irregular shape, flat; pleurogram ca 5–10 by 3–6.9 mm, elliptic, ornamented.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186090,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819
wfo-0000186090,use,EN,Dried pods steeped in scented water for ablution during the water festival and new year celebration.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186090,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819
wfo-0000186090,ecology,EN,"In scrubs, dry deciduous dipterocarp forests, mixed deciduous forests, dry evergreen forests, especially in clearings and forest margins; alt. up to 1400 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186090,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819
wfo-0000186090,distribution,EN,"Thailand, Tropical Asia: India (type) – New Guinea.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186090,Forest Herbarium,All rights reserved,"Acacia concinna. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 169. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00819
wfo-0000199698,general,EN,"Shrub up to 4 m high; branchlets greyish, glabrous; stipular spines up to 2.2 cm, straight or hooked; no shoot-dimorphy observed. Leaves: rachis 6–12 cm; petiole 0.9–2 cm, gland 0.6–0.9 cm above the base; pinnae 6–11 pairs, 1.3–3.5 cm; glands just below the 2–3 distal pairs; leaflets 21–29 pairs per pinna, opposite, sessile, 3–4.5 by ca 1 mm, narrowly oblong; base asymmetrical, truncate/rounded, apex obtuse, symmetrical, both surfaces glabrous; main vein slightly excentric, nearly parallel to the upper margin, lateral veins hardly conspicuous. Inflorescence: peduncles panicled, bearing the involucel below the middle. Flowers in heads; floral bracts 1 mm, spathulate, ciliate. Calyx 1 mm, glabrous, teeth 5, 0.1–0.2 mm, broadly triangular, acute. Corolla 2.5–2.8 mm, glabrous, lobes 5, 0.7–0.8 mm, ovate-elliptic, acute. Stamens numerous. Ovary 1.5 mm long, glabrous; stipe 0.4 mm. Pod 5.5–9 by 1.5–1.8 cm, oblong, slightly curved, flat, brownish to yellowish, chartaceous, glabrous, prominently reticulately veined, with two submarginal ridges parallel to the margins, elastically dehiscent along both sutures; inside filled with a reddish pulp around the seeds. Seeds 3.5–6 mm, ellipsoid, slightly curved, flat, 1 mm thick, pleurogram ca 3 by 1.3 mm, oblong.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199698,Forest Herbarium,All rights reserved,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812
wfo-0000199698,ecology,EN,Along streams in dry evergreen forests; alt. ca 150 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199698,Forest Herbarium,All rights reserved,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812
wfo-0000199698,distribution,EN,Endemic to Thailand.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199698,Forest Herbarium,All rights reserved,"Acacia craibii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00812
wfo-0000195712,general,EN,"Deciduous shrub up to ca 4 m high; branchlets glabrous, brown-grey; stipular spines up to ca 3 cm, straight; leaves, lateral branches and peduncles often crowded on short-shoots. Leaves: rachis ca 4–6 cm; petiole 1–1.3 cm, gland in the upper half of the petiole, ca 0.8 cm above the base; rachis-glands not observed; pinnae 2–7 pairs, 1.5–3 cm long; leaflets opposite, sessile ca 10–21 pairs, 2–7 by 0.8–1.8 mm, oblong; base truncate, apex asymmetrically acute, mucronate; both surfaces glabrous; main vein excentric, lateral veins conspicuous, raised beneath. Inflorescence: peduncles axillary up to ca 5 together, 2.5–3.5 mm, bearing the involucel apically, just below the flowering head; heads of sessile flowers each subtended by ca 1 mm, spathulate, hairy bracts. Calyx ca 1.3 mm, tube glabrous; teeth 5, ca 0.2 mm, triangular, acute, glabrous. Corolla ca 2.5 mm, tube glabrous; lobes 5, ca 0.5 mm, elliptic, acute. Stamens numerous. Ovary ca 1.5 mm, subsessile, densely puberulous. Pods ca 1–2 cm diam, 4–7.5 cm long, straight or slightly curved, subterete and turgid, dark-brown to blackish, chartaceous, glabrous; veins and marks over the seeds inconspicuous; indehiscent. Seeds 7–8 by 5.5 mm, elliptic, only slightly compressed; pleurogram 6.5–7 by 4 mm, elliptic.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195712,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813
wfo-0000195712,use,EN,Perfume is extracted from the flowers. The pods are used for tanning. Cultivated as an ornamental.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195712,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813
wfo-0000195712,ecology,EN,Spontaneous in inundated localities.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195712,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813
wfo-0000195712,distribution,EN,"Pantropical, origin uncertain, probably S. America.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195712,Forest Herbarium,All rights reserved,"Acacia farnesiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 163. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00813
wfo-0000199701,general,EN,"Deciduous tree up to ca 20 m high; branchlets glabrous, greyish; stipular spines erect-patent up to ca 6 cm; leaves, lateral branches and panicles often crowded on short shoots. Leaves: rachis (1–)–18 cm; petiole 1–5 cm; gland often absent, if present ca 1.1 cm above the base, between the junctions of the proximal pair of pinnae, rachis-glands just below the junctions of the 1–3 distal pairs of pinnae; pinnae (1–)2–4(–5) pairs, 4–12 cm, leaflets 4–13 pairs per pinna, opposite, sessile, (6–)12–35 by (2–)3–16 mm, narrowly oblong to elliptic; base rounded to cuneate, asymmetrical; apex broadly rounded to truncate, often emarginate and mucronate; both surfaces faintly puberulous to glabrous; lower surface with prominent, pinnate-digitate veins, main vein excentric, often 2–5 distinct veins arching upwards from the base, running parallel to the margin, the principal veins connected by lateral veins. Inflorescence: peduncles panicled, bearing the involucel in the lower half or near the middle. Flowers (4–5-merous) in heads, floral bracts 0.8–1 mm, spathulate. Calyx 0.9–1.1 mm, tube glabrous, teeth 0.1–0.2 mm, inconspicuous, obtuse, margins densely puberulous to very faintly ciliate. Corolla 1.8–2 mm, glabrous; lobes 0.3–0.5 mm, ovate, acute, glabrous. Stamens 15–22. Ovary 1 mm, velutinous–puberulous, sessile or subsessile. Pad (6–)10–13 by 1.1–1.2 cm, strap-shaped, straight or subfalcate to somewhat contorted, flat, brown, coriaceous, glabrous with prominent reticulate venation and prominent marks over the seeds, dehiscing along both sutures. Seeds 5.5 by 4.8–5 mm, suborbicular, biconvex, pleurogram ca 4 by 3.3 mm, suborbicular.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199701,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809
wfo-0000199701,use,EN,The tree is a good host for lac cultivation; wood for durable construction.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199701,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809
wfo-0000199701,ecology,EN,"Bamboo jungles, deciduous and dry deciduous forests, savaimas, alt. 50–300 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199701,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809
wfo-0000199701,distribution,EN,"Thailand, Laos (type).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199701,Forest Herbarium,All rights reserved,"Acacia harmandiana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 158. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00809
wfo-0000186118,general,EN,"Deciduous tree up to 10 m; branchlets terete, tomentose, glabrescent; stipular spines up to 2.5 cm long, straight; young leaves and inflorescences on short shoots. Leaves: rachis 3.5–8.5 cm; petiole 0.6–1.5 cm; gland just below the junctions of the proximal pair of pinnae, rachis-glands below the junctions of the distal pair to all the pairs of pinnae; pinnae (4–)6–13 pairs, (0.5–)3–4.2 cm long; leaflets ca 6–25 pairs per pinna, opposite, sessile, 3–11 by 0.5–1.7 mm, subfalcate to oblong, base asymmetrically truncate; apex asymmetrically obtuse/mucronate to acute/sharply apiculate; both surfaces faintly puberulous; main vein starting marginally at the base, not parallel to the upper margin, lateral veins inconspicuous to prominulous, no accessory, ascending, lateral veins visible. Inflorescence peduncles panicled, bearing the involucels below the middle. Flowers in heads, floral bracts 1–1.3 mm, spathulate to spoon-shaped. Calyx 0.8–1.2 mm long, tube densely puberulous to sericeous, teeth 0.1–0.2 mm long, ovate to broadly triangular-ovate, acute, sericeous. Corolla 1.2–2 mm long, tube densely puberulous to faintly sericeous, lobes ca 0.4–0.9 mm long, ovate to elliptic, acute. Stamens 20–25. Ovary 1 mm long, faintly puberulous, subsessile (stipe less than 0.1 mm long). Pod 7–12 by 0.9–1 cm, 0.3 cm thick, ligulate and often falcate, dark–brown, woody, woolly to tomentose when young, glabrescent, with inconspicuous venation; valves segmented inside between the seeds. Seeds 5.5–6.5 by 4–5 mm, flat, very variable in shape, orbicular to ellipsoid or trapezoid, often with a straight side towards the segment; pleurogram ca 4–5 by ca 2.5–3 mm.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186118,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810
wfo-0000186118,use,EN,The bark is used for tanning; wood for construction.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186118,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810
wfo-0000186118,ecology,EN,"Shrub jungles and open, dry, deciduous jungles, savannas, at low altitudes.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186118,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810
wfo-0000186118,distribution,EN,"Thailand, India (type), Burma, Indo-China, Malay Archipelago (Java–Timor).",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000186118,Forest Herbarium,All rights reserved,"Acacia leucophloea. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 160. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00810
wfo-0000199706,general,EN,"Woody climber; branchlets spiny brown to red-brown, glabrous, without glandular hairs. Stipules ca 4–5 by 15 mm, ovate-oblong, acute, glabrous. Leaves evenly scattered along the stem; rachis 5.5–13 cm; petiole 2.5–7 cm, gland in the lower half of the petiole ca 0.6 cm above the base; pinnae 3 pairs, up to 10 cm; glands between the junctions of the pinnae; leaflets up to 7 pairs per pinna, opposite, chartaceous; sessile; 8–75 by 5–28 mm, asymmetrically subtrapezoid to obliquely obovate; base asymmetrically half truncate-half rounded; apex asymmetrically acute; both surfaces glabrous; main vein starting centrally, not parallel to the upper margin; ca 4 accessory veins ascending from the base, lateral veins prominent, forming a lax reticulated pattern. Inflorescence: pedunculate heads. Flowers [acc. to Craib (1927)]. Calyx ca 1.6 mm. Corolla ca 2.5 mm. Pod 10–14 by 3–6 cm, oblong, with sinuate margins, flat, red-brown, rigidly chartaceous, glabrous, with numerous, prominent, transverse, parallel veins, with distinct marks over the seeds. Seeds 11–18.5 by 6.5–10 mm, elliptic, flat; pleurogram-up to 13 by 4 mm, oblong.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199706,Forest Herbarium,All rights reserved,"Acacia meeboldii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00815
wfo-0000199706,ecology,EN,Evergreen forests; alt. ca 200 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199706,Forest Herbarium,All rights reserved,"Acacia meeboldii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00815
wfo-0000199706,distribution,EN,"Thailand, Lower Burma.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199706,Forest Herbarium,All rights reserved,"Acacia meeboldii. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 166. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00815
wfo-0000196823,general,EN,"Woody spiny climber, young branches puberulous, ± glandular hairy, glabrescent. Leaves: rachis (8.5–)11–28 cm; petiolar gland at or above the middle of the petiole (rarely slightly below in some fruiting specimens of var. indo-chinensis); leaflets opposite, oblong, base truncate, asymmetrical, apex obtuse; main vein marginal at base not parallel to the upper margin. Inflorescence: peduncles panicled. Flowers in heads; floral bracts ca 1 mm, spathulate-ovate, not projecting beyond the flowers in bud. Ovary hairy, stipitate.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000196823,Forest Herbarium,All rights reserved,"Acacia megaladena. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 178. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00828
