WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI
wfo-0000917516,ecology,EN,"Dry to moist lowland to evergreen hill forest, usually on, but not restricted to, limestone; 0–600 m alt.",P.C. Boyce et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000917516,Forest Herbarium,All rights reserved,"Colocasia gigantea . Flora of Thailand. Vol. 11. Part 2, 2012. Pg. 216. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=04958
wfo-0000917516,distribution,EN,"Thailand, S China, Myanmar, Cambodia, Laos, Vietnam, Peninsula Malaysia, Sumatra, Java (type), and Bali.",P.C. Boyce et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000917516,Forest Herbarium,All rights reserved,"Colocasia gigantea . Flora of Thailand. Vol. 11. Part 2, 2012. Pg. 216. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=04958
wfo-0000357858,general,EN,"Medium to large, robust, terrestrial, perennial herbs to 1 m. Stems rhizomatous, 20–40 by 3–7 cm, producing stolons; stolons 6–10 per plant, 15–20 cm long, 4 mm diam., trailing horizontally, pale green; without tubercles. Leaves 5–6 together; petiole cylindrical, 50 × 1 cm, pale greenish, pubescent; leaf blade ovate-cordate, peltate, ca 40 by 25 cm, membranaceous, adaxially glossy medium green, abaxially pale green, pilose; primary lateral veins pinnate, 7–9 pairs per side; interprimary veins forming moderately well-defined interprimary collecting veins. Inflorescences 2–4 together; peduncle cylindrical, 20 cm long, shorter than petiole, pale green, pubescent; spathe constricted between lower tubular part and limb; lower part fusiform, 3–6 by 1.2 cm, greenish; spathe limb oblong-lanceolate, 13–18 by 4–6 cm, lower part open, upper part convolute at anthesis, erect, not reflexed, yellowish; spadix sessile, ca 9.5 cm long, shorter than spathe; pistillate flower zone cylindrical, 2 by 1 cm; ovaries ovoid to oblong, 1.5 mm long, green; stylar region short; stigma discoid-capitate, slightly paler; sterile interstice tapering cylindrical, narrower than either fertile zone, ca 3.5 cm long, covered with synandrodes, white; staminate flower zone cylindrical, 3.5 by 0.7 cm; synandria 8–11-merous, ca 2 mm diam., yellowish; appendix elongate conical, 3.5 by 0.5 cm, rugose at base, pale purplish yellow, paler basally. Fruit not seen.",P.C. Boyce et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000357858,Forest Herbarium,All rights reserved,"Colocasia menglaensis . Flora of Thailand. Vol. 11. Part 2, 2012. Pg. 217. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=04959
wfo-0000357858,ecology,EN,Wet evergreen upper hill forest; 680–750 m alt.,P.C. Boyce et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000357858,Forest Herbarium,All rights reserved,"Colocasia menglaensis . Flora of Thailand. Vol. 11. Part 2, 2012. Pg. 217. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=04959
wfo-0000357858,distribution,EN,"Thailand, SW China (type).",P.C. Boyce et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000357858,Forest Herbarium,All rights reserved,"Colocasia menglaensis . Flora of Thailand. Vol. 11. Part 2, 2012. Pg. 217. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=04959
wfo-4000009342,general,EN,Description and details as for family.,B. Harwood & K. Chayamarit,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000009342,Forest Herbarium,All rights reserved,"Cornus  . Flora of Thailand. Vol. 11. Part 1, 2011. Pg. 1. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=04735
wfo-0001275474,ecology,EN,"In lower and upper montane forests, often on limestone; 1,300–2,200 m altitudes. Flowering: July–January; fruiting: March–June.",B. Harwood & K. Chayamarit,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001275474,Forest Herbarium,All rights reserved,"Cornus oblonga oblonga. Flora of Thailand. Vol. 11. Part 1, 2011. Pg. 3. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=04737
wfo-0001275474,distribution,EN,"Thailand, Pakistan, Nepal, India (Sikkim), Sri Lanka, Bhutan, Myanmar, China (Guizhou, Hu-bei, Sichuan, Xizang, Yunnan), Vietnam.",B. Harwood & K. Chayamarit,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0001275474,Forest Herbarium,All rights reserved,"Cornus oblonga oblonga. Flora of Thailand. Vol. 11. Part 1, 2011. Pg. 3. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/florainfra.html?tdcode=04737
wfo-4000009384,general,EN,"Small to tiny terrestrial herbs with small underground tubers; stem glabrous. Foliage leaf 1, subapical. Flower solitary, sessile on a diminutive peduncle, resupinate, predominantly purplish-white and brown; floral bract slightly longer than the ovary. Sepals glabrous; dorsal sepal large, boat-shaped; lateral sepals and petals linear, thread-like or vestigial. Labellum narrowly attached to the column, orbicular, glabrous, proximally provided with two spurs, spurs much shorter than the labellum lamina, not constricted at base. Column completely enclosed within the labellum base, with an entire, concave stigma; rostellum erect, broadly triangular; viscidium 1, naked; anther firmly attached, thecae not extending from the column; pollinia 4, basitonous. Fruit not seen.</br></br>About 120 species constitute this genus which has a disjunct distribution encompassing (1) an area ranging from northeastern India to southern China, (2) Taiwan, (3) scattered areas throughout Malesia, (4) eastern Australia, (5) Tasmania and (6) New Zealand and smaller islands in the SW Pacific; 1 species in Thailand.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-4000009384,Forest Herbarium,All rights reserved,"Corybas  . Flora of Thailand. Vol. 12. Part 1, 2011. Pg. 42. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floragenus.html?tdcode=05506
wfo-0000925072,general,EN,"Flowering shoots formning dense, clonal colonies, 1–2 cm tall. Foliage leaf sessile, circular-cordate, variegated, short-acuminate, 9–14 by 12–19 mm. Dorsal sepal incurved, linear-spathulate, obtuse, 10–10.4 by 3–3.2 mm, with 7 non-crested veins, white, suffused with reddish purple along the veins, lateral sepals acuminate, 8.4–9 by ca. 0.4 mm, dark purplish-brown. Petals connate at their very base and adnate to the lateral sepals, acuminate, 1-veined, 5.5–7 by ca. 0.4 mm, dark purplish-brown. Labellum strongly recurved with incurved sides, white with pinkish-purple base and a dark purplish-brown band along the edge (with ramifications towards the base), 5.5–6 by 6.6–7 mm when spread out, provided with a low callus at the centre; front edge rounded, fimbriate-ciliate; spurs conical, slightly oblique, ca. 2 mm long. Column subclavate, slightly incurved, ca. 1.8 mm long. Ovary ca. 2 mm long, glabrous.",H.Æ. Pedersen et al.,,Forest Herbarium,2022-04-21,Rachun Pooma & Sawita Yooprasert,ref-THA-0000925072,Forest Herbarium,All rights reserved,"Corybas ecarinatus . Flora of Thailand. Vol. 12. Part 1, 2011. Pg. 42. Accessed 2022-04-21",https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05507
