"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-0000400288","No type material is known to be preserved; this description is drawn from Sleumer’s (1966) translation of the original. This remains an imperfectly known species.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400313","The type material was destroyed in Berlin and this species has still to be recollected. The description given is from Sleumer’s (1966) translation of the original diagnosis. It would be surprising if the leaves were really opposite; this presumably relates to a very poor specimen either growing weakly or having lost most of its leaves in handling. Otherwise the only good character separating this species from R. rarum is the very short pedicels. The short style would seem to be a less reliable character although emphasised by Schlechter when describing this species. It could reflect the fact that the flowers were very young when collected. Van Royen & Kores (1982) note R. rarum as being reported from the West Sepik District which if true means the distribution of this species comes very close to if not overlapping that of R. neriifolium and would cast doubt on the validity of this species.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405417","The holotype was destroyed in Berlin and no isotype has as yet been found; the description is derived from Professor Sleumer’s translation of the original which was incomplete. Sleumer (1966) noted: ‘The position of R. stolleanum both in and within the subsect. Phaeovireya thus remains somewhat doubtful; yet most of the characters given are those of R. dielsianum’. The essential key difference between these species lies in whether the corolla is completely glabrous outside (R. stolleanum) or sparsely to more densely scaly (R. dielsianum). This difference could easily be accounted for by the scales having been lost in processing of R. stolleanum.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400628","Considered to be a hybrid between R. macgregoriae and an unknown species. This plant has not been recollected despite the site being well visited. Described as similar to R. macgregoriae in the size and the form of leaves and flowers, but differing in having stellate scales on distinct tubercles, which are typical for sectionHadranthe. Van Royen & Kores (1982) suggested a strong resemblance to material tentatively identified as R. macgregoriae × R. dielsianum; Sleumer (1973) had suggested the possibility of it being R. beyerinckianum × R. macgregoriae.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400039","Natural hybrid of R. gardenia × R. herzogii.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001514","The type specimen coming from southern Sarawak agrees well with the suggestion that this is a hybrid between R. jasminiflorum and R. malayanum, the hairy filaments being inherited from R. jasminiflorum. ","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001515","This taxon is considered to be a natural hybrid between R. malayanum and R. jasminiflorum (Sleumer 1966). It is intermediate between these two species, which commonly grow together in the Cameron Highlands.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001516","Hybrid between R. jasminiflorum × R. malayanum.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405694","Hochreutiner, the author and collector of this species, pointed out that the characters of R. wilhelminae were a combination of those of R. javanicum and R. malayanum, which both are found on Mt Salak, and suggested it was a natural hybrid between these species. The fact that it does not appear to have been recollected despite the accessibility of the locality would support this conclusion.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400282","Hybrids recorded in the wild are with R. durionifolium ssp. sabahense on Mt Lumarku and with either R. durionifolium or R. fallacinum on Mt Mulu in Sarawak. ","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400800","The flowers are, as far as can be compared from dry specimens, identical with those of R. himantodes but the leaves are markedly different. They are not linear in shape, but elliptic and markedly rugose, with very prominent lateral veins which give R. fortunans a very different appearance to that of R. himantodes. The very wide range of leaf sizes in different specimens of this species are largely due to differences in exposure and parallel the size differences exhibited in R. himantodes.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400344","Doubtfully specifically distinct from R. malayanum but with larger flowers and more in the umbel than is usual in that species at least in the wild. It is also described with glabrous bracts, apart from the marginal fringe of white hairs, which if true would be another distinguishing character, but this description may have resulted from describing inner bracts if the outer were missing. The leaves are very similar to those of R. malayanum and R. apoanum. Sleumer (1966) noted that there were small differences between the known specimens, each from three different localities","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000403304","Recollected on the Mt Jaya expedition in the Dom Valley from c.3000m with just 1–3-flowered inflorescences; the original Kloss specimens were from 1675 to 2040m.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001323153","This form was first found by Mr Justin Jukian, Senior Park Ranger, near the Kinabalu Park Headquarters in 1980. It has since been reported as common and the predominant form in the Penataran River area of Kinabalu. ","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400693","This species is presently treated in a broad sense including R. brookeanum and R. moultonii. This complex of mainly low altitude forest epiphytes is characterised by large, elliptic, acutely pointed leaves and large, funnel-shaped flowers in a range of colours. As conceived here, it is widespread, occurring through Sumatra, Peninsular Malaysia, the Philippines, Borneo, Java and Bali to Sulawesi. It is highly variable in its leaf arrangement and ovary indumentum, even within some populations, and is difficult to deal with satisfactorily although various local populations are distinct. ","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400166","This hybrid occurs occasionally where the parents grow together but does not appear to persist.","General","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
