verbatimLanguage,isoCode,context
à dundusana,LOCALITY,
à eala,LOCALITY,
à emengeye et à monkoto,LOCALITY,
à epulu,LOCALITY,
"à ganda sundi, à gimbi",LOCALITY,
à gimbi,LOCALITY,
"à gimbi, à luki",LOCALITY,
à gwa,LOCALITY,
à idjwi,LOCALITY,
à isangi,LOCALITY,
à ituri,LOCALITY,
à kabare,LOCALITY,
à kahemba,LOCALITY,
à kahuzi,LOCALITY,
à kalume,LOCALITY,
à kamba,LOCALITY,
à kaniama,LOCALITY,
à kasai,LOCALITY,
à katako-kombe,LOCALITY,
à kiala,LOCALITY,
à kiale,LOCALITY,
à kialo,LOCALITY,
à kigali,LOCALITY,
à kimpelo,LOCALITY,
à kinzao,LOCALITY,
à kisanga,LOCALITY,
à kisantu,LOCALITY,
à kisebula-panzi,LOCALITY,
à kizu,LOCALITY,
à kolwezi,LOCALITY,
à kwango,LOCALITY,
à la frontière avec le soudan,LOCALITY,
à la kulu,LOCALITY,
à likimi,LOCALITY,
à lubumbashi,LOCALITY,
à lukafu,LOCALITY,
à luki,LOCALITY,
"à luki, à mobeka",LOCALITY,
à luluabourg,LOCALITY,
à mabali,LOCALITY,
"à madimba, à popakabaka",LOCALITY,
à malonga,LOCALITY,
à mambasa,LOCALITY,
"à mambasa, en bila",LOCALITY,
à menavanza,LOCALITY,
à mobwasa,LOCALITY,
à mombwasa,LOCALITY,
à mondombe,LOCALITY,
à muhila r,LOCALITY,
à mupanga,LOCALITY,
à musa,LOCALITY,
à m’vuazi,LOCALITY,
à nioka,LOCALITY,
à nyungwe,LOCALITY,
à popokabaka,LOCALITY,
à ruwenzori,LOCALITY,
à saya,LOCALITY,
à shinsenda,LOCALITY,
à upemba,LOCALITY,
à yambata,LOCALITY,
à yangambi,LOCALITY,
