taxonID,vernacularName,language,languageName,rightsHolder,license
wfo-0000681128,mutufita,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000681128,kafita,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000784704,lunsongwe,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320118,mufinsa,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320119,mufinsa,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320119,kibombia,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320119,chibumbie,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318733,musafwa,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000081359,lusonga,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320097,msoumbi,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000098602,tuwutundu,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320102,kese,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,alumbi,bem,Bemba (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,mababagonda,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,bababagonda,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000577156,bokalala na kamba,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,lupulopale,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,lopulakpale kasa keke,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,lepulakpale kasa keke,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,klebu na mai,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,fidi na zamba,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,eteta la fidi,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000074721,mangangele,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000074721,etete la mangangele,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,malebogo moindu,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,malebogo,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,dalebogo,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,malebogo moindu,bko,Kwa',Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,ulela,bmb,Bembe,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000104729,lololo,bmb,Bembe,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000102992,lusongwe,bmb,Bembe,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,ebili,bww,Bwa,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176732,kambalambale,flr,Fuliiru,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000416503,mungumbanguba,flr,Fuliiru,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000742532,kiboolo,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001077627,muhora,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000568358,kasebumbu,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919515,mupiri,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000681128,muita,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,kahiku,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000816847,busha,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320083,kinyaluway,hke,Hunde,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
