WFOID	title	identifier	rights	license	format	source	audience	creator	created	modified	contributor	publisher	description	locality	subject	rightsHolder	latitude	longitude	references
wfo-0000511487	Abroma augustum. Drawing	img-THA-0000511487.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 58						https://botany.dnp.go.th/image/flora/7/STER_Fig58.jpg
wfo-0000199687	Acacia andamanica. Drawing	img-THA-0000199687.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/4/LEGU_Fig42.jpg
wfo-0000185607	Acacia caesia. Drawing	img-THA-0000185607.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/4/LEGU_Fig40.jpg
wfo-0000199691	Acacia comosa. Drawing	img-THA-0000199691.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/4/LEGU_Fig39.jpg
wfo-0000186090	Acacia concinna. Drawing	img-THA-0000186090.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 41						https://botany.dnp.go.th/image/flora/4/LEGU_Fig41.jpg
wfo-0000199698	Acacia craibii. Drawing	img-THA-0000199698.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 38						https://botany.dnp.go.th/image/flora/4/LEGU_Fig38.jpg
wfo-0000195712	Acacia farnesiana. Drawing	img-THA-0000195712.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000199701	Acacia harmandiana. Drawing	img-THA-0000199701.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000186118	Acacia leucophloea. Drawing	img-THA-0000186118.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/4/LEGU_Fig37.jpg
wfo-0000199706	Acacia meeboldii. Drawing	img-THA-0000199706.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/4/LEGU_Fig39.jpg
wfo-0001387134	Acacia megaladena. Drawing	img-THA-0001387134.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199709	Acacia megaladena. Drawing	img-THA-0000199709.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199707	Acacia megaladena. Drawing	img-THA-0000199707.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199720	Acacia pluricapitata. Drawing	img-THA-0000199720.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 44						https://botany.dnp.go.th/image/flora/4/LEGU_Fig44.jpg
wfo-0000199724	Acacia thailandica. Drawing	img-THA-0000199724.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 42						https://botany.dnp.go.th/image/flora/4/LEGU_Fig42.jpg
wfo-0000199726	Acacia tomentosa. Drawing	img-THA-0000199726.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 38						https://botany.dnp.go.th/image/flora/4/LEGU_Fig38.jpg
wfo-0000199731	Acacia torta. Drawing	img-THA-0000199731.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/4/LEGU_Fig40.jpg
wfo-0000958157	Acalypha kerrii. Drawing	img-THA-0000958157.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/8/EUPH_Fig1.jpg
wfo-0000218686	Acalypha pleiogyne. Drawing	img-THA-0000218686.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 2						https://botany.dnp.go.th/image/flora/8/EUPH_Fig2.jpg
wfo-0000236547	Acalypha siamensis. Drawing	img-THA-0000236547.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 3						https://botany.dnp.go.th/image/flora/8/EUPH_Fig3.jpg
wfo-0000516177	Achyranthes aspera. Drawing	img-THA-0000516177.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0000516220	Achyranthes bidentata. Drawing	img-THA-0000516220.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0001046384	Achyranthes bidentata. Drawing	img-THA-0001046384.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 88						https://botany.dnp.go.th/image/flora/5/AMAR_Fig88.jpg
wfo-0000328936	Acmena acuminatissima. Drawing	img-THA-0000328936.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell & P. Chantaranothai	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/7/MYRT_Figure1.jpg
wfo-0000211685	Acrocarpus fraxinifolius. Drawing	img-THA-0000211685.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/4/LEGU_Fig10.jpg
wfo-0000157764	Acrophorus stipellatus. Drawing	img-THA-0000157764.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 28						https://botany.dnp.go.th/image/flora/3/PTER_fig28.jpg
wfo-0000144933	Acrosorus triangularis. Drawing	img-THA-0000144933.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 59						https://botany.dnp.go.th/image/flora/3/PTER_fig59.jpg
wfo-0000577653	Actephila excelsa. Drawing	img-THA-0000577653.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 5						https://botany.dnp.go.th/image/flora/8/EUPH_Fig5.jpg
wfo-0000589140	Actephila javanica. Drawing	img-THA-0000589140.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 6						https://botany.dnp.go.th/image/flora/8/EUPH_Fig6.jpg
wfo-0000601960	Actephila ovalis. Drawing	img-THA-0000601960.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 7						https://botany.dnp.go.th/image/flora/8/EUPH_Fig7.jpg
wfo-0000337412	Actinoschoenus thouarsii. Drawing	img-THA-0000337412.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 37						https://botany.dnp.go.th/image/flora/6/CYPE_Figure37.jpg
wfo-0000337413	Actinoscirpus grossus. Drawing	img-THA-0000337413.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"D.A. Simpson, T. Koyama"	Forest Herbarium	Figure 8						https://botany.dnp.go.th/image/flora/6/CYPE_Figure8.jpg
wfo-0001387138	Adenanthera pavonina. Drawing	img-THA-0001387138.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 32						https://botany.dnp.go.th/image/flora/4/LEGU_Fig32.jpg
wfo-0000209692	Adenanthera pavonina. Drawing	img-THA-0000209692.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 32						https://botany.dnp.go.th/image/flora/4/LEGU_Fig32.jpg
wfo-0000520282	Adenosma debilis . Drawing	img-THA-0000520282.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Yamazaki	Forest Herbarium	Figure 43						https://botany.dnp.go.th/image/flora/5/SCRO_Fig43.jpg
wfo-0000520298	Adenosma microcephala. Drawing	img-THA-0000520298.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			T. Yamazaki	Forest Herbarium	Figure 43						https://botany.dnp.go.th/image/flora/5/SCRO_Fig43.jpg
wfo-0001115194	Adiantum edgeworthii. Drawing	img-THA-0001115194.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 16						https://botany.dnp.go.th/image/flora/3/PTER_fig16.jpg
wfo-0000147065	Adiantum erylliae. Drawing	img-THA-0000147065.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 16						https://botany.dnp.go.th/image/flora/3/PTER_fig16.jpg
wfo-0001107908	Adiantum soboliferum. Drawing	img-THA-0001107908.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 16						https://botany.dnp.go.th/image/flora/3/PTER_fig16.jpg
wfo-0001122291	Adiantum stenochlamys. Drawing	img-THA-0001122291.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 16						https://botany.dnp.go.th/image/flora/3/PTER_fig16.jpg
wfo-0001274410	Adiantum zollingeri. Drawing	img-THA-0001274410.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 16						https://botany.dnp.go.th/image/flora/3/PTER_fig16.jpg
wfo-0000521489	Aegiceras corniculatum. Drawing	img-THA-0000521489.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, Chi-ming Hu"	Forest Herbarium	Figure 83						https://botany.dnp.go.th/image/flora/6/MYRS_Figure83.jpg
wfo-0000521508	Aeginetia indica. Drawing	img-THA-0000521508.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell	Forest Herbarium	Figure 1: A						https://botany.dnp.go.th/image/flora/9/OROB_Fig1.jpg
wfo-0000521515	Aeginetia pedunculata. Drawing	img-THA-0000521515.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			J. Parnell	Forest Herbarium	Figure 1: B						https://botany.dnp.go.th/image/flora/9/OROB_Fig1.jpg
wfo-0000521801	Aerva sanguinolenta. Drawing	img-THA-0000521801.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 86						https://botany.dnp.go.th/image/flora/5/AMAR_Fig86.jpg
wfo-0000522240	Aesculus assamica. Drawing	img-THA-0000522240.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/2/HIPP_fig1.jpg
wfo-0000186209	Afzelia xylocarpa. Drawing	img-THA-0000186209.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"K. Larsen, S.S. Larsen, J.E. Vidal"	Forest Herbarium	Figure 31						https://botany.dnp.go.th/image/flora/4/LEGU_Fig31.jpg
wfo-0000896264	Aganonerion polymorphum. Drawing	img-THA-0000896264.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 45						https://botany.dnp.go.th/image/flora/7/APOC_figure45.jpg
wfo-0000899440	Aganosma marginata. Drawing	img-THA-0000899440.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 33						https://botany.dnp.go.th/image/flora/7/APOC_figure33.jpg
wfo-0000900621	Aganosma siamensis. Drawing	img-THA-0000900621.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 34						https://botany.dnp.go.th/image/flora/7/APOC_figure34.jpg
wfo-0001125793	Aglaomorpha coronans. Drawing	img-THA-0001125793.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 55						https://botany.dnp.go.th/image/flora/3/PTER_fig55.jpg
wfo-0000925540	Agrostistachys borneensis. Drawing	img-THA-0000925540.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 8						https://botany.dnp.go.th/image/flora/8/EUPH_Fig8.jpg
wfo-0000192577	Albizia attopeuensis. Drawing	img-THA-0000192577.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 45						https://botany.dnp.go.th/image/flora/4/LEGU_Fig45.jpg
wfo-0000182103	Albizia chinensis. Drawing	img-THA-0000182103.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 46						https://botany.dnp.go.th/image/flora/4/LEGU_Fig46.jpg
wfo-0000196892	Albizia corniculata. Drawing	img-THA-0000196892.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 50						https://botany.dnp.go.th/image/flora/4/LEGU_Fig50.jpg
wfo-0000196901	Albizia crassiramea. Drawing	img-THA-0000196901.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 48						https://botany.dnp.go.th/image/flora/4/LEGU_Fig48.jpg
wfo-0000199744	Albizia garrettii. Drawing	img-THA-0000199744.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 45						https://botany.dnp.go.th/image/flora/4/LEGU_Fig45.jpg
wfo-0000199751	Albizia Iebbekoides. Drawing	img-THA-0000199751.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 49						https://botany.dnp.go.th/image/flora/4/LEGU_Fig49.jpg
wfo-0000184271	Albizia lebbeck. Drawing	img-THA-0000184271.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 46						https://botany.dnp.go.th/image/flora/4/LEGU_Fig46.jpg
wfo-0000196896	Albizia lucidior. Drawing	img-THA-0000196896.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 47						https://botany.dnp.go.th/image/flora/4/LEGU_Fig47.jpg
wfo-0000199754	Albizia myriophylla. Drawing	img-THA-0000199754.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 50						https://botany.dnp.go.th/image/flora/4/LEGU_Fig50.jpg
wfo-0000185541	Albizia odoratissima. Drawing	img-THA-0000185541.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 49						https://botany.dnp.go.th/image/flora/4/LEGU_Fig49.jpg
wfo-0000186098	Albizia procera. Drawing	img-THA-0000186098.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 48						https://botany.dnp.go.th/image/flora/4/LEGU_Fig48.jpg
wfo-0000188054	Albizia retusa. Drawing	img-THA-0000188054.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Nielsen	Forest Herbarium	Figure 47						https://botany.dnp.go.th/image/flora/4/LEGU_Fig47.jpg
wfo-0000939798	Alchornea rugosa. Drawing	img-THA-0000939798.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 9						https://botany.dnp.go.th/image/flora/8/EUPH_Fig9.jpg
wfo-0000940007	Alchornea tiliifolia. Drawing	img-THA-0000940007.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 10						https://botany.dnp.go.th/image/flora/8/EUPH_Fig10.jpg
wfo-0000940858	Aleurites moluccana. Drawing	img-THA-0000940858.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 11						https://botany.dnp.go.th/image/flora/8/EUPH_Fig11.jpg
wfo-0000755470	Alisma plantago-aquatica. Drawing	img-THA-0000755470.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			R.R. Haynes	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/7/ALIS_Fig1.jpg
wfo-0000943159	Allamanda cathartica. Drawing	img-THA-0000943159.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 23						https://botany.dnp.go.th/image/flora/7/APOC_figure23.jpg
wfo-0000526239	Allmania nodiflora. Drawing	img-THA-0000526239.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 84						https://botany.dnp.go.th/image/flora/5/AMAR_Fig84.jpg
wfo-0000526604	Allophylus cobbe. Drawing	img-THA-0000526604.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 4						https://botany.dnp.go.th/image/flora/7/SAPI_figure4.jpg
wfo-0000526604	Allophylus cobbe. Drawing	img-THA-0000526604.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 5						https://botany.dnp.go.th/image/flora/7/SAPI_figure5.jpg
wfo-0000528348	Alsomitra macrocarpa. Drawing	img-THA-0000528348.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 1						https://botany.dnp.go.th/image/flora/9/CUCU_Fig1.jpg
wfo-0000528348	Alsomitra macrocarpa. Drawing	img-THA-0000528348.2	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 2						https://botany.dnp.go.th/image/flora/9/CUCU_Fig2.jpg
wfo-0000528348	Alsomitra macrocarpa. Drawing	img-THA-0000528348.3	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			W.J.J.O. de Wilde & B.E.E. Duyfjes	Forest Herbarium	Figure 51: E						https://botany.dnp.go.th/image/flora/9/CUCU_Fig51.jpg
wfo-0000952121	Alstonia curtisii. Drawing	img-THA-0000952121.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/7/APOC_figure14.jpg
wfo-0000953059	Alstonia spatulata. Drawing	img-THA-0000953059.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 15						https://botany.dnp.go.th/image/flora/7/APOC_figure15.jpg
wfo-0000528787	Alternanthera pungens. Drawing	img-THA-0000528787.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 90						https://botany.dnp.go.th/image/flora/5/AMAR_Fig90.jpg
wfo-0000528825	Alternanthera sessilis. Drawing	img-THA-0000528825.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 90						https://botany.dnp.go.th/image/flora/5/AMAR_Fig90.jpg
wfo-0000529089	Altingia excelsa. Drawing	img-THA-0000529089.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			C. Phengklai	Forest Herbarium	Figure 19						https://botany.dnp.go.th/image/flora/7/HAMA_Fig19.jpg
wfo-0000956024	Alyxia reinwardtii. Drawing	img-THA-0000956024.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 18						https://botany.dnp.go.th/image/flora/7/APOC_figure18.jpg
wfo-0000956428	Alyxia siamensis. Drawing	img-THA-0000956428.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 19						https://botany.dnp.go.th/image/flora/7/APOC_figure19.jpg
wfo-0000957585	Amalocalyx microlobus. Drawing	img-THA-0000957585.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 39						https://botany.dnp.go.th/image/flora/7/APOC_figure39.jpg
wfo-0000530322	Amaranthus lividus. Drawing	img-THA-0000530322.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 85						https://botany.dnp.go.th/image/flora/5/AMAR_Fig85.jpg
wfo-0000530495	Amaranthus spinosus. Drawing	img-THA-0000530495.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 85						https://botany.dnp.go.th/image/flora/5/AMAR_Fig85.jpg
wfo-0000530523	Amaranthus tricolor. Drawing	img-THA-0000530523.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 85						https://botany.dnp.go.th/image/flora/5/AMAR_Fig85.jpg
wfo-0000530552	Amaranthus viridis. Drawing	img-THA-0000530552.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 85						https://botany.dnp.go.th/image/flora/5/AMAR_Fig85.jpg
wfo-0000530896	Amesiodendron chinense. Drawing	img-THA-0000530896.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			P.C. van Welzen	Forest Herbarium	Figure 6						https://botany.dnp.go.th/image/flora/7/SAPI_figure6.jpg
wfo-0000533338	Anamirta cocculus. Drawing	img-THA-0000533338.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			L.L. Forman	Forest Herbarium	Figure 75						https://botany.dnp.go.th/image/flora/5/MENI_Fig_75.jpg
wfo-0000158728	Anerincleistus pedunculatus. Drawing	img-THA-0000158728.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"S.S. Renner, G. Clausing, N. Cellinese, K.Meyer"	Forest Herbarium	Figure 25						https://botany.dnp.go.th/image/flora/7/MELA_Fig25.jpg
wfo-0000536042	Anethum graveolens. Drawing	img-THA-0000536042.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Hedge and J.M. Lamond	Forest Herbarium	Figure 98						https://botany.dnp.go.th/image/flora/5/UMBEL_Fig98.jpg
wfo-0000537190	Anisadenia saxatilis. Drawing	img-THA-0000537190.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Larsen	Forest Herbarium	Figure 87						https://botany.dnp.go.th/image/flora/6/LINA_Figure87.jpg
wfo-0001115202	Anisocampium cumingianum. Drawing	img-THA-0001115202.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 47						https://botany.dnp.go.th/image/flora/3/PTER_fig47.jpg
wfo-0000216131	Anodendron paniculatum. Drawing	img-THA-0000216131.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 40						https://botany.dnp.go.th/image/flora/7/APOC_figure40.jpg
wfo-0000216151	Anodendron punctatum. Drawing	img-THA-0000216151.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			D.J. Middleton	Forest Herbarium	Figure 41						https://botany.dnp.go.th/image/flora/7/APOC_figure41.jpg
wfo-0000234922	Antidesma acidum. Drawing	img-THA-0000234922.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 14						https://botany.dnp.go.th/image/flora/8/EUPH_Fig14.jpg
wfo-0000235333	Antidesma bunius. Drawing	img-THA-0000235333.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 15						https://botany.dnp.go.th/image/flora/8/EUPH_Fig15.jpg
wfo-0001116636	Antrophyum parvulum. Drawing	img-THA-0001116636.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 17						https://botany.dnp.go.th/image/flora/3/PTER_fig17.jpg
wfo-0000153740	Antrophyum winitii. Drawing	img-THA-0000153740.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			"M. Tagawa, K. Iwatsuki"	Forest Herbarium	Figure 17						https://botany.dnp.go.th/image/flora/3/PTER_fig17.jpg
wfo-0000540626	Apium graveolens. Drawing	img-THA-0000540626.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			I.C. Hedge and J.M. Lamond	Forest Herbarium	Figure 98						https://botany.dnp.go.th/image/flora/5/UMBEL_Fig98.jpg
wfo-0000760971	Aponogeton lakhonensis. Drawing	img-THA-0000760971.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			R.R. Haynes	Forest Herbarium	Figure 4						https://botany.dnp.go.th/image/flora/7/APON_Fig4.jpg
wfo-0000248265	Aporosa arborea. Drawing	img-THA-0000248265.1	Forest Herbarium	All rights reserved	jpg	Flora of Thailand		Rachun Pooma			K. Chayamarit & P.C. van Welzen	Forest Herbarium	Figure 16: A–B						https://botany.dnp.go.th/image/flora/8/EUPH_Fig16.jpg
