WFOID	identifier	bibliographicCitation	URI
wfo-0000544165	ref-THA-0000544165	"Ardisia curvistyla. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 151. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01677
wfo-0000544170	ref-THA-0000544170	"Ardisia cymosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 95. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01591
wfo-0000544252	ref-THA-0000544252	"Ardisia eglandulosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 93. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01587
wfo-0000544255	ref-THA-0000544255	"Ardisia elliptica. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 128. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01635
wfo-0000544295	ref-THA-0000544295	"Ardisia ferrugineopilosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 97. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01592
wfo-0000544297	ref-THA-0000544297	"Ardisia ficifolia. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 128. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01634
wfo-0000544301	ref-THA-0000544301	"Ardisia fimbriata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 148. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01675
wfo-0000544306	ref-THA-0000544306	"Ardisia fletcheri. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 91. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01586
wfo-0000544318	ref-THA-0000544318	"Ardisia fordii. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 89. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01584
wfo-0000544331	ref-THA-0000544331	"Ardisia fulva. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 119. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01620
wfo-0000544338	ref-THA-0000544338	"Ardisia furva. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 126. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01629
wfo-0000544353	ref-THA-0000544353	"Ardisia gigantifolia. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 149. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01676
wfo-0000544376	ref-THA-0000544376	"Ardisia gracillima. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 123. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01626
wfo-0000544408	ref-THA-0000544408	"Ardisia helferiana. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 118. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01619
wfo-0000544444	ref-THA-0000544444	"Ardisia impressa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 84. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01575
wfo-0000544452	ref-THA-0000544452	"Ardisia integra. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 99. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01594
wfo-0000544457	ref-THA-0000544457	"Ardisia ionantha. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 118. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01618
wfo-0000544491	ref-THA-0000544491	"Ardisia kerrii. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 89. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01583
wfo-0001276110	ref-THA-0001276110	"Ardisia labisiifolia. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 102. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01598
wfo-0000544521	ref-THA-0000544521	"Ardisia lanceolata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 113. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01614
wfo-0000544585	ref-THA-0000544585	"Ardisia longipedicellata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 142. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01652
wfo-0000544617	ref-THA-0000544617	"Ardisia maculosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 138. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01650
wfo-0000544620	ref-THA-0000544620	"Ardisia maehongsonia. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 120. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01623
wfo-0000544624	ref-THA-0000544624	"Ardisia maingayi. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 147. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01671
wfo-0000544710	ref-THA-0000544710	"Ardisia montana. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 99. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01596
wfo-0000544730	ref-THA-0000544730	"Ardisia multipunctata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 125. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01627
wfo-0000544733	ref-THA-0000544733	"Ardisia murtonii. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 107. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01606
wfo-0000544757	ref-THA-0000544757	"Ardisia nervosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 93. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01588
wfo-0000544798	ref-THA-0000544798	"Ardisia odontophylla. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 146. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01670
wfo-0000544833	ref-THA-0000544833	"Ardisia oxyphylla. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 129. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01637
wfo-0000544840	ref-THA-0000544840	"Ardisia pachysandra. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 87. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01580
wfo-0000544848	ref-THA-0000544848	"Ardisia palustris. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 115. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01615
wfo-0000544855	ref-THA-0000544855	"Ardisia paralleloneura. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 102. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01599
wfo-0000544877	ref-THA-0000544877	"Ardisia pedunculata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 122. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01624
wfo-0000544922	ref-THA-0000544922	"Ardisia pilosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 142. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01653
wfo-0000544941	ref-THA-0000544941	"Ardisia polycephala. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 131. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01638
wfo-0000544987	ref-THA-0000544987	"Ardisia puberula. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 104. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01601
wfo-0000545004	ref-THA-0000545004	"Ardisia punicea. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 94. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01589
wfo-0000545011	ref-THA-0000545011	"Ardisia pusilla. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 146. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01659
wfo-0000545028	ref-THA-0000545028	"Ardisia quinquegona. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 91. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01585
wfo-0000545075	ref-THA-0000545075	"Ardisia ridleyi. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 143. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01654
wfo-0000545077	ref-THA-0000545077	"Ardisia rigida. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 108. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01607
wfo-0001389826	ref-THA-0001389826	"Ardisia rigida laevis. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 110. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01609
wfo-0000545090	ref-THA-0000545090	"Ardisia rosea. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 138. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01649
wfo-0000545102	ref-THA-0000545102	"Ardisia rubroglandulosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 95. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01590
wfo-0000545233	ref-THA-0000545233	"Ardisia stipitata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 143. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01655
wfo-0000545248	ref-THA-0000545248	"Ardisia subpilosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 125. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01628
wfo-0000545255	ref-THA-0000545255	"Ardisia sumatrana. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 112. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01613
wfo-0000545258	ref-THA-0000545258	"Ardisia symplocifolia. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 141. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01651
wfo-0000545283	ref-THA-0000545283	"Ardisia tetramera. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 107. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01604
wfo-0000545305	ref-THA-0000545305	"Ardisia translucida. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 133. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01640
wfo-0000545314	ref-THA-0000545314	"Ardisia tristis. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 97. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01593
wfo-0000545320	ref-THA-0000545320	"Ardisia tuberculata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 104. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01600
wfo-0000545337	ref-THA-0000545337	"Ardisia undulatodentata. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 86. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01578
wfo-0000545341	ref-THA-0000545341	"Ardisia uniflora. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 84. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01574
wfo-0000545370	ref-THA-0000545370	"Ardisia villosa. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 144. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01656
wfo-0000545379	ref-THA-0000545379	"Ardisia virens. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 134. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01644
wfo-0000545388	ref-THA-0000545388	"Ardisia wallichii. Flora of Thailand. Vol. 6. Part 2, 1996. Pg. 122. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01625
wfo-0000546980	ref-THA-0000546980	"Arfeuillea arborescens. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 185. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02331
wfo-0000547534	ref-THA-0000547534	"Aristolochia arenicola. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 3. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00896
wfo-0000547713	ref-THA-0000547713	"Aristolochia curtisii. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 8. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00899
wfo-0000547763	ref-THA-0000547763	"Aristolochia elegans. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 13. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00902
wfo-0000547853	ref-THA-0000547853	"Aristolochia grandis. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 20. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00907
wfo-0000547862	ref-THA-0000547862	"Aristolochia harmandiana. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 3. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00897
wfo-0000547872	ref-THA-0000547872	"Aristolochia helix. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 6. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00898
wfo-0000547943	ref-THA-0000547943	"Aristolochia kerrii. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 18. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00905
wfo-0000548202	ref-THA-0000548202	"Aristolochia pierrei. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 15. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00904
wfo-0000548223	ref-THA-0000548223	"Aristolochia pothieri. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 10. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00900
wfo-0000548271	ref-THA-0000548271	"Aristolochia ringens. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 12. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00901
wfo-0000548379	ref-THA-0000548379	"Aristolochia tagala. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 15. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00903
wfo-0000548456	ref-THA-0000548456	"Aristolochia versicolor. Flora of Thailand. Vol. 5. Part 1, 1987. Pg. 18. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00906
wfo-0000276216	ref-THA-0000276216	"Aromadendron elegans. Flora of Thailand. Vol. 2. Part 3, 1975. Pg. 259. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00438
wfo-0000549895	ref-THA-0000549895	"Artanema longifolium. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 176. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01123
wfo-0001255220	ref-THA-0001255220	"Arthromeris amplexifolia. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 565. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0759
wfo-0001117818	ref-THA-0001117818	"Arthromeris lehmannii. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 567. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0761
wfo-0000147888	ref-THA-0000147888	"Arthromeris phuluangensis. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 565–567. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0760
wfo-0001125813	ref-THA-0001125813	"Arthromeris tatsienensis. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 564–565. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0758
wfo-0001107754	ref-THA-0001107754	"Arthropteris palisotii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 178–179. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0266
wfo-0000550703	ref-THA-0000550703	"Arytera litoralis. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 187. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02333
wfo-0000340706	ref-THA-0000340706	"Ascolepis dipsacoides. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 403. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02014
wfo-0000340708	ref-THA-0000340708	"Ascolepis dipsacoides siamensis. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 403. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=02015
wfo-0000340746	ref-THA-0000340746	"Ascolepis pusilla. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 405. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02016
wfo-0000552287	ref-THA-0000552287	"Aspidocarya uvifera. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 333. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01456
wfo-0000552347	ref-THA-0000552347	"Aspidopterys concava. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 288. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01406
wfo-0000552372	ref-THA-0000552372	"Aspidopterys hirsuta. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 293. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01409
wfo-0000552383	ref-THA-0000552383	"Aspidopterys nutans. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 291. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01408
wfo-0000552401	ref-THA-0000552401	"Aspidopterys thorelii. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 295. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01410
wfo-0000552402	ref-THA-0000552402	"Aspidopterys tomentosa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 289. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01407
wfo-0001108093	ref-THA-0001108093	"Asplenium affine. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 288–289. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0411
wfo-0001122737	ref-THA-0001122737	"Asplenium antrophyoides. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 270. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0386
wfo-0000152868	ref-THA-0000152868	"Asplenium batuense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 264. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0375
wfo-0001109307	ref-THA-0001109307	"Asplenium caudatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 284. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0406
wfo-0001115210	ref-THA-0001115210	"Asplenium cheilosorum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 279–280. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0398
wfo-0000153991	ref-THA-0000153991	"Asplenium confusum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 289–290. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0412
wfo-0001118246	ref-THA-0001118246	"Asplenium crinicaule. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 284–285. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0407
wfo-0001125539	ref-THA-0001125539	"Asplenium delavayi. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 263–264. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0374
wfo-0001116665	ref-THA-0001116665	"Asplenium ensiforme. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 266. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0376
wfo-0001116261	ref-THA-0001116261	"Asplenium excisum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 278. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0396
wfo-0001109315	ref-THA-0001109315	"Asplenium exiguum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 290. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0413
wfo-0001110133	ref-THA-0001110133	"Asplenium falcatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 284. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0405
wfo-0001126705	ref-THA-0001126705	"Asplenium grevillei. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 269–270. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0384
wfo-0001275647	ref-THA-0001275647	"Asplenium humbertii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 270. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0385
wfo-0001122745	ref-THA-0001122745	"Asplenium interjectum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 276–277. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0394
wfo-0000157261	ref-THA-0000157261	"Asplenium longissimum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 281–282. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0401
wfo-0001108064	ref-THA-0001108064	"Asplenium macrophyllum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 283–284. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0404
wfo-0001108020	ref-THA-0001108020	"Asplenium nidus. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 266–267. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0377
wfo-0001125540	ref-THA-0001125540	"Asplenium nidus nidus. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 267. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=F0378
wfo-0000158070	ref-THA-0000158070	"Asplenium nitidum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 286–288. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0410
wfo-0001108058	ref-THA-0001108058	"Asplenium normale. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 280. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0399
wfo-0001108025	ref-THA-0001108025	"Asplenium obscurum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 279. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0397
wfo-0000158217	ref-THA-0000158217	"Asplenium paradoxum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 282–283. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0403
wfo-0001108076	ref-THA-0001108076	"Asplenium pellucidum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 282. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0402
wfo-0000158243	ref-THA-0000158243	"Asplenium perakense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 286. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0409
wfo-0001118135	ref-THA-0001118135	"Asplenium phyllitidis. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 268. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0380
wfo-0001275642	ref-THA-0001275642	"Asplenium rockii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 290–291. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0414
wfo-0001125541	ref-THA-0001125541	"Asplenium salignum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 272–273. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0389
wfo-0001128165	ref-THA-0001128165	"Asplenium scortechinii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 271–272. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0388
wfo-0000159274	ref-THA-0000159274	"Asplenium siamense. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 281. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0400
wfo-0001227409	ref-THA-0001227409	"Asplenium simonsianum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 269. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0383
wfo-0001237618	ref-THA-0001237618	"Asplenium squamulatum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 271. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0387
wfo-0001116683	ref-THA-0001116683	"Asplenium tenerum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 273. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0390
wfo-0001115217	ref-THA-0001115217	"Asplenium tenuifolium. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 274–276. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0392
wfo-0001108108	ref-THA-0001108108	"Asplenium thunbergii. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 274. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0391
wfo-0001107227	ref-THA-0001107227	"Asplenium unilaterale. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 277–278. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0395
wfo-0001109367	ref-THA-0001109367	"Asplenium varians. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 276. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0393
wfo-0001114942	ref-THA-0001114942	"Asplenium yoshinagae. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 285–286. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0408
