WFOID	identifier	bibliographicCitation	URI
wfo-0000254905	ref-THA-0000254905	"Acalypha wilkesiana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 32. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03134
wfo-0000516166	ref-THA-0000516166	"Achyranthes ancistrophora. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 394. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01237
wfo-0000516177	ref-THA-0000516177	"Achyranthes aspera. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 395. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01238
wfo-0000516220	ref-THA-0000516220	"Achyranthes bidentata. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 395. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01239
wfo-0001046384	ref-THA-0001046384	"Achyranthes bidentata bidentata. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 397. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01240
wfo-0000328936	ref-THA-0000328936	"Acmena acuminatissima. Flora of Thailand. Vol. 7. Part 4, 2002. Pg. 780. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02951
wfo-0000211685	ref-THA-0000211685	"Acrocarpus fraxinifolius. Flora of Thailand. Vol. 4. Part 1, 1984. Pg. 50. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00688
wfo-0000157764	ref-THA-0000157764	"Acrophorus stipellatus. Flora of Thailand. Vol. 3. Part 3, 1988. Pg. 328–330. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0462
wfo-0000144933	ref-THA-0000144933	"Acrosorus triangularis. Flora of Thailand. Vol. 3. Part 4, 1989. Pg. 597–598. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0807
wfo-0001107183	ref-THA-0001107183	"Acrostichum aureum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0368
wfo-0001107876	ref-THA-0001107876	"Acrostichum speciosum. Flora of Thailand. Vol. 3. Part 2, 1989. Pg. 258–259. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=F0369
wfo-0000518969	ref-THA-0000518969	"Acrotrema costatum. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 104. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00198
wfo-0000577653	ref-THA-0000577653	"Actephila excelsa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 35. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03137
wfo-0000589140	ref-THA-0000589140	"Actephila javanica. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 38. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03138
wfo-0000601960	ref-THA-0000601960	"Actephila ovalis. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 38. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03139
wfo-0000519280	ref-THA-0000519280	"Actinidia latifolia. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00260
wfo-0000519327	ref-THA-0000519327	"Actinidia rubricaulis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 140. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00261
wfo-0000337412	ref-THA-0000337412	"Actinoschoenus thouarsii. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 419. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02036
wfo-0000337413	ref-THA-0000337413	"Actinoscirpus grossus. Flora of Thailand. Vol. 6. Part 4, 1998. Pg. 274. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01833
wfo-0000173869	ref-THA-0000173869	"Adenanthera pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00787
wfo-0001387138	ref-THA-0001387138	"Adenanthera pavonina microsperma. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 140. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00789
wfo-0000209692	ref-THA-0000209692	"Adenanthera pavonina pavonina. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 139. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00788
wfo-0000764069	ref-THA-0000764069	"Adenium obesum. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 78. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02205
wfo-0000520275	ref-THA-0000520275	"Adenosma caerulea. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 147. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01081
