WFOID	localId
wfo-0000544376	302
wfo-0000544408	303
wfo-0000544444	304
wfo-0001389825	305
wfo-0000544452	307
wfo-0000544457	308
wfo-0000544491	309
wfo-0001276110	310
wfo-0000544521	311
wfo-0000544585	312
wfo-0000544617	313
wfo-0000544620	314
wfo-0000544624	315
wfo-0000544710	316
wfo-0000544730	317
wfo-0000544733	318
wfo-0000544757	319
wfo-0000544798	320
wfo-0000544833	321
wfo-0000544840	322
wfo-0000544848	323
wfo-0000544855	324
wfo-0000544877	325
wfo-0000544922	326
wfo-0000544941	327
wfo-0000544955	328
wfo-0000544987	329
wfo-0000545004	330
wfo-0000545011	331
wfo-0000545028	332
wfo-0000545075	333
wfo-0000545077	334
wfo-0001389826	335
wfo-0000545090	337
wfo-0000545102	338
wfo-0000545233	339
wfo-0000545248	340
wfo-0000545255	341
wfo-0000545258	342
wfo-0000545283	343
wfo-0000545305	344
wfo-0000545314	345
wfo-0000545320	346
wfo-0000545337	347
wfo-0000545341	348
wfo-0000545370	349
wfo-0000545379	350
wfo-0000545388	351
wfo-0000546980	352
wfo-0000547534	353
wfo-0000548292	354
wfo-0000547713	355
wfo-0000547763	356
wfo-0000547853	357
wfo-0000547862	358
wfo-0000547872	359
wfo-0000547943	360
wfo-0000548202	361
wfo-0000548223	362
wfo-0000548271	363
wfo-0000548379	364
wfo-0000548456	365
wfo-0000276216	366
wfo-0000549895	367
wfo-0001255220	368
wfo-0001117818	369
wfo-0000147888	370
wfo-0001125813	371
wfo-0001107754	372
wfo-0000550703	373
wfo-0000340706	374
wfo-0000340708	375
wfo-0000340746	376
wfo-0000552287	377
wfo-0000552347	378
wfo-0000552372	379
wfo-0000552383	380
wfo-0000552401	382
wfo-0000552402	383
wfo-0001108093	384
wfo-0001122737	385
wfo-0000152868	386
wfo-0001109307	387
wfo-0001115210	388
wfo-0000153991	389
wfo-0001118246	390
wfo-0001125539	391
wfo-0001116665	392
wfo-0001116261	393
wfo-0001109315	394
wfo-0001110133	395
wfo-0001126705	396
wfo-0001275647	397
wfo-0001122745	398
wfo-0000157261	399
wfo-0001108064	400
wfo-0001108020	401
wfo-0001125540	403
wfo-0000158070	404
wfo-0001108058	405
wfo-0001108025	406
wfo-0000158217	407
wfo-0001108076	408
wfo-0000158243	409
wfo-0001118135	410
wfo-0001275642	413
wfo-0001125541	414
wfo-0001128165	415
wfo-0000159274	416
wfo-0001227409	417
wfo-0001237618	418
wfo-0001116683	419
wfo-0001115217	420
wfo-0001108108	421
wfo-0001107227	422
wfo-0001109367	423
wfo-0001114942	424
wfo-0000552878	425
wfo-0001117798	426
wfo-0001117797	427
wfo-0001118527	428
wfo-0001122800	429
wfo-0000301941	430
wfo-0000557404	431
wfo-0000557405	432
wfo-0000558019	433
wfo-0001109619	434
wfo-0001107239	435
wfo-0000304430	436
wfo-0000304473	437
wfo-0000304837	438
wfo-0000304880	439
wfo-0000304892	440
wfo-0000304975	441
wfo-0000305017	442
wfo-0000305136	443
wfo-0000305238	444
wfo-0000305259	445
wfo-0000305368	446
wfo-0000305379	447
wfo-0000305568	448
wfo-0000558250	449
wfo-0000558282	450
wfo-0000310830	451
wfo-0000313210	452
wfo-0000558623	453
wfo-0000558657	454
wfo-0000558661	456
wfo-0000558666	457
wfo-0000558697	458
wfo-0000558698	459
wfo-0000314238	460
wfo-0000314537	461
wfo-0000559923	462
wfo-0000781260	463
wfo-0000781261	464
wfo-0000823202	465
wfo-0000212858	467
wfo-0000199456	468
wfo-0000199460	469
wfo-0000199461	470
wfo-0000212869	471
wfo-0000196998	472
wfo-0000199470	473
wfo-0000199491	474
wfo-0000199492	475
wfo-0000199498	476
wfo-0000199501	477
wfo-0000199508	478
wfo-0000197091	479
wfo-0001056091	481
wfo-0000199516	482
wfo-0000199517	483
wfo-0000199518	484
wfo-0000196986	485
wfo-0000199522	486
wfo-0000199526	487
wfo-0000199533	488
wfo-0000199536	489
wfo-0000213034	490
wfo-0000199545	491
wfo-0000197074	492
wfo-0001388117	493
wfo-0000197084	494
wfo-0000199554	495
wfo-0000199557	496
wfo-0000199563	497
wfo-0000199565	498
wfo-0000199558	499
wfo-0000199568	500
wfo-0000199570	501
wfo-0000199573	502
wfo-0000199575	503
wfo-0000213155	504
wfo-0000213166	505
wfo-0000199579	506
wfo-0000199581	507
wfo-0000199582	508
wfo-0000197019	509
wfo-0000197024	510
wfo-0000199592	511
wfo-0000199594	512
wfo-0000213258	513
wfo-0000199598	514
wfo-0000213330	515
wfo-0000196990	516
wfo-0001388119	517
wfo-0000196995	518
wfo-0000199604	519
wfo-0000197050	520
wfo-0000321708	521
wfo-0000321774	522
wfo-0000321794	523
wfo-0000321804	524
wfo-0001128375	525
wfo-0001230270	526
wfo-0001115943	527
wfo-0000147896	528
wfo-0000508548	529
wfo-0000508549	530
wfo-0000564422	531
wfo-0000564428	532
wfo-0000565432	533
wfo-0000565517	534
wfo-0000565522	535
wfo-0000565531	536
wfo-0000565549	537
wfo-0000342237	538
wfo-0000342784	539
wfo-0000342951	540
wfo-0001280636	541
wfo-0001121797	543
wfo-0001107240	544
wfo-0000346903	545
wfo-0000346984	546
wfo-0000770592	547
wfo-0001066601	548
wfo-0000770593	549
wfo-0000770609	550
wfo-0000773026	551
wfo-0000770622	552
wfo-0000567916	554
wfo-0000567944	555
wfo-0001125337	556
wfo-0001114885	557
wfo-0000146743	558
wfo-0001125338	559
wfo-0001117296	561
wfo-0001043580	562
wfo-0001257601	563
wfo-0000146793	564
wfo-0000146794	567
wfo-0001127909	568
wfo-0001115227	569
wfo-0001381624	570
wfo-0000341695	572
wfo-0000341696	573
wfo-0000568339	574
wfo-0000568340	575
wfo-0000568369	576
wfo-0000568432	577
wfo-0001115231	578
wfo-0000364477	579
wfo-0000367704	580
wfo-0000570356	581
wfo-0000570357	582
wfo-0000570662	583
wfo-0000570704	584
wfo-0000570710	585
wfo-0001122823	586
wfo-0000570797	587
wfo-0000410969	588
wfo-0000412023	589
wfo-0000412068	590
wfo-0000412593	591
wfo-0000412635	592
wfo-0000413990	593
wfo-0000414213	594
wfo-0000415036	595
wfo-0000415424	596
wfo-0000417578	597
wfo-0000417921	598
wfo-0000418760	599
wfo-0000419825	600
wfo-0000420159	601
wfo-0000423275	602
wfo-0000424897	603
wfo-0000427631	604
wfo-0000428079	605
