taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000000587,"forêt secondaire, dans les zones régulièrement brûlées ; au Gabon à ± 20 m d’altitude, ailleurs à 750–1800 m.",ecology,fre,,,,,ref-Gbn-0000000587,,
wfo-0000001172,"prairie arbustive ou arborescente ; au Gabon à 450–700 m, ailleurs à 1800–2200 m.",ecology,fre,,,,,ref-Gbn-0000001172,,
wfo-0000003652,"prairie sur sable du Kalahari ; au Gabon à 450–650 m d’altitude, ailleurs à 1500–2500 m.",ecology,fre,,,,,ref-Gbn-0000003652,,
wfo-0000009302,"marécages, bord des lacs et des rivières, entièrement aquatiques ou sur boue semi-liquide ; à 0–1950 m d’altitude.",ecology,fre,,,,,ref-Gbn-0000009302,,
wfo-0000009712,"pionnier colonisateur de sol nu en forêt, commun en station rudérale humide ; au Gabon à 0‒600 m d’altitude, ailleurs à 0–3100 m.",ecology,fre,,,,,ref-Gbn-0000009712,,
wfo-0000010343,"généralement en bordure de forêt ou en forêt marécageuse ; au Gabon à ± 500 m d’altitude, ailleurs à 0–2800 m.",ecology,fre,,,,,ref-Gbn-0000010343,,
wfo-0000011387,"pyrophyte, souvent en lisière forêt/prairie régulièrement brûlées ; pousse en touffes denses ; au Gabon à 100‒600 m d’altitude, ailleurs à 350–2500 m.",ecology,fre,,,,,ref-Gbn-0000011387,,
wfo-0000012549,"stations rudérales, comme les bords de route ; au Gabon à 0–700 m d’altitude, ailleurs à 0–2500 m.",ecology,fre,,,,,ref-Gbn-0000012549,,
wfo-0000012638,"prairie boisée, parfois considéré comme adventice pionnière des cultures ; au Gabon à 400–450 m d’altitude, ailleurs à 250–2850 m.",ecology,fre,,,,,ref-Gbn-0000012638,,
wfo-0000012703,"forêt secondaire, recru forestier, surtout sur sol sableux ; au Gabon à 450–900 m d’altitude, ailleurs altitude inconnue.",ecology,fre,,,,,ref-Gbn-0000012703,,
wfo-0000012752,"prairies, bords de route, stations rudérales ; à 0–2850 m d’altitude.",ecology,fre,,,,,ref-Gbn-0000012752,,
wfo-0000014938,"mauvaise herbe des cultures et s’en échappant, forêt secondaire et stations rudérales, souvent pionnière en bordure de route ; au Gabon (déjà présent en 1848) à 0–650 m d’altitude, ailleurs jusqu’à 2300 m.",ecology,fre,,,,,ref-Gbn-0000014938,,
