taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000024232,"Afrique occidentale, centrale et orientale, y compris le Nigéria, le Cameroun, la République démocratique du Congo, le Soudan du Sud, l’Ouganda, le Kenya, la Tanzanie et la Zambie ; à rechercher au Gabon (voir Notes).",distribution,fre,,,,,ref-Gbn-0000024232,,
wfo-0000027368,"en Afrique centrale, orientale et austro-orientale, y compris le Cameroun et la République démocratique du Congo ; au Gabon, connu du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000027368,,
wfo-0000031399,"Afrique de l’Ouest, centrale et de l’Est, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo et la République Centrafricaine ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Lolo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000031399,,
wfo-0000034728,"Nigéria, Cameroun, Sao Tomé-et-Principe ; au Gabon, connu de l’Estuaire, de la Ngounié et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000034728,,
wfo-0000035211,"répandu en Afrique tropicale, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connu du Haut-Ogooué, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000035211,,
wfo-0000037718,"Afrique occidentale et centrale, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; également en Amérique du Sud ; au Gabon, connu de l’Estuaire, de l’Ogooué-Lolo, de l’Ogooué-Maritime et du Woleu-Ntem. ",distribution,fre,,,,,ref-Gbn-0000037718,,
wfo-0000041890,"Afrique occidentale et centrale, y compris le Nigéria, le Cameroun et la République Centrafricaine ; au Gabon, connu d’une seule collection de l’Estuaire.",distribution,fre,,,,,ref-Gbn-0000041890,,
wfo-0000042164,"République du Congo, République démocratique du Congo, Angola, Zambie et Namibie ; au Gabon, connu du Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000042164,,
wfo-0000043626,"répandu en Afrique tropicale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu du Haut-Ogooué, de la Ngounié, de la Nyanga et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000043626,,
wfo-0000043646,"connu uniquement de culture et d’une origine inconnue, aussi subspontané ; au Gabon, connu du Haut-Ogooué (Plateaux Batéké).",distribution,fre,,,,,ref-Gbn-0000043646,,
wfo-0000043751,"mauvaise herbe pantropicale, aussi des régions tempérées, originaire de l’Amérique du Sud et répandue en Afrique tropicale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connue de l’Estuaire, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000043751,,
wfo-0000045675,"répandu en Afrique centrale, orientale et australe, y compris le Cameroun, la Guinée équatoriale, la République du Congo, la République démocratique du Congo et l’Angola ; également à Madagascar et au Yémen ; au Gabon, connu de l’Estuaire, du Moyen-Ogooué, de la Ngounié, de l’Ogooué-Ivindo et du Woleu-Ntem. ",distribution,fre,,,,,ref-Gbn-0000045675,,
wfo-0000046038,"Nigéria, Cameroun, République démocratique du Congo et Angola, ainsi que l’Afrique du Sud-Est ; au Gabon, connu du Haut-Ogooué et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000046038,,
wfo-0000050435,"Gabon, République du Congo, République démocratique du Congo, Angola ; Botswana, Namibie, Mozambique, Zambie, Zimbabwe et le nord de l’Afrique du Sud ; au Gabon, connu de la Nyanga et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000050435,,
wfo-0000052590,"originaire de l’Asie du Sud-Est, aujourd’hui introduit sur la plus grande partie de l’Afrique tropicale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connu de l’Estuaire, du Moyen-Ogooué, de la Nyanga, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000052590,,
wfo-0000059091,"du Ghana au Nigéria, à Sao Tomé-et-Príncipe, au Cameroun et en Guinée équatoriale ; au Gabon, connu de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000059091,,
wfo-0000060240,"Afrique occidentale et centrale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000060240,,
wfo-0000066268,"République du Congo, République démocratique du Congo, Angola et Zambie ; au Gabon, connu du Haut-Ogooué. ",distribution,fre,,,,,ref-Gbn-0000066268,,
wfo-0000067484,"originaire d’Amérique centrale, maintenant une mauvaise herbe problématique dans de nombreuses régions (sub-)tropicales, y compris le Nigéria, le Cameroun, la Guinée équatoriale, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola (Cabinda) ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué, de la Nyanga, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000067484,,
wfo-0000068556,"originaire de l’Amérique du Sud, mais maintenant une mauvaise herbe pantropicale ; en Afrique, présente dans presque tous les pays tropicaux dont le Nigéria, le Cameroun, la République Centrafricaine, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo et l’Angola ; au Gabon, connu de la Nyanga, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000068556,,
wfo-0000069777,"répandu en Afrique tropicale, à Madagascar et en Asie tropicale ; y compris le Nigéria, le Cameroun, la Guinée équatoriale, le Gabon, Sao Tomé-et-Principe, la République du Congo, la République démocratique du Congo, la République Centrafricaine, et l’Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de la Ngounié, de l’Ogooué-Ivindo, de l’Ogooué-Lolo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000069777,,
wfo-0000072251,"répandu en Afrique tropicale, y compris au sud-est du Nigéria, au Cameroun, en Guinée équatoriale, en République du Congo et en République démocratique du Congo ; au Gabon, connu de la Nyanga, de l’Ogooué-Lolo et du Woleu-Ntem. ",distribution,fre,,,,,ref-Gbn-0000072251,,
wfo-0000072744,"répandu en Afrique tropicale et au Yémen, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000072744,,
wfo-0000075063,"répandu en Afrique tropicale et subtropicale, à Madagascar et en Asie, y compris le Nigéria, le Cameroun et la République démocratique du Congo ; au Gabon, connu du Moyen-Ogooué, de la Nyanga, de l’Ogooué-Ivindo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000075063,,
wfo-0000075384,"originaire des Caraïbes, maintenant une mauvaise herbe pantropicale ; répandue en Afrique de l’Ouest, centrale et de l’Est, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, du Moyen-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000075384,,
wfo-0000076948,"originaire de l’Amérique tropicale, actuellement largement répandu comme mauvaise herbe pantropicale, y compris au Nigéria, au Cameroun et en République démocratique du Congo ; au Gabon, connu de l’Estuaire, de l’Ogooué-Ivindo et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000076948,,
wfo-0000077851,"Afrique de l’Ouest, y compris le Nigéria ; au Gabon, connu du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000077851,,
wfo-0000080652,"de la Côte d’Ivoire à la République démocratique du Congo, y compris le Nigéria, le Cameroun, la Guinée équatoriale et la République du Congo ; au Gabon, connu de l’Estuaire, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000080652,,
wfo-0000081271,"Gabon, République du Congo, République démocratique du Congo et Angola ; au Gabon, connu du Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000081271,,
wfo-0000084145,"du Nigéria à l’Éthiopie et au sud, en Angola et au Zimbabwe et jusqu’à Madagascar ; y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale et la République démocratique du Congo ; au Gabon, connu de la Ngounié, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000084145,,
wfo-0000084902,"Afrique de l’Ouest, du centre et de l’est au sud-est, y compris le Nigéria, le Cameroun, la République démocratique du Congo et l’Angola ; également en Asie tropicale ; au Gabon, connu de la Ngounié et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000084902,,
wfo-0000085247,"Afrique tropicale occidentale, centrale, orientale et méridionale, y compris le Nigéria, le Cameroun, la République du Congo et la République démocratique du Congo ; au Gabon, connu de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000085247,,
wfo-0000085274,"répandu en Afrique tropicale, du Sénégal à la Somalie et au sud à la Zambie, y compris le Nigéria, le Cameroun, la République démocratique du Congo et l’Angola ; au Gabon, connu de l’Estuaire (un seul spécimen récolté en 1899).",distribution,fre,,,,,ref-Gbn-0000085274,,
