taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000009712,"Préoccupation Mineure (LC) (UICN Liste Rouge, par Juffe, 2010a).",conservation,fre,,,,,ref-Gbn-0000009712,,
wfo-0000014938,"Préoccupation Mineure (LC) (UICN Liste Rouge, Ghogue 2010).",conservation,fre,,,,,ref-Gbn-0000014938,,
wfo-0000021260,"Préoccupation Mineure (LC) (UICN Liste Rouge, par Juffe, 2010b).",conservation,fre,,,,,ref-Gbn-0000021260,,
wfo-0000052590,Préoccupation mineure (LC) ; évalué pour la Liste Rouge de l’UICN par Beentje et al. (2019).,conservation,fre,,,,,ref-Gbn-0000052590,,
wfo-0000075063,"Préoccupation Mineure (LC) ; statut selon la Liste Rouge de l’UICN, évalué par Beentje et al. (2017).",conservation,fre,,,,,ref-Gbn-0000075063,,
wfo-0000085247,"Préoccupation Mineure (LC) (UICN Liste Rouge, par Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group, 2019a).",conservation,fre,,,,,ref-Gbn-0000085247,,
wfo-0000096838,"Préoccupation Mineure (LC) (UICN Liste Rouge, par Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group, 2019c).",conservation,fre,,,,,ref-Gbn-0000096838,,
wfo-0000108811,"Préoccupation Mineure (LC) ; statut selon la Liste Rouge de l’UICN, évalué par Lansdown & Beentje (2017).",conservation,fre,,,,,ref-Gbn-0000108811,,
wfo-0000132639,Évalué pour la Liste Rouge de l’UICN comme Vulnérable (VU) par Cheek (2004).,conservation,fre,,,,,ref-Gbn-0000132639,,
wfo-0000132960,"Préoccupation Mineure ; UICN Liste Rouge, Beentje, 2017 (LC).",conservation,fre,,,,,ref-Gbn-0000132960,,
wfo-0000136469,En danger (EN) ; proposé par Lachenaud et al. (2018).,conservation,fre,,,,,ref-Gbn-0000136469,,
wfo-0000215083,Largement répandu ; probablement Préoccupation mineure (LC).,conservation,fre,,,,,ref-Gbn-0000215083,,
wfo-0000216238,Préoccupation mineure (LC).,conservation,fre,,,,,ref-Gbn-0000216238,,
wfo-0000216490,Largement répandu ; probablement Préoccupation mineure (LC).,conservation,fre,,,,,ref-Gbn-0000216490,,
wfo-0000216771,Largement répandu ; probablement Préoccupation mineure (LC).,conservation,fre,,,,,ref-Gbn-0000216771,,
wfo-0000220564,À large répartition et attribué préliminairement à Préoccupation mineure (LC).,conservation,fre,,,,,ref-Gbn-0000220564,,
