taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000380986,"alt. 170-1600 m. Prairie saxicole, forêt-galerie ou le long de cours d'eau, parfois forêt submontagnarde, forêt primaire. Herbacée terrestre ou saxicole, parfois même épiphyte sur petit arbre à 5 m au-dessus du sol.",Habitat,fre,,,,,ref-Gbn-0000380986,,
wfo-0000381877,"alt. 500-2400 m. Sol argileux fin grisâtre très humide, prairie d'altitude, bordure de dembo et boisement clair à Brachystegia ou autre boisement ouvert.",Habitat,fre,,,,,ref-Gbn-0000381877,,
wfo-0000382672,"alt. 800-1800 m. Formation herbeuse, bordure de dembo, boisement clair à hautes herbes.",Habitat,fre,,,,,ref-Gbn-0000382672,,
wfo-0000934854,alt. 600 m. Sur tronc d'arbre couvert de mousse.,Habitat,fre,,,,,ref-Gbn-0000934854,,
wfo-0000332696,"herbacée terrestre en forêt primaire, sur sable, en bord de ruisseau.",Habitat,fre,,,,,ref-Gbn-0000332696,,
wfo-0000978084,"alt. 550-2400 m. Savane, forêt, fourré à Brachystegia, Combretum.",Habitat,fre,,,,,ref-Gbn-0000978084,,
wfo-0000978459,"alt. 0-1500 m. Savane côtière ou marécageuse, forêt ombrophile de plaine sur tronc et aisselle de branche de plusieurs espèces d'arbres, parmi les fougères et les mousses, mais surtout sur Elaeis guineensis, parfois aussi sur roche nue dans le lit d'un ruisseau ou aux endroits très ensoleillés.",Habitat,fre,,,,,ref-Gbn-0000978459,,
wfo-0000978717,"alt. 170-600 m. Forêt, mangrove, boisement en bord de rivière; herbacée terrestre ou saxicole ou épiphyte sur tronc d'arbre.",Habitat,fre,,,,,ref-Gbn-0000978717,,
wfo-0000978950,"alt. 50- ? m. Rocher moussu près de cours d'eau, en forêt submontagnarde; herbacée terrestre, lithophyte et épiphyte à 2 m au dessus du sol.",Habitat,fre,,,,,ref-Gbn-0000978950,,
wfo-0000978971,"alt. 600-1800 m. Prairie humide, dembo, savane.",Habitat,fre,,,,,ref-Gbn-0000978971,,
wfo-0000977281,"alt. 400-600 m. Herbacée terrestre de forêt ombrophile, primaire ou secondaire, forêt inondable à Sapotaceae, savane, lieu marécageux ouvert.",Habitat,fre,,,,,ref-Gbn-0000977281,,
wfo-0000977676,"alt. 80-2100 m. Herbacée terrestre sur sable pur ou sol argileux grisâtre fin et humide, en savane et prairie rase humide ou inondable.",Habitat,fre,,,,,ref-Gbn-0000977676,,
wfo-0000978626,"alt. 0-2550 m. Marécage, prairie humide sur sol mal drainé.",Habitat,fre,,,,,ref-Gbn-0000978626,,
wfo-0000279233,"alt. 350-1500 m. Forêt sempervirente, ripicole dense, semi-décidue à Sterculiaceae-Ulmaceae, galerie forestière.",Habitat,fre,,,,,ref-Gbn-0000279233,,
wfo-0000295572,inconnue.,Habitat,fre,,,,,ref-Gbn-0000295572,,
wfo-0000274896,"alt. 80-1500 m. Herbacée terrestre sur terreau grisâtre humide, sol sableux, marais humide, savane humide à très humide, prairie sableuse (à Pennisetum).",Habitat,fre,,,,,ref-Gbn-0000274896,,
wfo-0000925741,"alt. 0-1400 m. Forêt sempervirente en général de basse terre, en sous-bois très ombragé.",Habitat,fre,,,,,ref-Gbn-0000925741,,
wfo-0000979055,Au pied de rochers très humides en forêt. alt. 850-950 m.,Habitat,fre,,,,,ref-Gbn-0000979055,,
wfo-0000841507,"alt. 0-1158 m. Herbacée terrestre en forêt primaire humide de basse altitude et de contrefort montagneux, parfois sur rocher humide moussu à demi ombragé.",Habitat,fre,,,,,ref-Gbn-0000841507,,
wfo-0000841704,alt. 900-2450 m. A l'ombre épaisse du feuillage de l'étage forestier de forêt submontagnarde et de contrefort montagnard humide.,Habitat,fre,,,,,ref-Gbn-0000841704,,
wfo-0000335285,"alt. 400-1650 m. Lieu très ombragé, sur l'humus et sur rocher au fond de forêt ombrophile, près de rivière et chute d'eau.",Habitat,fre,,,,,ref-Gbn-0000335285,,
wfo-0000335298,alt. 300-650 m. Plante terrestre en galerie forestière et forêt ombrophile.,Habitat,fre,,,,,ref-Gbn-0000335298,,
wfo-0000335383,alt. 0-900 m. Forêt et zone boisée de basse altitude.,Habitat,fre,,,,,ref-Gbn-0000335383,,
wfo-0000981860,alt. 650-900 m. Herbacée terrestre en forêt dense humide de plaine et de contrefort montagneux.,Habitat,fre,,,,,ref-Gbn-0000981860,,
wfo-0000981875,"alt. 760 m. Herbacée terrestre de forêt humide, forêt primaire ombrophile.",Habitat,fre,,,,,ref-Gbn-0000981875,,
wfo-0000981919,en forêt sur sol détrempé.,Habitat,fre,,,,,ref-Gbn-0000981919,,
wfo-0000236007,"alt. 0-1200 m. Forêt primaire, forêt dense humide de basse altitude et de contrefort montagneux.",Habitat,fre,,,,,ref-Gbn-0000236007,,
wfo-0000942767,"alt. 200-650 m. Herbacée terrestre en forêt primaire et secondaire, ombro-phile, marécageuse ou rivulaire, en vallée marécageuse bordée de pentes forestées ou sous embrun de chute d'eau ou sur pente escarpée humide.",Habitat,fre,,,,,ref-Gbn-0000942767,,
wfo-0000331398,"alt. 0-900 m. Forêt secondaire ou non, parfois inondée au moins en partie en saison des pluies, en buisson dense sur flamboyant ou en plantation.",Habitat,fre,,,,,ref-Gbn-0000331398,,
wfo-0000331465,forêt secondaire.,Habitat,fre,,,,,ref-Gbn-0000331465,,
wfo-0000331474,alt. 975 m.,Habitat,fre,,,,,ref-Gbn-0000331474,,
wfo-0000331479,forêt.,Habitat,fre,,,,,ref-Gbn-0000331479,,
wfo-0000331484,"alt. 650-1200 m. Liane montant au-dessus de la voûte forestière ainsi que sur tronc ombragé, en forêt-galerie; en marécage boisé à Raphia et à Pandanus.",Habitat,fre,,,,,ref-Gbn-0000331484,,
wfo-0000251634,"boisement très ombrophile, prairie submontagnarde, bordure de forêt ripi-cole, plantation de pins.",Habitat,fre,,,,,ref-Gbn-0000251634,,
wfo-0000251646,"alt. 600-1100 m. Forêt ripicole dans les embruns de chute d'eau, fourré à Syzygium.",Habitat,fre,,,,,ref-Gbn-0000251646,,
wfo-0000251721,"alt. 900-1470 m. Forêt dense humide, boisement à Brachystegia, prairie, dembo, plantation de pins.",Habitat,fre,,,,,ref-Gbn-0000251721,,
wfo-0000970170,"alt. 70-1100 m. Èpiphyte à < 2,5 m au-dessus du sol, sur un tronc surplombant une rivière ainsi que sur rocher ombragé, souvent sur épaisse couche de mousse, sur escarpement foresté d'un affluent, en végétation sur banc de rivière et en forêt ombrophile.",Habitat,fre,,,,,ref-Gbn-0000970170,,
wfo-0000970175,"alt. 100 m. Èpiphyte sur arbre penché sur rivière, en forêt.",Habitat,fre,,,,,ref-Gbn-0000970175,,
wfo-0000765414,"alt. 900-1700 m. Herbacée terrestre à l'ombre de forêt sempervirente et ripicole, souvent près de cours d'eau et en lieu inondable.",Habitat,fre,,,,,ref-Gbn-0000765414,,
wfo-0001339167,forêts humides; à 340-430 m d'altitude.,Habitat,fre,,,,,ref-Gbn-0001339167,,
wfo-0000268054,alt. 0-750 m. Herbacée terrestre croissant à l'ombre de forêt.,Habitat,fre,,,,,ref-Gbn-0000268054,,
wfo-0000268071,"alt. 1150-1500 m. Prairie saisonnièrement humide, inondable ou dembo.",Habitat,fre,,,,,ref-Gbn-0000268071,,
wfo-0000317119,"alt. 620 m. Èpiphyte récolté sur palmier à huile et autres arbres, en forêt ripicole, en lieu très ombragé le long de cours d'eau, et même trouvé une fois sur un Ancistrorhynchus capitatus.",Habitat,fre,,,,,ref-Gbn-0000317119,,
wfo-0000227937,"alt. 900-1000 m. Sur le sol et sur roc couvert de mousse, endroit ouvert en forêt à Leonardoxa.",Habitat,fre,,,,,ref-Gbn-0000227937,,
wfo-0000228073,"alt. 1700-3200 m. Herbacée terrestre ou épiphyte, dans la mousse et feuilles décomposées, sur roc et arbre abattu, à l'ombre près de rivière.",Habitat,fre,,,,,ref-Gbn-0000228073,,
wfo-0000228118,alt. 300-2440 m. Epiphyte à la couronne ou sur tronc de grand arbre de forêt; récoltée dans une vieille forêt.,Habitat,fre,,,,,ref-Gbn-0000228118,,
wfo-0000228193,alt. 800-900 m. Plante terrestre.,Habitat,fre,,,,,ref-Gbn-0000228193,,
