taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000108811,"E. prostrata est généralement connu pour ses propriétés antibiotiques et hémostatiques et sont prescrites pour l’hématurie, les saignements de nez et de plaies et les ulcères. Les feuilles écrasées sont utilisées contre toutes sortes de maladies de la peau ; le jus de la plante est appliqué contre les piqûres de scorpion et les morsures de serpent. Une décoction des feuilles ou capitules est appliquée pour soulager les maux de dents, ou utilisés en interne pour les coliques, la constipation et la diarrhée. Le jus des feuilles fraîches ou bouillies est utilisé pour teindre les cheveux en noir et favoriser leur croissance. Au Gabon, les feuilles sont utilisées pour traiter l’érythème fessier, les hémorroïdes et la fièvre. Elles sont ajoutées aux lotions et parfums et sont bonnes pour la mémoire.",use,fre,,,,,ref-Gbn-0000108811,,
wfo-0000112889,"Les feuilles sont parfois consommées comme légume, La racine est utilisée comme vermifuge et fébrifuge. Les feuilles macérées sont mises dans le nez contre les maux de tête ; elles sont également utilisées contre la toux.",use,fre,,,,,ref-Gbn-0000112889,,
wfo-0000113908,Les feuilles sont utilisées dans une tisane contre la toux et les affections pulmonaires ; une décoction d’écorce est utilisée comme vermifuge ; « pour traiter la diarrhée et les cloques » (Towns).,use,fre,,,,,ref-Gbn-0000113908,,
wfo-0000115943,"Les pousses tendres et les jeunes feuilles sont utilisées comme légume et comme ingrédient dans les sauces. Elle est utilisée comme plante médicinale dans de nombreuses régions de l’Afrique, de l’Asie et de l’Amérique tropicale. On rapporte que les racines, les feuilles et les graines possèdent des propriétés antibactériennes, antidysentériques, anti-inflammatoires, antimicrobiennes, antipaludiques, diurétiques, hépato-protectrices et hypotensives. Le bétail broute les plantes et les volailles consomment les graines. Les fleurs sont une bonne source de nectar pour les abeilles.",use,fre,,,,,ref-Gbn-0000115943,,
wfo-0000122653,La plante est un hémostatique et a plusieurs autres applications dans la médecine traditionnelle.,use,fre,,,,,ref-Gbn-0000122653,,
wfo-0000125251,"Les feuilles ont été utilisées dans toute l’Afrique de l’Ouest dans des sauces, ainsi que comme analgésiques pour des affections telles que l’arthrite et les rhumatismes, ainsi que contre les troubles bronchiques.",use,fre,,,,,ref-Gbn-0000125251,,
wfo-0000128668,"Les feuilles sont consommées comme légume. Au Gabon, les feuilles macérées sont utilisées pour traiter les problèmes cardiaques ; écrasées et mélangées à de la limaille de cuivre, elles sont utilisées pour panser les ulcères ; bouillies, contre la toux ou les problèmes d’estomac.",use,fre,,,,,ref-Gbn-0000128668,,
wfo-0000171603,Les feuilles préparées en décoction combattent la fièvre. Elles peuvent être utilisées en thé et en ablution.,use,fre,,,,,ref-Gbn-0000171603,,
wfo-0000171932,"Peu utilisée pour le bois. Au Nigéria, on mange les feuilles cuites comme légume. Au Ghana, c’est un arbre d’ombre des cacaoyères.",use,fre,,,,,ref-Gbn-0000171932,,
wfo-0000172019,"En R.D. Congo, les écorces battues entrent dans la confection de tissus, et leur fibre est employée dans la construction des huttes.",use,fre,,,,,ref-Gbn-0000172019,,
wfo-0000172030,"Les Benga de Cap Esterias et de l’île de Corisco emploieraient les feuilles comme poison de pêche. Les Nkomis du Fernan-Vaz se frottent le corps avec les feuilles de cette plante avant de prendre leur premier bain de mer. Au Sénégal, la décoction des feuilles est donnée en fumigations et en bains, comme complément d’un traitement des asthénies et des anémies (Berhaut 1976).",use,fre,,,,,ref-Gbn-0000172030,,
wfo-0000172158,"Aucun signalé au Gabon. En Côte d’Ivoire, la plante est utilisée dans le traitement des affections oculaires. D’autres usages sont signalés ailleurs en Afrique (Burkill 1995), mais il est difficile de savoir s’ils se rapportent bien à cette espèce, ou à D. gilletii (voir Notes).",use,fre,,,,,ref-Gbn-0000172158,,
wfo-0000172168,"Pas d’usages signalés au Gabon. En République démocratique du Congo, le jus du pivot racinaire est utilisé en lavement interne contre la syphilis. En Guinée, la décoction des feuilles qui forme une gelée transparente, est donnée aux bœufs contre l’amaigrissement.",use,fre,,,,,ref-Gbn-0000172168,,
wfo-0000172458,"Cette plante a de nombreuses utilisations médicinales dans différents pays d’Afrique (voir notamment Burkill 1995). Elle est employée en particulier contre la lèpre, les rhumatismes, les œdèmes des jambes et les maux de tête (partie non spécifiée), les maux de dents (racines), les ulcères (décoction de poudre de racines), les bronchites (feuilles en inhalation ou en bains de vapeur), les maladies d’oreilles (écorces râpées et bouillies) et aussi pour cicatriser les plaies (feuilles réduites en poudre). Le bois est utilisé pour faire des cannes et des manches d’outils. Au Gabon, Raponda-Walker & Sillans (1961) signalent son emploi comme plante médicinale, mais sans en préciser l’usage.",use,fre,,,,,ref-Gbn-0000172458,,
