"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-1200001526","The most significant difference between this subspecies and both the other subspecies is that the disc is densely hairy, not glabrous and the larger flowers reflected by the longer styles. There are small vegetative differences, the petiole being mostly longer and much broader and the reticulation being much less conspicuous.","Diagnostic","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001527","This is a distinctive subspecies in its narrow sulcate leaves, mostly fromMount Murud.","Diagnostic","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002541","This species is superficially similar to Rigiolepis tenax but differs by a distinctive scalariform tertiary leaf venation, marginal glands on the leaves 6–8 mm from the petiole (versus 2–3 mm) and the calyx lobes c.3 mm long with distinct multiple ribs (versus c.1 mm with usually a single prominent midrib). It is probably most closely related to Rigiolepis borneensis, which differs in having a much stronger inflorescence with more flowers and a rachis at least 10 mm long.","Diagnostic","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001529","This variety is distinguished from the other varieties of Rigiolepis uniflora by its more slender leaves, long pedicels and occasional short rachis surmounted by a solitary flower. The flowers are covered with glandular hairs, as is common in Rigiolepis uniflora var. monantha. Leaf size and shape are most similar to Rigiolepis lobbii var. lobbii but the indumentum of abundant glandular hairs intermixed with simple hairs on the stems is quite different and R. uniflora var. pedicellata lacks the large costate bracts and calyx lobes of R. lobbii.","Diagnostic","Argent G. 2019, RIGIOLEPIS AND VACCINIUM (ERICACEAE) IN BORNEO., Edinburgh J. Bot. Vol.76(1) , pp.55-172.","https://doi.org/10.1017/S0960428618000276","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001338568","Very similar to Diplycosia sagittanthera but lacking the bristles on the bracteoles and calyx lobes of that species and the flowers are only half the size. The 4-merous flowers are not considered to be very significant as they have been found to vary from 4–5-merous even on the same plant in other species. The original description of Diplycosia sagittanthera records a 5-lobed corolla for that species.","Diagnostic","Argent G. 2014, A contribution to the study of the genus Diplycosia (Ericaceae) in Sulawesi, Indonesia, Edinburgh J. Bot. Vol.71(1) , pp.83-115.","https://doi.org/10.1017/S0960428613000309","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000056284","Closely resembles Rhododendron wilkiei Argent but differs in having leaves with laminae narrowly elliptic-oblanceolate and c.5–7 times as long as wide (vs elliptic and c.2.5 times as long as wide), venation adaxially indistinct (vs prominent) with 4–8 active pseudowhorls of leaves along the length of the stem (vs 2–3(–4) mostly terminal pseudowhorls), bracts without scales on the margin (vs with scales), yellow corollas with the tube interior red (vs red throughout), the internal surface of the corolla tube densely hairy on the proximal 3/4 (vs glabrous), and filaments hairy at the base (vs glabrous).","Diagnostic","Tamayo, M.T et al. 2023, RHODODENDRON ASTROPHORUM (ERICACEAE, RHODODENDRON SECT. SCHISTANTHE), A NEW MICRO-ENDEMIC SPECIES FROM CENTRAL PALAWAN, PHILIPPINES, Edinburgh J. Bot. Vol.80(article 1979) , pp.1-14.","https://doi.org/10.24823/ejb.2023.1979","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200105927","Resembles Rhododendron javanicum (Blume) Benn. subsp. javanicum in its flower shape but differs in its corolla size (25 × 15 mm vs 30–50 × 70–80 mm) and pubescent ovary (vs glabrous to sparsely scaly). It is also similar to Rhododendron javanicum (Blume) Benn. subsp. teysmannii (Miq.) Argent in its flower shape and hairy ovary but differs in its stellately scaly pedicels (vs shortly patently hairy) and leaf size (30–80 × 12–35 mm vs 80–150 × 25–50 mm). It is also close to Rhododendron javanicum subsp. brookeanum in its flower shape but differs in leaf size (30–80 × 12–35 mm vs 120–250 × 35–80 mm) and corolla size (25 × 15 mm vs 50–80 × 50–80 mm). ","Diagnostic","Mambrasar Y.M., Warseno T., Kuswantoro F. & Arifiani D. 2024, NOTES ON RHODODENDRON (ERICACEAE) FROM BALI, INDONESIA, AND A NEW SUBSPECIES OF RHODODENDRON JAVANICUM., Edinburgh J. Bot. Vol.81 , pp.1-11.","https://doi.org/10.24823/ejb.2024.1962","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000049427","Vaccinium coarctatum resembles V. hamiguitanense P.W.Fritsch but differs in having longer inflorescences (c.4.5 cm vs c.1.6 cm), shorter pedicels (2–3 mm vs 3–4 mm), longer bracteoles (6–8 mm vs 0.14–0.54 mm) that are persistent (vs caducous), hirsutulous calyx lobes (vs glabrous), and shorter anther spurs (0.2–0.3 mm vs 0.2–0.4 mm).","Diagnostic","Tamayo M.N., Fernando E.S. & Fritsch P.W. 2023, VACCINIUM COARCTATUM (ERICACEAE), AN ULTRAMAFIC-OBLIGATE NEW SPECIES FROM THE DWARF FOREST OF MOUNT REDONDO, DINAGAT ISLAND, PHILIPPINES, Edinburgh J. Bot. Vol.80 , pp.1-12.","https://doi.org/10.24823/EJB.2023.1960","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
