"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000131270","Richtersveld.","Distribution","24673F2B-ABA7-445E-BA41-E60C31215551","English","24673F2B-ABA7-445E-BA41-E60C31215551","Manning, JC. 2013. Asteraceae: Oedera. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 306-307. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139161","Namaqualand to Little Karoo.","Distribution","871805B0-41BD-4C29-9C8D-CBE6CBD41AF6","English","871805B0-41BD-4C29-9C8D-CBE6CBD41AF6","Manning, JC; Goldblatt, P. 2012. Asteraceae: Helichrysum Mill. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 382-388. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131270","R. nordenstamii was collected at the summit of a mountain in the Richtersveld.","Distribution","5E0993E4-0E91-4BFA-B77A-0A2C61D4ABBD","English","5E0993E4-0E91-4BFA-B77A-0A2C61D4ABBD","Bremer, K. 1976. The genus Relhania (Compositae). Opera Bot. 40: 1-85. [All rights reserved]",""
"wfo-0000139161","Namaqualand to Little Karoo.","Distribution","4F229E56-B42E-47CB-BF0A-3313137E9D4E","English","4F229E56-B42E-47CB-BF0A-3313137E9D4E","Manning, JC. 2013. Asteraceae: Helichrysum. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 296-299. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000139190","Paarl: New Orleans.","Distribution","6055D5E8-D152-48E5-87AE-5EAA28AFA0B4","English","6055D5E8-D152-48E5-87AE-5EAA28AFA0B4","Manning, JC; Goldblatt, P. 2012. Asteraceae: Marasmodes DC. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 394-394. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131451","Springbok to Garies.","Distribution","1A363369-A8E1-4A3A-9B0C-D16FA65C0382","English","1A363369-A8E1-4A3A-9B0C-D16FA65C0382","Magee, AR; Boatwright, JS. 2013. Asteraceae: Gazania. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 294-295. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131464","Nieuwoudtville and Calvinia to Sutherland.","Distribution","6A8FB83F-85BF-4C3B-B3B5-A17B686768C0","English","6A8FB83F-85BF-4C3B-B3B5-A17B686768C0","Manning, JC. 2013. Asteraceae: Galeomma. In: DA Snijman (ed.), Plants of the Greater Cape Floristic Region 2: The Extra Cape flora, Strelitzia 30: 294-294. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000131472","Recorded from Inyanga in Zimbabwe, the eastern part of the Soutpansberg and the mountains in the NE. Transvaal, about Sibasa, Haenertsburg, Potgietersrust, the Wolkberg and The Downs.","Distribution","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","English","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","Hilliard, OM. 1983. Gnaphaliinae (first part): Facelis - Edmondia, Fl. S. Africa 33(7,2): 1-317. Botanical Research Institute, Department Agriculture, Pretoria. [http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up] [CC BY]","http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up"
"wfo-0000139208","Widespread in the E. half of S. Africa from East London and Komgha in the eastern Cape, through the more coastal parts of Natal to the Transvaal, Swaziland, Mozambique, Zimbabwe, Zambia, East Africa, Ethiopia, Yemen and West Africa.","Distribution","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","English","0ACBAD9C-2A8A-4FA9-9D82-A68118E9B0F4","Hilliard, OM. 1983. Gnaphaliinae (first part): Facelis - Edmondia, Fl. S. Africa 33(7,2): 1-317. Botanical Research Institute, Department Agriculture, Pretoria. [http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up] [CC BY]","http://www.biodiversitylibrary.org/item/209547#page/5/mode/1up"
"wfo-0000139243","Even with a narrower circumscription having been adopted in this monograph, M. muricata is a common species with a wide distribution; from the Cape Peninsula and the Cape flats in the west, to Transkei in the east. It is sometimes sympatric with M. densa.","Distribution","713ADDAE-CF23-414F-8432-5546FE1F7D5F","English","713ADDAE-CF23-414F-8432-5546FE1F7D5F","Karis, PO. 1989. Systematics of the genus Metalasia (Asteraceae-Gnaphalieae). Opera Bot. 99: 1-150. [All rights reserved]",""
