wfo_id,description,citation,language
wfo-0001174804,"Habitat: In terra humida arenosa supra qvisqvilias.","Bryhn, N. 1911. Bryophyta nonnulla in Zululand collecta. Forh. Vidensk.-Selsk. Kristiania (4): 1-27. [http://www.biodiversitylibrary.org/item/127371#page/8/mode/1up] [All rights reserved]",Spanish
wfo-0000065323,"Morphology: Hierba perenne, rizomatosa, con tallos erectos, sencillos o poco ramosos, laxamente pubescentes, hojosos hasta el  pice, de 50-100 cm de altura. Hojas opuestas, brevemente pecioladas, lanceoladas, agudas en el  pice y atenuadas en la base, enteras o con 1-4 dientes a cada lado, trinervadas, cortamente pubescentes en ambas caras, de 60-150 mm long. x 6-18 mm lat. Cap¡tulos largamente pedunculados, solitarios en los extremos de las ramas. Involucro hemisférico, de unos 8 mm alt. x 15 mm di m.; br cteas involucrales en dos series: las exteriores lineal-lanceoladas, agudas o semiobtusas; las interiores lineal-lanceoladas, m s cortas; todas pubescentes en el dorso. P leas del recept culo lanceoladas, aquilladas, de 7 mm long. Flores amarillas, las marginales con l¡gula el¡ptica de 7-10 mm long. Aquenios marginales triquetros, los del disco tetragonales, gruesos, glabros, de 3-4 mm long. Papus formado por una coronita de escamas cortas, a veces con dos aristas breves.","Burkart, AE. 1974. Flore Illustrada de Entre Rios (Argentina), Not given 6: 1-554. Instituto Nacional de Technologia Agropecuaria, Buenos Aires. [All rights reserved]",Spanish
wfo-0000477319,"Morphology: Subarbustos o hierbas vivaces. Alas petaloides persistentes. Quilla crestada. Estambres fertiles ocho. Capsula estrechamente alada.
Diagnostic: Hierbas tuberoso-rizomatosas, emitiendo tallos aereos anuales; alas 4-5 x 2.5 mm; lobulos apicales de la capsula redondeados.
Habitat: Estepas; 900-1200 m.
Distribution: Sureste de Africa tropical. Zambia, Zimbabwe, Botswana, Angola, Namibia y Sudafrica (Bechuanalandia).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000484265,"Morphology: Herbs annus vel raro suffrutescentes. Flores in racemos terminales raro pseudolaterales dispositi. Sepala exteriora carinata; alae ellipticae vel suborbiculares. Capsula ellipsoidea, margine anguste alata, vel subaptera. Appendices quam semina breviores.
Diagnostic: Hojas suborbiculares a ovadas, cordadas en la base; alas suborbiculares de 5-6 mm de diametro.
Distribution: Sudafrica (provincia de El Cabo). Solo se conoce de la localidad tipica.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000484332,"Morphology: Herbs annus vel raro suffrutescentes. Flores in racemos terminales raro pseudolaterales dispositi. Sepala exteriora carinata; alae ellipticae vel suborbiculares. Capsula ellipsoidea, margine anguste alata, vel subaptera. Appendices quam semina breviores.
Diagnostic: Hojas de menor tamano hacia la base del tallo, las superiores elipticas a lanceoladas, las inferiores ± suborbiculares; racimos compactos de 1.5-2(5) cm; pedicelos hasta 1 mm; alas 3-5 x 2-2.5 mm.
Distribution: Sudafrica (Orange y El Cabo). Como no se conoce la distribucion y localidad tlpica[226] citamos algunos ejemplares para testimoniar la presencia de esta especie en las provin- cias sudafricanas.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000488498,"Morphology: Subarbustos, hierbas vivaces o anuales. Flores en racimos laterales, laxos, que sobrepasan ampliamente las hojas. Sepalos externos carinados; alas generalmente suborbictiares, concoloras o con una franja media coloreada, cubren la capsula en mayor o menor grado. Capsula ampliamente aplanado elipsoide, estrechamente alada. Semillas con apendices membranaceos de la caruncula menores que la semilla.
Diagnostic: Pedicelos de 5-6 mm, pubescentes; capsula 3.5-4.5 mm de diametro, estrechamente alada, ala de 0.25 mm de anchura; semillas 2.5 x 1.25 mm con apendices membranaceos de 1-1.35 mm.
Distribution: Endemismo de Sudafrica: Transval, Natal, Transkei y provincia de El Cabo.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000488526,"Morphology: Arbustos o subarbustos. Hojas alternas, mas raramente opuestas. Flores en racimos terminales o laterales y patentes. Sepalos libres, persistentes, los externos carinados; alas grandes, cubren la capsula. Petalo superior profundamente bilobado a subentero; quilla ampliamente crestada. Estambres fertiles ocho. Capsula aplanado elipsoide o aplanado obovoide, alada. Semillas carunculadas, pubescentes.
Diagnostic: Planta herbacea hasta 40-50 cm; hojas lineares, costilladas; petalo superior de 4.5-5 mm, con lobulo de 1.5-2 mm; cresta con mas de 12 lacinias; pubescencia de la semilla de pelos largos, superando la base de la semilla en 0.75 mm.
Distribution: Sudafrica, provincia de El Cabo, Pequeno Karru.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000488693,"Morphology: Herbs annus vel perennes, subalbiflors vel albo-viridiflors. Alae subellipticae, usque ad 5.5 mm latae. Crista parva, usque 2.5 mm. Capsula anguste alata; ala usque 0.5 mm lata. Pedicelo filiforme, 3.5-4 mm; alas 6-7 x 5 mm, obovadas; cresta muy fimbriada y alcanzando el margen de la quilla, 2 mm; petalo superior entero; semilla 2.5-3 x 1.5-1.75 mm.
Habitat: Estepa montanosa oriental de Transval colindante con el area floristica de Kalahari.
Distribution: Sur de Africa. Sudafrica; zona noreste de la provincia de El Cabo, colindante con Transval (Makefing).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000488719,"Morphology: Hierbas vivaces, rara vez verdosas, mas estrechas que la capsula. Estambres fertiles ocho. Capsula aplanado subglobosa o aplanado obovoide, alada. Semillas carunculadas, densamente pubescentes.
Diagnostic: Hojas ± isomorfas; alas 3.25-3.5 x 2.5 mm.
Habitat: Estepas.
Distribution: Desierto del Kalahari y aledanos. Zimbabwe (oeste), Angola (?)[248] y Sudafrica (norte de la provincia de El Cabo).","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
wfo-0000488804,"Morphology: Hierbas vivaces, rara vez verdosas, mas estrechas que la capsula. Estambres fertiles ocho. Capsula aplanado subglobosa o aplanado obovoide, alada. Semillas carunculadas, densamente pubescentes.
Diagnostic: Pedicelos de 1.5-2.5 mm; alas 6-7 x 3-3.5 mm.
Distribution: Sudafrica. Solo se conoce de la localidad tipica.","De Paiva, JAR. 1998. Polygalarum africanarum et madagascariensium prodromus atque gerontogaei generis Heterosamara Kuntze, a genere polygala L. segregati et a nobis denuo recepti, synopsis monographica. Fontqueria 50: 1-346. [All rights reserved]",Spanish
