"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000115240","Endemit der Drakensberge mit etwas weiterer Verbreitung.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000122045","F. burkei besitzt ein weites, allerdings nur locker besiedeltes Areal, das sich über das zentrale Karroogebiet erstreckt. Die Ostgrenze ist etwa zu kennzeichnen durch die Linie Fauresmith-Somerset East. Im Nordwesten wird noch die Südostecke von Südwestafrika (Great Karasberg) erreicht. Das westliche Karroogebiet bis in die Gegend von Beaufort West bleibt ausgespart.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000122203","C. schlechteri schließt sich, mit geringer Überlappung, im Süden an das Areal von C. puberula an.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000125556","F. rosulata ist mit einem lockeren Areal von Transvaal, Swaziland, Natal, Lesotho bis in die Kapprovinz im Süden die Art der Sektion mit der weitesten Verbreitung.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000118368","C. acicularis ist eine bisher nur vom Typusfundort bekannte Art.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000118839","Das Areal erstreckt sich vom Süden Südwestafrikas bis nach Clanwilliam in der Cape Province.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000126599","C. mozambicensis ist auf Mocambique beschränkt.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000127026","C. rigidula ist im wesentlichen auf das Gebiet um Port Elizabeth beschränkt. Lediglich die Aufsammlung von DRÈGE (Aasvogelberg) liegt etwas ausserhalb dieses Bereichs.","Distribution","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","German","BFA1B0C8-1825-42E1-A7BD-2162493EEF6C","Bayer, E. 1981. Revision der Gattung Chrysocoma L. (Asteraceae - Astereae). Mitt. Bot. Staatssamml. München 17: 259-392. [All rights reserved]",""
"wfo-0000127291","Diese erst kürzlich entdeckte Art ist bisher nur aus einem eng begrenzten Gebiet der Drakensberge bekannt.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
"wfo-0000130071","F. amelloides ist ein typischer Vertreter des südöstlichen Kapgebietes mit einem Verbreitungszentrum um Port Elizabeth.","Distribution","1499DF02-49AF-448D-AF49-5FF28080F65D","German","1499DF02-49AF-448D-AF49-5FF28080F65D","Grau, HRJ. 1973. Revision der gattung Felicia (Asteraceae). Mitt. Bot. Staatssamml. München 9: 195-705. [All rights reserved]",""
