"id","vernacularName","source","language","type","bibliographicCitation","url"
"wfo-0000564475","isindiyandiya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000986071","isi-dwadwa","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","Xhosa","vernacular","",""
"wfo-0001106846","isiqalaba","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000510225","umhlokotshane","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000995790","inyazangoma","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000589543","ukhovothi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000993037","inyinga","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000569494","umpunzito","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001106846","isiqane","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000197953","omqokolo","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000460040","unyenya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000178713","umuthi wenhlanhla","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Xhosa","vernacular","",""
"wfo-0001026831","umthumana","91FE4F8A-4D5D-464B-A1E7-C941C5A884FC","Xhosa","vernacular","",""
"wfo-0000629352","umqwashube","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000803551","amathungula","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001062878","uphantsi komnga","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000667380","umguza","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001087406","ingobamakhosi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000196032","umgadawenkawu","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000574021","umhlabangubo","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000687541","umthombe","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0001078556","unDuma","E6DA2A49-E70F-4B82-A410-822E35D12F08","Xhosa","vernacular","",""
"wfo-0000797428","isikali","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0001292633","ibolo","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000564499","isindiyandiya","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000212054","idywadi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000632310","injanga","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Xhosa","vernacular","",""
"wfo-0000628269","umxaleba","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000180919","umsintsi","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000500277","makgha","2163DEE6-7F9F-42C6-B8A9-495350CB8414","Xhosa","vernacular","",""
"wfo-0000113338","umlunge","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Xhosa","vernacular","",""
"wfo-0000564503","andiandia","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000585223","iMfishlo","95EA4241-9A0A-473D-9F9D-32EEEFA2D2B1","Xhosa","vernacular","",""
"wfo-0000011999","isiqwane","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000448927","umtentekwani","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0001426203","iyeza elimhlophe","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Xhosa","vernacular","",""
"wfo-0000309155","umaweni","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000457758","umvumvu","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000374940","umNqayi-mpofu","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0001362694","umngampunzi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000779994","icakatha","4BD35F1B-F40E-492F-B47A-D0A37BDD759A","Xhosa","vernacular","",""
"wfo-0000833255","iphuzi-lomlambo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000180608","umsintsi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000171267","umthiza","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000388245","intekeza","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000797428","iNgqota","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000594096","nongotyazana","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000224580","umfincafincane","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000288190","umbombemfene","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000589543","icegceya","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000628273","umxaleba","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001078556","isidumo","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
"wfo-0000558197","umphunzisa","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000318679","umjomi-wehlathi","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001087406","umngenalahla","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0000995790","umkhakhase","40EF8CCE-4069-4E28-B253-87235261F4F0","Xhosa","vernacular","",""
"wfo-0001292626","intlangwana","55A018ED-96BA-4B9A-AD49-E6F65F0A4919","Xhosa","vernacular","",""
"wfo-0000995790","umKhakhazi","D7BFC948-FD4D-4B58-9759-34651AB24C1E","Xhosa","vernacular","",""
