"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ--3354118589895069170","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Andel, T. van et al.","2646","guyana"
"occ--958487005610819680","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Anderson, C.W.","12","guyana"
"occ--7303916460055607509","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Clarke, D. et al.","6178","guyana"
"occ-990261853754495434","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Cruz, J.S. de la","1395","guyana"
"occ-2223246362351522258","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3093","guyana"
"occ--7467976783594815167","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Forest Dept. British Guiana (FD)","5586","guyana"
"occ-4851948340254658485","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3355","guyana"
"occ-570776018335840449","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3938","guyana"
"occ-5671086906271774329","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Gillespie, L.J. & H. Persaud","1202","guyana"
"occ--1639772861695583844","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Hitchcock, A.S.","17622","guyana"
"occ--5837401817572628044","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Hoffman, B. et al.","2764","guyana"
"occ--1987946452719136265","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Jansen-Jacobs, M.J. et al.","3180","guyana"
"occ--2271895534767636101","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3557","guyana"
"occ-175543784898749833","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","4488","guyana"
"occ-8473579432405660597","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Jenman, G.S.","4889","guyana"
"occ-9073764230738151466","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Maas, P.J.M. et al.","5562","guyana"
"occ-3372284835591090861","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Sandwith, N.Y.","470","guyana"
"occ--9146373500239687458","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Smith, A.C.","3390","guyana"
"occ-6967883088332538061","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Snow, D.W.","14","guyana"
"occ--4454298022561964919","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Pipoly, J.J. et al.","7437","guyana"
"occ-6867259689253915025","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Polak, M. et al.","72","guyana"
"occ-6652776492644654894","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Tutin, T.G.","252","guyana"
"occ-6481375880219879057","taxon-7-HERNANDIACEAE","HERNANDIACEAE","BBS","112","suriname"
"occ--48036459149297744","taxon-7-HERNANDIACEAE","HERNANDIACEAE","BW","802","suriname"
"occ--8262125965783949253","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3120","suriname"
"occ-3027986550666178649","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","6559","suriname"
"occ--5053716121717788550","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Collector indigenus surinamensis","164","suriname"
"occ-5294758956096161320","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Lanjouw, J. & J.C. Lindeman","1547","suriname"
"occ-1843613902894289010","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Lindeman, J.C. & A.R.A. Görts-van Rijn et al.","57","suriname"
"occ-1867291967398330054","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","363","suriname"
"occ-698718721069438961","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Maguire, B.","24127","suriname"
"occ--2874232550451358975","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Mennega, A.M.W.","463","suriname"
"occ--763122606396659670","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Stahel, G. & J.W. Gonggrijp, in BW","802","suriname"
"occ-4496366578802221325","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Aublet, J.B.C.F.","s.n.","french guiana"
"occ-5354521132628430925","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Béna, P., in BAFOG","47N","french guiana"
"occ-1062644675917907348","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Cremers, G.","7020","french guiana"
"occ--5947782221762872019","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","9581","french guiana"
"occ--3135408674270245625","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Feuillet, C.","239","french guiana"
"occ-2943492979495779887","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Granville J.J. de","2811","french guiana"
"occ-2312776460448436919","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","6900","french guiana"
"occ-2465221810069514740","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Grenand, P.","2101","french guiana"
"occ--741960314969985051","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Hallé, F.","4019","french guiana"
"occ-8744925206497711027","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Jacquemin, H.","2790","french guiana"
"occ--991921332400321014","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Kubitzki, K.","71-116","french guiana"
"occ--7372981011064553726","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Leeuwenberg, A.J.M.","11781","french guiana"
"occ--997686838852862643","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Mélinon, M.","s.n.","french guiana"
"occ--2316718181615472360","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Mori, S.A. et al.","18986","french guiana"
"occ--3833222167908255571","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","23044","french guiana"
"occ--4826549394617654383","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","23571","french guiana"
"occ-6171228876313686936","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Oldeman, R.A.A","B-1029","french guiana"
"occ-3604883319210320194","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","B-3890","french guiana"
"occ--6000592697692437843","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Prévost, M.F.","1512","french guiana"
"occ-5851115379556674526","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3438","french guiana"
"occ--4721563434804575805","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","3500","french guiana"
"occ-6566536404098132349","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","4085","french guiana"
"occ-2052435197730323936","taxon-7-HERNANDIACEAE","HERNANDIACEAE","","4096","french guiana"
"occ--3231477063300596041","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Riera, B.","792","french guiana"
"occ--4164474283536288856","taxon-7-HERNANDIACEAE","HERNANDIACEAE","Sagot, P.","1218","french guiana"
"occ--3208717212467119139","taxon-1-Hernandia_guianensis","Hernandia guianensis","Maas et al.","5562","guyana"
"occ--1036788806202682915","taxon-1-Hernandia_guianensis","Hernandia guianensis","Polak et al.","72","guyana"
"occ--3640062477138889690","taxon-1-Hernandia_guianensis","Hernandia guianensis","Lanjouw & Lindeman","1547","suriname"
"occ--4520241538539728012","taxon-1-Hernandia_guianensis","Hernandia guianensis","BBS","112","suriname"
"occ--4364575793954166621","taxon-1-Hernandia_guianensis","Hernandia guianensis","Prévost","3500","french guiana"
"occ-3615951176478570744","taxon-1-Hernandia_guianensis","Hernandia guianensis","Cremers","7020","french guiana"
"occ--5205436961513779758","taxon-2-Sparattanthelium_guianense","Sparattanthelium guianense","Jenman","4889","guyana"
"occ-7052162465214458802","taxon-2-Sparattanthelium_guianense","Sparattanthelium guianense","Forest Dept.","3938","guyana"
"occ--988037500116088313","taxon-2-Sparattanthelium_guianense","Sparattanthelium guianense","Hoffman et al.","2764","guyana"
"occ-3215937387643741118","taxon-3-Sparattanthelium_wonotoboense","Sparattanthelium wonotoboense","Jansen-Jacobs et al.","3180","guyana"
"occ--1438914772402405942","taxon-3-Sparattanthelium_wonotoboense","Sparattanthelium wonotoboense","Lindeman & Görts-van Rijn et al.","57","suriname"
"occ-8464623920446696812","taxon-3-Sparattanthelium_wonotoboense","Sparattanthelium wonotoboense","Mori et al.","23044","french guiana"
"occ-813556832347130157","taxon-3-Sparattanthelium_wonotoboense","Sparattanthelium wonotoboense","Oldeman","B-3890","french guiana"
"occ-7373607577909333589","taxon-8-CHLORANTHACEAE","CHLORANTHACEAE","Boom, B.M. et al.","9063","guyana"
"occ-8771040614459750201","taxon-8-CHLORANTHACEAE","CHLORANTHACEAE","","9200","guyana"
"occ-3901317906414218363","taxon-8-CHLORANTHACEAE","CHLORANTHACEAE","Hahn, W.J. et al.","5481a","guyana"
"occ--7762933438016974099","taxon-1-Hedyosmum_tepuiense","Hedyosmum tepuiense","Hahn & Gopaul","5481a","guyana"
"occ--2022683240170491871","taxon-1-Hedyosmum_tepuiense","Hedyosmum tepuiense","Boom & Samuels","9063","guyana"
"occ-6912178656424046056","taxon-1-Hedyosmum_tepuiense","Hedyosmum tepuiense","Boom & Samuels","9200","guyana"
"occ-83391306347561740","taxon-9-PIPERACEAE","PIPERACEAE","Acevedo, P.","3305","guyana"
"occ-8059876805096610398","taxon-9-PIPERACEAE","PIPERACEAE","","3353","guyana"
"occ--7312887039643891586","taxon-9-PIPERACEAE","PIPERACEAE","","3370","guyana"
"occ-5816272584087923932","taxon-9-PIPERACEAE","PIPERACEAE","","3382","guyana"
"occ--2366316780623231687","taxon-9-PIPERACEAE","PIPERACEAE","","3415","guyana"
"occ-7327270157368320597","taxon-9-PIPERACEAE","PIPERACEAE","Altson, R.A.","96","guyana"
"occ--8635310311331751241","taxon-9-PIPERACEAE","PIPERACEAE","","482","guyana"
"occ-8777170927935146998","taxon-9-PIPERACEAE","PIPERACEAE","Andel, T. van","737","guyana"
"occ-378897759532507843","taxon-9-PIPERACEAE","PIPERACEAE","","1103","guyana"
"occ--523127718461915861","taxon-9-PIPERACEAE","PIPERACEAE","","1250","guyana"
"occ--8098051250397505583","taxon-9-PIPERACEAE","PIPERACEAE","","1264","guyana"
"occ-3153965181548915113","taxon-9-PIPERACEAE","PIPERACEAE","","1333","guyana"
"occ--329012693710022811","taxon-9-PIPERACEAE","PIPERACEAE","","1353","guyana"
"occ-720891307002076665","taxon-9-PIPERACEAE","PIPERACEAE","","1469","guyana"
"occ-5976040417889047369","taxon-9-PIPERACEAE","PIPERACEAE","","1524","guyana"
"occ--4599240316223845253","taxon-9-PIPERACEAE","PIPERACEAE","","1586","guyana"
"occ--3660281356562855160","taxon-9-PIPERACEAE","PIPERACEAE","","1667","guyana"
"occ--5704872171814124399","taxon-9-PIPERACEAE","PIPERACEAE","","1695","guyana"
"occ--9133493070629530744","taxon-9-PIPERACEAE","PIPERACEAE","","1795","guyana"
