"taxonID","locality","localityType","distributionText"
"taxon-7-HERNANDIACEAE","Pantropical","world","Distribution: Pantropical , most frequent in coastal regions, 4 genera and 62 species; in the Neotropics 3 genera with 24 species: Gyrocarpus (2 species), Hernandia (7 species) and Sparattanthelium (15 species); in the Guianas 4 species in 2 genera; Hernandia (1 species) and Sparattanthelium (3 species)."
"taxon-7-HERNANDIACEAE","Neotropics","world","Distribution: Pantropical , most frequent in coastal regions, 4 genera and 62 species; in the Neotropics 3 genera with 24 species: Gyrocarpus (2 species), Hernandia (7 species) and Sparattanthelium (15 species); in the Guianas 4 species in 2 genera; Hernandia (1 species) and Sparattanthelium (3 species)."
"taxon-7-HERNANDIACEAE","Guianas","region","Distribution: Pantropical , most frequent in coastal regions, 4 genera and 62 species; in the Neotropics 3 genera with 24 species: Gyrocarpus (2 species), Hernandia (7 species) and Sparattanthelium (15 species); in the Guianas 4 species in 2 genera; Hernandia (1 species) and Sparattanthelium (3 species)."
"taxon-1-HERNANDIA","Pantropical","world","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","coastal regions in Central America","continental region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","Guianas","region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","West Indies","region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","West Africa","continental region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","Indomalaysia","region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-HERNANDIA","Pacific Islands","region","Distribution: Pantropical , 26 species; most frequent in coastal regions in Central America , the Guianas , West Indies , West Africa , Indomalaysia , Pacific Islands ."
"taxon-1-Hernandia_guianensis","coastal regions from Trinidad and Venezuela to the Guianas and the Amazon region","continental region","Distribution: In coastal regions from Trinidad and Venezuela to the Guianas and the Amazon region ; 26 collections studied (GU: 8; SU: 3; FG: 13)."
"taxon-2-SPARATTANTHELIUM","Neotropics","world","Distribution: 15 species in the Neotropics , from Mexico to Brazil ; 3 species in the Guianas ."
"taxon-2-SPARATTANTHELIUM","Mexico","country","Distribution: 15 species in the Neotropics , from Mexico to Brazil ; 3 species in the Guianas ."
"taxon-2-SPARATTANTHELIUM","Brazil","country","Distribution: 15 species in the Neotropics , from Mexico to Brazil ; 3 species in the Guianas ."
"taxon-2-SPARATTANTHELIUM","Guianas","region","Distribution: 15 species in the Neotropics , from Mexico to Brazil ; 3 species in the Guianas ."
"taxon-1-Sparattanthelium_aruakorum","Guyana","country","Distribution: Guyana ; only 2 fertile collections seen, both from the Bartica-Potaro road: the type and Forest Dept. 5586 = Fanshawe 2787 (U) and 1 sterile collection from Suriname : Brokopondo Distr., W of Village Brokopondo, van Donselaar 3754 (U) (GU: 2; SU: 1)."
"taxon-1-Sparattanthelium_aruakorum","Suriname","country","Distribution: Guyana ; only 2 fertile collections seen, both from the Bartica-Potaro road: the type and Forest Dept. 5586 = Fanshawe 2787 (U) and 1 sterile collection from Suriname : Brokopondo Distr., W of Village Brokopondo, van Donselaar 3754 (U) (GU: 2; SU: 1)."
"taxon-2-Sparattanthelium_guianense","Guyana","country","Distribution: Guyana ; (GU: 4)."
