"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Hernandia_guianensis","takariwa","Akawaio","Guyana",""
"taxon-1-Hernandia_guianensis","hoahoa/howa howa","Arawak","Guyana",""
"taxon-1-Hernandia_guianensis","kaioballi","","Guyana",""
"taxon-1-Hernandia_guianensis","takariwa","","Guyana",""
"taxon-1-Hernandia_guianensis","jack-in-the-box","Creole","Guyana",""
"taxon-1-Hernandia_guianensis","kurokuroru","Warrau","Guyana",""
"taxon-1-Hernandia_guianensis","popolika","","Suriname",""
"taxon-1-Hernandia_guianensis","bois banane","Creole","French Guiana",""
"taxon-1-Hernandia_guianensis","mirobolan","","French Guiana",""
"taxon-1-Hernandia_guianensis","ajowa","Carib","French Guiana",""
"taxon-1-Hernandia_guianensis","haiwowa","","French Guiana",""
"taxon-1-Hernandia_guianensis","maoksi adudu","Palikur","French Guiana",""
"taxon-1-Hernandia_guianensis","waliwowo","Wayampi","French Guiana",""
"taxon-3-Sparattanthelium_wonotoboense","oneka","Carib","Suriname",""
"taxon-3-Sparattanthelium_wonotoboense","wilalãkãyewi","Wayampi","French Guiana",""
"taxon-5-Peperomia_emarginella","piki kopali","Boni","Suriname",""
"taxon-12-Peperomia_macrostachya","kutumi","","Guyana",""
"taxon-12-Peperomia_macrostachya","kararafaru","","Guyana",""
"taxon-12-Peperomia_macrostachya","kararafarumafartaino","","Guyana",""
"taxon-17-Peperomia_pellucida","kosaka wi","Ndjuka","Suriname",""
"taxon-17-Peperomia_pellucida","konsaka wiwiri","Saramaccan","Suriname",""
"taxon-17-Peperomia_pellucida","sapoe rakei","Javanese","Suriname",""
"taxon-17-Peperomia_pellucida","eagoe ragoe","","Suriname",""
"taxon-25-Peperomia_rotundifolia","follow me","Creole","Guyana",""
"taxon-25-Peperomia_rotundifolia","ditibi","Saramacca","Suriname",""
"taxon-25-Peperomia_rotundifolia","tisiyi","","Suriname",""
"taxon-25-Peperomia_rotundifolia","wilapili","Wayampi","French Guiana",""
"taxon-26-Peperomia_serpens","gran koupali","","Suriname",""
"taxon-26-Peperomia_serpens","kaimek pokal","","French Guiana",""
"taxon-1-Piper_adenandrum","tona tonakeng","Carib","Guyana",""
"taxon-1-Piper_adenandrum","katun uwi","","Suriname",""
"taxon-1-Piper_adenandrum","ampukuwiwii","Boni","French Guiana",""
"taxon-2-Piper_aduncum","bushi man lembelembe","","Guyana",""
"taxon-2-Piper_aduncum","ga(an) man udu (ana)","Ndjuka","French Guiana",""
"taxon-2-Piper_aduncum","watnle","Wayana","French Guiana",""
"taxon-3-Piper_aequale","tumowato","Carib","French Guiana",""
"taxon-3-Piper_aequale","tona tona keng","Carib","French Guiana",""
"taxon-3-Piper_aequale","yalitakuã sili","Wayampi","French Guiana",""
"taxon-3-Piper_aequale","yakamileni piã","","French Guiana",""
"taxon-4-Piper_alatabaccum","ah-de-me-puh-tuh-puh","Tirio","",""
"taxon-4-Piper_alatabaccum","put-poi-ot","Wayana","",""
"taxon-4-Piper_alatabaccum","yemiki ã","Wayampi","",""
"taxon-7a-Piper_anonifolium","akamikini","Ndjuka","Suriname",""
"taxon-7a-Piper_anonifolium","kini kini","","Suriname",""
"taxon-7a-Piper_anonifolium","malembe toko","Saramacca","Suriname",""
"taxon-7a-Piper_anonifolium","kaboye kamwi","Palikur","French Guiana",""
"taxon-8-Piper_arboreum","wild thick leaf","","Guyana",""
"taxon-8-Piper_arboreum","Suriname: gewone malimbe-toko","","Guyana",""
"taxon-8-Piper_arboreum","mukaj katenga","Boni","Guyana",""
"taxon-8-Piper_arboreum","akajatenga","","Guyana",""
"taxon-8-Piper_arboreum","apuku pepe","","Guyana",""
"taxon-8-Piper_arboreum","kolakatenga","","Guyana",""
"taxon-8-Piper_arboreum","kakakatenga","Boni","Guyana",""
"taxon-8-Piper_arboreum","kakakaringa","","Guyana",""
"taxon-8-Piper_arboreum","abaon dèku","Saramacca","Guyana",""
"taxon-8-Piper_arboreum","yak takwã","Wayampi","French Guiana",""
"taxon-8-Piper_arboreum","gama na udu","Ndjuka","French Guiana",""
"taxon-9-Piper_augustum","gan bushi man lembe lembe","Boni","French Guiana",""
"taxon-11-Piper_avellanum","warakaba bush","Creole","Guyana",""
"taxon-12-Piper_bartlingianum","man-aneise-wiwiri","Arowak","Suriname",""
"taxon-12-Piper_bartlingianum","akamikini","Saramacca","Suriname",""
"taxon-12-Piper_bartlingianum","petpe","Wayana","Suriname",""
"taxon-12-Piper_bartlingianum","petpe","Wayana","French Guiana",""
"taxon-12-Piper_bartlingianum","yemilã","Wayampi","French Guiana",""
"taxon-12-Piper_bartlingianum","kaboye","Palikur","French Guiana",""
"taxon-12-Piper_bartlingianum","pao pao","","French Guiana",""
"taxon-18-Piper_consanguineum","snekibita","Sranan","Suriname",""
"taxon-18-Piper_consanguineum","nowtu","Ndjuka","Suriname",""
"taxon-22-Piper_demeraranum","warakabakoro","","Guyana",""
"taxon-23-Piper_dilatatum","aneisie wiwiri","","Suriname",""
"taxon-24-Piper_divaricatum","mböma (u)wi","Ndjuka","Suriname",""
"taxon-24-Piper_divaricatum","boma wi","","Suriname",""
"taxon-24-Piper_divaricatum","man-anesiwiwiri","Sranan","Suriname",""
"taxon-26-Piper_dumosum","yakamilepia","Wayampi","French Guiana",""
"taxon-26-Piper_dumosum","yalitaku?ã","Wayampi","French Guiana",""
"taxon-34-Piper_hispidum","granman-ana-oedoe","","Suriname",""
"taxon-34-Piper_hispidum","granman-ana-oudou","","French Guiana",""
"taxon-34-Piper_hispidum","tubali","Arawak","French Guiana",""
"taxon-34-Piper_hispidum","pakilalu","Wayampi","French Guiana",""
"taxon-34-Piper_hispidum","ymlu","Wayampi","French Guiana",""
"taxon-35-Piper_hostmannianum","wetu njaisa","Ndjuka","Suriname",""
"taxon-35-Piper_hostmannianum","ampuku wi","Ndjuka","Suriname",""
"taxon-35-Piper_hostmannianum","apoucou man limbe limbe","","French Guiana",""
"taxon-35-Piper_hostmannianum","akamikini","","French Guiana",""
"taxon-36-Piper_humistratum","zaõ saapatu","Saramacca","French Guiana",""
"taxon-42-Piper_nigrum","pepper","","",""
"taxon-43-Piper_obliquum","Galet fin de Rio Jari","","French Guiana/Brazilian border",""
"taxon-43-Piper_obliquum","yalataku asili","Wayampi","French Guiana/Brazilian border",""
"taxon-45-Piper_peltatum","popo sakara","","Guyana",""
"taxon-45-Piper_peltatum","cow foot leaf","","Guyana",""
"taxon-50-Piper_pulleanum","petpe","Wayana","",""
"taxon-52-Piper_reticulatum","aneisi wiwiri","Sranan","",""
"taxon-58-Piper_wachenheimii","warabakakoro","Arawak","Guyana",""
