"multimediaID","taxonID","identifier","title","description"
"media-ID_2","taxon-3-Sparattanthelium_wonotoboense","fotg-a-24-2.gif","Fig. 1",""
"media-ID_3","taxon-3-Sparattanthelium_wonotoboense","fotg-a-24-3.gif","Fig. 2",""
"media-ID_60","taxon-3-Sparattanthelium_wonotoboense","fotg-a-24-60.jpg","Fig. 59","A,"
"media-ID_4","taxon-1-Hedyosmum_tepuiense","fotg-a-24-4.gif","Fig. 3",""
"media-ID_5","taxon-schlechtendahlianum","fotg-a-24-5.gif","Fig. 4",""
"media-ID_6","taxon-schlechtendahlianum","fotg-a-24-6.gif","Fig. 5",""
"media-ID_7","taxon-schlechtendahlianum","fotg-a-24-7.gif","Fig. 6",""
"media-ID_8","taxon-schlechtendahlianum","fotg-a-24-8.gif","Fig. 7",""
"media-ID_9","taxon-schlechtendahlianum","fotg-a-24-9.gif","Fig. 8",""
"media-ID_10","taxon-schlechtendahlianum","fotg-a-24-10.gif","Fig. 9",""
"media-ID_11","taxon-schlechtendahlianum","fotg-a-24-11.gif","Fig. 10",""
"media-ID_12","taxon-schlechtendahlianum","fotg-a-24-12.gif","Fig. 11",""
"media-ID_13","taxon-schlechtendahlianum","fotg-a-24-13.gif","Fig. 12",""
"media-ID_14","taxon-schlechtendahlianum","fotg-a-24-14.gif","Fig. 13",""
"media-ID_15","taxon-schlechtendahlianum","fotg-a-24-15.gif","Fig. 14",""
"media-ID_16","taxon-schlechtendahlianum","fotg-a-24-16.gif","Fig. 15",""
"media-ID_17","taxon-schlechtendahlianum","fotg-a-24-17.gif","Fig. 16",""
"media-ID_18","taxon-schlechtendahlianum","fotg-a-24-18.gif","Fig. 17",""
"media-ID_19","taxon-schlechtendahlianum","fotg-a-24-19.gif","Fig. 18",""
"media-ID_20","taxon-schlechtendahlianum","fotg-a-24-20.gif","Fig. 19",""
"media-ID_21","taxon-schlechtendahlianum","fotg-a-24-21.gif","Fig. 20",""
"media-ID_22","taxon-schlechtendahlianum","fotg-a-24-22.gif","Fig. 21",""
"media-ID_23","taxon-schlechtendahlianum","fotg-a-24-23.gif","Fig. 22",""
"media-ID_24","taxon-schlechtendahlianum","fotg-a-24-24.gif","Fig. 23",""
"media-ID_25","taxon-schlechtendahlianum","fotg-a-24-25.gif","Fig. 24",""
"media-ID_26","taxon-schlechtendahlianum","fotg-a-24-26.gif","Fig. 25",""
"media-ID_27","taxon-schlechtendahlianum","fotg-a-24-27.gif","Fig. 26",""
"media-ID_28","taxon-schlechtendahlianum","fotg-a-24-28.gif","Fig. 27",""
"media-ID_29","taxon-schlechtendahlianum","fotg-a-24-29.gif","Fig. 28",""
"media-ID_30","taxon-schlechtendahlianum","fotg-a-24-30.gif","Fig. 29",""
"media-ID_31","taxon-schlechtendahlianum","fotg-a-24-31.gif","Fig. 30",""
"media-ID_32","taxon-schlechtendahlianum","fotg-a-24-32.gif","Fig. 31",""
"media-ID_33","taxon-schlechtendahlianum","fotg-a-24-33.gif","Fig. 32",""
"media-ID_34","taxon-schlechtendahlianum","fotg-a-24-34.gif","Fig. 33",""
"media-ID_35","taxon-schlechtendahlianum","fotg-a-24-35.gif","Fig. 34",""
"media-ID_36","taxon-schlechtendahlianum","fotg-a-24-36.gif","Fig. 35",""
"media-ID_37","taxon-schlechtendahlianum","fotg-a-24-37.gif","Fig. 36",""
"media-ID_38","taxon-schlechtendahlianum","fotg-a-24-38.gif","Fig. 37",""
"media-ID_39","taxon-schlechtendahlianum","fotg-a-24-39.gif","Fig. 38",""
"media-ID_40","taxon-schlechtendahlianum","fotg-a-24-40.gif","Fig. 39",""
"media-ID_41","taxon-schlechtendahlianum","fotg-a-24-41.gif","Fig. 40",""
"media-ID_42","taxon-schlechtendahlianum","fotg-a-24-42.gif","Fig. 41",""
"media-ID_43","taxon-schlechtendahlianum","fotg-a-24-43.gif","Fig. 42",""
"media-ID_44","taxon-schlechtendahlianum","fotg-a-24-44.gif","Fig. 43",""
"media-ID_45","taxon-schlechtendahlianum","fotg-a-24-45.gif","Fig. 44",""
"media-ID_46","taxon-schlechtendahlianum","fotg-a-24-46.gif","Fig. 45",""
"media-ID_47","taxon-schlechtendahlianum","fotg-a-24-47.gif","Fig. 46",""
"media-ID_48","taxon-schlechtendahlianum","fotg-a-24-48.gif","Fig. 47",""
"media-ID_49","taxon-schlechtendahlianum","fotg-a-24-49.gif","Fig. 48",""
"media-ID_50","taxon-schlechtendahlianum","fotg-a-24-50.gif","Fig. 49",""
"media-ID_51","taxon-schlechtendahlianum","fotg-a-24-51.gif","Fig. 50",""
"media-ID_52","taxon-schlechtendahlianum","fotg-a-24-52.gif","Fig. 51",""
"media-ID_53","taxon-schlechtendahlianum","fotg-a-24-53.gif","Fig. 52",""
"media-ID_54","taxon-schlechtendahlianum","fotg-a-24-54.gif","Fig. 53",""
"media-ID_55","taxon-schlechtendahlianum","fotg-a-24-55.gif","Fig. 54",""
"media-ID_56","taxon-schlechtendahlianum","fotg-a-24-56.gif","Fig. 55",""
"media-ID_57","taxon-schlechtendahlianum","fotg-a-24-57.gif","Fig. 56",""
"media-ID_58","taxon-schlechtendahlianum","fotg-a-24-58.gif","Fig. 57",""
"media-ID_59","taxon-schlechtendahlianum","fotg-a-24-59.gif","Fig. 58",""
"media-ID_61","taxon-schlechtendahlianum","fotg-a-24-61.jpg","Fig. 60","Transverse sections of"
"media-ID_62","taxon-schlechtendahlianum","fotg-a-24-62.jpg","Fig. 61","Tangential sections of"
