"referenceID","bibliographicCitation"
"ref--1940048251424371719","Espejo, A. 1992 Hernandiaceae Flora de Veracruz 67 1-22"
"ref-1599833140511938370","Grenand, P., et al. 1987 Pharmacopées traditionnelles en Guyane, Hernandiaceae p. 245-247"
"ref--6348210423128382310","Kostermans, A.J.G.H. 1937 Hernandiaceae A.A. Pulle Flora of Suriname 2 1 338-344"
"ref--7213133462441420708","Kubitzki, K. 1969 Monographie der Hernandiaceen Bot. Jahrb. Syst. 89 78-209"
"ref--1688122056344278159","Kubitzki, K. 1976 Hernandiaceae J. Lanjouw & A.L. Stoffers Flora of Suriname, Additions and Corrections 2 2 485-486"
"ref-5508930171144045205","Kubitzki, K. 1982 Hernandiaceae Z.L. de Febres & J.A. Steyermark Flora de Venezuela 4 2 324"
"ref--1710478808593943968","Lemée, A.M.V. 1955-56 Hernandiacées Flore de la Guyane Française 1 658-659"
"ref-5660056480289448606","Lemée, A.M.V. 1955-56 Hernandiacées Flore de la Guyane Française 4 36"
"ref-2410838031816841598","Meisner, C.D.F. 1866 Lauraceae (Sparattanthelium) and Hernandiaceae C.F.P. von Martius Flora Brasiliensis 5 2 291-294 and 297-300"
"ref--3928232979142993234","Miller, J.S. & P.E. Berry. 1999 Hernandiaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 5 592-593"
"ref--711630561963787219","Mori, S.A. & J.L. Brown. 2002 Hernandiaceae S.A. Mori et al. Guide to the Vascular Plants of Central French Guiana. Mem. New York Bot. Gard. 76 2 344-347"
"ref-5197031424746734865","Pax, F. 1889 Hernandiaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien 3 2 126-129"
"ref-6212670408733550892","Carlquist, S. 1962a A theory of paedomorphosis in dicotyledonous woods Phytomorphology 12 30-45"
"ref-4323911661170061512","Dadswell, H.E. & S.J. Record. 1936 Identification of woods with conspicuous rays Trop Woods 48 1-30"
"ref--7999103808041562461","Dechamps, R. 1985 Etude anatomique de bois d’ Amérique du Sud. III. Linaceae-Quiinaceae. Ann. Mus. roy. Afr. Cent. Tervuren ser. IN-8, Sci. econ. No 14 471 pp."
"ref-3247694168067852656","Détienne, P. & P. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines C.T.F.T. Nogent sur Marne"
"ref--2481403021853100132","Ilic, J. 1991 CSIRO atlas of hardwoods Springer-Verlag Berlin, etc. 525 pp."
"ref-89956035355843111","Kribs, D.A. 1968 Commercial Foreign Woods on the American Market Dover Publ. New York"
