"taxonID","description"
"taxon-7-HERNANDIACEAE","Trees, (climbing) shrubs or lianas. Leaves not stipulate, petiolate, often peltate, alternate; blade simple or up to 3-5-lobed or divided into 3-5 leaflets; veination prominent, pinnate, palmate or camptodromous; oil cells, sometimes cystoliths and glandular hairs present. Inflorescences axillary, pseudo-terminal, rarely terminal panicles , usually much branched, terminal-flower generally absent, flowers in cincinni or dichasia; bracts and bracteoles present or absent. Flowers bisexual, unisexual, or by abortion unisexual (then plants monoecious, very rarely dioecious), regular, epigynous; perianth segments 3-10, in 1 or 2 whorls, quincuncial, (sub-)imbricate or valvate; stamens 1-7, in 1 whorl, alternating with (inner) whorl of perianth segments, usually free, in Hernandia with 2 somewhat connate, swollen glands on back, anthers basifixed, 2-locular, introrse, dehiscing by valves opening to the top or to the side, connective linear, pollen grains inaperturate, spinulose; interstaminal glands very small or absent; ovary present or rudimentary, unilocular, ovule 1, anatropous, pendulous, style 1, simple, with a groove decurrent along entire length. Fruits dry, indehiscent drupes, ovoid or ellipsoid, rarely globose, longitudinally ribbed, in Hernandia included in cupule; seed 1, endosperm absent, cotyledons 2, large, with apical radicle."
"taxon-1-HERNANDIA","Trees, rarely shrubs, in general evergreen (rarely deciduous). Leaves simple (rarely 3-5-lobed), often peltate, cystoliths absent. Inflorescences consisting of a branched axis and flowers in cincinni; peduncles elongate (rarely short); cincinni with 3 flowers (rarely 2 or 1): 2 (1) lateral male flower(s) and 1 central, subsessile female flower (rarely bisexual) on branches of the first (rarely second) order, or on main axis; upper parts of branches somewhat tawny or white pubescent, rarely glabrous; bracts generally present; bracteoles of male flowers 4, ± equal, free, partly including flower buds from cincinnus, bracteoles of female flower 2, connate, forming fleshy, campanulate cupule. Flower buds ovoid, rarely globose. Flowers bisexual or unisexual, then monoecious, rarely dioecious; perianth segments free, minutely pubescent on both sides, outer segments quincuncial or imbricate, inner segments narrower and imbricate or valvate. Male flowers: 6-12 perianth segments; stamen filaments short, each with 2 yellow, somewhat stalked, glandular appendages, free or united; pollen 90-160 μm, spinose; staminodes absent; pistil rudimentary. Female flowers: 8-12 perianth segments; stamens absent, glands 4-5(-10-12), free or connate; ovary laterally somewhat compressed, style sigmoid or straight, moderately thick or thinner towards base, stigma mostly diagonally placed, large, fleshy, margin fimbriate. Drupes black, ovoid or ellipsoid, ribbed/striped, included in cupule; cotyledons free and rather thick, or connate and ruminate. Dispersal of fruits zoöchorous or hydrochorous."
"taxon-1-Hernandia_guianensis","Tree up to 30 m high , with buttresses; bark glabrous, shining greyish-white; wood white, with a soft aroma of Apium. Branches fragile and breaking easily. Leaves simple; petiole terete, 6-14(-22) cm long , fleshy at base; blade papery to somewhat leathery , longitudinally folded, elliptic-ovate , 11-20(-30) x 6-14(-25) cm , margin entire, apex 1-2(-3) cm acuminate, base rounded, subcordate or acute, not peltate, only leaves of young plants up to 10 mm peltate, green; at base sub-5-veined, 2-4 pairs of higher secondary veins, veins below loosely pubescent with short glandular and longer straight hairs, otherwise leaves glabrous on both sides. Inflorescence axillary or pseudo-terminal , pubescent, conspicuously ash-grey; peduncle (6-)10-16 cm long ; cincinni on secondary or tertiary branches; bracts 0-2, underneath ramifications, variable in shape; bracteoles of male flowers oblong, 5-8 x 3-4 mm . Flower buds ellipsoid or obovoid, 3-5 x 2-3.5 mm . Flowers unisexual. Male flowers: pedicels 2-3 mm long ; perianth segments 6, in 2 whorls, whitish, elliptic, 5-6(-7) x 2-2.5 mm , apex and base rounded, densely pubescent; stamens 3, little shorter than perianth, orange-yellow, filaments free, loosely pubescent, anther valves opening to sides; each stamen with 2 glabrous glands. Female flower: pedicel 0-1 mm long ; cupule broadly cup-shaped, not constricted, ca. 2 x 2 mm , entire; perianth as in male flower; style little shorter than perianth, thin at base, broader towards stigma, recurved at top, lanate. Fruit pedicel up to 5 mm long . Fruit cupule succulent, red spotted, up to 5.5 x 4 cm , with an almost circular, slightly constricted hole. Drupe brown, ovoid, ca. 3 x 2.4 cm , with 8 longitudinal slightly prominent ribs/grooves, glabrous, apex almost flat, with rounded umbo; cotyledons ruminate, connate."
"taxon-2-SPARATTANTHELIUM","Small evergreen trees, shrubs, or lianas climbing with lateral, often recurved short-shoots. Branches terete, glabrous or pubescent or with stellate-congested hairs on young branches, finally glabrate. Leaves simple, more dense towards end of branchlets; blades margin entire, apex acuminate, deep green, laxly pubescent or glabrous above, dense and whitish lanuginose or more or less glabrous below; in general 3-veined or 3-pliveined, 2-4 pairs of secondary veins, rarely more or less pinnately veined, intersecondary veins parallel reticulate, all veins below prominulous; cystoliths present. Inflorescences numerous, axillary, just under top of branch or terminal , spreading, dichasial, 8-13 times branched, terminal flower of final dichasia usually lacking; pedunculate; bracts and bracteoles in general absent, sometimes basal ramifications with leaf-like bracts; branches moderately to strongly nodose, sometimes dense and whitish or laxly pubescent. Flower buds ovoid or ellipsoid, greyish white pubescent. Flowers bisexual, or functional unisexuall; perianth lobes 4-8, in one whorl, valvate when 4-5, irregular sub-imbricate when 6-8, more or less persistent, outside greyish white pubescent, inside green to dark green, glabrous; stamens 4-5(-7), alternating with perianth lobes, filaments short, glabrous, anthers elongate, glabrous, valves opening from base to top, finally horizontally spreading, pale yellow, pollen 19-30 μm , in white heaps; staminodes and glandular appendages absent; style cylindrical, thick, with appressed hairs, stigma knob-like, small. Infructescence broad, many branched panicle, hanging, bearing few fruits, nodose, silver-white, rarely dark or brown; fruit pedicels discoid at top. Drupes silver whitish, rarely dark or brownish, often compressed, glabrous, striped, sarcocarp thin, endocarp stony, coriaceous or woody; cotyledons narrowly folded."
"taxon-1-Sparattanthelium_aruakorum","Liana. Stem dark green. Short-shoots up to 2 cm long , recurved, hook-formed, compressed at base, striate, without leaves, glabrous, when young laxly pubescent. Leaves: petiole 1-3.5 cm long , glabrous; blade slightly coriaceous , narrowly oblong to ovate , 6-12(-13) x 2.5-4.5 cm , margin flat, apex 0.5-1 cm acuminate, base rounded or obtuse, when dry olive-green to dark green above, slightly shining, glabrous, below somewhat paler olive or grey, glabrous; at base 3-veined, appearing to be pinnately veined, secondary veins 4-6 pairs, in a right angle with main vein, all veins above and below glabrous or laxly pubescent, on both sides prominulous. Inflorescence axillary or pseudo-terminal , 8-10 times branched, up to 13.5 cm long ; peduncle 4.5-6(-7) cm long , dark, glabrous, branchlets loosely minutely pubescent; pedicels thin, greyish white pubescent. Flowers: perianth lobes 5, rarely 4, narrowly obovate/ovate/oblong to ligulate, 1.5-1.8 x 0.8-1 mm , more or less hooded; stamens 4, filaments 0.5 mm long , anthers ca. 1 mm long ; style 0.6-0.8 mm long . Infructescence up to 22 cm long , nodose, dark brown to black; fruit pedicel 4.5-5.5 cm long . Drupe dark brown or black, ellipsoid, 1.7-1.8 x 0.6-0.7 cm , compressed, inconspicuously 6-ribbed."
"taxon-2-Sparattanthelium_guianense","Liana. Short-shoots 5-13 cm long , recurved, leaf-bearing and often hooked at top; ultimate branchlets striate, densely minutely pubescent, lower ones brown, glabrous. Leaves: petiole (0.5-)1.5-2.5(-3.2) cm long , densely pubescent, glabrescent; blade thick papery to slightly coriaceous , ovate-, obovate- or oblong-elliptic , 4-16.5 x 1.7-8 cm , margin slightly revolute, apex 0.3-1.5 cm pointed, base rounded or obtuse, when dry dark olive-green above, subglabrous, below somewhat paler, glabrous or laxly pubescent; at base 3-veined, secondary veins 1-2 pairs, intersecondary veins more or less parallel, at right angle with main vein, veins pubescent above when young, later glabrous, below densely, later laxly minutely pubescent. Inflorescence 9-11 times branched, up to 10-12 cm long ; peduncle 5-9 cm long , ash grey, minutely pubescent; pedicel thin, ash grey, minutely pubescent. Flowers: perianth lobes 4-5, oblong, 1.5-2 x 0.5-0.8(-1) mm ; stamens 4-5, filaments 0.3 mm long , anthers ca. 1 mm long ; style 1.8-2 mm long . Infructescence up to 20 cm long , slightly nodose, silvery grey when mature; fruit pedicel 0.9-1.7 cm long . Drupe silvery grey, elongate-ellipsoid, 1.5-1.7 x 0.6-0.7 cm , longitudinally slightly compressed, inconspicuously 5-7-ribbed, rugose/somewhat wrinkled."
"taxon-3-Sparattanthelium_wonotoboense","Liana. Branches terete, smooth, striate; short-shoots thick, terete, 4-16(-20) cm long , recurved, hooked or arcuate at top, strongly compressed at base, glabrous or densely pubescent when young, darkening, striate. Leaves: petiole thin, 0.8-2.5(-4) cm long , densely minutely pubescent to more or less glabrous; blade papery to slightly coriaceous , ovate-, obovate- or oblong-elliptic , 4-11(-14) x 2-5(-7) cm , margin somewhat revolute, apex 0.3-1 cm acuminate, base rounded or obtuse, sometimes shortly acute, above brownish green to (dark) olive, glabrous or laxly pubescent, sometimes a bit shining, below paler or greyish green to ash-grey, densely puberulent, trichomes 0.1-0.7 mm long ; sub-3-pliveined, secondary veins 1-4 pairs, all veins above glabrous to pubescent, below glabrous to densely pubescent. Inflorescences axillary , 8-12(-13) times branched, up to 10-14 cm long ; peduncle 3-8 cm long , grey pubescent or glabrous, branchlets terete, greyish white pubescent; pedicels slender, grey pubescent. Flowers: perianth lobes 4, elliptic or oblong, 1.5-2 x 0.5-1 mm , smudgy red; stamens 4, filaments 0.5 mm long , anthers 1 mm long ; style thick, 1.2-1.8 mm long . Infructescence 12-24 cm long , nodose to strongly nodose, silver-white when mature, pubescent or glabrous; branchlets slender; fruit pedicel slender, 2.5-6(-6.5) cm long . Drupe silver-white, ellipsoid, 1.3-1.6 x 0.6-0.7 cm , longitudinally compressed, acute, inconspicuously 6(-8)-ribbed, somewhat wrinkled."
"taxon-8-CHLORANTHACEAE","Trees, shrubs or herbs. Leaves opposite, decussate, simple; petioles connate at base, stipulates present, petiolar; blades pinnately veined, usually glabrous, margins dentate. Inflorescences capitate, spicate or racemose, axillary or terminal . Flowers small, unisexual (monoecious or dioecious) or bisexual, without perianth or with 3-lobed calyx, subtended by 1-3 bracts or ebracteate; stamens 1-3, in bisexual flowers adnate to ovary, anthers 2- or 4-locular, linear to oblong, opening with longitudinal slits, connective often expanded or extended. Pistillate and bisexual flowers epigynous, hemi-epigynous or naked; carpel 1, stigma sessile, ovule 1, orthotropous. Fruit a berry with a hard seed coat or a drupe with a fragile, stony endocarp (Hedyosmum); seeds with well-developed starchy endosperm, embryo small with 2 minute cotyledons."
"taxon-1-Hedyosmum","Monoecious or dioecious aromatic shrubs or trees, rarely herbs, often with prop roots; wood white, usually soft; stems with persistent leaf sheaths or with encircling leaf sheath scars; nodes swollen. Leaves fleshy to coriaceous when fresh; margins dentate; petioles with expanded bases forming a connate sheath around stem; distal margin of leaf sheath with or without stipular appendages. Staminate inflorescences composed of a solitary spike or with several spikes on a racemose or paniculate axis, subtended by a pair of leafy bracts; spikes with 50-300 flowers. Staminate flowers consisting of a solitary, sessile, ebracteate stamen; stamens quadrangular to oblong, 4-locular, longitudinally dehiscent, anther connective extended with apex, flat, acute or acuminate. Pistillate inflorescences solitary, thryse-like, racemose, or paniculate, subtended by leafy bracts; flowers solitary or more often clustered into cymules. Pistillate flowers consisting of an ellipsoidal or trigonous ovary, with perianth adnate to ovary with 3 free or partially fused lobes at apex of ovary, subtended by a chartaceous or fleshy floral bract that often encloses flower. Fruit a drupe with a fleshy wall formed by fused perianth or multiple with connate floral bracts becoming fleshy and colored (white or purple); seeds small, brown or black, ellipsoidal or trigonous, smooth or minutely papillate."
"taxon-1-Hedyosmum_tepuiense","Dioecious aromatic tree or shrub, 2-16 m tall ; young stems quadrate, older stems terete with tubular leaf bases persisting; internodes 3-6 cm long , glabrous. Free portion of petiole 0.7-2 cm long , glabrous to slightly floccose or strigose; petiolar sheaths 1.5-2.5 cm long , usually verrucose with two linear to fimbriate stipular appendages ca. 3 mm long ; leaf blade elliptic, 7.5-19 x 2.3-10 cm , with long-acuminate tip 0.5-1.5 cm long , attenuate at base, margin serrate, drying scabrous; midvein impressed above, raised beneath, with floccose or strigose hairs. Staminate inflorescence 2.5-6.5 cm long , rachis with 2-3 nodes, each with 1-3 spikes; mature spike 0.6-1.5 cm long with 50-100 stamens; anthers 1-1.5 cm long terminated by an expanded apiculate connective. Pistillate inflorescence racemose or paniculate, 3-10 cm long with ca. 20 cymules; cymule with 2-5 pistillate flowers; pistillate flower slightly trigonous, 2-3 cm long , 1-2 mm broad ; perianth lobes small, ca. 0.3 mm long ; stigmas irregularly clavate, 1-2 mm long , 3-angled, papillose. Fruiting cymules white, irregularly globose, 4-9 mm diam. ; seeds ellipsoidal, ca. 3 mm long , brown, smooth."
