"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ--7356647013263471438","taxon-139-GENTIANACEAE","GENTIANACEAE","Abraham, A.A.","43","guyana"
"occ-5061825051474981153","taxon-139-GENTIANACEAE","GENTIANACEAE","","55","guyana"
"occ-4573587157548150096","taxon-139-GENTIANACEAE","GENTIANACEAE","","119","guyana"
"occ-2790434020124583925","taxon-139-GENTIANACEAE","GENTIANACEAE","","163","guyana"
"occ--2796268578113546385","taxon-139-GENTIANACEAE","GENTIANACEAE","","165","guyana"
"occ-4774243710482921562","taxon-139-GENTIANACEAE","GENTIANACEAE","","172","guyana"
"occ-4112672494061185559","taxon-139-GENTIANACEAE","GENTIANACEAE","","264","guyana"
"occ--7460416292339779734","taxon-139-GENTIANACEAE","GENTIANACEAE","","402","guyana"
"occ--8650846765873088747","taxon-139-GENTIANACEAE","GENTIANACEAE","Acevedo-Rodríguez, P.","3350","guyana"
"occ--8949712689212289997","taxon-139-GENTIANACEAE","GENTIANACEAE","Adams, C.D.","s.n.","guyana"
"occ--7772138710517086874","taxon-139-GENTIANACEAE","GENTIANACEAE","Aitken, J.B.","50","guyana"
"occ--7365826000725860929","taxon-139-GENTIANACEAE","GENTIANACEAE","Altson, R.A.","148","guyana"
"occ--3411402158168624246","taxon-139-GENTIANACEAE","GENTIANACEAE","","316","guyana"
"occ-9140276124690391506","taxon-139-GENTIANACEAE","GENTIANACEAE","","301","guyana"
"occ--8640126345370538167","taxon-139-GENTIANACEAE","GENTIANACEAE","","319","guyana"
"occ--2914430509506929971","taxon-139-GENTIANACEAE","GENTIANACEAE","","355","guyana"
"occ--3838117692278775594","taxon-139-GENTIANACEAE","GENTIANACEAE","","373","guyana"
"occ-8033966230618104064","taxon-139-GENTIANACEAE","GENTIANACEAE","","513","guyana"
"occ--3950743213867087201","taxon-139-GENTIANACEAE","GENTIANACEAE","Andel, T. van, et al.","578","guyana"
"occ--506398815769695801","taxon-139-GENTIANACEAE","GENTIANACEAE","","618","guyana"
"occ--4063980147560612138","taxon-139-GENTIANACEAE","GENTIANACEAE","","2638","guyana"
"occ--2569628107983239375","taxon-139-GENTIANACEAE","GENTIANACEAE","Appun, C.F.","s.n.","guyana"
"occ-3838769039980623340","taxon-139-GENTIANACEAE","GENTIANACEAE","","291","guyana"
"occ-8749857214865383534","taxon-139-GENTIANACEAE","GENTIANACEAE","","395","guyana"
"occ--7815562566621731432","taxon-139-GENTIANACEAE","GENTIANACEAE","","1555","guyana"
"occ-4321025791793692451","taxon-139-GENTIANACEAE","GENTIANACEAE","","1617","guyana"
"occ-779756374328057298","taxon-139-GENTIANACEAE","GENTIANACEAE","","2249","guyana"
"occ--5156351070388659595","taxon-139-GENTIANACEAE","GENTIANACEAE","","2258","guyana"
"occ-3938862159085621024","taxon-139-GENTIANACEAE","GENTIANACEAE","Atkinson, D.J.","14","guyana"
"occ-603436000884822555","taxon-139-GENTIANACEAE","GENTIANACEAE","","48","guyana"
