"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-139-GENTIANACEAE","GENTIANACEAE","","family","GENTIANACEAE","","","","accepted"
"taxon-1-CELIANTHA","CELIANTHA","Maguire","genus","","","CELIANTHA","Mem. New York Bot. Gard. 32 382 1981","accepted"
"taxon-1-Celiantha_imthurniana","Celiantha imthurniana","Maguire","species","","","Celiantha","Mem. New York Bot. Gard. 32 387 1981","accepted"
"taxon-2-CHELONANTHUS","CHELONANTHUS","Gilg","genus","","","CHELONANTHUS","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","accepted"
"taxon-1-Chelonanthus_alatus","Chelonanthus alatus","Pulle","species","","","Chelonanthus","Enum. Vasc. Pl. Surinam 376 1906","accepted"
"taxon-2-Chelonanthus_angustifolius","Chelonanthus angustifolius","Gilg","species","","","Chelonanthus","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","accepted"
"taxon-3-Chelonanthus_grandiflorus","Chelonanthus grandiflorus","Chodat & Hassl.","species","","","Chelonanthus","Pl. Hassl. Add. 5 1917","accepted"
"taxon-4-Chelonanthus_hamatus","Chelonanthus hamatus","Lepis","species","","","Chelonanthus","","accepted"
"taxon-5-Chelonanthus_pterocaulis","Chelonanthus pterocaulis","Lepis","species","","","Chelonanthus","","accepted"
"taxon-6-Chelonanthus_purpurascens","Chelonanthus purpurascens","Struwe & V.A. Albert","species","","","Chelonanthus","Harvard Pap. Bot. 3 70 1998","accepted"
"taxon-7-Chelonanthus_viridiflorus","Chelonanthus viridiflorus","Gilg","species","","","Chelonanthus","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","accepted"
"taxon-3-CHORISEPALUM","CHORISEPALUM","Gleason & Wodehouse","genus","","","CHORISEPALUM","Bull. Torrey Bot. Cl. 58 451 1931","accepted"
"taxon-1-Chorisepalum_carnosum","Chorisepalum carnosum","Ewan","species","","","Chorisepalum","J. Washington Acad. Sci. 37 394 1947","accepted"
"taxon-2-Chorisepalum_psychotrioides","Chorisepalum psychotrioides","Ewan","species","","","Chorisepalum","J. Washington Acad. Sci. 37 394 1947","accepted"
"taxon-3-Chorisepalum_rotundifolium","Chorisepalum rotundifolium","Ewan","species","","","Chorisepalum","J. Washington Acad. Sci. 37 396 1947","accepted"
"taxon-4-Chorisepalum_sipapoanum","Chorisepalum sipapoanum","Struwe & V.A. Albert","species","","","Chorisepalum","Fl. Venez. Guayana 5 491 1999","accepted"
"taxon-4-COUTOUBEA","COUTOUBEA","Aubl.","genus","","","COUTOUBEA","Hist. Pl. Guiane 1 72 1775","accepted"
"taxon-1-Coutoubea_humilis","Coutoubea humilis","Sandwith","species","","","Coutoubea","Kew Bull. Misc. Inform. 1939 17 1939","accepted"
"taxon-2-Coutoubea_ramosa","Coutoubea ramosa","Aubl.","species","","","Coutoubea","Hist. Pl. Guiane 1 74 1775","accepted"
"taxon-2a-Coutoubea_ramosa","Coutoubea ramosa","Aubl.","species","","","Coutoubea","Hooker J. Bot. Kew Gard. Misc. 6 198 1854","accepted"
"taxon-2b-Coutoubea_ramosa","Coutoubea ramosa","Aubl.","species","","","Coutoubea","","accepted"
"taxon-2c-Coutoubea_ramosa","Coutoubea ramosa","Aubl.","species","","","Coutoubea","Hooker J. Bot. Kew Gard. Misc. 6 198 1854","accepted"
"taxon-3-Coutoubea_reflexa","Coutoubea reflexa","Benth.","species","","","Coutoubea","Hooker J. Bot. Kew Gard. Misc. 2 45 1840","accepted"
"taxon-4-Coutoubea_spicata","Coutoubea spicata","Aubl.","species","","","Coutoubea","Hist. Pl. Guiane 1 72 1775","accepted"
"taxon-5-CURTIA","CURTIA","Cham. & Schltdl.","genus","","","CURTIA","Linnaea 1 209 1826","accepted"
"taxon-1-Curtia_ayangannae","Curtia ayangannae","L. Cobb & Jans.-Jac.","species","","","Curtia","Blumea 52 5 2007","accepted"
"taxon-2-Curtia_tenella","Curtia tenella","Cham.","species","","","Curtia","Linnaea 8 13 1833","accepted"
"taxon-3-Curtia_tenuifolia","Curtia tenuifolia","Knobl.","species","","","Curtia","Bot. Centralbl. 60 357 1894","accepted"
"taxon-6-ENICOSTEMA","ENICOSTEMA","Blume","genus","","","ENICOSTEMA","Bijdr. Fl. Nederl. Indië 14 848 1826","accepted"
"taxon-1-Enicostema_verticillatum","Enicostema verticillatum","Engl. ex Gilg","species","","","Enicostema","Engler & Prantl Nat. Pflanzenfam. 4 2 67 (June) 1895","accepted"
"taxon-7-IRLBACHIA","IRLBACHIA","Mart.","genus","","","IRLBACHIA","Nov. Gen. Sp. Pl. 2 101 1827 (1826)","accepted"
"taxon-1-Irlbachia_breviflora","Irlbachia breviflora","Struwe","species","","","Irlbachia","","accepted"
