"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Chelonanthus_alatus","wild tobacco","","Guyana",""
"taxon-1-Chelonanthus_alatus","pepiatamit","Carib","Suriname",""
"taxon-1-Chelonanthus_alatus","pipjataner","","Suriname",""
"taxon-1-Chelonanthus_alatus","sabama tabaka","","Suriname",""
"taxon-1-Chelonanthus_alatus","todo tabaka","","Suriname",""
"taxon-1-Chelonanthus_alatus","todo tabalso","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","aha","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","amerindian tobacco","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","salidore","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","wild tobacco","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","yuriballi","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","yuroballi","","Guyana",""
"taxon-3-Chelonanthus_grandiflorus","dia tabaka","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","joelieballi","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","koeraja","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","kwasi-bita","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","sabana-tabacca","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","sabana-tabaka","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","sabana tabak","","Suriname",""
"taxon-3-Chelonanthus_grandiflorus","dankuna tabaka","","French Guiana",""
"taxon-5-Chelonanthus_pterocaulis","wild tobacco","","Guyana",""
"taxon-6-Chelonanthus_purpurascens","euri-balli","","Guyana",""
"taxon-6-Chelonanthus_purpurascens","wild tabacco","","Guyana",""
"taxon-6-Chelonanthus_purpurascens","amanwei","Palikur","French Guiana",""
"taxon-2b-Coutoubea_ramosa","kubiorakoton","Arowak","Guyana",""
"taxon-2b-Coutoubea_ramosa","bradi-bita","Sranang Tongo","Suriname",""
"taxon-2b-Coutoubea_ramosa","diabita","Djuka","Suriname",""
"taxon-2b-Coutoubea_ramosa","dosumadodo pikin nengre bita","","Suriname",""
"taxon-2b-Coutoubea_ramosa","segotro-wiwiri","","Suriname",""
"taxon-2b-Coutoubea_ramosa","bita","Taki-Taki","French Guiana",""
"taxon-2b-Coutoubea_ramosa","kapua-bita","Boni","French Guiana",""
"taxon-2b-Coutoubea_ramosa","koichi-bita","Paramaccan","French Guiana",""
"taxon-4-Coutoubea_spicata","tautanmiuméê","Wayana","French Guiana",""
"taxon-1-Potalia_amara","anilapouie","Oyampi","French Guiana",""
"taxon-1-Potalia_amara","bokokini","Taki-Taki","French Guiana",""
"taxon-1-Potalia_amara","mavévé-grand-bois","Créole","French Guiana",""
"taxon-1-Tachia_grandiflora","large-flowered tachia","","Guyana",""
"taxon-1-Tachia_grandiflora","mahot noir","Creole","French Guiana",""
"taxon-2-Tachia_guianensis","alawai","Arawak","Guyana",""
"taxon-2-Tachia_guianensis","guianan tachia","","Guyana",""
"taxon-2-Tachia_guianensis","karakalidan","","Guyana",""
"taxon-2-Tachia_guianensis","loaro-ek","","Guyana",""
"taxon-2-Tachia_guianensis","wara-ek","","Guyana",""
"taxon-4-Tachia_schomburgkiana","kunuk-wai","Akawai","Guyana",""
"taxon-4-Tachia_schomburgkiana","schomburgk’s tachia","","Guyana",""
