"taxonID","scientificName","namePublishedIn","taxonomicStatus"
"taxon-1-Celiantha_imthurniana","Lisianthus imthurnianus","Trans. Linn. Soc. London Bot. 2 279 1887","synonym"
"taxon-2-CHELONANTHUS","Lisyanthus","Gen. Sp. Gent. 180 1839","synonym"
"taxon-1-Chelonanthus_alatus","Lisyanthus alatus","Hist. Pl. Guiane 1 204 1775","synonym"
"taxon-1-Chelonanthus_alatus","Irlbachia alata","Proc. Kon. Ned. Akad. Wetensch. C 88 408 1985","synonym"
"taxon-1-Chelonanthus_alatus","Lisianthus fistulosus","Lam. Encycl. Suppl. 3 564 1814","synonym"
"taxon-1-Chelonanthus_alatus","Chelonanthus fistulosus","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","synonym"
"taxon-1-Chelonanthus_alatus","Lisyanthus fistulosus","Gen. Sp. Gent. 180-181 1839","synonym"
"taxon-1-Chelonanthus_alatus","Irlbachia alata","Maas Proc. Kon. Ned. Akad. Wetensch. C 88 410 1985","synonym"
"taxon-1-Chelonanthus_alatus","Chelonanthus longistylus","Harvard Pap. Bot. 3 70 1998","synonym"
"taxon-2-Chelonanthus_angustifolius","Lisianthus angustifolius","Humb. Bonpl. & Kunth, Nov. Gen. Sp. 3 181 1819","synonym"
"taxon-2-Chelonanthus_angustifolius","Lisyanthus angustifolius","Gen. Sp. Gent. 186 1839","synonym"
"taxon-2-Chelonanthus_angustifolius","Irlbachia alata","Maas Proc. Kon. Ned. Akad. Wetensch. C 88 409-410 1985","synonym"
"taxon-2-Chelonanthus_angustifolius","Chelonanthus pyriformis","Bull. Torrey Bot. Club 58 450 1931","synonym"
"taxon-2-Chelonanthus_angustifolius","Lisianthus pyriformis","Fieldiana, Bot. 28 498 1953","synonym"
"taxon-3-Chelonanthus_grandiflorus","Lisyanthus grandiflorus","Hist. Pl. Guiane 1 205 1775","synonym"
"taxon-3-Chelonanthus_grandiflorus","Chelonanthus chelonoides","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","synonym"
"taxon-3-Chelonanthus_grandiflorus","Pentstemon chelonoides","Pl. Surin. 6 1775","synonym"
"taxon-3-Chelonanthus_grandiflorus","Lisianthus chelonoides","Suppl. Pl. 134 1781","synonym"
"taxon-3-Chelonanthus_grandiflorus","Lisyanthus chelonoides","Gen. Sp. Gent. 184-185 1839","synonym"
"taxon-3-Chelonanthus_grandiflorus","Chelonanthus schomburgkii","Engler & Prantl Nat. Pflanzenfam. 4 2 98 1895","synonym"
"taxon-3-Chelonanthus_grandiflorus","Lisianthus schomburgkii","DC Prodr. 9 75 1845","synonym"
"taxon-6-Chelonanthus_purpurascens","Lisyanthus purpurascens","Hist. Pl. Guiane 1 201 1775","synonym"
"taxon-6-Chelonanthus_purpurascens","Irlbachia purpurascens","Proc. Kon. Ned. Akad. Wetensch. C 88 4 408 1985","synonym"
"taxon-6-Chelonanthus_purpurascens","Lisianthus amoenus","Linnaea ser. 1 19 139 1847","synonym"
"taxon-6-Chelonanthus_purpurascens","Lisianthus spruceanus","Hooker J. Bot. Kew Gard. Misc. 6 202 1854","synonym"
"taxon-6-Chelonanthus_purpurascens","Lisyanthus uliginosus","Gen. Sp. Gent. 181 1839","synonym"
"taxon-6-Chelonanthus_purpurascens","Chelonanthus uliginosus","Nat. Pflanzenfam. 4 2 98 1895","synonym"
"taxon-7-Chelonanthus_viridiflorus","Lisianthus viridiflorus","Nov. Gen. Sp. Pl. 2 94-95 tab. 173 1827","synonym"
"taxon-7-Chelonanthus_viridiflorus","Lisyanthus viridiflorus","Gen. Sp. Gent. 192-193 1839","synonym"
"taxon-7-Chelonanthus_viridiflorus","Irlbachia alata","Maas Proc. Kon. Ned. Akad. Wetensch. C. 88 410 1985","synonym"
"taxon-2-Chorisepalum_psychotrioides","Chorisepalum acuminatum","Bol. Soc. Venez. Cienc. Nat. 23 75 1962","synonym"
"taxon-2-Chorisepalum_psychotrioides","Chorisepalum psychotrioides","Mem. New York Bot. Gard. 32 349 1981","synonym"
"taxon-4-Chorisepalum_sipapoanum","Chorisepalum ovatum","Mem. New York Bot. Gard. 32 344 1981","synonym"
"taxon-2a-Coutoubea_ramosa","Coutoubea racemosa","Prim. Fl. Esseq. 86-87 1818","synonym"
"taxon-2b-Coutoubea_ramosa","Coutoubea ramosa","Hooker J. Bot. Kew Gard. Misc. 6 198 1854","synonym"
"taxon-4-Coutoubea_spicata","Coutoubea densiflora","Nov. Gen. Sp. Pl. 2 111 tab. 185 1827","synonym"
"taxon-4-Coutoubea_spicata","Coutoubea lutea","Flora 26 765 1843","synonym"
"taxon-2-Curtia_tenella","Schuebleria tenella","Nov. Gen. Sp. Pl. 2 117 1827","synonym"
"taxon-2-Curtia_tenella","Curtia tenuifolia","Proc. Kon. Ned. Akad. Wetensch. C. 87 40 1984","synonym"
"taxon-3-Curtia_tenuifolia","Exacum tenuifolium","Hist. Pl. Guiane 1 70 1775","synonym"
"taxon-3-Curtia_tenuifolia","Schuebleria coarctata","Ann. Nat. Hist. 2 442 1839","synonym"
"taxon-1-Enicostema_verticillatum","Gentiana verticillata","Syst. Nat. ed. 10 952 1759 or 1760","synonym"
"taxon-7-IRLBACHIA","Lisianthus","Benth. & Hook.f. Gen. Pl. 2 814 1876","synonym"
"taxon-7-IRLBACHIA","Irlbachia","Mem. New York Bot. Gard. 32 368 1981 nom. superfl.","synonym"
"taxon-7-IRLBACHIA","Pagaea","DC. Prodr. 9 70-71 1845","synonym"
"taxon-7-IRLBACHIA","Lisianthus","Hooker J. Bot. Kew Gard. Misc. 6 200 1854","synonym"
"taxon-7-IRLBACHIA","Brachycodon","Mart. Fl. Bras. 6 1 229 1865 non Fed. (1957).","synonym"
"taxon-7-IRLBACHIA","Irlbachia","Mem. New York Bot. Gard. 32 377 1981","synonym"
"taxon-1-Irlbachia_breviflora","Lisianthus breviflorus","Hooker J. Bot. 2 45 1840","synonym"
"taxon-1-Irlbachia_breviflora","Chelonanthus cardonae","Brittonia 3 189 1939","synonym"
"taxon-1-Irlbachia_breviflora","Lisianthus cardonae","Fieldiana, Bot. 28 498 1953","synonym"
"taxon-1-Irlbachia_breviflora","Irlbachia cardonae","Mem. New York Bot. Gard. 32 381 1981","synonym"
"taxon-1-Irlbachia_breviflora","Lisianthus scabridulus","Fieldiana, Bot. 28 496 1953","synonym"
"taxon-1-Irlbachia_breviflora","Lisianthus acutilobus","Bol. Soc. Venez. Cienc. Nat. 26 439 1966","synonym"
"taxon-1-Irlbachia_breviflora","Irlbachia paruana","Mem. New York Bot. Gard. 32 380-381 1981","synonym"
"taxon-2-Irlbachia_tatei","Calolisianthus tatei","Bull. Torrey Bot. Club 58 449 1931","synonym"
"taxon-2-Irlbachia_tatei","Lisianthus tatei","Fieldiana, Bot. 28 498 1953","synonym"
"taxon-2-Irlbachia_tatei","Lisianthus jauaensis","Mem. New York Bot. Gard. 23 879 1972","synonym"
"taxon-8-MACROCARPAEA","Lisyanthus","Gen. Sp. Gent. 173 1839","synonym"
"taxon-9-NEUROTHECA","Octopleura","Mart. Fl. Bras. 6 1 212 1865 (non Grisebach 1860)","synonym"
"taxon-1-Neurotheca_loeselioides","Octopleura loeselioides","Mart. Fl. Bras. 6 1 212 t.58 1865","synonym"
"taxon-2-Potalia_resinifera","amara","Mart. Fl. Bras. 6 1 268 1868","synonym"
