"taxonID","habitat"
"taxon-139-GENTIANACEAE","Habitat: most abundant in temperate regions."
"taxon-1-CELIANTHA","Habitat: only found on the mountain summits of tepuis."
"taxon-1-Celiantha_imthurniana","Habitat: mountain or gallery forests and open rocky, sometimes wet, areas or savannas on tepuis, sometimes on sandstone, 2000-2700 m alt."
"taxon-2-CHELONANTHUS","Habitat: moist forests, forest openings and edge, wet/dry savannas, riversides and roadsides, sometimes in caatinga and cerrado type vegetation, most often found in low nutrient, white sand soils, but may also be found in clay, lateritic or rocky soil."
"taxon-1-Chelonanthus_alatus","Habitat: moist forests, savannas, and scrub, along rivers and roadsides, most commonly found in white sandy low nutrient soils, but also in clay and lateritic soils and rarely in rocky soil, 0-2255 m alt."
"taxon-2-Chelonanthus_angustifolius","Habitat: wet and dry savannas, sometimes along streams and forest edges often found on white-sand, low nutrient soils, 37-1980 m alt."
"taxon-3-Chelonanthus_grandiflorus","Habitat: often found in forest openings along streams or roads or in secondary growth, and sometimes found in grassy savannas and cerrado- or caatinga-type vegetation, most often found on moist white-sand, low-nutrient soils, but sometimes in rocky soil or on clay or lateritic soil, 80-1900 m alt."
"taxon-4-Chelonanthus_hamatus","Habitat: mostly in rocky savannas, but also found in cloud forests on exposed rock, 160-600 m alt."
"taxon-5-Chelonanthus_pterocaulis","Habitat: secondary growth forests, scrub-vegetation, savannas, riverbanks, roadsides, often in sandy, rocky, moist soil and sometimes in lateritic soil, 10-1820 m alt."
"taxon-6-Chelonanthus_purpurascens","Habitat: commonly found in moist forests, forest edges, gallery forests, savannas and along rivers, rarely found in cloud forests, campo rupestre, scrub-type vegetation and along roadsides, most commonly found on white-sand, low-nutrient soils as well as on rocky soils and rarely in clay or lateritic soil, 0-3500 m alt."
"taxon-7-Chelonanthus_viridiflorus","Habitat: commonly found at headwater streams, wet savannas and forest edges, rarely along roadsides, in scrub-, cerrado- or campo rupestre-type vegetation, most commonly found in white sand, low nutrient soil and rarely in clay, lateritic or rocky soil, 130-1346 m alt."
"taxon-3-CHORISEPALUM","400-2400 m alt."
"taxon-1-Chorisepalum_carnosum","Habitat: low montane forest, 1000-1600 m alt."
"taxon-2-Chorisepalum_psychotrioides","Habitat: low to medium-high montane forest or scrub forest, (850-)1100-2300 m alt."
"taxon-3-Chorisepalum_rotundifolium","Habitat: montane forest and scrub, 1800-2400 m alt."
"taxon-4-Chorisepalum_sipapoanum","Habitat: montane forests, savannas and along streams, 1400-1700 m alt. in Venezuela and 390 m alt. in Suriname ."
"taxon-1-Coutoubea_humilis","Habitat: in savanna, in shaded, swampy areas, on sandy soil, between bolders, yellow clay or moist silt, at 60-500 m alt."
"taxon-2a-Coutoubea_ramosa","Habitat: in sand-, rock- or clay-savannas, on open, tidal or inundated places, on riverbanks, up to 300 m alt."
"taxon-2b-Coutoubea_ramosa","Habitat: in sand-, rock- or clay-savannas, on open, shaded, dry or swampy places, river banks, at 30-500 m alt."
"taxon-2c-Coutoubea_ramosa","Habitat: along rivers or lakes in inundated places, on sand, at 400-550 m alt."
"taxon-3-Coutoubea_reflexa","Habitat: savannas, on sand or sandstone, at 300-550 m alt. (in Venezuela up to 1100 m) ."
"taxon-4-Coutoubea_spicata","Habitat: sand-, clay-, laterite- or rock-savannas, disturbed areas, swamps or along lakes, at 20-325 m alt."
"taxon-1-Curtia_ayangannae","Habitat: in low montane forest, organic soils on sandstone, 1800-2400 m alt."
"taxon-2-Curtia_tenella","Habitat: open and shrub vegetation, (wet) savannas, at 80-1600 m alt."
"taxon-3-Curtia_tenuifolia","Habitat: open and shrub vegetation, wet savannas on white sand, up to 1600 m alt."
"taxon-1-Enicostema_verticillatum","Habitat: on beaches, along roads, ruderal places, savannas at lower altitudes ."
"taxon-7-IRLBACHIA","Habitat: several species are mostly on white sand forests."
"taxon-1-Irlbachia_breviflora","Habitat: in elfin forests, savannas, and scrub forest, on white sand and sandstone and in mossy places, (500-)800-2000(-2400) m alt."
