"referenceID","bibliographicCitation"
"ref--7283846672338434539","Albert, V.A. & L. Struwe. 2002 Gentianaceae in context Pp. 1-20 L. Struwe & V.A. Albert (eds.) Gentianaceae — Systematics and Natural History Cambridge University Press Cambridge"
"ref-5801440276811226338","Aublet, J.B.C.F. 1775 Histoire des plantes de la Guiane Françoise vol. 1 and 3"
"ref-7855540241833652188","Bouman, F., L. Cobb, N. Devente, V. Goethals, P.J.M. Maas, & E. Smets. 2002 The seeds of Gentianaceae Pp. 498-572 L. Struwe & V.A. Albert (eds.) Gentianaceae — Systematics and Natural History Cambridge University Press Cambridge"
"ref-1858924387580900177","Dam, J.A.C. van. 2002 The Guyanan Plant Collections of Robert and Richard Schomburgk M.J. Jansen-Jacobs (ed.) Flora of the Guianas, Suppl. Series 3 1-211"
"ref--7066388515653413464","Elias, T.S. & A. Robyns. 1975 Gentianaceae R.E. Woodson et al. (eds.) Flora of Panama. Ann. Missouri Bot. Gard. 62 61-101"
"ref-8612648054367238612","Gilg, E. 1895 Gentianaceae H.G.A. Engler & K.A.E. Prantl Die natürlichen Pflanzenfamilien 4 2 50-108"
"ref--1259200597086186514","Grisebach, A.H.R. 1839 Genera et Species Gentianearum Pp. 1-364"
"ref--3633746665081172928","Grisebach, A.H.R. 1845 Gentianaceae A. de Candolle (ed.) Prodr. 9 38-141, 560-563"
"ref--8435278649154571569","Grisebach, A.H.R. 1862 Notes on Coutoubea volubilis, Mart., and some other Gentianeae of Tropical America J. Proc. Linn. Soc., Bot. 6 140-146"
"ref--478730051746889793","Hequet, V. 2007 Pollen atlas of bat-pollinated plants of central French Guiana New York Botanical Garden http://nybg.org/botany/tlobova/hequet/PollenAtlas_frameset.htm"
"ref--5049954022772406646","Howard, R.A. 1989 Gentianaceae In Flora of the Lesser Antilles 6 87-95"
"ref-979416485057690947","Jensen, S. R. & J. Shripsema. 2002 Chemotaxonomy and pharmacology of Gentianaceae Pp. 573- 632 L. Struwe & V.A. Albert (eds.) Gentianaceae — Systematics and Natural History Cambridge University Press Cambridge"
"ref-9069334926174531472","Jonker, F.P. 1936 Gentianaceae A.A. Pulle (ed.) Flora of Suriname 4 1 400-427"
"ref--9182253843351557900","Kunth, C.S. 1819 Gentianaceae (Lisianthus treatment) A. Humboldt, A. Bonpland & C.S. Kunth (eds.) Nov. Gen. Sp. 3 180-185"
"ref-6660029115516695322","Kuntze, C.E.O. 1891 Revis. Gen. Pl. vol. 2"
"ref--9207565577246055115","Lemée, A. 1953 Gentianacées Flore de la Guyane Française 3 277-288"
"ref--8823104917559945952","Maas, P.J.M. 1985 Nomenclatural notes on neotropical Lisyantheae (Gentianaceae) Proc. Kon. Ned. Akad. Wetensch. C, 88 405-412"
