"taxonID","locality","localityType","distributionText"
"taxon-139-GENTIANACEAE","worldwide","world","Distribution: About 1700 species in ca. 97 genera (Struwe et al., 2002) worldwide ; in the Neotropics about 430 species in 47 genera; in the Guianas , 54 species in 19 genera."
"taxon-139-GENTIANACEAE","Neotropics","world","Distribution: About 1700 species in ca. 97 genera (Struwe et al., 2002) worldwide ; in the Neotropics about 430 species in 47 genera; in the Guianas , 54 species in 19 genera."
"taxon-139-GENTIANACEAE","Guianas","region","Distribution: About 1700 species in ca. 97 genera (Struwe et al., 2002) worldwide ; in the Neotropics about 430 species in 47 genera; in the Guianas , 54 species in 19 genera."
"taxon-1-CELIANTHA","N Brazil","region","Distribution: 3 species in N Brazil , E Guyana , S-SE Venezuela ; 1 species in Guyana ."
"taxon-1-CELIANTHA","E Guyana","region","Distribution: 3 species in N Brazil , E Guyana , S-SE Venezuela ; 1 species in Guyana ."
"taxon-1-CELIANTHA","S-SE Venezuela","region","Distribution: 3 species in N Brazil , E Guyana , S-SE Venezuela ; 1 species in Guyana ."
"taxon-1-CELIANTHA","Guyana","country","Distribution: 3 species in N Brazil , E Guyana , S-SE Venezuela ; 1 species in Guyana ."
"taxon-1-Celiantha_imthurniana","Venezuela","country","Distribution: Venezuela ( Bolívar ) and Guyana ( Mt. Roraima ); 27 collections studied, of which 4 from Guyana (GU: 4)."
"taxon-1-Celiantha_imthurniana","Bolívar","state","Distribution: Venezuela ( Bolívar ) and Guyana ( Mt. Roraima ); 27 collections studied, of which 4 from Guyana (GU: 4)."
"taxon-1-Celiantha_imthurniana","Guyana","country","Distribution: Venezuela ( Bolívar ) and Guyana ( Mt. Roraima ); 27 collections studied, of which 4 from Guyana (GU: 4)."
"taxon-1-Celiantha_imthurniana","Mt. Roraima","locality","Distribution: Venezuela ( Bolívar ) and Guyana ( Mt. Roraima ); 27 collections studied, of which 4 from Guyana (GU: 4)."
"taxon-1-Celiantha_imthurniana","Guyana","country","Distribution: Venezuela ( Bolívar ) and Guyana ( Mt. Roraima ); 27 collections studied, of which 4 from Guyana (GU: 4)."
"taxon-2-CHELONANTHUS","S and C America","continental region","Distribution: 10 species in S and C America (1 species to S Mexico ), Caribbean islands of Trinidad and Grenada , the Andes from Venezuela to Bolivia , Guayana Highlands , Brazilian Highlands (1 species to Paraguay and NE Argentina ), Amazon Basin ; 7 species in the Guianas ."
