"taxonID","use"
"taxon-1-Chelonanthus_alatus","Uses: The leaves have been used to relieve itching in Suriname (Archer 2652) and as a bitter in Guyana (McDowell & Stobey 3831)."
"taxon-3-Chelonanthus_grandiflorus","Uses: In Guyana, the leaves are boiled for ‘bowels’ (Görts-van Rijn et al. 434), and for 'clean out of dirty tummy', and malaria (Reinders & Torres 29)."
"taxon-5-Chelonanthus_pterocaulis","Use: This species has been listed in Guyana for ""for removing worms and 'dirt' in the body"" (Riley 8)."
"taxon-6-Chelonanthus_purpurascens","Uses: In Guyana an infusion of the leaves was used by the Arawaks for smallpox (according to Harrison 1345), and has been used against fungal infections (according to Hoffman & Patterson 878)."
"taxon-2a-Coutoubea_ramosa","Uses: Guyana: 2 collections indicate that the plant is poisonous to cattle. French Guiana: bitter febrifuge (from label: Herbier de l'Exposition Coloniale s.n.)."
"taxon-2b-Coutoubea_ramosa","Uses: Guyana: roots against diarrhea, leaves to bitter the blood (from label: Riley 12). French Guiana: as infusion against stomach-ache (from label: Sastre 4027); bitter febrifuge (from label: Herbier de l'Exposition Coloniale s.n.)."
"taxon-1-Schultesia_benthamiana","Uses: Roots are bitter and used for making tea. The boiled extract is used to make a bitter drink for women before their menstruation."
"taxon-3-Schultesia_guianensis","Uses: Extract frequently used as a febrifuge."
