"taxonID","scientificName","namePublishedIn","taxonomicStatus"
"taxon-2-Abolboda_americana","Xyris americana","Hist. Pl. Guiane I 140 3: pl. 14 1775","synonym"
"taxon-2-Abolboda_americana","Abolboda americana","Bull. Torrey Bot. Cl. 75 193 1940","synonym"
"taxon-2-Abolboda_americana","imberbis","H.B.K. Nov. Gen. Sp. 1 256 1815","synonym"
"taxon-3a-Abolboda_grandis","Abolboda grandis","Bih. Kongl. Svenska Vetenskapsakad. Handl. 26. Afd. 3. 19 14 1901","synonym"
"taxon-3b-Abolboda_grandis","Abolboda pervaginata","Ark. Bot. 25A 12 16 1933","synonym"
"taxon-3b-Abolboda_grandis","Abolboda grandis","Mem. New York Bot. Gard. 10 1 8 1958","synonym"
"taxon-4-Abolboda_killipii","Abolboda psammophila","Bull. Torrey Bot. Club 75 193 1948","synonym"
"taxon-4-Abolboda_killipii","Abolboda minima","Mem. New York Bot. Gard. 10 1 7 1963","synonym"
"taxon-5a-Abolboda_macrostachya","Abolboda macrostachya","Mem. New York Bot. Gard. 10 1 10 fig. 3 i-n.l958.","synonym"
"taxon-5b-Abolboda_macrostachya","Abolboda rigida","Bull. Torrey Bot. Club 56 16 1929","synonym"
"taxon-5b-Abolboda_macrostachya","Abolboda excelsa","Ark. Bot. 25A l2 16 1933","synonym"
"taxon-7-Abolboda_pulchella","Abolboda gracilis","Bol. Mus. Paraense Hist. Nat. 5 223 1909","synonym"
"taxon-1-Orectanthe_ptaritepuiana","Abolboda ptaritepuiana","Fieldiana, Bot. 28 104 1951","synonym"
"taxon-2-Orectanthe_sceptrum","Abolboda sceptrum","Trans. Linn. Soc. Lon- don, Bot. 2 286 1887","synonym"
"taxon-2-Orectanthe_sceptrum","Orectanthe sceptrum","Mem. New York Bot. Gard. 10 1 3-5 1958","synonym"
"taxon-2-Orectanthe_sceptrum","Orectanthe sceptrum","Mem. New York Bot. Gard. 10 1 3-5 1958","synonym"
"taxon-6-Xyris_cyperoides","Xyris epicarae","Phytologia 53 436-437 fig. 6 1983","synonym"
"taxon-8-Xyris_fallax","Xyris dolichosperma","Recueil Trav. Bot. Neerl. 34 488 f. 5 1937","synonym"
"taxon-8-Xyris_fallax","Xyris erythema","Mem. New York Bot. Gard. 10 5 12 fig. 1 A-F 1964","synonym"
"taxon-9-Xyris_guianensis","Xyrisjiliscapa","Repert. Spec. Nov. Regni Veg. 3 112 1906","synonym"
"taxon-10-Xyris_hymenachne","Xyris submontana Bull. Torrey","","synonym"
"taxon-11-Xyris_involucrata","asterocephala","Mart. Fl. Bras. 3 1 219 1855","synonym"
"taxon-12-Xyris_jupicai","Xyris communis","Enum. Pl. 4 12 1843","synonym"
"taxon-12-Xyris_jupicai","Xyris surinamensis","Linnaea 17 58 1843 non A. Sprengel","synonym"
"taxon-12-Xyris_jupicai","arenicola","Linnaea 18 75 1844 nom. nov.","synonym"
"taxon-12-Xyris_jupicai","Xyris acuminata","Syn. Pl. Glumac 2 284 1855","synonym"
"taxon-12-Xyris_jupicai","Xyris guianensis","Rich. Schomburgk Reis. Br.-Guiana 3 896 1849","synonym"
"taxon-15-Xyris_laxifolia","Xyris macrocephala","Pulle Fl. Sur. 1 1 243 1938","synonym"
"taxon-15-Xyris_laxifolia","Xyris macrocephala","Kongl. Svenska Vetensk. Handl. 24 14 30 1892","synonym"
"taxon-15-Xyris_laxifolia","Xyris caroliniana","Caldasia 6 29 199 fig. 4 1954","synonym"
"taxon-15-Xyris_laxifolia","Xyris jupicai","Reitz Fl. Ill. Catarinensis Pt. 1(Xiri) 9 1965","synonym"
"taxon-16-Xyris_malmeana","Xyris glabrata","Fl. Brit. W. I. 525 1864 (Trinidad), not as to basionym X. savanensis Miq. var. glabrata Seub.","synonym"
"taxon-16-Xyris_malmeana","Xyris moraesii","Proc. Bioi. Soc. Wash. 73 251 fig. 5 1960","synonym"
"taxon-17a-Xyris_paraensis","Xyris longiceps","Recueil Trav. Bot. Neerl. 9 131 1912","synonym"
"taxon-17a-Xyris_paraensis","Xyris leptostachya","Recueil 'frav. Bot. Neerl. 9 132 1912","synonym"
"taxon-20-Xyris_setigera","Xyris setigera","Fieldiana, Bot. 28 1 112 1951","synonym"
"taxon-22-Xyris_spathacea","Xyris exserta","Caldasia 4 229 fig. 21 1954","synonym"
"taxon-22-Xyris_spathacea","Xyris yapobodensis","Caldasia 6 231 fig. 22 1954","synonym"
"taxon-23-Xyris_subuniflora","Xyris capillaris","Fieldiana, Bot. 28 107 1951 non Malme, 1932.","synonym"
"taxon-24-Xyris_surinamensis","Xyris eriophylla","Enum. Pl. 4 4 1843","synonym"
"taxon-25-Xyris_tenella","Xyris steyermarkii","Mem. New York Bot. Gard. 10 5 30 fig. 15A-E 1963","synonym"
"taxon-25-Xyris_tenella","Xyris yutajensis","Mem. New York Bot. Gard. 10 5 30 fig. 19A-F 1963","synonym"
"taxon-26a-Xyris_thysanolepis","Xyris sipapoa","Mem. New York Bot. Gard. 10 5 18 fig. 4A-F 1963","synonym"
"taxon-26b-Xyris_thysanolepis","Xyris jauana","Bol. Soc. Venez. Ci. Nat. 132-133 277 fig. 2a-g 1976","synonym"
"taxon-27a-Xyris_uleana","Xyris connectens","Ark. Bot. 13 13 2 1925","synonym"
"taxon-27b-Xyris_uleana","Xyris duidensis","Bull. Torrey Bot. Club 58 325 1931","synonym"
"taxon-27b-Xyris_uleana","Xyris vaupesiana","Caldasia 6 29 237 fig a-f 1954","synonym"
"taxon-1-EICHHORNIA","Piaropus","Fl. Tellur. 2 81 1837","synonym"
"taxon-1-Eichhornia_azurea","Pontederia azurea","Prodr. 57 1788","synonym"
"taxon-1-Eichhornia_azurea","Piaropus azureus","Fl. Tell. 2 82 1837","synonym"
"taxon-2-Eichhornia_crassipes","Pontederia crassipes","Nov. Gen. Sp. Pl. 1 9 t. 4 1823","synonym"
"taxon-2-Eichhornia_crassipes","Piaropus crassipes","Fl. Tell. 2 81 1837","synonym"
"taxon-2-Eichhornia_crassipes","Eichhornia speciosa","Enum. Pl. 4 131 1843 Illegitimate substitution name for Pontederia crassipes.","synonym"
"taxon-2-Eichhornia_crassipes","Heteranthera formosa","Linnaea 17 61 1843","synonym"
"taxon-3-Eichhornia_diversifolia","Heteranthera diversifolia","Enum. Pl. 2 44 1805","synonym"
"taxon-3-Eichhornia_diversifolia","Piaropus diversifolius","Britton & P. Wilson Sci. Surv. Porto Rico 5 149 1923","synonym"
"taxon-3-Eichhornia_diversifolia","Eichhornia pauciflora","Martius Fl. Bras. 3 1 91 1847","synonym"
"taxon-3-Eichhornia_diversifolia","natans","A.L.P.P. de Candolie Monogr. Phan. 4 526 1883","synonym"
"taxon-3-Eichhornia_diversifolia","Heteranthera grandiflora","Schomburgk Reis. Br. Guiana 3 1118 1849 nom. nud.","synonym"
"taxon-4-Eichhornia_heterosperma","Eichhornia venezuelensis","Acta Bot. Venez. 6 367 plate at p. 369 1972","synonym"
"taxon-5-Eichhornia_paniculata","Pontederia paniculata","Neue Entd. 3 18 1822","synonym"
"taxon-5-Eichhornia_paniculata","Piaropus paniculatus","Fl. S.E. U.S. ed. 2 1328 1913","synonym"
"taxon-5-Eichhornia_paniculata","Eichhornia tricolor","Martius Fl. Bras. 3 1 92 t. 11 1847","synonym"
"taxon-5-Eichhornia_paniculata","Pontederia tricolor","Martius Fl. Bras. 3 1 92 1847","synonym"
"taxon-2-PONTEDERIA","Umsema","Med. Repos. ser. 2 5 352 1808 nom. nud.","synonym"
"taxon-2-PONTEDERIA","Reussia","Gen. Pl. 1 139 1836","synonym"
"taxon-1-Pontederia_rotundifolia","Reussia rotundifolia","Lilloa 25 593 1951","synonym"
"taxon-1-Pontederia_rotundifolia","Pontederia cordifolia","Syst. Veg. 7 1142 1830","synonym"
"taxon-1-Pontederia_rotundifolia","Pontederiiz eriantha","Unnaea 17 60 1843","synonym"
"taxon-2-Pontederia_subovata","Eichhornia subovata","Martius Fl. Bras. 3 1 91 1847","synonym"
"taxon-2-Pontederia_subovata","Reussia subovata","A.L.P.P. de Candolle Monogr. Phan. 4 534 1883","synonym"
"taxon-2-Pontederia_subovata","Pontederia schomburgkiana","Schomburgk Reis. Blf-Biliana 3 1118 1849 nom. nud.","synonym"
"taxon-3-Pontederia_triflora","Reussia triflora","Martius Fl. Bras. 3 1 94 1847","synonym"
"taxon-3-Pontederia_triflora","Pontederia heterantherimorpha","Bot. Jahrb. Syst. 61 Beibl. 139 41 1928","synonym"
"taxon-3-Pontederia_triflora","Hirschtia heterantherimorpha","Bot. Jahrb. Syst. 61 Beibl. 139 41 1928 pro. syn.","synonym"
"taxon-3-Pontederia_triflora","Pontederia lagoensis","Vidensk. Meddel. Dansk Naturhist. Foren. Kjobenhavn 1871 323 t. 6 1871","synonym"
"taxon-3-Pontederia_triflora","Reussia lagoensis","Arch. Jard. Bot. Rio de Janeiro 16 209 1958","synonym"
"taxon-1-SCHIEKIA","Troschelia","M.R. Schomburgk Reis. Br.-Guiana 3 1066, 1120 1849 nom. nud.","synonym"
"taxon-1a-Schiekia_orinocensis","Wachendorfia orinocensis","von Humboldt Bonpland & Kunth, Nov. Gen. Sp. 1 3 256 1816","synonym"
"taxon-1a-Schiekia_orinocensis","Schiekia orinocensis","Pl. Vase. Gen. Pars Altera 300 1842","synonym"
"taxon-1a-Schiekia_orinocensis","Troschelia orinocensis","M.R. Schomburgk Reis. Br.-Guiana 3 1066, 1120 1849 nomen nudum","synonym"
"taxon-1a-Schiekia_orinocensis","Schiekia jlavescens","J. Bot. (Morot) 16 269 f. 12 1889 (as ""Schieckia congesta"")","synonym"
"taxon-1a-Schiekia_orinocensis","Schiekia orinocensis","Mem. New York Bot. Gard. 9 3 320 1957","synonym"
"taxon-1-Xiphidium_caeruleum","Xiphidium floribundum","Bot. Mag. page opp. t. 5055 1858","synonym"
"taxon-1-Xiphidium_caeruleum","Ixia xiphidium","Iter Hispan. 179 1758","synonym"
"taxon-1-Xiphidium_caeruleum","Xiphidium floribundum","Prod. 17 1788","synonym"
"taxon-1-Xiphidium_caeruleum","Xiphidium fockeanum","Linnaea 17 63 1843","synonym"
