"taxonID","vernacularName","language","region","doubtful"
"taxon-1-Eichhornia_azurea","duaBan","Palikur","French Guiana",""
"taxon-2-Eichhornia_crassipes","p >lel > timauya","Wayapi","French Guiana",""
"taxon-2-Eichhornia_crassipes","duaJ3an","Palikur","French Guiana",""
"taxon-2-Eichhornia_crassipes","z'oreille-z-ane","Creole","French Guiana",""
"taxon-2-Eichhornia_crassipes","jacinthe d'eau","Creole","French Guiana",""
"taxon-1-Pontederia_rotundifolia","sirkoe-kraroen","Sranang","Suriname",""
"taxon-1-Pontederia_rotundifolia","watra-kraroen","","Suriname",""
"taxon-1-Pontederia_rotundifolia","pakiataibi","Palikur","French Guiana",""
"taxon-1-Xiphidium_caeruleum","mountain grass","","Guyana",""
"taxon-1-Xiphidium_caeruleum","tigerplant","","Guyana",""
"taxon-1-Xiphidium_caeruleum","yarui balli","","Guyana",""
"taxon-1-Xiphidium_caeruleum","ebesere-bina","","Suriname",""
"taxon-1-Xiphidium_caeruleum","salalang","","Suriname",""
"taxon-1-Xiphidium_caeruleum","coumarti feuilli","","French Guiana",""
"taxon-1-Xiphidium_caeruleum","glaivane bleue","","French Guiana",""
"taxon-1-Xiphidium_caeruleum","koupi koupi","","French Guiana",""
