"referenceID","bibliographicCitation"
"ref-7680009888229120103","Bentham, G. & J. D. Hooker. 1883 Xyridaceae Gen. Pl. 3 2 841-843"
"ref-7339351169906831115","Carlquist, S 1960 Xyridaceae (anatomy) Mem. New York Bot. Gard. 10 2 65-117"
"ref--9213643274934836697","Engler, H.G.A. 1887 Xyridaceae H.G.A. Engler & K. Prantl Nat. Pflanzenfam. 2 4 18-20 fig. 7-10"
"ref-4223003408680965248","Idrobo, J.M. & L.B. Smith. 1954 Xiridaceas de Colombia Caldasia 6 29 183-260 fig. 1-36"
"ref-4593243728920566620","Kral, R. 1983 Xyridaceae J. Arnold Arb. 64 421-429"
"ref--6627344735626355732","Kral, R. 1988 The genus Xyris (Xyridaceae) in Venezuela and contiguous northern South America Ann. Missouri Bot. Gard. 75 522-722"
"ref-816808675431429532","Kral, R. 1990 Steyermark et al. Flora of Venezuelan Guayana (in press)"
"ref-5344177595592116511","Kral, R. 1990 Treatment of American Xyridaceae exclusive of Xyris Ann. Missouri Bot. Gard. 79 819-885"
"ref-7043021756064601282","Lanjouw, J. 1938 Xyridaceae A. A. Pulle Flora of Suriname 1 1 225-248"
"ref-425068977713837653","Maguire, B., J.J. Wurdack et al. 1958 Xyridaceae Mem. New York Bot. Gard. 10 1 2-19 fig. 1-3"
"ref--6434351154102418355","Maguire, B. & L.B. Smith. 1963 Xyris Mem. New York Bot. Gard. 10 5 8-37 fig. 1-22"
"ref--2643590983271794003","Malme, G.O.A. 1924 Xyridologische Beitrage. Ark. Bot. 19 13 1-8 Fig. 1-3"
"ref-9096351421336962630","Malme, G.O.A. 1930 Xyridaceae H.G.A. Engler & K. Prantl Nat. Pflanzenfam. ed. 2 25A 35-38 fig. 111-115"
"ref-4329016530359046864","Mennega, A.MW., J.C. Lindeman&A.R.A. Gorts-van Rijn. 1968 Xyridaceae Pulle & Lanjouw Flora of Suriname 1 2 Additions and Corrections 340-342"
"ref--1168785367413313209","Nilsson, Alb. 1892 Xyridaceae Kongl. Svenska Vetenskapsakad. Handl. 24 14 175 tab. 1-6"
"ref-8784808448377287154","Seubert, M.A. 1855 Xyridaceae C.F.P. von Martius Flora Brasiliensis 3 1 209-224 tab. 22-30"
"ref-4878507827830936066","Smith, L.B. & R.J. Downs. 1968 Xyridaceae F.C. Hoehne Flora Brasilica Fasc. 12 1-215 Sao Paulo"
"ref-6996711736930088341","Suessenguth, K. & R. Beyerle. 1935 Abolboda Bot. Jahrb. 67 132-142 fig. 1-3"
"ref-3932332520521389910","Alexander, E. J. 1937 Pontederiaceae N. Amer. Fl. 19 51-60"
"ref--3399884473866716269","Castellanos, A. 1959 Las Pontederiaceae de Brasil Arq. Jard. Bot. Rio de Janeiro 16 149-218"
"ref-4899156368133262921","Eckenwalder, J. E. & S. C. H. Barrett. 1986 Phylogenetic Systematics of Pontederiaceae Syst. Bot. 11 373-391"
"ref-6436898127420332181","Horn, C. N. 1987 Pontederiaceae Flora of Ecuador 29 1-20"
"ref--1532990956980957100","Jonker-Verhoef, A. M. E. 1968 Pontederiaceae A. A. Pulle and J. Lanjouw (eds.) Flora of Suriname vol. 1 pt. 2 pp. 81-90"
"ref--1033194347615665796","Schery, R. W. 1944 Flora of Panama, Pontederiaceae Ann. Missouri Bot. Gard. 31 151-157"
"ref--406367011151542090","Agostini, G. 1974 El genera Eichhornia (Pontederiaceae) en Venezuela Acta Bot. Venez. 9 303-310"
"ref--3916434769956675022","Barrett, S. C. H. 1978 Floral biology of Eichhornia azurea (Swartz) Kunth (Pontederiaceae) Aquat. Bot. 5 217-228"
"ref-5345803852086743042","Barrett, S. C. H. 1980 Sexual reproduction in Eichhornia crassipes (water hyacinth), I. Fertility of clones from diverse regions. J. Appl. Ecol. 17 101-112"
"ref-4932422952375167354","Barrett, S. C. H. 1980 Sexual reproduction in Eichhornia crassipes (water hya cinth), II. Seed production in natural populations. J. Appl. Ecol. 17 113-124"
"ref-5735884511491873721","Barrett, S. C. H. 1985 Floral trimorphism and monomorphism in continental and island populations of Eichhornia paniculata (C. Sprengel) Solms. (Pontederiaceae) Biol. J. Linn. Soc. 25 41-60"
"ref--3330263265597066897","Barrett, S. C. H. 1976 The breeding system of Pontederia rotundifolia L., a tristylous species New Phytol. 78 209-220"
"ref-6435487452733241000","Horn, C. N. and R. H. Haynes. 1987 Typification of Pontederia and its Linnaean species names (Pontederiaceae) Taxon 36 621-625"
"ref-7719545162971641615","Lowden, R. M. 1973 Revision of Pontederia L Rhodora 75 426-487"
"ref-5166623147982635522","Geerinck, D. 1969 Genera des Haemodoraceae et des Hypoxidaceae Bull. Jard. Bot. Nat. Belg. 39 47-82"
"ref-7295434607841150722","Lanjouw, J. 1938 Haemodoraceae Pulle Fl. Suriname 1 1 255-257"
"ref--4035525275479041496","Maas, P.J.M. & H. Maas-van de Kamer. 1993 Haemodoraceae In Fl. Neotropica 61 1-46"
"ref-4365893311574301865","Ostendorf, FYV. 1962 Nuttige Planten en Sierplanten in Suriname Landbouw-proefstat. Suriname 79 220"
"ref--9074363300392119787","Simpson, M.G. 1990 Phylogeny and classification of the Haemodoraceae Ann. Missouri Bot. Gard. 77 722-784"
"ref-8867232223756710507","Villaroel, F. 1971 Haemodoraceae Lasser Flora de Venezuela 3 1 207-222"
