"taxonID","locality","localityType","distributionText"
"taxon-182-XYRIDACEAE","pantropic","world","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-182-XYRIDACEAE","Guayana Highlands","region","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-182-XYRIDACEAE","Guayana Highlands","region","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-182-XYRIDACEAE","Brazil","country","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-182-XYRIDACEAE","Paraguay","country","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-182-XYRIDACEAE","Guianas","region","Distribution: A largely pantropic family of 5 genera and ca. 300 spe- cies, with Xyris totalling around 200 species the only genus occurring in both hemispheres. Of the other genera Aratitiyopea Steyerm. & Berry (monospecific, 2 var.), Achlyphila Maguire & Wurdack (monospecific), and Orectanthe Maguire (2 species) are confined to the Guayana Highlands ; Abolboda (ca. 20 species), while most diverse in the Guayana Highlands , extends southward through Brazil to Paraguay (one record); in the Guianas there are 34 species in 3 genera."
"taxon-1-ABOLBODA","Neotropics","world","Distribution: About 20 species, confined to the Neotropics ; 6(-7) species in the Guianas ."
"taxon-1-ABOLBODA","Guianas","region","Distribution: About 20 species, confined to the Neotropics ; 6(-7) species in the Guianas ."
"taxon-1-Abolboda_acaulis","Guyana","country","Distribution: Frequent to abundant in rocky savanna bogs, medium to high elvations, Guyana W across S Venezuela ."
"taxon-1-Abolboda_acaulis","S Venezuela","region","Distribution: Frequent to abundant in rocky savanna bogs, medium to high elvations, Guyana W across S Venezuela ."
"taxon-1a-Abolboda_acaulis","SW Guyana","region","Distribution: SW Guyana W through S Venezuela to Cerros Huachamacari, Sipapo, in T.F. Amazonas , 200-2400 m."
"taxon-1a-Abolboda_acaulis","S Venezuela","region","Distribution: SW Guyana W through S Venezuela to Cerros Huachamacari, Sipapo, in T.F. Amazonas , 200-2400 m."
"taxon-1a-Abolboda_acaulis","Cerros Huachamacari, Sipapo, in T.F. Amazonas","region","Distribution: SW Guyana W through S Venezuela to Cerros Huachamacari, Sipapo, in T.F. Amazonas , 200-2400 m."
"taxon-1b-Abolboda_acaulis","SW Guyana","region","Distribution: SW Guyana W through S Venezuela to Cerro Yapacana in T.F. Amazonas , often admixed with the type variety."
