WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000035189,Mountain everlasting,Antennaria dioica,244,1,,en,IE,
wfo-0000035189,Mountain cudweed,Antennaria dioica,245,0,,en,IE,
wfo-0000035189,Cat’s foot,Antennaria dioica,246,0,,en,IE,
wfo-0000848178,Sweet-scented grass,Anthoxanthum odoratum,251,0,,en,IE,
wfo-0000848178,Vernal-grass,Anthoxanthum odoratum,252,0,,en,IE,
wfo-0000848178,Sweet vernal grass,Anthoxanthum odoratum,253,1,,en,IE,
wfo-0000538624,Bur chervil,Anthriscus caucalis,257,1,,en,IE,
wfo-0000538624,Upright hedge parsley,Anthriscus caucalis,258,0,,en,IE,
wfo-0000538692,Cow parsley,Anthriscus sylvestris,260,1,,en,IE,
wfo-0000538692,Hedge-parsley,Anthriscus sylvestris,261,0,,en,IE,
wfo-0000538692,Queen Anne’s lace,Anthriscus sylvestris,262,0,,en,IE,
wfo-0000538692,Hi-how,Anthriscus sylvestris,263,0,,en,IE,
wfo-0000538692,Keck,Anthriscus sylvestris,264,0,,en,IE,
wfo-0000212115,Kidney vetch,Anthyllis vulneraria,268,1,,en,IE,
wfo-0000212115,Lady’s fingers,Anthyllis vulneraria,269,0,,en,IE,
wfo-0000539365,Snapdragon,Antirrhinum majus,275,1,,en,IE,
wfo-0001003065,Parsley-piert,Aphanes arvensis,278,1,,en,IE,
wfo-0001009199,Slender parsley-piert,Aphanes australis,280,1,,en,IE,
wfo-0000540626,Wild celery,Apium graveolens,282,1,,en,IE,
wfo-0000540643,Lesser marshwort,Apium inundatum,286,1,,en,IE,
wfo-0000540680,Fool’s water-cress,Apium nodiflorum,288,1,,en,IE,
wfo-0000541607,Columbine,Aquilegia vulgaris,292,1,,en,IE,
wfo-0000541830,Thale cress,Arabidopsis thaliana,299,1,,en,IE,
wfo-0000542001,Fringed rock-cress,Arabis brownii,301,1,,en,IE,
wfo-0000542280,Hairy rock-cress,Arabis hirsuta,303,1,,en,IE,
wfo-0000542657,Northern rock-cress,Arabis petraea,306,1,,en,IE,
wfo-0000543204,Strawberry-tree,Arbutus unedo,308,1,,en,IE,
wfo-0000095986,Great burdock,Arctium lappa,311,1,,en,IE,
wfo-0000009190,Lesser burdock,Arctium minus,317,1,,en,IE,
wfo-0000009190,Cuckel,Arctium minus,318,0,,en,IE,
wfo-0000009190,Cradan,Arctium minus,319,0,,en,IE,
wfo-0000543738,Bearberry,Arctostaphylos uva-ursi,335,1,,en,IE,
wfo-0000543738,Blanchnog,Arctostaphylos uva-ursi,336,0,,en,IE,
wfo-0000543738,Cowberry,Arctostaphylos uva-ursi,337,0,,en,IE,
wfo-0000545685,Fringed sandwort,Arenaria ciliata,342,1,,en,IE,
wfo-0000546335,Arctic sandwort,Arenaria norvegica,344,1,,en,IE,
wfo-0000546651,Thyme-leaved sandwort,Arenaria serpyllifolia,346,1,,en,IE,
wfo-0000549005,Thrift,Armeria maritima,349,1,,en,IE,
wfo-0000549005,Sea pink,Armeria maritima,350,0,,en,IE,
wfo-0000549005,Dead man’s posy,Armeria maritima,351,0,,en,IE,
wfo-0000549005,Sea daisy,Armeria maritima,352,0,,en,IE,
wfo-0000549005,Lady’s cushion,Armeria maritima,353,0,,en,IE,
wfo-0000549445,Horse-radish,Armoracia rusticana,361,1,,en,IE,
wfo-0000849608,False oat,Arrhenatherum elatius,369,1,,en,IE,
wfo-0000849608,Pearl,Arrhenatherum elatius,370,0,,en,IE,
wfo-0000134589,Wormwood,Artemisia absinthium,374,1,,en,IE,
wfo-0000013010,Sea wormwood,Artemisia maritima,378,1,,en,IE,
wfo-0000064690,Mugwort,Artemisia vulgaris,381,1,,en,IE,
wfo-0000064690,Muggart,Artemisia vulgaris,382,0,,en,IE,
wfo-0000064690,Muggers,Artemisia vulgaris,383,0,,en,IE,
wfo-0000279961,Lords and ladies,Arum maculatum,398,1,,en,IE,
wfo-0000279961,Cuckoo pint,Arum maculatum,399,0,,en,IE,
wfo-0000279961,Wakerobin,Arum maculatum,400,0,,en,IE,
wfo-0000279961,Devil’s bit,Arum maculatum,401,0,,en,IE,
wfo-0000279961,Adder’s tongue,Arum maculatum,402,0,,en,IE,
wfo-0000279961,Deadly nightshade,Arum maculatum,403,0,,en,IE,
wfo-0000279961,Wild arum,Arum maculatum,404,0,,en,IE,
wfo-0000279961,Jack-in-the-box,Arum maculatum,405,0,,en,IE,
wfo-0000279961,Jack-in-the-pulpit,Arum maculatum,406,0,,en,IE,
wfo-0000634067,Wild asparagus,Asparagus officinalis subsp. prostratus,414,1,,en,IE,
wfo-0000285663,Squinancywort,Asperula cynanchica,424,1,,en,IE,
wfo-0000060791,Sea aster,Aster tripolium,426,1,,en,IE,
wfo-0000213553,Purple milk-vetch,Astragalus danicus,429,1,,en,IE,
wfo-0000556064,Babington’s orache,Atriplex glabriuscula,432,1,,en,IE,
wfo-0000556184,Frosted orache,Atriplex laciniata,434,1,,en,IE,
wfo-0000556238,Grass-leaved orache,Atriplex littoralis,436,1,,en,IE,
wfo-0000556421,Common orache,Atriplex patula,438,1,,en,IE,
wfo-0000556421,Lamb’s quarters,Atriplex patula,439,0,,en,IE,
wfo-0000556421,Iron-root,Atriplex patula,440,0,,en,IE,
wfo-0000556490,Spear-leaved orache,Atriplex prostrata,442,1,,en,IE,
wfo-0000556490,Lamb’s quarters,Atriplex prostrata,443,0,,en,IE,
wfo-0001019409,Deadly nightshade,Atropa bella-donna,446,1,,en,IE,
wfo-0000852708,Downy oat-grass,Avenula pubescens,454,1,,en,IE,
wfo-0000761108,Lesser water-plantain,Baldellia ranunculoides,457,1,,en,IE,
wfo-0000315321,Black horehound,Ballota nigra,459,1,,en,IE,
wfo-0000560064,Winter-cress,Barbarea vulgaris,462,1,,en,IE,
wfo-0000560064,Yellow rocket,Barbarea vulgaris,463,0,,en,IE,
wfo-0000072578,Daisy,Bellis perennis,465,1,,en,IE,
wfo-0000072578,Nooneen,Bellis perennis,466,0,,en,IE,
wfo-0000564027,Barberry,Berberis vulgaris,470,1,,en,IE,
wfo-0000564539,Lesser water-parsnip,Berula erecta,472,1,,en,IE,
wfo-0000565017,Sea beet,Beta vulgaris subsp. maritima,474,1,,en,IE,
wfo-0000565017,Sea kale,Beta vulgaris subsp. maritima,475,0,,en,IE,
wfo-0000335449,Birch,Betula pendula,480,0,,en,IE,
wfo-0000335449,Silver birch,Betula pendula,481,1,,en,IE,
wfo-0000335985,Downy birch,Betula pubescens,486,1,,en,IE,
wfo-0000335985,Birch,Betula pubescens,488,0,,en,IE,
wfo-0000003695,Nodding bur-marigold,Bidens cernua,496,1,,en,IE,
wfo-0000068428,Trifid bur-marigold,Bidens tripartita,498,1,,en,IE,
wfo-0000566247,Yellow-wort,Blackstonia perfoliata,501,1,,en,IE,
wfo-0000341582,Saltmarsh flat-sedge,Blysmus rufus,504,1,,en,IE,
wfo-0000341695,Sea club-rush,Bolboschoenus maritimus,506,1,,en,IE,
wfo-0000568964,Borage,Borago officinalis,510,1,,en,IE,
wfo-0000854513,Tor-grass,Brachypodium pinnatum,512,1,,en,IE,
wfo-0000854603,False brome,Brachypodium sylvaticum,516,1,,en,IE,
wfo-0000571271,Rape,Brassica napus,520,1,,en,IE,
