WFOID,measurementValue,measurementID,taxon,measurementType,measurementRemarks
wfo-0000042097,Perennial herb,2,Achillea millefolium,http://kew.org/wcs/terms/lifeform,
wfo-0000033807,Perennial herb,3,Achillea ptarmica,http://kew.org/wcs/terms/lifeform,
wfo-0000517689,Perennial herb,4,Aconitum napellus,http://kew.org/wcs/terms/lifeform,
wfo-0000350733,Perennial herb,5,Acorus calamus,http://kew.org/wcs/terms/lifeform,
wfo-0000521309,Perennial herb,6,Adoxa moschatellina,http://kew.org/wcs/terms/lifeform,
wfo-0000521573,Perennial herb,7,Aegopodium podagraria,http://kew.org/wcs/terms/lifeform,
wfo-0000522564,Perennial herb,9,Aethusa cynapium,http://kew.org/wcs/terms/lifeform,
