WFOID,identifier,taxon,vernacularName,preferredName,source,language,countryCode,uri
wfo-0000514908,1,Acer pseudoplatanus,Sycamore,1,,en,IE,
wfo-0000514908,2,Acer pseudoplatanus,Great maple,0,,en,IE,
wfo-0000042097,7,Achillea millefolium,Yarrow,1,,en,IE,
wfo-0000042097,8,Achillea millefolium,Tansy,0,,en,IE,
wfo-0000042097,9,Achillea millefolium,Lady's fingers,0,,en,IE,
wfo-0000042097,10,Achillea millefolium,Elfshot cow,0,,en,IE,
wfo-0000033807,19,Achillea ptarmica,Sneezewort,1,,en,IE,
wfo-0000033807,20,Achillea ptarmica,Wild fire,0,,en,IE,
wfo-0000033807,21,Achillea ptarmica,White weed,0,,en,IE,
wfo-0000517689,25,Aconitum napellus,Monk's-hood,1,,en,IE,
wfo-0000517689,26,Aconitum napellus,Wolfsbane,0,,en,IE,
wfo-0000350733,29,Acorus calamus,Sweet-flag,1,,en,IE,
wfo-0000521309,31,Adoxa moschatellina,Moschatel,1,,en,IE,
wfo-0000521309,32,Adoxa moschatellina,Town Hall clock,0,,en,IE,
wfo-0000521309,33,Adoxa moschatellina,Five-faced bishop,0,,en,IE,
wfo-0000521573,35,Aegopodium podagraria,Ground-elder,1,,en,IE,
wfo-0000521573,36,Aegopodium podagraria,Goutweed,0,,en,IE,
wfo-0000521573,37,Aegopodium podagraria,Bishop's-weed,0,,en,IE,
wfo-0000521573,38,Aegopodium podagraria,Elder-plant,0,,en,IE,
wfo-0000521573,39,Aegopodium podagraria,Farmer's plague,0,,en,IE,
wfo-0000522287,44,Aesculus hippocastanum,Horse-chestnut,1,,en,IE,
wfo-0000522564,47,Aethusa cynapium,Fool’s parsley,1,,en,IE,
wfo-0001006654,50,Agrimonia eupatoria,Agrimony,1,,en,IE,
wfo-0001006000,57,Agrimonia procera,Fragrant agrimony,1,,en,IE,
wfo-0000843382,59,Agrostis canina,Velvet bent,1,,en,IE,
wfo-0000843693,62,Agrostis gigantea,Black bent,1,,en,IE,
wfo-0000844489,64,Agrostis stolonifera,Creeping bent,1,,en,IE,
wfo-0000844489,65,Agrostis stolonifera,Fiorin grass,0,,en,IE,
wfo-0000844489,73,Agrostis stolonifera,White bent-grass,0,,en,IE,
wfo-0000844922,74,Aira caryophyllea,Silver hair-grass,1,,en,IE,
wfo-0000845169,77,Aira praecox,Early hair-grass,1,,en,IE,
wfo-0000934953,80,Ajuga pyramidalis,Pyramidal bugle,1,,en,IE,
wfo-0000935107,82,Ajuga reptans,Bugle,1,,en,IE,
wfo-0000935107,83,Ajuga reptans,Betony,0,,en,IE,
wfo-0000935107,84,Ajuga reptans,Creeping bugle,0,,en,IE,
wfo-0000998050,89,Alchemilla alpina,Alpine lady’s-mantle,1,,en,IE,
wfo-0001013445,92,Alchemilla vulgaris,Lady’s-mantle,1,,en,IE,
wfo-0000986187,101,Alchemilla filicaulis,Slender lady’s-mantle,1,,en,IE,
wfo-0000984092,103,Alchemilla glabra,Smooth lady’s-mantle,1,,en,IE,
wfo-0000999868,105,Alchemilla glaucescens,Silky lady’s-mantle,1,,en,IE,
wfo-0000985078,107,Alchemilla xanthochlora,Intermediate lady’s-mantle,1,,en,IE,
wfo-0000755439,109,Alisma lanceolatum,Narrow-leaved water-plantain,1,,en,IE,
wfo-0000755470,113,Alisma plantago-aquatica,Water-plantain,1,,en,IE,
wfo-0000755470,114,Alisma plantago-aquatica,Slanlis,0,,en,IE,
wfo-0000526081,118,Alliaria petiolata,Garlic mustard,1,,en,IE,
wfo-0000526081,119,Alliaria petiolata,Hedge garlic,0,,en,IE,
wfo-0000526081,120,Alliaria petiolata,Jack-by-the-hedge,0,,en,IE,
wfo-0000755744,127,Allium babingtonii,Wild leek,1,,en,IE,
wfo-0000755744,128,Allium babingtonii,Wild garlic,0,,en,IE,
wfo-0000757278,132,Allium schoenoprasum,Chives,1,,en,IE,
wfo-0000757676,139,Allium ursinum,Wild garlic,1,,en,IE,
wfo-0000757676,140,Allium ursinum,Ramsons,0,,en,IE,
wfo-0000757676,141,Allium ursinum,Ramps,0,,en,IE,
wfo-0000757676,142,Allium ursinum,Common garlic,0,,en,IE,
wfo-0000757711,150,Allium vineale,Crow garlic,1,,en,IE,
wfo-0000757711,151,Allium vineale,Wild onion,0,,en,IE,
wfo-0000945215,153,Alnus glutinosa,Alder,1,,en,IE,
wfo-0000845386,159,Alopecurus aequalis,Orange foxtail,1,,en,IE,
wfo-0000845537,161,Alopecurus geniculatus,Marsh foxtail,1,,en,IE,
wfo-0000845657,164,Alopecurus pratensis,Meadow foxtail,1,,en,IE,
wfo-0000529011,168,Althaea officinalis,Marsh-mallow,1,,en,IE,
wfo-0000845777,174,Ammophila arenaria,Marram,1,,en,IE,
wfo-0000845777,175,Ammophila arenaria,Bent (or Bint),0,,en,IE,
wfo-0000845777,176,Ammophila arenaria,Moorinyagh (Moolinyagh),0,,en,IE,
wfo-0000845777,177,Ammophila arenaria,Miniheens,0,,en,IE,
wfo-0000968477,185,Anacamptis morio,Green-winged orchid,1,,en,IE,
wfo-0000968551,189,Anacamptis pyramidalis,Pyramidal orchid,1,,en,IE,
wfo-0000533162,191,Anagallis arvensis,Scarlet pimpernel,1,,en,IE,
wfo-0000533162,192,Anagallis arvensis,Shepherd’s weather-glass,0,,en,IE,
wfo-0000533245,201,Anagallis minima,Chaffweed,1,,en,IE,
wfo-0000533245,202,Anagallis minima,Bastard pimpernel,0,,en,IE,
wfo-0000533303,205,Anagallis tenella,Bog pimpernell,1,,en,IE,
wfo-0000533553,208,Anchusa arvensis,Bugloss,1,,en,IE,
wfo-0000534279,210,Andromeda polifolia,Bog rosemary,1,,en,IE,
wfo-0000534279,211,Andromeda polifolia,Marsh andromeda,0,,en,IE,
wfo-0000535569,215,Anemone nemorosa,Wood anemone,1,,en,IE,
wfo-0000535569,216,Anemone nemorosa,Nedcullion,0,,en,IE,
wfo-0000536043,221,Anethum graveolens,Dill,1,,en,IE,
wfo-0000536413,224,Angelica sylvestris,Wild angelica,1,,en,IE,
wfo-0000536413,225,Angelica sylvestris,Fifes,0,,en,IE,
wfo-0000536413,226,Angelica sylvestris,Flutes,0,,en,IE,
wfo-0000536413,227,Angelica sylvestris,Scout (or Scoot),0,,en,IE,
wfo-0000847873,241,Anisantha sterilis,Barren brome,1,,en,IE,
wfo-0000035189,244,Antennaria dioica,Mountain everlasting,1,,en,IE,
wfo-0000035189,245,Antennaria dioica,Mountain cudweed,0,,en,IE,
wfo-0000035189,246,Antennaria dioica,Cat’s foot,0,,en,IE,
wfo-0000848178,251,Anthoxanthum odoratum,Sweet-scented grass,0,,en,IE,
wfo-0000848178,252,Anthoxanthum odoratum,Vernal-grass,0,,en,IE,
wfo-0000848178,253,Anthoxanthum odoratum,Sweet vernal grass,1,,en,IE,
wfo-0000538624,257,Anthriscus caucalis,Bur chervil,1,,en,IE,
wfo-0000538624,258,Anthriscus caucalis,Upright hedge parsley,0,,en,IE,
wfo-0000538692,260,Anthriscus sylvestris,Cow parsley,1,,en,IE,
wfo-0000538692,261,Anthriscus sylvestris,Hedge-parsley,0,,en,IE,
wfo-0000538692,262,Anthriscus sylvestris,Queen Anne’s lace,0,,en,IE,
wfo-0000538692,263,Anthriscus sylvestris,Hi-how,0,,en,IE,
wfo-0000538692,264,Anthriscus sylvestris,Keck,0,,en,IE,
wfo-0000212115,268,Anthyllis vulneraria,Kidney vetch,1,,en,IE,
wfo-0000212115,269,Anthyllis vulneraria,Lady’s fingers,0,,en,IE,
wfo-0000539365,275,Antirrhinum majus,Snapdragon,1,,en,IE,
wfo-0001003065,278,Aphanes arvensis,Parsley-piert,1,,en,IE,
wfo-0001009199,280,Aphanes australis,Slender parsley-piert,1,,en,IE,
wfo-0000540626,282,Apium graveolens,Wild celery,1,,en,IE,
wfo-0000540643,286,Apium inundatum,Lesser marshwort,1,,en,IE,
wfo-0000540680,288,Apium nodiflorum,Fool’s water-cress,1,,en,IE,
wfo-0000541607,292,Aquilegia vulgaris,Columbine,1,,en,IE,
wfo-0000541830,299,Arabidopsis thaliana,Thale cress,1,,en,IE,
wfo-0000542001,301,Arabis brownii,Fringed rock-cress,1,,en,IE,
wfo-0000542280,303,Arabis hirsuta,Hairy rock-cress,1,,en,IE,
wfo-0000542657,306,Arabis petraea,Northern rock-cress,1,,en,IE,
wfo-0000543204,308,Arbutus unedo,Strawberry-tree,1,,en,IE,
wfo-0000095986,311,Arctium lappa,Great burdock,1,,en,IE,
wfo-0000009190,317,Arctium minus,Lesser burdock,1,,en,IE,
wfo-0000009190,318,Arctium minus,Cuckel,0,,en,IE,
wfo-0000009190,319,Arctium minus,Cradan,0,,en,IE,
wfo-0000543738,335,Arctostaphylos uva-ursi,Bearberry,1,,en,IE,
wfo-0000543738,336,Arctostaphylos uva-ursi,Blanchnog,0,,en,IE,
wfo-0000543738,337,Arctostaphylos uva-ursi,Cowberry,0,,en,IE,
wfo-0000545685,342,Arenaria ciliata,Fringed sandwort,1,,en,IE,
wfo-0000546335,344,Arenaria norvegica,Arctic sandwort,1,,en,IE,
wfo-0000546651,346,Arenaria serpyllifolia,Thyme-leaved sandwort,1,,en,IE,
wfo-0000549005,349,Armeria maritima,Thrift,1,,en,IE,
wfo-0000549005,350,Armeria maritima,Sea pink,0,,en,IE,
wfo-0000549005,351,Armeria maritima,Dead man’s posy,0,,en,IE,
wfo-0000549005,352,Armeria maritima,Sea daisy,0,,en,IE,
wfo-0000549005,353,Armeria maritima,Lady’s cushion,0,,en,IE,
wfo-0000549445,361,Armoracia rusticana,Horse-radish,1,,en,IE,
wfo-0000849608,369,Arrhenatherum elatius,False oat,1,,en,IE,
wfo-0000849608,370,Arrhenatherum elatius,Pearl,0,,en,IE,
wfo-0000134589,374,Artemisia absinthium,Wormwood,1,,en,IE,
wfo-0000013010,378,Artemisia maritima,Sea wormwood,1,,en,IE,
wfo-0000064690,381,Artemisia vulgaris,Mugwort,1,,en,IE,
wfo-0000064690,382,Artemisia vulgaris,Muggart,0,,en,IE,
wfo-0000064690,383,Artemisia vulgaris,Muggers,0,,en,IE,
wfo-0000279961,398,Arum maculatum,Lords and ladies,1,,en,IE,
wfo-0000279961,399,Arum maculatum,Cuckoo pint,0,,en,IE,
wfo-0000279961,400,Arum maculatum,Wakerobin,0,,en,IE,
wfo-0000279961,401,Arum maculatum,Devil’s bit,0,,en,IE,
wfo-0000279961,402,Arum maculatum,Adder’s tongue,0,,en,IE,
wfo-0000279961,403,Arum maculatum,Deadly nightshade,0,,en,IE,
wfo-0000279961,404,Arum maculatum,Wild arum,0,,en,IE,
wfo-0000279961,405,Arum maculatum,Jack-in-the-box,0,,en,IE,
wfo-0000279961,406,Arum maculatum,Jack-in-the-pulpit,0,,en,IE,
wfo-0000634067,414,Asparagus officinalis subsp. prostratus,Wild asparagus,1,,en,IE,
wfo-0000285663,424,Asperula cynanchica,Squinancywort,1,,en,IE,
wfo-0000060791,426,Aster tripolium,Sea aster,1,,en,IE,
wfo-0000213553,429,Astragalus danicus,Purple milk-vetch,1,,en,IE,
wfo-0000556064,432,Atriplex glabriuscula,Babington’s orache,1,,en,IE,
wfo-0000556184,434,Atriplex laciniata,Frosted orache,1,,en,IE,
wfo-0000556238,436,Atriplex littoralis,Grass-leaved orache,1,,en,IE,
wfo-0000556421,438,Atriplex patula,Common orache,1,,en,IE,
wfo-0000556421,439,Atriplex patula,Lamb’s quarters,0,,en,IE,
wfo-0000556421,440,Atriplex patula,Iron-root,0,,en,IE,
wfo-0000556490,442,Atriplex prostrata,Spear-leaved orache,1,,en,IE,
wfo-0000556490,443,Atriplex prostrata,Lamb’s quarters,0,,en,IE,
wfo-0001019409,446,Atropa bella-donna,Deadly nightshade,1,,en,IE,
wfo-0000852708,454,Avenula pubescens,Downy oat-grass,1,,en,IE,
wfo-0000761108,457,Baldellia ranunculoides,Lesser water-plantain,1,,en,IE,
wfo-0000315321,459,Ballota nigra,Black horehound,1,,en,IE,
wfo-0000560064,462,Barbarea vulgaris,Winter-cress,1,,en,IE,
wfo-0000560064,463,Barbarea vulgaris,Yellow rocket,0,,en,IE,
wfo-0000072578,465,Bellis perennis,Daisy,1,,en,IE,
wfo-0000072578,466,Bellis perennis,Nooneen,0,,en,IE,
wfo-0000564027,470,Berberis vulgaris,Barberry,1,,en,IE,
wfo-0000564539,472,Berula erecta,Lesser water-parsnip,1,,en,IE,
wfo-0000565017,474,Beta vulgaris subsp. maritima,Sea beet,1,,en,IE,
wfo-0000565017,475,Beta vulgaris subsp. maritima,Sea kale,0,,en,IE,
wfo-0000335449,480,Betula pendula,Birch,0,,en,IE,
wfo-0000335449,481,Betula pendula,Silver birch,1,,en,IE,
wfo-0000335985,486,Betula pubescens,Downy birch,1,,en,IE,
wfo-0000335985,488,Betula pubescens,Birch,0,,en,IE,
wfo-0000003695,496,Bidens cernua,Nodding bur-marigold,1,,en,IE,
wfo-0000068428,498,Bidens tripartita,Trifid bur-marigold,1,,en,IE,
wfo-0000566247,501,Blackstonia perfoliata,Yellow-wort,1,,en,IE,
wfo-0000341582,504,Blysmus rufus,Saltmarsh flat-sedge,1,,en,IE,
wfo-0000341695,506,Bolboschoenus maritimus,Sea club-rush,1,,en,IE,
wfo-0000568964,510,Borago officinalis,Borage,1,,en,IE,
wfo-0000854513,512,Brachypodium pinnatum,Tor-grass,1,,en,IE,
wfo-0000854603,516,Brachypodium sylvaticum,False brome,1,,en,IE,
wfo-0000571271,520,Brassica napus,Rape,1,,en,IE,
wfo-0000571271,521,Brassica napus,Swede,0,,en,IE,
wfo-0000571271,522,Brassica napus,Oil-seed rape,0,,en,IE,
wfo-0000571271,523,Brassica napus,Shillogs,0,,en,IE,
wfo-0000571271,524,Brassica napus,Yellow rape,0,,en,IE,
wfo-0000571271,525,Brassica napus,Turnip,0,,en,IE,
wfo-0000571350,528,Brassica oleracea,Wild cabbage,1,,en,IE,
wfo-0000571350,529,Brassica oleracea,Cabbage,0,,en,IE,
wfo-0000571350,530,Brassica oleracea,Kale,0,,en,IE,
wfo-0000571544,534,Brassica rapa,Wild turnip,1,,en,IE,
wfo-0000854755,537,Briza media,Quaking-grass,1,,en,IE,
wfo-0000854755,538,Briza media,Shivery grass,0,,en,IE,
wfo-0000854755,539,Briza media,Shaky grass,0,,en,IE,
wfo-0000854755,540,Briza media,Shaky heads,0,,en,IE,
wfo-0000854755,541,Briza media,Fairy grass,0,,en,IE,
wfo-0000854755,542,Briza media,Doddering dillies,0,,en,IE,
wfo-0000854979,546,Bromopsis erecta,Upright brome,1,,en,IE,
wfo-0000855067,550,Bromopsis ramosa,Hairy brome,1,,en,IE,
wfo-0000855398,552,Bromus commutatus,Meadow brome,1,,en,IE,
wfo-0000855692,554,Bromus hordeaceus,Soft brome,1,,en,IE,
wfo-0000855692,555,Bromus hordeaceus,Sturdy,0,,en,IE,
wfo-0000856443,559,Bromus secalinus,Rye brome,1,,en,IE,
wfo-0000574004,562,Buddleja davidii,Butterfly-bush,1,,en,IE,
wfo-0000762573,564,Butomus umbellatus,Flowering rush,1,,en,IE,
wfo-0000578725,566,Cakile maritima,Sea rocket,1,,en,IE,
wfo-0000578725,567,Cakile maritima,Purple sea rocket,0,,en,IE,
wfo-0000857259,569,Calamagrostis epigejos,Wood small-reed,1,,en,IE,
wfo-0000858042,571,Calamagrostis stricta,Narrow small-reed,1,,en,IE,
wfo-0000061618,573,Calendula officinalis,Garden marigold,1,,en,IE,
wfo-0000061618,574,Calendula officinalis,Pot marigold,0,,en,IE,
wfo-0000776917,578,Callitriche brutia,Pedunculate water-starwort,1,,en,IE,
wfo-0000777349,580,Callitriche hamulata,Intermediate water-starwort,1,,en,IE,
wfo-0000777394,582,Callitriche hermaphroditica,Autumnal water-starwort,1,,en,IE,
wfo-0000777853,584,Callitriche obtusangula,Blunt-fruited water-starwort,1,,en,IE,
wfo-0000778106,586,Callitriche platycarpa,Various-leaved water-starwort,1,,en,IE,
wfo-0000778236,588,Callitriche stagnalis,Common water-starwort,1,,en,IE,
wfo-0000778440,591,Callitriche truncata,Short-leaved water-starwort,1,,en,IE,
wfo-0000580837,593,Calluna vulgaris,Heather,1,,en,IE,
wfo-0000580837,594,Calluna vulgaris,Ling,0,,en,IE,
wfo-0000580837,595,Calluna vulgaris,Heath broom,0,,en,IE,
wfo-0000581660,600,Caltha palustris,Marsh-marigold,1,,en,IE,
wfo-0000581660,601,Caltha palustris,Kingcup,0,,en,IE,
wfo-0000581660,602,Caltha palustris,Mayflower,0,,en,IE,
wfo-0001296723,614,Calystegia sepium,Hedge bindweed,1,,en,IE,
wfo-0001296723,615,Calystegia sepium,Robin-run-the-hedge,0,,en,IE,
wfo-0001296723,616,Calystegia sepium,Wild ivy,0,,en,IE,
wfo-0001296723,617,Calystegia sepium,Great bindweed,0,,en,IE,
wfo-0001296723,618,Calystegia sepium,Bellbine,0,,en,IE,
wfo-0001298858,626,Calystegia soldanella,Sea bindweed,1,,en,IE,
wfo-0000828550,628,Campanula rotundifolia,Harebell,1,,en,IE,
wfo-0000828550,629,Campanula rotundifolia,Blue bell,0,,en,IE,
wfo-0000828550,630,Campanula rotundifolia,Blue-bonnet,0,,en,IE,
wfo-0000828550,631,Campanula rotundifolia,Fairy thimble,0,,en,IE,
wfo-0000829176,635,Campanula trachelium,Nettle-leaved bellflower,1,,en,IE,
wfo-0000829176,636,Campanula trachelium,Throatwort,0,,en,IE,
wfo-0000584001,638,Cannabis sativa,Hemp,0,,en,IE,
wfo-0000584001,639,Cannabis sativa,Indian hemp,0,,en,IE,
wfo-0000584001,640,Cannabis sativa,Cannabis,0,,en,IE,
wfo-0000584001,641,Cannabis sativa,Marijuana,0,,en,IE,
wfo-0000585589,644,Capsella bursa-pastoris,Shepherd’s purse,1,,en,IE,
wfo-0000586435,653,Cardamine amara,Large bitter-cress,1,,en,IE,
wfo-0000586792,656,Cardamine flexuosa,Wavy bitter-cress,1,,en,IE,
wfo-0000586792,657,Cardamine flexuosa,Wood bittercress,0,,en,IE,
wfo-0000586924,660,Cardamine hirsuta,Hairy bittercress,1,,en,IE,
wfo-0000586999,662,Cardamine impatiens,Narrow-leaved bitter-cress,1,,en,IE,
wfo-0000587355,664,Cardamine pratensis,Cuckooflower,1,,en,IE,
wfo-0000587355,665,Cardamine pratensis,Lady’s smock,0,,en,IE,
wfo-0000587355,666,Cardamine pratensis,Bitter cress,0,,en,IE,
wfo-0000587355,667,Cardamine pratensis,Milkmaids,0,,en,IE,
wfo-0000587355,677,Cardamine pratensis,clappede-pouch,0,,en,IE,
wfo-0000114356,678,Carduus acanthoides,Welted thistle,1,,en,IE,
wfo-0000003240,680,Carduus tenuiflorus,Slender thistle,1,,en,IE,
wfo-0000344146,682,Carex acuta,Slender tufted-sedge,1,,en,IE,
wfo-0000344202,684,Carex acutiformis,Lesser pond-sedge,1,,en,IE,
wfo-0000344489,686,Carex appropinquata,Fibrous tussock-sedge,1,,en,IE,
wfo-0000344496,688,Carex aquatilis,Water sedge,1,,en,IE,
wfo-0000344548,690,Carex arenaria,Sand sedge,1,,en,IE,
wfo-0000344548,691,Carex arenaria,Black scutch,0,,en,IE,
wfo-0000344910,693,Carex bigelowii,Stiff sedge,1,,en,IE,
wfo-0000344934,695,Carex binervis,Green-ribbed sedge,1,,en,IE,
wfo-0000345198,697,Carex buxbaumii,Club sedge,1,,en,IE,
wfo-0000345352,699,Carex caryophyllea,Spring sedge,1,,en,IE,
wfo-0000345827,701,Carex curta,White sedge,1,,en,IE,
wfo-0000345960,703,Carex demissa,Common yellow-sedge,1,,en,IE,
wfo-0000345971,705,Carex depauperata,Starved wood-sedge,1,,en,IE,
wfo-0000346001,707,Carex diandra,Lesser tussock-sedge,1,,en,IE,
wfo-0000346074,709,Carex dioica,Dioecious sedge,1,,en,IE,
wfo-0000346128,711,Carex distans,Distant sedge,1,,en,IE,
wfo-0000346149,713,Carex disticha,Brown sedge,1,,en,IE,
wfo-0000346179,715,Carex divisa,Divided sedge,1,,en,IE,
wfo-0000346192,717,Carex divulsa,Grey sedge,1,,en,IE,
wfo-0000346291,719,Carex echinata,Star sedge,1,,en,IE,
wfo-0000346340,721,Carex elata,Tufted-sedge,1,,en,IE,
wfo-0000346372,723,Carex elongata,Elongated sedge,1,,en,IE,
wfo-0000346491,725,Carex extensa,Long-bracted sedge,1,,en,IE,
wfo-0000346645,727,Carex flacca,Glaucous sedge,1,,en,IE,
wfo-0000347452,729,Carex hirta,Hairy sedge,1,,en,IE,
wfo-0000347546,731,Carex hostiana,Tawny sedge,1,,en,IE,
wfo-0000348041,733,Carex laevigata,Smooth-stalked sedge,1,,en,IE,
wfo-0000348121,735,Carex lasiocarpa,Slender sedge,1,,en,IE,
wfo-0000348243,737,Carex lepidocarpa,Long-stalked yellow-sedge,1,,en,IE,
wfo-0000348362,739,Carex limosa,Bog-sedge,1,,en,IE,
wfo-0000348649,741,Carex magellanica,Tall bog-sedge,1,,en,IE,
wfo-0000349072,743,Carex muricata,Prickly sedge,1,,en,IE,
wfo-0000349072,744,Carex muricata,Cíb dheilgneach,1,,en,IE,
wfo-0000349250,745,Carex nigra,Common sedge,1,,en,IE,
wfo-0000349613,748,Carex otrubae,False fox-sedge,1,,en,IE,
wfo-0000349619,750,Carex ovalis,Oval sedge,1,,en,IE,
wfo-0000349686,752,Carex pallescens,Pale sedge,1,,en,IE,
wfo-0000349728,754,Carex panicea,Carnation sedge,1,,en,IE,
wfo-0000349728,755,Carex panicea,Carnation-grass,0,,en,IE,
wfo-0000349753,757,Carex paniculata,Greater tussock-sedge,1,,en,IE,
wfo-0000349841,759,Carex pauciflora,Few-flowered sedge,1,,en,IE,
wfo-0000349896,761,Carex pendula,Pendulous sedge,1,,en,IE,
wfo-0000350055,763,Carex pilulifera,Pill sedge,1,,en,IE,
wfo-0000350327,765,Carex pseudocyperus,Cyperus sedge,1,,en,IE,
wfo-0000350429,767,Carex pulicaris,Flea sedge,1,,en,IE,
wfo-0000350450,769,Carex punctata,Dotted sedge,1,,en,IE,
wfo-0000350606,771,Carex remota,Remote sedge,1,,en,IE,
