WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000312065,ver-THA-0000312065.01,tan diao (ตาลเดี่ยว)(Northern),,ref-THA-0000312065,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05956,Forest Herbarium,All rights reserved,"Spathoglottis affinis . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 622. Accessed 2022-04-21",12,2
wfo-0000312065,ver-THA-0000312065.02,hua khaoniao (หัวข้าวเหนียว)(Prachin Buri),,ref-THA-0000312065,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05956,Forest Herbarium,All rights reserved,"Spathoglottis affinis . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 622. Accessed 2022-04-21",12,2
wfo-0000312065,ver-THA-0000312065.03,lueang phitsamon (เหลืองพิศมร)(General),,ref-THA-0000312065,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05956,Forest Herbarium,All rights reserved,"Spathoglottis affinis . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 622. Accessed 2022-04-21",12,2
wfo-0000312084,ver-THA-0000312084.01,ban duek (บานดึก)(Northern),,ref-THA-0000312084,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05958,Forest Herbarium,All rights reserved,"Spathoglottis eburnea . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 625. Accessed 2022-04-21",12,2
wfo-0000312084,ver-THA-0000312084.02,sai pla kho (ไส้ปลาข้อ)(Northern),,ref-THA-0000312084,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05958,Forest Herbarium,All rights reserved,"Spathoglottis eburnea . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 625. Accessed 2022-04-21",12,2
wfo-0000312091,ver-THA-0000312091.01,chomphu phitsamon (ชมพูพิศมร)(Peninsular),,ref-THA-0000312091,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05960,Forest Herbarium,All rights reserved,"Spathoglottis hardingiana . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 626. Accessed 2022-04-21",12,2
wfo-0000312121,ver-THA-0000312121.01,kra thiam pa (กระเทียมป่า)(Trat),,ref-THA-0000312121,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05961,Forest Herbarium,All rights reserved,"Spathoglottis plicata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 628. Accessed 2022-04-21",12,2
wfo-0000312121,ver-THA-0000312121.02,wan chuk (ว่านจุก)(Trat),,ref-THA-0000312121,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05961,Forest Herbarium,All rights reserved,"Spathoglottis plicata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 628. Accessed 2022-04-21",12,2
wfo-0000312121,ver-THA-0000312121.03,sapato (สะปาโต)(Bangkok),,ref-THA-0000312121,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05961,Forest Herbarium,All rights reserved,"Spathoglottis plicata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 628. Accessed 2022-04-21",12,2
wfo-0000312121,ver-THA-0000312121.04,ueang din (เอื้องดิน)(Bangkok),,ref-THA-0000312121,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05961,Forest Herbarium,All rights reserved,"Spathoglottis plicata . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 628. Accessed 2022-04-21",12,2
wfo-0000312126,ver-THA-0000312126.01,ban chuan (บานจ้วน)(Mae Hong Son),,ref-THA-0000312126,TH,THA,https://www.dnp.go.th/botany/eflora/floraspecies.html?tdcode=05962,Forest Herbarium,All rights reserved,"Spathoglottis pubescens . Flora of Thailand. Vol. 12. Part 2, 2014. Pg. 630. Accessed 2022-04-21",12,2
