"taxonID","locality","localityType","distributionText"
"taxon-102-OLACACEAE","tropics","world","Distribution: About 180 species in 28 genera, in the tropics ; in the neotropics ca. 87 species in 14 genera; in the Guianas 17 species in 10 genera."
"taxon-102-OLACACEAE","neotropics","world","Distribution: About 180 species in 28 genera, in the tropics ; in the neotropics ca. 87 species in 14 genera; in the Guianas 17 species in 10 genera."
"taxon-102-OLACACEAE","Guianas","region","Distribution: About 180 species in 28 genera, in the tropics ; in the neotropics ca. 87 species in 14 genera; in the Guianas 17 species in 10 genera."
"taxon-1-APTANDRA","tropical West Africa","continental region","Distribution: 3 species, 1 in tropical West Africa and 2 in Amazonian South America , 1 of these in the Guianas ."
"taxon-1-APTANDRA","Amazonian South America","continental region","Distribution: 3 species, 1 in tropical West Africa and 2 in Amazonian South America , 1 of these in the Guianas ."
"taxon-1-APTANDRA","Guianas","region","Distribution: 3 species, 1 in tropical West Africa and 2 in Amazonian South America , 1 of these in the Guianas ."
"taxon-1-Aptandra_liriosmoides","Venezuela","country","Distribution: Venezuela to Amazonian Brazil ; rare in Guyana , known from 1 collection only."
"taxon-1-Aptandra_liriosmoides","Amazonian Brazil","region","Distribution: Venezuela to Amazonian Brazil ; rare in Guyana , known from 1 collection only."
"taxon-1-Aptandra_liriosmoides","Guyana","country","Distribution: Venezuela to Amazonian Brazil ; rare in Guyana , known from 1 collection only."
"taxon-2-CATHEDRA","neotropics","world","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Colombia","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Venezuela","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Peru","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Guyana","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Brazil","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
"taxon-2-CATHEDRA","Guyana","country","Distribution: 5 species in the neotropics : Colombia , Venezuela , Peru , Guyana , Brazil ; 1 in Guyana ."
