"taxonID","habitat"
"taxon-1-Aptandra_liriosmoides","Habitat: in savanna forest."
"taxon-1-Cathedra_acuminata","Habitat: understory tree in primary or disturbed, also gallery forest, swamp forest, or periodically inundated caatinga, usually on terra firme, on sandy soil, to ca. 400 m ."
"taxon-1-Chaunochiton_kappleri","Habitat: in upland rain forest, also wet savanna forest, often along rivers, on sandy non-inundated soil, at low alt."
"taxon-2-Dulacia_guianensis","Habitat: in forest, also in open scrub savanna, on non-inundated soil, white sand, at low alt ."
"taxon-3-Dulacia_redmondii","Habitat: in bush islands of savanna, on wet sandy soil, at 100-200 m ."
"taxon-1-Heisteria_barbata","Habitat: scattered in lowland rain forest on terra firme, on sandy or argillaceous soil."
"taxon-2-Heisteria_cauliflora","Habitat: in rain forest or humid savanna forest, often along creeks, to 700 m alt."
"taxon-3-Heisteria_densifrons","Habitat: understory in forest, usually on terra firme, rarely in seasonally flooded forest, often along streams."
"taxon-4-Heisteria_maguirei","Habitat: in mixed upland rain forest, to 1140 m alt."
"taxon-5-Heisteria_ovata","Habitat: in primary and secondary rain forest, also in low gallery forest, on terra firme, sand or rocky laterite soils, to ca. 700 m alt."
"taxon-6-Heisteria_scandens","Habitat: in understory of rain forest, on non-inundated soil, usually at low alt ."
"taxon-1-Maburea_trinervis","Habitat: occasional to locally frequent in mixed forest or in Wallaba forest, on red to brown lateritic soil, at about sea level"
"taxon-1-Minquartia_guianensis","Habitat: in terra firme and seasonally flooded primary and secondary forest, also in gallery forest, on clay or sandy soil, from lowland to ca. 1000 m alt."
"taxon-1-Ptychopetalum_olacoides","Habitat: understory in rain forest and in high savanna forest, on non-inundated soil at low alt ."
"taxon-1-Schoepfia_lucida","Habitat: in gallery forest, or dry forest; scattered to 900 m alt."
"taxon-Ximenia_americana","Habitat: In thickets along seashores, but also inland in dry savanna scrub or forest, sometimes even in light rain forest, scattered, on calcare- ous or sandy ground up to ca. 1200 m alt."
"taxon-1-Agonandra_brasiliensis","Habitat: in savanna and deciduous forest."
"taxon-2-Agonandra_silvatica","Habitat: in rain forest on terra firme."
