"referenceID","bibliographicCitation"
"ref--5840207649289554332","Amshoff, G. J. H. 1938 Olacaceae A. Pulle Flora of Suriname 1 1 262-272"
"ref-477210083628940152","Engler, A. 1872 Olacineae C.F.P. Martius Flora Brasiliensis 12 2 1-36"
"ref--4485381732363073734","Sleumer, H.O. 1935 Olacaceae A. Engler & K. Prantl Die Naturlichen Pflanzenfamilien ed. 2 16b 5-32"
"ref-2938147393985382729","Sleumer, H.O. 1984 Olacaceae In Flora Neotropica 38 1-159"
"ref-2194775553224524350","Mennega, E.A., W.C.M. Tammens-de Rooij & M.J. Jansen-Jacobs (eds.) 1988 Check-list of woody plants of Guyana Ede"
"ref-564476443097201649","Valeton, T. 1886 Critisch overzicht der Olacineae B. et H. Thesis Groningen"
"ref--4094474211369650362","Anonymus. 1977 NEN 1015. Benamingen van handelshoutsoorten Rijswijk"
"ref-7159063092435750393","Anonymus. 1982 Nomenclature generale des bois tropicaux Association technique international des bois tropicaux Nogent-sur-Marne"
"ref--5251415754531637342","Baas, P., E. van Oosterhoud & C.J.L. Scholtes. 1982 Leaf anatomy and classification of the Olacaceae, Octoknema and Erythropalum Allertonia 3 155-210"
"ref-4714502985300452201","Benoist, R. 1931 Les bois de la Guyane Francaise Archives de botanique tome 5 Memoire 1 Caen"
"ref-4800814376984999482","Detienne, P., P. Jacquet & A. Mariaux. 1982 Manuel d'identification des bois tropicaux Tome 3. Guyane Francaise C.T.F.T. Nogent-sur-Marne"
"ref-9026327145703343351","Detienne, P. & P. Jacquet. 1983 Atlas d'identification des bois de l'Amazonie et des regions voisines C.T.F.T. Nogent-sur-Marne"
"ref-461045617947383303","Fanshawe, D.B. 1948 Forest products of British Guiana. Part 1. Principal Timbers Forestry Bulletin 1 (New series)"
"ref--4251725090207315016","Fanshawe, D.B. 1949 Check-list of the indigenous woody plants of British Guiana Forestry Bulletin 3 (New series)"
"ref-7833838691876801678","Japing, C.H. & H.W. Japing. 1960 Houthandboek Surinaamse houtsoorten 's-Lands Bosbeheer Paramaribo"
"ref-8938325680280115665","Koek-Noorman, J. & P. van Rijckevorsel. 1983 Wood and leaf anatomy of Opiliaceae Willdenowia 13 147-174"
"ref--4893069738212776199","Lindeman, J.C. & A.M.W. Mennega. 1963 Bomenboek voor Suriname 's-Lands Bosbeheer Paramaribo"
"ref--6971196783461102506","Mennega, E.A., W.C.H. Tammens de Rooij & M.J. Jansen-Jacobs (Eds.) 1988 Check-list of woody plants of Guyana Tropenbos Technical Series 2 Tropenbos Foundation Ede"
"ref-5770825112087269692","Metcalfe, C.R. & L. Chalk. 1950 Anatomy of the Dicotyledons Oxford University Press Oxford"
"ref-1478164212188693969","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven"
"ref--7761314608672503752","Reed, C.F. 1955 The comparative morphology of the Olacaceae, Opiliaceae and Oktoknemaceae Mem. Soc. Brot. 10 29-79"
