wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000184537,174403580,148542036,Apoplanesia cryptopetala,FABACEAE,Apoplanesia,cryptopetala,,,,Pittier,Near Threatened,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0000184540,195184985,195184980,Astragalus bibullatus,FABACEAE,Astragalus,bibullatus,,,,Barneby & E.L.Bridges,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000184545,20016771,19891567,Astragalus piutensis,FABACEAE,Astragalus,piutensis,,,,Barneby and Mabberley,Least Concern,,3.1,Stable,Global
wfo-0000184558,20030795,19892261,Brongniartia guerrerensis,FABACEAE,Brongniartia,guerrerensis,,,,J.Jimenez Ram. & J.L.Contr.,Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000184565,199908416,199908357,Calliandra erythrocephala,FABACEAE,Calliandra,erythrocephala,,,,H.M.Hern. & M.Sousa,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000184566,199908396,199907928,Calliandra physocalyx,FABACEAE,Calliandra,physocalyx,,,,H.M.Hern. & M.Sousa,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000184571,176095420,176095418,Crudia acuminata,FABACEAE,Crudia,acuminata,,,,Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000184636,151956013,119841599,Hymenolobium mesoamericanum,FABACEAE,Hymenolobium,mesoamericanum,,,,H.C.Lima,Least Concern,,3.1,Stable,Global
wfo-0000184648,156940517,156667548,Lonchocarpus balsensis,FABACEAE,Lonchocarpus,balsensis,,,,M.Sousa & J.C.Soto,Vulnerable,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global
wfo-0000184650,156940562,156669648,Lonchocarpus epigaeus,FABACEAE,Lonchocarpus,epigaeus,,,,M.Sousa,Endangered,"A2ac; B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global
wfo-0000184651,156940597,156671470,Lonchocarpus huetamoensis,FABACEAE,Lonchocarpus,huetamoensis,,,,M.Sousa & J.C.Soto,Least Concern,,3.1,Stable,Global
wfo-0000184653,156940622,156674364,Lonchocarpus longipedunculatus,FABACEAE,Lonchocarpus,longipedunculatus,,,,M.Sousa & J.C.Soto,Vulnerable,A2ac,3.1,Decreasing,Global
wfo-0000184654,156940707,156683396,Lonchocarpus schubertiae,FABACEAE,Lonchocarpus,schubertiae,,,,M.Sousa,Least Concern,,3.1,Stable,Global
wfo-0000184665,100513065,100513055,Lupinus chachas,FABACEAE,Lupinus,chachas,,,,Ochoa ex C.P.Sm.,Data Deficient,,3.1,Unknown,Global
wfo-0000184673,100514557,100514518,Lupinus mantaroensis,FABACEAE,Lupinus,mantaroensis,,,,C.P.Sm.,Data Deficient,,3.1,Unknown,Global
wfo-0000184691,100516927,100516921,Lupinus piurensis,FABACEAE,Lupinus,piurensis,,,,C.P.Sm.,Least Concern,,3.1,Unknown,Global
wfo-0000184692,100517085,100517045,Lupinus praestabilis,FABACEAE,Lupinus,praestabilis,,,,C.P.Sm.,Least Concern,,3.1,Unknown,Global
wfo-0000184694,22485347,22484024,Lupinus semperflorens,FABACEAE,Lupinus,semperflorens,,,,Benth.,Least Concern,,3.1,Unknown,Global
