taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000379280,Venezuela,distribution,C50718AE-78EA-4D0F-B335-8C789D77C9ED,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000449091,Venezuela,distribution,91664D52-644B-47D0-A2B3-B6BE55B06A94,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001119081,known only from the Orosi-Tapanti region in Costa Rica and near For- tuna Dam in Panama.,distribution,649BFA23-4DCC-4C45-BD6D-4D63B6C25074,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001027129,Peru,distribution,BB8CC3D8-2BBD-4606-ABC5-E53FC79845FB,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001045160,Costa Rica,distribution,1CDECF72-DF93-42B9-AD8A-87DE48B875BD,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000448983,Venezuela,distribution,E718C1EA-A2AB-4C6B-9B8D-78A713FC2669,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000851254,"Known only from wet, lowland, seasonally flooded (igap6) forests along af- fluents of the Rio Negro in southwestern Amazonas, Venezuela, and northwestern Amazonas, Brazil.",distribution,9529DAF8-5CF8-4BAF-949A-A47BCA8A155D,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001021409,Venezuela,distribution,1AF345E5-E243-4205-BF53-0A44A281C8B8,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000729615,Costa Rica and Panama Colombia,distribution,D741063B-949F-40AE-923B-1530DEDE0AB9,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000458355,Brazil (Minas Gerais).,distribution,744E8854-E14C-4C37-8BD4-96265054C460,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000449099,Venezuela,distribution,BB4F9046-54DE-4115-BE09-FE8C4EE0FA19,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000298858,Costa Rica,distribution,40953102-00E1-45AA-B330-2802A7D12A8E,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000297905,This species is known only from the Sierra de Juarez in northeastern Oaxaca and from the northern highlands of Chiapas near Tila.,distribution,F2E6EA9E-3F4F-4760-A457-E1237E090ABE,English,2013-10-31,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000848832,Colombia,distribution,053F3143-21BB-4B91-9082-67C71BC05D73,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000458379,"Brazil (Minas Gerais, Parana).",distribution,55E477FE-BBB1-4D6F-91E2-24D33CAEB995,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001062310,Costa Rica,distribution,2E8430C8-9DDC-48B4-A316-5BCC47AC834D,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001078561,Panama,distribution,BF495CFD-EE4F-4531-ABBD-E27121B68E26,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001078562,Panama,distribution,D420F208-4855-43C3-BF16-47470E5AE4D1,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000729615,Panama,distribution,9999B526-C079-416F-947A-DBB610EE196C,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646364,"Endemic to a small coastal area in Depto. Are- quipa, Peru",distribution,25387E33-4819-4699-89FC-B367B3AD1846,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001218161,Bolivia,distribution,E3E40CA7-7BAA-4143-BC24-81B28E6A2368,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656184,Ecuador,distribution,E6B77201-1949-404F-AB48-5A832729256E,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656279,Venezuela,distribution,01BED730-2086-40E2-9CA9-4633C9501CF8,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000656322,Peru,distribution,5F817485-4EF9-457D-97D0-CF8070CA5BB2,English,2013-10-23,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000646365,ARGENTINA,distribution,31B3CD26-36A8-4AC8-BBDB-320883C4CBB9,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000458360,"Venezuela (Amazonas, Bolivar); Guyana (vicinity of Roraima and Serra Pakaraima); Peru (Amazonas, Pasco); Brazil (Bahia, Minas Gerais, Rio de Janeiro, Sao Paulo, Parana, Santa Catarina, Rio Grande do Sul).",distribution,A482D73E-252E-4AE8-941B-94BF8868ACA4,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000458344,Venezuela,distribution,447BC600-C566-43B9-9749-480D19C6E0BF,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000564806,Venezuela,distribution,E0497C0B-81CC-4564-AA40-6062C4B84246,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000657471,Venezuela,distribution,EE7A2FDF-C8D5-4146-AB2D-FF0C30BE4FAB,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379289,Venezuela,distribution,CCF68231-502E-4C06-A96C-345E74C4E784,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379261,Venezuela,distribution,54B587D9-D98B-4743-A929-3FA414AAADFD,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001065328,Ecuador,distribution,2431B4BD-C660-4366-BD5F-DC46C12062A1,English,2013-10-28,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000506059,Brazil,distribution,07C9EA7C-6996-4449-A89C-E5321663B40C,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001072043,Costa Rica,distribution,2845AA04-279C-449A-B405-08D5DCA265A4,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082671,Costa Rica,distribution,3FC56652-DB16-4290-B985-7D06AB69A4ED,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082674,Costa Rica,distribution,93D66D70-77AD-4451-BCBD-DFF917270945,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000946271,Venezuela,distribution,7C8A9079-0951-4692-8CB4-4B986CED1A4B,English,2013-10-24,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001082675,Costa Rica,distribution,D41D0188-5897-46AA-952D-D60089C0E93B,English,2013-11-12,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000327811,Venezuela,distribution,11594080-4BE5-44E5-9E7D-C433B066CB80,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000236882,Ecuador,distribution,76368537-B649-4317-9D6F-B6E6024434DB,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237102,Peru,distribution,EE45CFAA-F8E9-4177-A9C2-4DD61E5C69DB,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237135,Ecuador,distribution,E8D48938-698C-490A-910E-153514C26247,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237262,Colombia,distribution,C26D90B6-26E9-469E-8764-1C96AF372586,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237609,Bolivia,distribution,8BAB6A62-6776-434F-AF1F-E3DDB377ED8B,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237654,Ecuador,distribution,CE36DF7B-B8A5-4B2E-850F-2574DC6F07F0,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237829,Ecuador,distribution,502F4DEE-7E69-4313-9044-E26DD627ACF6,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000875558,Brazil,distribution,7C19E985-D031-4A7E-888F-4A218E2B1A8E,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000237839,Colombia,distribution,0043583B-615B-4419-A091-DD1AC21AB396,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000277254,Venezuela,distribution,D56EA6B7-E621-481D-9B5A-ED0677DB4271,English,2013-12-17,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000873529,"found in a variety of wet to seasonally dry habitats below 1,000 m from Mexico and northern South America to Bolivia, Paraguay, and southern Brazil (Santa Ca- tarina).",distribution,786903FF-3E72-42B1-A8A3-925D385528BF,English,2013-10-29,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000886285,"restricted to north- eastern Brazil, where it grows in sandy soils, in open places or forest edges.",distribution,ACAF7738-421F-400E-8DD0-DC058454F8A5,English,2013-10-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000875557,Brazil,distribution,947AE730-118A-4676-9C41-592A994337E9,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000875450,Brazil,distribution,9DA14198-EA2F-47B1-8DAC-B59400D2DDC8,English,2013-11-06,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
